Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,29.252,29.886,29.236,29.688,1210506,0
2010-01-05,29.763,30.503,29.516,29.73,1177801,0
2010-01-06,29.738,29.976,29.499,29.623,1216936,0
2010-01-07,29.499,30.166,29.499,30.133,2287567,0
2010-01-08,30.215,31.4,30.166,31.351,1863649,0
2010-01-11,31.351,31.565,30.717,30.906,1566964,0
2010-01-12,30.561,30.651,29.606,29.935,1265714,0
2010-01-13,30.157,32.289,30.116,32.124,2999343,0
2010-01-14,31.779,32.939,31.77,32.824,2023577,0
2010-01-15,32.807,33.005,31.301,31.54,2014090,0
2010-01-19,31.458,31.458,29.252,30.701,4814297,0
2010-01-20,29.697,29.812,28.685,28.726,4500184,0
2010-01-21,28.759,29.006,27.459,27.549,3060596,0
2010-01-22,27.615,28.314,26.644,26.899,2473792,0
2010-01-25,27.203,27.376,26.759,26.915,1059421,0
2010-01-26,26.808,28.281,26.677,27.911,2228885,0
2010-01-27,27.944,28.092,27.031,27.475,1939713,0
2010-01-28,27.524,27.524,26.932,27.195,1618487,0
2010-01-29,27.327,27.747,26.767,26.841,1663607,0
2010-02-01,26.915,27.278,26.397,26.973,1415686,0
2010-02-02,27.006,28.512,26.8,28.462,2141052,0
2010-02-03,28.323,28.495,27.952,28.125,929435,0
2010-02-04,27.812,27.944,26.644,26.726,2109538,0
2010-02-05,26.71,26.767,25.508,26.158,3132912,0
2010-02-08,26.158,26.356,25.731,26.068,1689073,0
2010-02-09,26.463,26.932,25.772,26.883,1607643,0
2010-02-10,26.743,27.138,26.545,26.883,1158213,0
2010-02-11,26.759,27.491,26.603,27.491,1274211,0
2010-02-12,27.113,28.051,26.907,28.051,1317914,0
2010-02-16,28.355,28.627,27.845,28.528,1476090,0
2010-02-17,28.528,28.899,28.298,28.619,1888510,0
2010-02-18,30.972,31.268,29.129,29.878,4669577,0
2010-02-19,29.886,30.347,29.73,30.264,1887814,0
2010-02-22,30.396,30.445,29.557,29.623,1214500,0
2010-02-23,29.483,29.565,28.504,28.578,1379985,0
2010-02-24,28.643,28.767,27.837,27.895,1222724,0
2010-02-25,27.236,27.598,26.874,27.549,2503392,0
2010-02-26,27.566,28.298,27.467,28.199,2245238,0
2010-03-01,28.364,29.335,28.24,29.178,1806302,0
2010-03-02,29.211,29.911,28.948,29.705,1967532,0
2010-03-03,29.672,30.018,29.285,29.516,1162007,0
2010-03-04,29.483,30.166,29.211,30.141,1632346,0
2010-03-05,30.248,30.503,30.034,30.503,851529,0
2010-03-08,30.413,31.318,30.232,30.635,2061661,0
2010-03-09,30.503,30.503,29.318,29.417,1527925,0
2010-03-10,29.417,29.433,28.676,29.203,2194297,0
2010-03-11,28.989,29.763,28.956,29.623,1853209,0
2010-03-12,29.894,30.001,28.66,29.466,1583573,0
2010-03-15,29.392,31.203,29.145,31.046,2910672,0
2010-03-16,31.235,31.894,30.98,31.482,1737637,0
2010-03-17,31.532,31.704,30.413,31.128,1771951,0
2010-03-18,31.046,32.256,30.725,30.939,2079335,0
2010-03-19,31.079,31.663,30.84,31.4,2307838,0
2010-03-22,31.943,33.605,31.943,33.334,4456434,0
2010-03-23,33.572,33.572,32.453,32.717,2061406,0
2010-03-24,32.486,32.536,31.178,31.268,2953586,0
2010-03-25,31.359,31.655,30.758,30.98,2103288,0
2010-03-26,31.013,31.375,30.594,31.046,1036958,0
2010-03-29,31.227,31.408,30.898,31.046,1565724,0
2010-03-30,31.153,31.227,30.561,30.651,1191525,0
2010-03-31,30.478,30.569,29.861,30.388,1345440,0
2010-04-01,30.347,31.688,30.223,31.556,1839595,0
2010-04-05,31.737,32.042,31.235,31.375,753182,0
2010-04-06,31.277,31.754,31.203,31.548,772677,0
2010-04-07,31.548,31.622,31.03,31.466,858941,0
2010-04-08,31.268,31.91,30.635,31.836,1327921,0
2010-04-09,31.885,32.42,31.754,32.116,1622772,0
2010-04-12,32.116,32.659,32.116,32.552,1219340,0
2010-04-13,32.552,32.749,32.198,32.585,1547818,0
2010-04-14,32.667,32.906,32.067,32.338,2705376,0
2010-04-15,32.206,32.766,32.058,32.355,2349776,0
2010-04-16,32.157,32.519,31.408,32.223,2128527,0
2010-04-19,32.239,33.079,32.206,32.799,1895980,0
2010-04-20,33.103,34.568,32.955,34.066,4664554,0
2010-04-21,34.066,34.494,33.342,33.589,4312951,0
2010-04-22,33.21,33.869,33.062,33.688,3971807,0
2010-04-23,34.757,34.807,33.235,33.885,4158024,0
2010-04-26,33.564,33.663,32.922,33.095,2927811,0
2010-04-27,32.7,33.786,32.7,33.005,2677973,0
2010-04-28,33.103,33.424,32.824,33.12,1569774,0
2010-04-29,33.523,34.387,33.498,34.157,1683346,0
2010-04-30,34.124,34.601,33.556,33.622,2030586,0
2010-05-03,33.91,34.617,33.737,34.37,1265579,0
2010-05-04,33.655,34.082,33.219,33.408,2271063,0
2010-05-05,33.177,33.869,32.461,33.358,1929619,0
2010-05-06,33.268,33.729,29.623,32.387,2905769,0
2010-05-07,32.264,32.856,31.161,31.425,2891660,0
2010-05-10,32.708,33.457,32.692,33.408,1565972,0
2010-05-11,32.914,33.474,32.7,32.972,2160094,0
2010-05-12,33.293,34.017,32.98,33.646,2008143,0
2010-05-13,33.679,34.206,33.219,33.301,1572358,0
2010-05-14,33.128,34.115,32.692,33.317,2263440,0
2010-05-17,33.581,33.943,32.141,33.276,2746692,0
2010-05-18,33.77,33.77,32.412,32.634,1588269,0
2010-05-19,32.486,33.037,32.289,32.832,1709483,0
2010-05-20,32.239,32.527,31.145,31.178,1887639,0
2010-05-21,30.873,32.239,30.281,31.408,2038183,0
2010-05-24,31.359,32.264,31.038,31.729,1587313,0
2010-05-25,30.832,31.063,30.454,30.964,1851500,0
2010-05-26,31.211,32.017,31.112,31.639,3109135,0
2010-05-27,32.379,32.996,32.313,32.906,1908225,0
2010-05-28,32.914,32.914,32.025,32.075,1886769,0
2010-06-01,31.787,32.215,31.334,31.375,1826085,0
2010-06-02,31.482,32.906,31.482,32.906,2071256,0
2010-06-03,32.807,33.581,32.733,33.556,1771917,0
2010-06-04,32.733,33.202,31.507,31.729,1761489,0
2010-06-07,31.968,32.149,31.203,31.203,1033397,0
2010-06-08,31.194,31.375,30.026,30.495,1937557,0
2010-06-09,30.627,31.104,30.067,30.207,2407314,0
2010-06-10,30.75,30.964,30.503,30.89,1623961,0
2010-06-11,30.511,31.318,30.371,30.98,1444986,0
2010-06-14,31.17,31.573,30.964,31.005,1328574,0
2010-06-15,31.556,31.82,31.318,31.787,1088785,0
2010-06-16,31.425,31.704,31.161,31.433,926633,0
2010-06-17,31.474,31.63,30.684,30.75,1563821,0
2010-06-18,30.766,30.775,30.042,30.223,1810713,0
2010-06-21,30.462,30.643,28.364,28.569,3734978,0
2010-06-22,28.561,28.8,27.697,27.895,3476363,0
2010-06-23,27.829,28.989,27.623,28.561,2420218,0
2010-06-24,28.479,28.668,27.541,27.615,1669344,0
2010-06-25,27.672,28.446,27.557,28.183,2303521,0
2010-06-28,28.323,28.504,27.928,27.993,1604124,0
2010-06-29,27.434,27.845,27.327,27.631,3277833,0
2010-06-30,27.615,28.117,27.426,27.821,2482169,0
2010-07-01,27.681,27.763,25.862,26.15,3036906,0
2010-07-02,26.389,26.446,25.722,25.887,1619112,0
2010-07-06,26.175,27.113,26.15,26.504,2013644,0
2010-07-07,26.488,27.022,26.471,26.924,1968659,0
2010-07-08,27.228,27.566,26.874,27.162,1462104,0
2010-07-09,27.203,27.417,26.71,26.924,1057476,0
