Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,3.68,3.88,3.68,3.84,85596,0
2010-01-05,3.87,3.97,3.86,3.92,148355,0
2010-01-06,4.11,4.3,4.05,4.3,602764,0
2010-01-07,4.27,4.27,4.15,4.2,197023,0
2010-01-08,4.16,4.29,4.11,4.29,127803,0
2010-01-11,4.25,4.27,4.13,4.15,61339,0
2010-01-12,4.13,4.18,4.08,4.12,42048,0
2010-01-13,4.12,4.18,4.07,4.17,81523,0
2010-01-14,4.2,4.3,4.17,4.27,53313,0
2010-01-15,4.27,4.27,4.16,4.18,32450,0
2010-01-19,4.14,4.29,4.14,4.25,44154,0
2010-01-20,4.25,4.25,4.16,4.2,19785,0
2010-01-21,4.11,4.17,4.01,4.02,94945,0
2010-01-22,4.01,4.08,3.8,3.86,49998,0
2010-01-25,4.08,4.08,3.8,3.84,19540,0
2010-01-26,3.84,4.12,3.84,4,35064,0
2010-01-27,3.94,4.1,3.93,3.93,29393,0
2010-01-28,4.18,4.18,3.87,3.9,19745,0
2010-01-29,3.9,4.09,3.86,3.9,14814,0
2010-02-01,3.88,3.9,3.86,3.88,29282,0
2010-02-02,3.89,3.97,3.89,3.92,5965,0
2010-02-03,3.97,3.97,3.86,3.9,57878,0
2010-02-04,3.87,3.9,3.82,3.82,47889,0
2010-02-05,3.82,3.88,3.81,3.87,7773,0
2010-02-08,3.89,3.9,3.84,3.9,4463,0
2010-02-09,3.9,3.95,3.82,3.9,28552,0
2010-02-10,3.81,3.95,3.79,3.86,29021,0
2010-02-11,3.85,3.92,3.81,3.89,22235,0
2010-02-12,3.84,3.95,3.84,3.94,18505,0
2010-02-16,3.95,4.14,3.93,3.98,181382,0
2010-02-17,4.05,4.05,3.94,4,57621,0
2010-02-18,3.97,3.99,3.9,3.94,23037,0
2010-02-19,3.93,3.95,3.85,3.95,9332,0
2010-02-22,3.95,3.95,3.8,3.89,18533,0
2010-02-23,3.85,3.91,3.75,3.85,137362,0
2010-02-24,3.85,3.9,3.77,3.9,38429,0
2010-02-25,3.9,3.9,3.78,3.9,15270,0
2010-02-26,3.89,3.9,3.87,3.88,6881,0
2010-03-01,3.88,3.95,3.88,3.93,37521,0
2010-03-02,3.95,3.95,3.78,3.81,29786,0
2010-03-03,3.95,3.95,3.77,3.82,22150,0
2010-03-04,3.86,3.89,3.8,3.84,14716,0
2010-03-05,3.9,3.92,3.83,3.92,30325,0
2010-03-08,3.9,3.95,3.85,3.95,41487,0
2010-03-09,3.9,3.9,3.67,3.75,209805,0
2010-03-10,3.71,3.79,3.69,3.77,40076,0
2010-03-11,3.85,3.85,3.75,3.78,23560,0
2010-03-12,3.75,3.8,3.75,3.75,4202,0
2010-03-15,3.95,3.95,3.58,3.73,225408,0
2010-03-16,3.74,3.8,3.7,3.75,9699,0
2010-03-17,3.73,3.87,3.73,3.8,18206,0
2010-03-18,3.81,3.89,3.75,3.87,19112,0
2010-03-19,3.88,3.9,3.7,3.7,55002,0
2010-03-22,3.7,3.87,3.7,3.82,24771,0
2010-03-23,3.79,3.84,3.77,3.8,11073,0
2010-03-24,3.85,3.86,3.78,3.8,8098,0
2010-03-25,3.85,3.9,3.6,3.8,292632,0
2010-03-26,3.78,3.88,3.58,3.85,19015,0
2010-03-29,3.82,3.86,3.73,3.82,151016,0
2010-03-30,3.7,3.88,3.7,3.85,22027,0
2010-03-31,3.8,3.84,3.76,3.8,33719,0
2010-04-01,3.77,3.79,3.77,3.79,10700,0
2010-04-05,3.79,3.82,3.76,3.8,11043,0
2010-04-06,3.8,3.82,3.76,3.8,43797,0
2010-04-07,3.8,3.83,3.73,3.82,41546,0
2010-04-08,3.77,3.81,3.75,3.81,14058,0
2010-04-09,3.84,3.86,3.79,3.83,26529,0
2010-04-12,3.8,3.85,3.77,3.85,22684,0
2010-04-13,3.84,3.85,3.79,3.84,15463,0
2010-04-14,3.84,3.98,3.8,3.93,26918,0
2010-04-15,3.89,3.95,3.75,3.87,27595,0
2010-04-16,3.9,3.9,3.75,3.78,27715,0
2010-04-19,3.82,3.89,3.81,3.83,21205,0
2010-04-20,3.83,3.98,3.82,3.93,48805,0
2010-04-21,4,4,3.76,3.86,20964,0
2010-04-22,3.86,3.89,3.82,3.83,8171,0
2010-04-23,3.8,3.97,3.8,3.93,25938,0
2010-04-26,3.92,4,3.91,3.95,66513,0
2010-04-27,3.95,3.95,3.91,3.92,22547,0
2010-04-28,3.93,3.97,3.88,3.88,15158,0
2010-04-29,3.87,4.14,3.84,4.13,100481,0
2010-04-30,4.12,4.12,3.9,3.94,18863,0
2010-05-03,4,4.09,3.94,3.99,39320,0
2010-05-04,3.81,3.98,3.75,3.8,41873,0
2010-05-05,3.75,3.75,3.65,3.65,54268,0
