Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,4.9775,5.5142,4.9775,5.2702,10540,0
2010-01-05,5.5337,5.5337,5.1628,5.1823,1947,0
2010-01-06,5.2116,5.358,5.1823,5.2603,1147,0
2010-01-07,5.1628,5.2214,5.0554,5.0554,1086,0
2010-01-08,5.2702,5.2702,5.2603,5.2702,989,0
2010-01-12,5.0554,5.2214,5.0554,5.0554,5124,0
2010-01-13,5.6313,5.6313,5.4848,5.4848,614,0
2010-01-15,5.075,5.2214,5.075,5.075,1260,0
2010-01-19,5.075,5.1237,5.0554,5.075,1026,0
2010-01-20,5.075,5.075,5.075,5.075,409,0
2010-01-21,5.0652,5.1237,4.8798,5.075,6104,0
2010-01-22,4.9286,5.075,4.831,4.9775,1854,0
2010-01-25,5.1237,5.1725,5.1237,5.1725,410,0
2010-01-26,4.8798,5.0945,4.8798,5.0945,5358,0
2010-02-01,4.8798,5.075,4.831,5.075,6651,0
2010-02-02,4.7822,4.8505,4.7822,4.8505,3996,0
2010-02-03,5.0262,5.0262,5.0262,5.0262,205,0
2010-02-04,4.8798,4.8798,4.831,4.831,3384,0
2010-02-05,4.8017,4.8798,4.7529,4.8798,3177,0
2010-02-08,4.7822,4.8798,4.7822,4.8798,6966,0
2010-02-10,4.831,4.8798,4.831,4.8798,4263,0
2010-02-11,4.9675,5.0164,4.831,5.0164,5225,0
2010-02-17,5.1237,5.1237,5.1237,5.1237,2050,0
2010-02-18,5.1725,5.1725,5.1725,5.1725,307,0
2010-02-19,5.3677,5.4848,5.3677,5.3677,614,0
2010-02-22,4.9481,5.4654,4.9481,5.4654,7578,0
2010-02-23,5.6118,5.8557,5.5142,5.8557,12895,0
2010-02-24,6.0899,6.3925,6.0899,6.3729,6045,0
2010-02-25,6.3339,6.3925,6.3242,6.3729,2705,0
2010-02-26,6.4412,6.7439,6.4315,6.6365,4406,0
2010-03-01,6.6853,6.6853,6.6853,6.6853,3278,0
2010-03-02,6.6853,6.6853,6.6853,6.6853,102,0
2010-03-03,6.6951,6.8317,6.6951,6.7341,5067,0
2010-03-04,6.8317,6.8317,6.7829,6.7829,307,0
2010-03-05,6.7829,6.9194,6.7829,6.8219,1536,0
2010-03-08,6.8317,6.8317,6.8317,6.8317,3073,0
2010-03-09,6.8122,6.8122,6.8122,6.8122,1130,0
2010-03-12,6.8317,6.8317,6.8317,6.8317,512,0
2010-03-15,6.7341,6.7536,6.7341,6.7536,512,0
2010-03-17,6.7341,6.7341,6.617,6.6658,2254,0
2010-03-18,6.5389,6.7341,6.5389,6.7341,4508,0
2010-03-19,6.8219,6.9487,6.8219,6.8317,2254,0
2010-03-22,6.6071,6.6071,6.5876,6.5876,410,0
2010-03-23,6.5389,6.5876,6.5389,6.5876,283,0
2010-03-24,6.5876,6.5876,6.5876,6.5876,511,0
2010-03-25,6.7829,6.7829,6.7829,6.7829,102,0
2010-03-26,6.7829,6.7829,6.7341,6.7341,1947,0
2010-03-29,6.9293,6.9293,6.9293,6.9293,717,0
2010-04-08,6.8804,6.8804,6.8804,6.8804,410,0
2010-04-13,6.8707,6.8707,6.8707,6.8707,2050,0
2010-04-15,6.8317,6.9782,6.8317,6.9782,4843,0
2010-04-20,6.8317,6.8317,6.8317,6.8317,1025,0
2010-04-21,6.9782,6.9782,6.9099,6.9782,3073,0
2010-04-22,7.0659,7.0659,6.9293,6.9293,2260,0
2010-04-23,6.9782,6.9782,6.9782,6.9782,1752,0
2010-04-26,6.9293,7.017,6.8804,7.017,6249,0
2010-04-27,7.017,7.3879,7.017,7.3879,7541,0
2010-04-28,7.4172,7.4172,7.3489,7.4172,3986,0
2010-04-29,7.1244,7.1244,7.0757,7.0757,410,0
2010-04-30,7.505,7.505,7.4562,7.4562,205,0
2010-05-05,7.0757,7.1244,7.0757,7.0952,1536,0
