Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,8.7763,9.1674,8.7763,9.1399,144800,0
2010-01-05,9.0945,9.2309,9.0945,9.1304,89244,0
2010-01-06,9.0491,9.4856,9.0491,9.3042,90626,0
2010-01-07,9.2762,9.985,9.1944,9.959,231072,0
2010-01-08,9.969,11.041,9.876,10.959,406754,0
2010-01-11,11.459,11.706,10.887,10.996,297766,0
2010-01-12,10.723,10.759,10.095,10.223,211823,0
2010-01-13,10.14,10.568,10.095,10.558,106349,0
2010-01-14,10.55,10.587,10.404,10.432,103726,0
2010-01-15,10.332,10.55,10.095,10.394,163506,0
2010-01-19,10.905,10.959,10.323,10.668,234362,0
2010-01-20,10.568,10.568,9.894,10.075,189329,0
2010-01-21,10.04,10.168,9.4314,9.458,247215,0
2010-01-22,9.3119,9.721,9.2589,9.3312,261796,0
2010-01-25,9.585,9.821,9.3585,9.3664,159770,0
2010-01-26,9.3763,9.585,8.9577,9.3407,354777,0
2010-01-27,9.1674,9.2859,8.758,8.9952,238596,0
2010-01-28,9.0576,9.1578,8.7125,8.8584,157874,0
2010-01-29,8.9858,8.9858,8.2214,8.3306,262188,0
2010-02-01,8.367,9.0037,8.358,8.9402,122229,0
2010-02-02,9.0217,9.3042,8.9122,9.2126,113349,0
2010-02-03,9.3215,9.3215,8.8668,8.876,79613,0
2010-02-04,8.8399,8.8399,8.3034,8.3488,168922,0
2010-02-05,8.2851,8.5398,8.0395,8.5306,189720,0
2010-02-08,8.7672,8.9402,8.558,8.5852,156367,0
2010-02-09,8.7672,9.0037,8.6943,8.8668,164910,0
2010-02-10,8.8126,8.9671,8.6854,8.8584,72513,0
2010-02-11,8.7763,9.204,8.7763,9.1761,149437,0
2010-02-12,8.9858,9.558,8.9764,9.4767,176688,0
2010-02-16,9.63,9.949,9.63,9.741,183901,0
2010-02-17,9.904,9.904,9.659,9.786,175890,0
2010-02-18,9.705,9.959,9.705,9.904,129933,0
2010-02-19,9.75,9.959,9.63,9.868,90755,0
2010-02-22,9.876,10.004,9.567,9.595,87097,0
2010-02-23,9.4668,9.55,9.0217,9.067,89021,0
2010-02-24,9.085,9.2309,9.0037,9.085,111803,0
2010-02-25,8.8399,9.0945,8.6306,9.0491,194100,0
2010-02-26,9.1494,9.1494,8.9952,9.085,114799,0
2010-03-01,9.0491,9.458,9.0491,9.4412,145512,0
2010-03-02,9.4491,9.786,9.3407,9.55,161736,0
2010-03-03,9.531,9.868,9.458,9.4944,135142,0
2010-03-04,9.531,9.531,9.2126,9.2666,122935,0
2010-03-05,9.3119,9.4216,9.2213,9.2859,288353,0
2010-03-08,9.3664,9.4314,9.0765,9.2589,144510,0
2010-03-09,9.0217,9.1856,9.0217,9.0765,103800,0
2010-03-10,9.067,9.3119,9.0576,9.085,145230,0
2010-03-11,8.9671,9.2309,8.9671,9.1578,199953,0
2010-03-12,9.1674,9.3215,9.1674,9.2213,135042,0
2010-03-15,9.2213,9.54,9.0945,9.1761,188749,0
2010-03-16,9.2309,9.2666,9.0945,9.1494,115252,0
2010-03-17,9.1039,9.2213,9.0123,9.0405,219069,0
2010-03-18,8.9858,9.1125,8.876,9.0491,93777,0
2010-03-19,9.1399,9.1399,8.6761,8.7034,156397,0
2010-03-22,8.6761,8.8399,8.5034,8.8034,153997,0
2010-03-23,8.8668,9.1304,8.8399,9.0576,152873,0
2010-03-24,8.9307,8.9764,8.7125,8.7398,157768,0
2010-03-25,8.8306,9.0217,8.8306,8.8399,201765,0
2010-03-26,8.8034,8.9215,8.758,8.8214,67045,0
2010-03-29,8.8214,9.0037,8.8214,8.9671,113395,0
2010-03-30,9.0765,9.4856,9.0405,9.3215,709912,0
2010-03-31,9.3585,9.531,8.9494,8.9671,257232,0
2010-04-01,8.8034,9.1674,8.6306,9.085,239070,0
2010-04-05,9.995,10.14,9.659,10.085,814301,0
2010-04-06,10.113,10.314,10.03,10.105,438149,0
2010-04-07,10.213,10.304,9.876,9.985,295648,0
2010-04-08,9.885,9.949,9.713,9.786,182285,0
2010-04-09,9.904,9.923,9.558,9.576,201241,0
2010-04-12,9.558,9.558,9.1856,9.2493,327029,0
2010-04-13,9.1856,9.2493,9.1219,9.1944,617870,0
2010-04-14,9.2859,9.4038,9.1494,9.2589,356549,0
2010-04-15,9.3119,9.3585,9.1125,9.1761,173074,0
2010-04-16,9.1039,9.4216,9.0576,9.3585,462827,0
2010-04-19,9.1039,9.3119,9.0037,9.0765,441808,0
2010-04-20,9.2126,9.2859,9.1039,9.1856,303085,0
2010-04-21,9.2762,9.2762,9.085,9.1399,235480,0
2010-04-22,9.0491,9.2309,9.0037,9.1856,243725,0
2010-04-23,9.2309,9.396,9.067,9.3585,327001,0
2010-04-26,9.3494,9.64,9.3494,9.558,289452,0
2010-04-27,9.54,9.676,9.1856,9.4767,399415,0
2010-04-28,9.621,9.849,9.513,9.705,675196,0
2010-04-29,9.812,9.976,9.804,9.894,239047,0
2010-04-30,9.939,10.178,9.904,10.022,445631,0
2010-05-03,10.158,10.203,9.876,9.969,153212,0
2010-05-04,9.821,9.876,9.585,9.859,373568,0
2010-05-05,9.64,9.939,9.4767,9.821,336516,0
2010-05-06,9.64,9.995,9.531,9.821,965134,0
2010-05-07,9.831,10.15,9.705,10.004,629812,0
2010-05-10,10.24,10.595,10.123,10.512,365067,0
2010-05-11,10.449,10.987,10.314,10.867,644136,0
2010-05-12,10.959,11.231,10.75,11.15,336597,0
2010-05-13,11.114,11.531,10.977,11.342,311110,0
2010-05-14,11.205,11.231,10.967,11.078,299238,0
2010-05-17,11.049,11.087,10.713,11.059,383055,0
2010-05-18,11.123,11.313,10.713,10.795,209991,0
2010-05-19,10.558,10.64,10.05,10.278,633102,0
