Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,4.608,4.7342,4.5507,4.6517,20927,0
2010-01-05,4.7152,4.7152,4.5637,4.6206,7706,0
2010-01-06,4.6773,4.7152,4.6269,4.6646,16296,0
2010-01-07,4.7279,4.7279,4.5507,4.6145,49120,0
2010-01-08,4.5956,4.5956,4.5507,4.5759,21175,0
2010-01-11,4.5827,4.6646,4.5827,4.6646,25034,0
2010-01-12,4.5956,4.6589,4.5759,4.6333,26376,0
2010-01-13,4.5827,4.6333,4.5064,4.5446,13494,0
2010-01-14,4.5135,4.5827,4.488,4.5572,35187,0
2010-01-15,4.5255,4.57,4.5002,4.5193,16730,0
2010-01-19,4.5507,4.608,4.431,4.5637,33488,0
2010-01-20,4.5446,4.57,4.5064,4.57,8454,0
2010-01-21,4.5135,4.5637,4.488,4.5002,37275,0
2010-01-22,4.5193,4.6517,4.5064,4.6269,38326,0
2010-01-25,4.6013,4.671,4.4623,4.671,39335,0
2010-01-26,4.6517,4.6966,4.5507,4.589,32719,0
2010-01-27,4.5507,4.5956,4.4623,4.5064,23248,0
2010-01-28,4.4944,4.5135,4.4371,4.5002,27837,0
2010-01-29,4.5827,4.5827,4.4623,4.488,46890,0
2010-02-01,4.4944,4.6773,4.4944,4.6773,25861,0
2010-02-02,4.6773,4.7533,4.57,4.6838,47031,0
2010-02-03,4.7279,4.7279,4.589,4.5956,23316,0
2010-02-04,4.5956,4.7533,4.5064,4.5956,45714,0
2010-02-05,4.589,4.589,4.456,4.456,38860,0
2010-02-08,4.456,4.671,4.4246,4.5321,21562,0
2010-02-09,4.5446,4.6206,4.5446,4.608,38020,0
2010-02-10,4.5064,4.5064,4.4371,4.4687,13617,0
2010-02-11,4.4749,4.5064,4.4059,4.5064,28810,0
2010-02-12,4.4817,4.5827,4.431,4.45,16540,0
2010-02-16,4.5193,4.5193,4.3932,4.4435,27085,0
2010-02-17,4.3993,4.4817,4.3993,4.4371,26494,0
2010-02-18,4.4749,4.5637,4.4246,4.488,24618,0
2010-02-19,4.5446,4.5446,4.4623,4.4623,18279,0
2010-02-22,4.4623,4.4623,4.2728,4.3867,59629,0
2010-02-23,4.3993,4.4623,4.3043,4.456,40275,0
2010-02-24,4.4687,4.4687,4.3614,4.3867,74139,0
2010-02-25,4.4117,4.456,4.3614,4.3614,32768,0
2010-02-26,4.4246,4.4687,4.3932,4.4687,18888,0
2010-03-01,4.5002,4.6013,4.4944,4.5572,44343,0
2010-03-02,4.5759,4.6206,4.57,4.6013,21009,0
2010-03-03,4.6013,4.6013,4.456,4.5002,27084,0
2010-03-04,4.4749,4.5135,4.4749,4.4944,15615,0
2010-03-05,4.4435,4.5637,4.4435,4.5064,62373,0
2010-03-08,4.5321,4.671,4.5321,4.6459,62800,0
2010-03-09,4.6589,4.6646,4.5827,4.608,14463,0
2010-03-10,4.5572,4.6013,4.5507,4.5759,38841,0
2010-03-11,4.5637,4.6013,4.5637,4.589,34288,0
2010-03-12,4.6333,4.6333,4.5507,4.6206,54939,0
2010-03-15,4.5827,4.6145,4.5759,4.6145,13665,0
2010-03-16,4.589,4.6333,4.5572,4.6206,43296,0
2010-03-17,4.6206,4.6459,4.5956,4.6459,13665,0
2010-03-18,4.6517,4.671,4.6145,4.671,55699,0
2010-03-19,4.6517,4.766,4.6206,4.766,23326,0
2010-03-22,4.7152,4.7533,4.6206,4.7027,19018,0
2010-03-23,4.7089,4.7533,4.6646,4.7533,28215,0
2010-03-24,4.7849,4.804,4.671,4.7342,49729,0
2010-03-25,4.6966,4.873,4.6269,4.8292,35814,0
2010-03-26,4.8167,4.8863,4.7595,4.8863,36731,0
2010-03-29,4.8863,4.9491,4.8355,4.867,56909,0
2010-03-30,4.8987,4.8987,4.804,4.804,12134,0
2010-03-31,4.7533,4.8798,4.7533,4.8227,19117,0
