Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,46.406,47.643,46.068,47.527,4686567,0
2010-01-05,47.633,47.95,47.137,47.347,3534070,0
2010-01-06,47.109,47.508,46.814,47.219,3367004,0
2010-01-07,46.95,47.585,46.769,47.56,3178044,0
2010-01-08,47.289,48.958,46.881,48.857,4913430,0
2010-01-11,49.391,51.001,49.307,50.824,9548116,0
2010-01-12,49.927,49.992,47.865,48.651,9589062,0
2010-01-13,48.958,49.628,47.382,49.416,7834741,0
2010-01-14,49.763,49.908,48.985,49.465,4916104,0
2010-01-15,49.475,49.672,47.441,47.754,7847487,0
2010-01-19,47.787,48.908,47.595,48.883,4256090,0
2010-01-20,48.28,48.408,47.145,47.568,4487238,0
2010-01-21,47.416,47.875,46.339,47.009,6371993,0
2010-01-22,46.796,46.796,44.823,44.95,7314388,0
2010-01-25,45.55,49.171,44.982,45.516,5083013,0
2010-01-26,45.339,46.059,44.744,45.277,4100753,0
2010-01-27,44.534,45.277,42.915,44.414,7980564,0
2010-01-28,44.355,44.525,42.541,43.328,5256514,0
2010-01-29,43.575,44.364,42.127,42.345,6496628,0
2010-02-01,42.701,43.966,42.591,43.532,4524886,0
2010-02-02,43.914,44.814,43.754,44.466,4337236,0
2010-02-03,44.228,45.077,43.871,43.949,2945583,0
2010-02-04,43.532,43.619,42.117,42.279,5468528,0
2010-02-05,42.183,42.533,40.974,42.235,6807826,0
2010-02-08,42.252,42.89,41.405,41.508,4448509,0
2010-02-09,42.303,43.54,42.16,42.658,6890512,0
2010-02-10,42.764,42.938,41.905,42.431,3721866,0
2010-02-11,42.312,44.515,42.261,44.355,5944858,0
2010-02-12,43.636,45.068,43.328,45.024,6701162,0
2010-02-16,45.575,46.244,45.39,45.593,7461720,0
2010-02-17,48.908,49.212,47.518,47.882,20494298,0
2010-02-18,48.254,48.765,47.856,48.544,7178302,0
2010-02-19,48.416,48.933,47.982,48.561,5027371,0
2010-02-22,48.831,48.958,47.891,48.068,4868699,0
2010-02-23,47.965,48.696,47.009,47.554,5768320,0
2010-02-24,47.729,48.313,47.253,47.625,4695393,0
2010-02-25,46.643,48.424,46.289,48.289,6778927,0
2010-02-26,48.611,48.739,47.679,48.577,4797698,0
2010-03-01,48.705,49.56,48.705,49.416,4163336,0
2010-03-02,49.664,50.009,48.883,49.348,4184756,0
2010-03-03,49.465,50.611,49.449,49.729,4623910,0
2010-03-04,49.831,50.297,49.229,49.594,3980944,0
2010-03-05,50.263,50.739,50.026,50.474,3640107,0
2010-03-08,50.52,50.678,49.831,50.19,2865935,0
2010-03-09,49.818,50.638,49.818,50.255,3975537,0
2010-03-10,50.315,50.315,49.263,49.585,5653806,0
2010-03-11,49.307,49.416,48.077,48.94,8850239,0
2010-03-12,49.432,49.966,49.136,49.712,5484715,0
2010-03-15,49.535,49.68,48.831,49.28,4165141,0
2010-03-16,49.502,50.017,48.958,49.952,4207326,0
2010-03-17,50.035,50.831,49.982,50.52,4561026,0
2010-03-18,50.288,50.789,49.982,50.23,4028213,0
2010-03-19,50.545,50.561,49.712,50.009,6185475,0
2010-03-22,49.449,50.902,49.408,50.883,6140621,0
2010-03-23,51.036,52.63,50.949,52.528,10582681,0
2010-03-24,52.258,52.265,51.127,51.282,7254263,0
2010-03-25,51.764,52.418,50.926,51.036,6431892,0
2010-03-26,51.305,51.882,50.958,51.34,4949149,0
2010-03-29,51.57,52.067,51.484,52.012,3967817,0
2010-03-30,52.186,52.561,51.706,51.806,4638545,0
2010-03-31,51.392,51.833,50.181,50.408,6566871,0
2010-04-01,50.856,51.459,50.101,50.646,5910111,0
2010-04-05,51.189,51.544,50.949,51.409,4145558,0
2010-04-06,51.189,51.588,51.095,51.443,2677691,0
2010-04-07,51.427,51.678,50.814,51.205,4353278,0
2010-04-08,51.053,51.526,50.62,51.392,3201267,0
2010-04-09,51.597,52.29,51.493,52.29,3311227,0
2010-04-12,52.357,52.893,52.204,52.596,4488292,0
2010-04-13,52.331,52.731,51.79,52.171,2808741,0
2010-04-14,52.402,52.587,51.409,52.366,4224826,0
2010-04-15,52.156,53.18,51.932,52.357,3003515,0
2010-04-16,52.147,52.511,50.774,51.296,5127336,0
2010-04-19,50.919,51.714,50.222,51.264,4171515,0
2010-04-20,51.588,52.138,50.892,51.036,3759563,0
2010-04-21,51.189,51.714,50.774,51.288,4156602,0
2010-04-22,50.864,51.79,50.095,51.678,3341558,0
2010-04-23,51.705,52.419,51.433,52.386,4528004,0
2010-04-26,53.069,53.976,52.587,52.739,0,0
2010-04-27,52.375,52.64,50.026,50.288,5817863,0
2010-04-28,50.831,51.095,50.246,50.511,3478202,0
2010-04-29,51.001,51.544,50.653,51.383,3140559,0
2010-04-30,51.74,52.265,50.67,50.713,4700159,0
2010-05-03,51.215,52.222,50.713,51.987,5597655,0
2010-05-04,51.118,51.383,49.059,49.526,7137546,0
2010-05-05,48.571,49.824,47.324,48.756,7923228,0
2010-05-06,48.373,49.289,44.702,47.806,10684248,0
2010-05-07,47.577,48.644,46.316,47.796,9353853,0
2010-05-10,49.831,50.587,48.593,50.384,5567071,0
2010-05-11,49.782,51.215,49.594,50.408,4003000,0
2010-05-12,50.748,51.978,50.73,51.833,4768903,0
2010-05-13,51.749,51.859,50.695,50.766,3891834,0
2010-05-14,50.118,50.434,48.577,49.475,5336061,0
2010-05-17,49.654,49.908,48.127,49.129,4979808,0
2010-05-18,49.57,50.526,48.322,48.457,5229853,0
2010-05-19,50.417,50.457,47.474,49.908,13302107,0
2010-05-20,48.358,49.645,47.77,48.043,9447377,0
2010-05-21,47.067,50.062,46.823,49.791,8262304,0
2010-05-24,49.331,49.908,47.633,47.754,6252144,0
2010-05-25,46.516,47.389,45.1,47.382,10437983,0
2010-05-26,48.068,48.839,47.407,47.595,6162988,0
2010-05-27,48.526,50.434,48.526,50.392,5973733,0
2010-05-28,50.358,50.502,48.349,48.9,6089041,0
2010-06-01,48.508,49.746,47.965,48.432,5825615,0
2010-06-02,49.254,50.949,48.322,50.926,8384250,0
2010-06-03,51.215,51.597,50.198,50.587,6229899,0
2010-06-04,49.484,50.297,47.898,48.222,6114570,0
2010-06-07,48.44,48.449,46.379,46.442,6336286,0
2010-06-08,46.634,47.235,45.737,46.678,7252786,0
2010-06-09,47.272,48.705,46.578,46.857,5680276,0
2010-06-10,48.187,49.171,47.941,49.059,5158584,0
2010-06-11,48.518,49.992,48.28,49.899,4180329,0
2010-06-14,50.401,50.603,48.553,48.865,7203397,0
2010-06-15,49.56,50.449,48.66,50.439,7351254,0
2010-06-16,50.026,50.596,49.695,50.306,3977983,0
2010-06-17,50.722,50.831,49.391,50.376,4769857,0
2010-06-18,50.439,50.739,49.809,50.238,6758509,0
2010-06-21,50.864,52.076,50.739,51.245,6539770,0
2010-06-22,51.189,51.501,49.952,50.101,4663928,0
2010-06-23,50.078,50.739,49.348,50.198,3774907,0
2010-06-24,49.881,50.376,49.221,49.331,4391063,0
2010-06-25,49.791,50.748,49.27,50.646,9949676,0
2010-06-28,50.449,50.449,49.475,49.601,3530593,0
2010-06-29,48.781,48.788,46.54,46.992,6536440,0
2010-06-30,47.581,48.771,47.016,47.206,7809877,0
2010-07-01,47.46,47.625,45.516,46.806,7333758,0
2010-07-02,46.881,47.389,45.711,46.203,4586310,0
2010-07-06,47.226,47.527,45.881,46.316,4466418,0
2010-07-07,46.365,47.982,46.11,47.982,4015117,0
2010-07-08,48.341,48.561,47.595,48.544,3930371,0
2010-07-09,48.492,49.628,48.214,49.179,4349803,0
2010-07-12,48.908,49.154,48.145,48.73,3834043,0
2010-07-13,49.449,50.483,49.247,50.332,4820355,0
2010-07-14,50.001,50.695,49.585,50.628,4275330,0
2010-07-15,50.553,51.987,50.035,51.782,7534799,0
2010-07-16,51.443,51.79,50.457,50.638,5961394,0
2010-07-19,51.053,51.434,50.238,50.958,3544547,0
2010-07-20,50.035,51.678,49.966,51.451,5144878,0
2010-07-21,51.978,53.411,51.882,52.357,6843397,0
2010-07-22,52.977,53.808,52.791,53.25,5310431,0
2010-07-23,53.156,54.961,53.061,54.681,6258876,0
2010-07-26,54.64,55.096,54.171,55.088,5440954,0
2010-07-27,55.121,55.264,54.103,54.495,4734989,0
2010-07-28,54.232,54.791,54.216,54.409,2272174,0
2010-07-29,54.818,55.256,53.657,54.688,4393562,0
2010-07-30,54.257,56.876,54.171,56.53,7566385,0
2010-08-02,57.545,57.596,56.74,56.945,5689067,0
