Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,73.566,74.608,73.566,74.419,2023356,0
2010-01-05,74.489,75.84,74.457,75.049,2404608,0
2010-01-06,75.049,77.419,74.497,77.159,2175160,0
2010-01-07,76.78,77.189,75.817,76.866,1286268,0
2010-01-08,76.638,78.455,76.062,78.218,1590410,0
2010-01-11,78.794,78.794,75.809,76.677,1928449,0
2010-01-12,75.737,76.487,74.884,75.769,2544403,0
2010-01-13,75.61,76.669,74.45,76.424,1806398,0
2010-01-14,76.432,76.914,75.412,76.424,1383767,0
2010-01-15,76.598,76.772,75.036,75.643,2068598,0
2010-01-19,75.01,76.22,75.01,76.148,1528384,0
2010-01-20,75.027,75.027,73.524,74.371,2328801,0
2010-01-21,74.505,74.947,71.897,72.12,2926741,0
2010-01-22,71.851,72.64,69.086,69.417,2622439,0
2010-01-25,69.908,71.455,69.696,70.652,1732401,0
2010-01-26,70.303,72.002,69.45,69.964,2151926,0
2010-01-27,69.837,70.707,68.25,69.955,2216893,0
2010-01-28,70.902,71.393,68.267,68.992,2124954,0
2010-01-29,69.546,70.478,66.907,67.325,2142354,0
2010-02-01,67.641,69.853,67.641,69.798,2050884,0
2010-02-02,69.97,71.345,69.743,70.879,2258984,0
2010-02-03,70.555,71.274,69.893,70.453,2237761,0
2010-02-04,69.332,69.743,65.832,66.047,4396070,0
2010-02-05,65.912,66.362,63.139,65.067,4203033,0
2010-02-08,65.208,66.188,64.111,64.908,3767412,0
2010-02-09,65.493,67.182,65.367,66.204,3073581,0
2010-02-10,65.596,67.238,64.522,64.885,4374659,0
2010-02-11,64.838,65.62,63.448,65.327,2799153,0
2010-02-12,64.555,64.593,63.21,64.071,2586511,0
2010-02-16,65.359,66.108,64.885,65.903,5268809,0
2010-02-17,66.116,66.584,64.774,65.975,2419618,0
2010-02-18,65.565,66.576,65.265,66.182,2330473,0
2010-02-19,66.274,67.381,65.77,66.947,3123699,0
2010-02-22,67.658,67.735,65.746,66.418,2665846,0
2010-02-23,66.038,66.188,64.979,65.313,2320516,0
2010-02-24,64.924,66.528,64.806,65.62,4914179,0
2010-02-25,64.869,65.77,64.159,65.587,2545454,0
2010-02-26,65.343,65.784,64.846,65.596,2940914,0
2010-03-01,66.055,66.576,65.415,65.793,2727143,0
2010-03-02,65.784,66.22,64.639,65.539,3957909,0
2010-03-03,65.88,66.473,65.539,66.038,2220502,0
2010-03-04,66.182,66.283,65.027,65.422,2162698,0
2010-03-05,65.959,66.25,65.279,66.055,1976187,0
2010-03-08,66.298,66.733,65.762,66.487,2172460,0
2010-03-09,66.173,67.081,65.998,66.678,2479212,0
2010-03-10,66.473,67.744,66.25,67.145,2150144,0
2010-03-11,66.875,67.444,66.487,67.294,1338598,0
2010-03-12,67.715,68.013,67.041,67.278,1794456,0
2010-03-15,67.176,67.176,65.152,65.816,1797514,0
2010-03-16,66.116,66.503,65.359,66.347,1666877,0
2010-03-17,65.722,66.551,65.43,65.635,2715025,0
2010-03-18,65.556,65.777,63.416,63.905,2118445,0
2010-03-19,63.921,64.49,62.633,63.416,3202774,0
2010-03-22,62.926,63.811,62.492,63.565,2238563,0
2010-03-23,63.834,64.443,63.267,63.969,1532736,0
2010-03-24,63.376,64.522,63.296,63.494,1457099,0
2010-03-25,64.039,64.417,62.524,62.524,1995430,0
2010-03-26,62.799,64.094,62.508,63.613,2248841,0
2010-03-29,64.317,65.152,64.317,64.474,2151043,0
2010-03-30,64.622,65.138,63.969,64.166,1707260,0
2010-03-31,64.979,66.938,64.76,66.718,3206129,0
2010-04-01,67.641,68.882,67.428,68.369,2950709,0
2010-04-05,69.576,69.576,68.589,69.276,2028984,0
2010-04-06,68.794,69.561,68.47,69.071,2140429,0
2010-04-07,69.094,69.094,67.768,67.948,2229787,0
2010-04-08,67.381,68.091,67.009,67.894,1549130,0
2010-04-09,67.924,68.636,67.46,68.154,1627090,0
2010-04-12,68.061,68.96,68.061,68.615,1598909,0
2010-04-13,68.55,68.78,67.364,68.337,1787997,0
2010-04-14,68.811,70.176,68.369,69.868,1797912,0
2010-04-15,69.868,70.176,68.675,68.771,2215816,0
2010-04-16,67.91,67.91,64.614,65.516,5175795,0
2010-04-19,65.138,66.353,65.06,65.95,2249199,0
2010-04-20,67.089,69.054,66.757,68.509,2343696,0
2010-04-21,68.606,68.882,67.325,67.838,2062576,0
2010-04-22,64.678,65.208,63.629,64.182,5489458,0
2010-04-23,64,64.663,63.565,64.309,3645802,0
2010-04-26,64.49,64.609,63.716,63.995,2286257,0
2010-04-27,63.788,64.555,63.037,63.494,3823592,0
2010-04-28,63.995,64.663,62.865,64.563,3272817,0
2010-04-29,64.797,65.091,62.469,63.17,4742699,0
2010-04-30,62.792,63.369,59.135,60.391,6110190,0
2010-05-03,60.382,60.826,57.564,60.074,6463446,0
2010-05-04,59.458,59.458,58.155,58.97,3670121,0
2010-05-05,58.164,59.918,57.54,59.056,4348390,0
2010-05-06,58.89,59.554,53.061,56.434,4673561,0
2010-05-07,56.306,57.255,54.489,55.651,4617781,0
2010-05-10,57.169,57.965,56.528,57.58,3688407,0
2010-05-11,56.528,58.242,56.528,57.311,2716179,0
2010-05-12,57.864,58.361,56.655,57.594,2053826,0
2010-05-13,57.427,57.634,54.894,55.075,4545503,0
