Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,1.721,1.7623,1.68,1.6882,29443,0
2010-01-05,1.7128,1.7294,1.6552,1.6882,11867,0
2010-01-06,1.6718,1.7789,1.6306,1.647,88005,0
2010-01-07,1.647,1.7375,1.6389,1.721,40663,0
2010-01-08,1.6552,1.787,1.6552,1.721,75790,0
2010-01-11,1.7294,1.754,1.6718,1.7128,21962,0
2010-01-12,1.7457,1.7705,1.6965,1.7046,15889,0
2010-01-13,1.6882,1.7128,1.6389,1.6965,69510,0
2010-01-14,1.6636,1.6882,1.6389,1.6636,40193,0
2010-01-15,1.647,1.6882,1.6389,1.68,8359,0
2010-01-19,1.68,1.7046,1.6306,1.6965,70581,0
2010-01-20,1.7046,1.7457,1.68,1.7457,96538,0
2010-01-21,1.7623,1.7623,1.7128,1.7294,111012,0
2010-01-22,1.7375,1.7375,1.6882,1.7128,17973,0
2010-01-25,1.6965,1.721,1.6965,1.7128,8319,0
2010-01-26,1.7046,1.7046,1.647,1.6636,9474,0
2010-01-27,1.647,1.68,1.647,1.6636,5912,0
2010-01-28,1.68,1.7046,1.6389,1.6389,80163,0
2010-01-29,1.6882,1.6882,1.6059,1.6306,55060,0
2010-02-01,1.6882,1.6882,1.6059,1.6389,52407,0
2010-02-02,1.6306,1.6882,1.5729,1.6389,19247,0
2010-02-03,1.647,1.6718,1.5976,1.6142,17364,0
2010-02-04,1.5729,1.647,1.5318,1.5647,42367,0
2010-02-05,1.5811,1.5811,1.4988,1.54,99782,0
2010-02-08,1.5483,1.721,1.5318,1.5483,42411,0
2010-02-09,1.54,1.6223,1.5233,1.5565,75322,0
2010-02-10,1.5565,1.6142,1.5152,1.6142,22614,0
2010-02-11,1.5895,1.6142,1.5152,1.54,157233,0
2010-02-12,1.5068,1.54,1.4825,1.54,22991,0
2010-02-16,1.5152,1.6142,1.5068,1.54,20250,0
2010-02-17,1.5068,1.6306,1.4825,1.5811,46065,0
2010-02-18,1.5483,1.6223,1.5483,1.5729,40323,0
2010-02-19,1.5483,1.6059,1.5068,1.5565,80138,0
2010-02-22,1.5068,1.7294,1.5068,1.6059,94352,0
2010-02-23,1.6223,1.647,1.5483,1.647,125858,0
2010-02-24,1.6223,1.647,1.5565,1.6059,56107,0
2010-02-25,1.5729,1.6389,1.5647,1.5976,39443,0
2010-02-26,1.6306,1.6306,1.5233,1.5233,47038,0
2010-03-01,1.5565,1.5565,1.4905,1.5233,112340,0
2010-03-02,1.5068,1.6142,1.5068,1.5152,61443,0
2010-03-03,1.5068,1.54,1.4825,1.5068,48329,0
2010-03-04,1.5318,1.68,1.5152,1.6059,294548,0
2010-03-05,1.6059,1.6965,1.5811,1.647,195886,0
2010-03-08,1.6718,1.8119,1.6552,1.7789,150813,0
2010-03-09,1.7623,1.8119,1.7457,1.754,104916,0
2010-03-10,1.7294,1.754,1.6389,1.6718,64588,0
2010-03-11,1.6552,1.721,1.647,1.6718,120125,0
2010-03-12,1.6552,1.721,1.6552,1.6882,38611,0
2010-03-15,1.6882,1.721,1.6552,1.6965,44422,0
2010-03-16,1.721,1.7294,1.6718,1.6882,120604,0
2010-03-17,1.7128,1.7623,1.6882,1.721,63011,0
2010-03-18,1.754,1.754,1.647,1.7128,15909,0
2010-03-19,1.6882,1.721,1.647,1.721,38609,0
2010-03-22,1.7046,1.7457,1.647,1.721,30680,0
2010-03-23,1.6882,1.721,1.6882,1.7128,8248,0
2010-03-24,1.6965,1.7294,1.6882,1.721,34298,0
2010-03-25,1.7046,1.721,1.5811,1.6882,156148,0
2010-03-26,1.68,1.7294,1.647,1.6718,45293,0
2010-03-29,1.721,1.7294,1.6059,1.647,49214,0
2010-03-30,1.647,1.6718,1.6059,1.6718,50154,0
2010-03-31,1.647,1.7294,1.6389,1.6882,79165,0
2010-04-01,1.6718,1.7294,1.6306,1.6718,109629,0
2010-04-05,1.6552,1.6965,1.647,1.6965,175973,0
2010-04-06,1.6882,1.8036,1.6718,1.7705,174227,0
2010-04-07,1.7789,1.8446,1.7046,1.7375,151729,0
2010-04-08,1.7623,1.7953,1.754,1.7705,81007,0
2010-04-09,1.7953,1.8446,1.7789,1.7789,50183,0
2010-04-12,1.7457,1.7953,1.721,1.7705,38453,0
2010-04-13,1.8119,1.8119,1.721,1.754,169275,0
2010-04-14,1.7375,1.7789,1.7294,1.7623,134629,0
2010-04-15,1.7789,1.787,1.6965,1.7457,15422,0
2010-04-16,1.7294,1.7705,1.647,1.7375,22911,0
2010-04-19,1.7294,1.7294,1.68,1.7046,40193,0
2010-04-20,1.6636,1.6882,1.647,1.68,24407,0
2010-04-21,1.7046,1.7375,1.6718,1.68,176862,0
2010-04-22,1.6965,1.7046,1.6389,1.6552,92139,0
2010-04-23,1.6636,1.7457,1.5895,1.6965,248566,0
2010-04-26,2.4376,2.6435,1.9437,1.9682,10203530,0
2010-04-27,2.0588,2.0588,1.7705,1.787,1796475,0
2010-04-28,1.8119,1.8693,1.7294,1.7294,646113,0
2010-04-29,1.787,1.8858,1.6965,1.8362,1019696,0
2010-04-30,1.8036,1.8446,1.7294,1.82,581455,0
2010-05-03,1.8362,1.8529,1.7705,1.8281,364707,0
2010-05-04,1.8119,1.8529,1.7457,1.8036,312101,0
2010-05-05,1.8036,1.9187,1.7046,1.9106,498211,0
2010-05-06,1.9106,1.9267,1.6718,1.7953,243880,0
2010-05-07,1.8529,2.0505,1.6882,2.0505,1057825,0
2010-05-10,2.1,2.1494,1.9601,2.0339,351911,0
2010-05-11,2.0095,2.0588,1.9352,1.993,252770,0
2010-05-12,1.9764,2.0505,1.9267,1.9437,204743,0
2010-05-13,1.9764,1.9846,1.9187,1.9518,89280,0
2010-05-14,1.9267,1.9601,1.8693,1.9023,145358,0
2010-05-17,1.9023,1.9601,1.9023,1.9352,117862,0
2010-05-18,1.9106,1.9352,1.82,1.8858,165425,0
2010-05-19,1.8693,1.8693,1.7294,1.8446,170012,0
2010-05-20,1.7705,1.7953,1.754,1.7705,142927,0
2010-05-21,1.7128,1.8119,1.6882,1.754,117877,0
2010-05-24,1.7375,1.787,1.7294,1.7294,45658,0
2010-05-25,1.6965,1.7705,1.68,1.7294,186071,0
2010-05-26,1.7294,1.787,1.7046,1.7046,89385,0
2010-05-27,1.7457,1.7789,1.6965,1.7294,80147,0
2010-05-28,1.7128,1.7623,1.6882,1.7294,121205,0
2010-06-01,1.721,1.8036,1.721,1.7457,78886,0
2010-06-02,1.7705,1.8119,1.7457,1.754,53626,0
2010-06-03,1.7623,1.82,1.6882,1.7375,162972,0
2010-06-04,1.7294,1.7953,1.68,1.7294,100901,0
2010-06-07,1.721,1.7705,1.68,1.7046,95537,0
2010-06-08,1.7046,1.7294,1.6636,1.6965,102282,0
2010-06-09,1.6965,1.7953,1.6882,1.7457,163297,0
