Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,57.32,58.13,57.32,57.85,442839,0
2010-01-05,57.9,58.33,57.54,58.2,436816,0
2010-01-06,58.2,58.56,58.01,58.42,850533,0
2010-01-07,58.31,58.41,57.14,57.9,463569,0
2010-01-08,57.45,58.62,57.45,58.47,206441,0
2010-01-11,58.79,59,57.22,57.73,331882,0
2010-01-12,57.2,57.21,56.15,56.34,428432,0
2010-01-13,56.32,56.66,54.83,56.56,577481,0
2010-01-14,56.51,57.05,55.37,55.53,368004,0
2010-01-15,56.59,56.59,55.19,55.84,417817,0
2010-01-19,55.77,56.69,55.63,56.63,162191,0
2010-01-20,56,56.22,54.63,55.86,458579,0
2010-01-21,55.98,56.25,54.52,55.19,444573,0
2010-01-22,55.15,55.15,54.12,54.45,703904,0
2010-01-25,54.79,55.85,54.11,54.36,219001,0
2010-01-26,54.07,55.46,53.33,54.04,333007,0
2010-01-27,53.6,54.52,53.21,54.51,286242,0
2010-01-28,54.84,54.88,53.23,54,318148,0
2010-01-29,54.36,54.99,52.01,52.49,258414,0
2010-02-01,52.85,54,52.66,53.51,234698,0
2010-02-02,53.77,54.44,52.99,53.82,182863,0
2010-02-03,53.37,54.56,52.94,53.62,315095,0
2010-02-04,52.82,52.82,51.07,51.13,344312,0
2010-02-05,51.14,51.43,48.71,50.4,533775,0
2010-02-08,50.6,51.36,49.92,50.67,555375,0
2010-02-09,51.22,52.79,51.05,52.62,462365,0
2010-02-10,52.32,52.89,51.38,52.31,254170,0
2010-02-11,52.12,53.49,51.68,53.32,151063,0
2010-02-12,52.63,53.96,52.28,53.96,288206,0
2010-02-16,54.02,54.91,53.91,54.91,271072,0
2010-02-17,55.3,55.52,54.08,54.7,195805,0
2010-02-18,54.78,56.53,54.6,56.39,334801,0
2010-02-19,56.46,57.2,56.15,56.4,277352,0
2010-02-22,56.59,57.33,56.13,57,338075,0
2010-02-23,56.74,57.1,55.18,55.36,413348,0
2010-02-24,55.4,56.49,55.09,56.44,213399,0
2010-02-25,55.5,56.64,54.26,56.51,302022,0
2010-02-26,56.38,56.44,52.7,54.72,976303,0
2010-03-01,54.88,56.34,54.75,56.33,434646,0
2010-03-02,56.3,57.52,56.06,57.44,718176,0
2010-03-03,57.71,59.26,57.5,58.21,545792,0
2010-03-04,58.51,58.78,57.59,58.2,160391,0
2010-03-05,58.72,59.88,58.68,59.79,436710,0
2010-03-08,59.95,61.02,59.75,60.68,443734,0
2010-03-09,60.29,61,60.04,60.6,259492,0
2010-03-10,60.43,61.21,59.93,60.9,298982,0
2010-03-11,60.59,61.64,60.08,61.56,285705,0
2010-03-12,61.98,62.25,61.51,62.14,220952,0
2010-03-15,61.86,62.57,61.15,62.38,255444,0
2010-03-16,62.6,63.33,61.92,63.09,278460,0
2010-03-17,63.43,64.13,63.04,63.2,288925,0
2010-03-18,62.92,63.37,61.45,62,286308,0
2010-03-19,62.12,62.12,59.95,60.28,321816,0
2010-03-22,59.63,61.19,59.23,60.96,200377,0
2010-03-23,61.14,62,60.68,61.28,311372,0
2010-03-24,60.79,62.34,60.72,62.12,307235,0
2010-03-25,62.7,62.7,59.21,59.25,259367,0
2010-03-26,59.28,60.14,58.42,59.13,235533,0
2010-03-29,59.48,61.41,59.27,60.47,224003,0
2010-03-30,60.73,61.22,60.4,60.7,193139,0
2010-03-31,60.66,61.98,60.66,60.84,180542,0
2010-04-01,61.33,63.96,61.33,63.96,336377,0
2010-04-05,64.4,65.29,64.1,64.94,182904,0
2010-04-06,64.85,65.72,64.58,65.43,148083,0
2010-04-07,65.33,65.98,64.4,65.17,169660,0
2010-04-08,65.06,65.06,63.37,64.58,235105,0
2010-04-09,64.88,64.88,63.8,64.83,124508,0
2010-04-12,65.18,65.56,64.49,64.56,266190,0
2010-04-13,64.2,64.37,63.22,64.3,228882,0
2010-04-14,64.78,65.39,63.74,65.37,242560,0
2010-04-15,65.1,65.59,64.84,65.45,181829,0
2010-04-16,65.16,65.65,64.15,64.89,306388,0
2010-04-19,64.4,65.34,64.25,65.24,237863,0
2010-04-20,65.75,66.37,65.64,66.08,435634,0
2010-04-21,66.05,66.42,65.24,66.35,201743,0
2010-04-22,65.38,68.5,65.35,68.13,281469,0
2010-04-23,68.38,69.99,68.23,69.97,319025,0
2010-04-26,70.11,70.78,69.47,69.68,112415,0
2010-04-27,69.15,69.15,64.44,64.5,593784,0
2010-04-28,65.14,65.18,62.97,63.59,537846,0
2010-04-29,63.79,65.98,62.71,65.62,596381,0
2010-04-30,63.76,63.76,57.84,57.93,2216018,0
2010-05-03,58.25,61.21,56.39,60.86,1156731,0
2010-05-04,59.85,60.3,58.3,58.53,619215,0
2010-05-05,57.07,59.05,55.97,57.11,671122,0
2010-05-06,56.57,57.25,50.71,54.91,1035097,0
2010-05-07,55.33,57.99,54.12,55,2159630,0
2010-05-10,57.51,59.89,57,57.93,941888,0
2010-05-11,57.37,58.55,56.98,57.13,866987,0
2010-05-12,57.59,62.19,57.59,61.96,797125,0
2010-05-13,61.88,62.8,60.16,60.6,454007,0
2010-05-14,59.7,60.05,57.18,58.52,473729,0
2010-05-17,58.76,59.28,56.59,57.42,668735,0
2010-05-18,58.15,58.69,55.87,56.16,521619,0
2010-05-19,55.7,56.07,53.58,54.6,871111,0
2010-05-20,53.19,53.19,50.83,51.38,1016189,0
2010-05-21,50.21,54.47,49.93,53.41,745153,0
2010-05-24,53.17,53.54,51.01,51.05,530827,0
2010-05-25,49.07,52.81,48.71,52.61,802966,0
2010-05-26,53.24,55.07,53.24,53.89,624118,0
2010-05-27,55.23,56.28,53.02,53.55,1332397,0
2010-05-28,53.51,53.51,48.68,48.71,1984510,0
2010-06-01,46.97,46.97,40.86,40.95,2950210,0
2010-06-02,41.79,44.02,40.38,43.89,1700248,0
2010-06-03,43.11,44.2,42.67,44,1938986,0
2010-06-04,43.2,45.89,42.75,43.61,1109469,0
2010-06-07,43.96,45.37,43.4,43.6,1342168,0
2010-06-08,43.65,44.49,42.42,43.91,620704,0
2010-06-09,44.16,46.69,43.22,43.64,973415,0
2010-06-10,44.47,46.73,43.98,46.71,638161,0
2010-06-11,45.97,47.3,45.81,47.02,584513,0
2010-06-14,47.61,48.97,47,47.77,963842,0
2010-06-15,48.24,50.15,47.97,49.88,718624,0
2010-06-16,49.21,50.94,48.83,49.68,778813,0
2010-06-17,49.97,49.97,48.8,49.09,641172,0
2010-06-18,49.26,49.47,48.73,48.98,638267,0
2010-06-21,49.88,50.06,48.46,48.95,450521,0
2010-06-22,48.7,49.13,47.02,47.21,766038,0
2010-06-23,46.86,46.9,45.32,46.12,944957,0
2010-06-24,46.12,46.16,44.44,44.79,493991,0
2010-06-25,45.05,46.11,44.9,46.02,1143336,0
2010-06-28,46.5,46.5,45.42,45.55,496824,0
2010-06-29,44.52,45.35,44.14,44.83,835754,0
2010-06-30,44.91,45.46,43.82,44.02,809547,0
2010-07-01,43.92,44.63,42.35,44.03,733303,0
2010-07-02,44.53,44.92,43.51,44.43,425342,0
2010-07-06,45.22,46.28,44.15,44.62,506665,0
2010-07-07,44.95,46.94,44.95,46.91,594766,0
2010-07-08,47.28,48.36,46.92,48.27,728179,0
2010-07-09,48.31,49.33,47.8,49.28,444975,0
2010-07-12,48.98,49.53,47.73,48.57,315094,0
2010-07-13,49.44,49.44,48.15,49.14,733041,0
2010-07-14,48.77,49.55,48.36,48.88,348735,0
2010-07-15,49.5,49.9,48.06,49.22,683545,0
2010-07-16,48.79,49.11,47.38,47.62,440497,0
2010-07-19,47.61,47.96,46.43,47.5,558726,0
2010-07-20,46.55,49.62,46.39,49.47,389750,0
2010-07-21,50.02,50.25,48.23,48.55,402518,0
2010-07-22,49.51,51.81,49.19,51.07,745930,0
2010-07-23,50.81,52.52,50.02,52.42,408039,0
2010-07-26,52.77,52.77,50.63,51.52,404378,0
2010-07-27,51.97,52.76,51.42,51.89,448072,0
2010-07-28,51.59,51.94,50.44,51.83,381610,0
2010-07-29,52.25,53.29,51.49,52.15,354895,0
2010-07-30,51.13,52.52,50.73,52.28,229366,0
2010-08-02,53.43,55,53.29,54.03,434841,0
2010-08-03,53.93,54.69,53.31,53.79,258662,0
2010-08-04,53.98,54.59,53.35,53.91,233581,0
2010-08-05,53.42,53.99,52.37,53.39,448325,0
2010-08-06,52.62,52.9,50.65,52.37,555754,0
2010-08-09,52.5,53.72,52.28,53.59,316290,0
2010-08-10,52.82,54.71,52.17,54.03,670889,0
2010-08-11,52.91,52.94,51.67,51.93,578388,0
2010-08-12,50.97,52.3,50.81,51.51,463104,0
