Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,2.51,2.56,2.44,2.56,133025,0
2010-01-05,2.55,2.55,2.4,2.42,117725,0
2010-01-06,2.41,2.42,2.29,2.36,195527,0
2010-01-07,2.36,2.49,2.35,2.47,126428,0
2010-01-08,2.4,2.47,2.35,2.41,237504,0
2010-01-11,2.43,2.48,2.36,2.44,87715,0
2010-01-12,2.41,2.45,2.31,2.33,105676,0
2010-01-13,2.35,2.46,2.33,2.44,108127,0
2010-01-14,2.43,2.45,2.34,2.35,75072,0
2010-01-15,2.38,2.4,2.3,2.31,217009,0
2010-01-19,2.31,2.49,2.31,2.48,204154,0
2010-01-20,2.44,2.48,2.3,2.35,191597,0
2010-01-21,2.36,2.36,2.2,2.21,255245,0
2010-01-22,2.21,2.29,2.15,2.18,132540,0
2010-01-25,2.22,2.28,2.15,2.21,124488,0
2010-01-26,2.19,2.2,2.09,2.11,355562,0
2010-01-27,2.09,2.25,2.09,2.25,138420,0
2010-01-28,2.26,2.3,2.1,2.13,145642,0
2010-01-29,2.15,2.24,2.15,2.17,199325,0
2010-02-01,2.18,2.25,2.14,2.22,95364,0
2010-02-02,2.22,2.22,2.13,2.2,187059,0
2010-02-03,2.18,2.21,2.12,2.15,144215,0
2010-02-04,2.13,2.15,1.95,1.95,222928,0
2010-02-05,1.95,2.05,1.93,2.01,188050,0
2010-02-08,2.01,2.01,1.92,1.95,95332,0
2010-02-09,2,2.01,1.91,2.01,135259,0
2010-02-10,1.99,2.05,1.95,2.03,151146,0
2010-02-11,2.01,2.17,1.98,2.16,195407,0
2010-02-12,2.12,2.18,2.12,2.16,69401,0
2010-02-16,2.19,2.19,2.09,2.13,81795,0
2010-02-17,2.15,2.19,2.12,2.15,148416,0
2010-02-18,2.15,2.23,2.12,2.22,89286,0
2010-02-19,2.22,2.28,2.14,2.24,168844,0
2010-02-22,2.25,2.27,2.18,2.26,79028,0
2010-02-23,2.25,2.4,2.2,2.4,312944,0
2010-02-24,2.4,2.45,2.27,2.38,226995,0
2010-02-25,2.3,2.36,2.23,2.35,254135,0
2010-02-26,2.3,2.42,2.3,2.39,358202,0
2010-03-01,2.41,2.45,2.37,2.41,370718,0
