Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,6.2507,6.4452,6.2018,6.2667,6406,0
2010-01-05,6.2829,6.4617,6.2829,6.4617,9663,0
2010-01-06,6.4617,6.7621,6.4617,6.7621,13317,0
2010-01-07,6.7376,6.8268,6.2912,6.3965,21416,0
2010-01-08,6.5267,6.5915,6.3157,6.454,2786,0
2010-01-11,6.3479,6.486,6.2667,6.3238,8360,0
2010-01-12,6.4374,6.486,6.3888,6.3888,10473,0
2010-01-13,6.3803,6.3803,6.3318,6.3318,1642,0
2010-01-14,6.0802,6.4699,6.0802,6.3888,9450,0
2010-01-15,6.3238,6.8434,6.3238,6.8434,52353,0
2010-01-19,6.8513,6.8513,6.6971,6.6971,8377,0
2010-01-20,6.7948,6.7948,6.6646,6.6646,781,0
2010-01-21,6.7863,6.7863,6.6161,6.6566,10519,0
2010-01-22,6.6161,6.6161,6.421,6.4943,9115,0
2010-01-25,6.3075,6.3157,5.9747,6.0233,13981,0
2010-01-26,5.9421,6.0072,5.9421,5.9665,5295,0
2010-01-27,5.9421,5.9989,5.8609,5.8935,738,0
2010-01-28,6.2586,6.2586,5.4308,5.6173,4958,0
2010-01-29,5.5201,5.5201,5.5039,5.512,3570,0
2010-02-01,5.4469,5.4551,5.4145,5.4145,6385,0
2010-02-02,5.4715,5.7152,5.4469,5.5201,4215,0
2010-02-03,5.5201,5.8125,5.5201,5.7797,2960,0
2010-02-04,5.4794,5.9909,5.3169,5.9909,6579,0
2010-02-05,5.9258,5.9258,5.9258,5.9258,125,0
2010-02-08,5.7392,5.9909,5.4877,5.8203,4607,0
2010-02-09,5.5605,5.5931,5.5605,5.5931,613,0
2010-02-11,5.4469,5.5282,5.4469,5.5282,613,0
2010-02-12,5.5282,5.5931,5.5282,5.5527,5138,0
2010-02-16,5.4632,5.5039,5.1711,5.4955,15513,0
2010-02-17,5.3983,5.4955,5.1711,5.2763,15386,0
2010-02-18,5.2601,5.2684,4.9841,5.2601,15156,0
2010-02-19,5.2763,5.2763,5.0411,5.2522,4803,0
2010-02-22,5.2846,5.4715,5.2846,5.4715,1195,0
2010-02-23,5.4877,5.577,5.3169,5.5444,4822,0
2010-02-24,5.4065,5.5201,5.3007,5.4308,3450,0
2010-02-25,5.4469,5.4469,5.4388,5.4388,738,0
2010-02-26,5.3659,5.3983,5.3093,5.3983,1600,0
2010-03-01,5.3093,5.4794,5.3093,5.3415,7609,0
2010-03-02,5.3007,5.5201,5.3007,5.5201,9239,0
2010-03-03,5.3007,5.3007,5.3007,5.3007,369,0
2010-03-05,5.5039,5.5039,5.3333,5.3333,244,0
2010-03-08,5.5282,5.8692,5.5039,5.6825,17536,0
2010-03-09,5.577,5.577,5.3577,5.5605,6205,0
2010-03-10,5.3093,5.3169,4.3834,4.6593,240058,0
2010-03-11,4.6593,4.8624,4.6593,4.7407,32475,0
2010-03-12,4.7976,5.0735,4.6839,4.9355,61289,0
2010-03-15,4.9924,5.1385,4.8706,5.0331,28885,0
2010-03-16,5.106,5.374,5.106,5.374,12691,0
2010-03-17,5.3903,5.5605,5.3819,5.512,20591,0
2010-03-18,5.512,5.6336,5.2763,5.4229,77163,0
2010-03-19,5.5201,5.6825,5.4065,5.6825,10603,0
2010-03-22,5.6825,5.7961,5.6825,5.7634,23995,0
2010-03-23,5.8367,5.8367,5.6744,5.7634,18536,0
2010-03-24,5.6253,5.8367,5.6253,5.8367,8864,0
2010-03-25,5.8367,5.8367,5.4877,5.5527,90512,0
2010-03-26,5.5931,5.8367,5.2763,5.4794,155609,0
2010-03-29,5.7472,5.7879,5.4794,5.7066,9133,0
2010-03-30,5.7066,5.8448,5.7066,5.7392,6482,0
2010-03-31,5.4955,5.6659,5.1548,5.512,67453,0
2010-04-01,5.3983,5.3983,4.7815,4.9275,119010,0
2010-04-05,4.9355,5.1142,4.9355,5.0411,18133,0
2010-04-06,5.0816,5.1625,5.0002,5.1385,29370,0
2010-04-07,5.0898,5.2034,5.0411,5.1142,17971,0
2010-04-08,5.1952,5.2522,4.9924,5.0735,15981,0
2010-04-09,4.9275,5.4065,4.846,5.1142,8866,0
2010-04-12,5.0575,5.2763,5.0575,5.2197,12428,0
2010-04-13,5.1625,5.3903,5.1304,5.2522,20487,0
2010-04-14,5.2684,5.4551,5.2684,5.2763,9520,0
2010-04-15,5.2763,5.3577,5.2763,5.2763,8516,0
2010-04-16,5.3577,5.4388,5.3577,5.4308,17157,0
2010-04-19,5.4469,5.4551,5.2763,5.3903,6838,0
2010-04-20,5.3577,5.4551,5.1221,5.4551,27623,0
2010-04-21,5.2115,5.4794,5.2115,5.4632,3971,0
2010-04-22,5.5931,5.6659,5.3169,5.3169,10379,0
2010-04-23,5.2816,5.5597,5.2816,5.519,7825,0
2010-04-26,5.5444,5.6659,5.5201,5.5689,35118,0
2010-04-27,5.6415,5.6415,5.5444,5.5605,8683,0
