Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,2.35,2.37,2.3,2.3,143096,0
2010-01-05,2.3,2.32,2.23,2.31,214987,0
2010-01-06,2.28,2.64,2.2,2.3,792971,0
2010-01-07,2.29,2.31,2.2,2.29,239839,0
2010-01-08,2.39,2.92,2.32,2.8,923025,0
2010-01-11,2.69,3.2,2.69,3.08,366449,0
2010-01-12,3,3.13,2.87,2.87,125740,0
2010-01-13,2.92,3.22,2.92,3.15,296561,0
2010-01-14,3.15,3.19,2.99,3.18,218453,0
2010-01-15,3.14,3.14,3.03,3.13,104327,0
2010-01-19,3.11,3.25,3.06,3.23,142421,0
2010-01-20,3.14,3.26,3.06,3.16,126227,0
2010-01-21,3.2,3.2,3,3.04,55561,0
2010-01-22,3.03,3.18,2.93,2.98,35162,0
2010-01-25,3.03,3.03,2.82,2.88,132310,0
2010-01-26,2.88,2.9,2.79,2.79,123918,0
2010-01-27,2.78,2.88,2.77,2.79,47640,0
2010-01-28,2.78,2.9,2.76,2.79,60834,0
2010-01-29,2.84,2.95,2.76,2.8,91711,0
2010-02-01,2.87,2.95,2.87,2.87,36605,0
2010-02-02,2.89,3.13,2.89,3.11,68506,0
2010-02-03,3.03,3.13,2.94,3.13,109774,0
2010-02-04,3.05,3.05,2.93,2.95,124051,0
2010-02-05,2.93,2.97,2.89,2.97,43757,0
2010-02-08,2.96,3,2.9,2.97,57938,0
2010-02-09,3,3,2.88,3,32605,0
2010-02-10,2.99,3.01,2.92,2.97,57208,0
2010-02-11,2.88,3.14,2.85,3.11,68529,0
2010-02-12,3.05,3.23,3.02,3.23,52268,0
2010-02-16,3.25,3.26,3.12,3.2,45115,0
2010-02-17,3.2,3.21,3.08,3.17,60895,0
2010-02-18,3.14,3.24,3.04,3.23,333330,0
2010-02-19,3.2,3.24,3.14,3.18,22382,0
2010-02-22,3.25,3.3,3.18,3.23,68652,0
2010-02-23,3.22,3.22,3,3.22,138095,0
2010-02-24,3.24,3.25,3.1,3.19,183177,0
2010-02-25,3.13,3.22,3.02,3.19,59060,0
2010-02-26,3.2,3.23,3.08,3.08,112205,0
2010-03-01,3.15,3.48,3.15,3.35,151792,0
2010-03-02,3.42,3.63,3.4,3.57,158962,0
2010-03-03,3.59,3.6,3.44,3.49,84363,0
2010-03-04,3.5,3.5,3.38,3.5,43239,0
2010-03-05,3.52,3.78,3.49,3.67,406890,0
2010-03-08,3.99,4.2,3.39,3.78,486599,0
2010-03-09,3.78,4.06,3.78,4,197525,0
2010-03-10,3.98,4.04,3.8,3.94,153463,0
2010-03-11,3.94,4,3.83,3.96,37691,0
2010-03-12,3.94,3.94,3.61,3.64,154242,0
2010-03-15,3.58,3.7,3.53,3.6,83454,0
2010-03-16,3.6,3.71,3.58,3.68,88315,0
2010-03-17,3.72,3.98,3.69,3.91,187881,0
2010-03-18,3.96,4.19,3.51,3.57,331195,0
2010-03-19,3.58,3.69,3.01,3.2,716942,0
2010-03-22,3.21,3.49,3.16,3.44,496822,0
2010-03-23,3.41,3.8,3.4,3.72,155296,0
2010-03-24,3.58,3.83,3.58,3.8,194290,0
2010-03-25,3.86,3.94,3.55,3.6,267949,0
2010-03-26,3.65,3.73,3.51,3.69,137568,0
