Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,13.26,13.37,13.08,13.28,20650,0
2010-01-05,13.2,13.41,13.2,13.31,30564,0
2010-01-06,13.2,13.36,13.1,13.31,32301,0
2010-01-07,13.16,13.31,12.9,13.17,17379,0
2010-01-08,13.16,13.24,12.88,13.09,17013,0
2010-01-11,13.12,13.14,12.9,13.13,20380,0
2010-01-12,13.05,13.21,12.97,13.1,18338,0
2010-01-13,13.18,13.48,13.01,13.34,28744,0
2010-01-14,13.3,13.51,13.22,13.48,31805,0
2010-01-15,13.53,13.53,13.16,13.43,40308,0
2010-01-19,13.42,13.59,13,13.59,26435,0
2010-01-20,13.44,13.56,13.28,13.32,23580,0
2010-01-21,13.34,13.34,13.03,13.1,25635,0
2010-01-22,13.07,13.26,12.83,12.95,47943,0
2010-01-25,13.05,13.07,12.63,12.89,53057,0
2010-01-26,12.81,13.4,12.6,13,28214,0
2010-01-27,12.91,13.23,12.36,13.19,22826,0
2010-01-28,13.18,13.19,12.95,13.04,46778,0
2010-01-29,13.12,13.27,12.88,13.09,94533,0
2010-02-01,13.07,13.33,12.82,13.24,35712,0
2010-02-02,13.21,13.21,12.64,12.88,45590,0
2010-02-03,12.76,12.76,12.38,12.49,41756,0
2010-02-04,12.43,12.48,11.99,12.07,62228,0
2010-02-05,11.87,11.93,11.3,11.79,29056,0
2010-02-08,11.35,11.93,11.35,11.6,38636,0
2010-02-09,11.77,11.98,11.59,11.66,28602,0
2010-02-10,11.58,11.99,11.45,11.65,102819,0
2010-02-11,11.58,11.77,11.44,11.73,26127,0
2010-02-12,11.63,11.63,11.33,11.42,79845,0
2010-02-16,11.68,11.73,11.47,11.6,22734,0
2010-02-17,11.67,11.83,11.62,11.79,32144,0
2010-02-18,11.74,11.94,11.49,11.94,17150,0
2010-02-19,11.94,11.94,11.41,11.44,43759,0
2010-02-22,11.62,11.75,11.48,11.53,21371,0
2010-02-23,11.59,11.68,10.96,11.03,36002,0
2010-02-24,11.04,11.46,11.04,11.45,27939,0
2010-02-25,11.26,11.37,11.12,11.37,18451,0
2010-02-26,11.34,11.54,10.81,10.83,65619,0
2010-03-01,10.92,11.03,10.75,10.94,106015,0
2010-03-02,10.94,11.05,10.94,11.01,54531,0
2010-03-03,11.08,11.09,10.95,10.98,45393,0
2010-03-04,11,11,10.88,10.99,33646,0
2010-03-05,11,11.08,10.96,11.03,74138,0
2010-03-08,11.1,11.4,11.09,11.34,70664,0
2010-03-09,11.36,11.5,11.28,11.42,96351,0
