Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,12.101,12.429,11.925,12.295,4613069,0
2010-01-05,12.244,12.262,12.002,12.06,2892352,0
2010-01-06,12.37,12.487,12.101,12.329,3737294,0
2010-01-07,12.37,12.503,12.219,12.336,1927459,0
2010-01-08,12.084,12.253,11.949,12.119,2198036,0
2010-01-11,12.136,12.228,11.977,12.136,1968391,0
2010-01-12,12.084,12.286,12.01,12.145,1040159,0
2010-01-13,12.153,12.456,12.145,12.438,1310456,0
2010-01-14,12.487,13.034,12.438,12.973,3532413,0
2010-01-15,12.973,12.973,12.606,12.749,2161032,0
2010-01-19,12.791,12.973,12.688,12.858,4155404,0
2010-01-20,13.933,14.671,13.891,14.495,14857582,0
2010-01-21,14.539,14.789,14.334,14.628,4666001,0
2010-01-22,14.587,14.69,14.191,14.201,3157831,0
2010-01-25,14.353,14.353,13.774,13.9,4987287,0
2010-01-26,13.84,14.237,13.774,14.135,2716289,0
2010-01-27,14.059,14.167,13.798,13.907,2205306,0
2010-01-28,13.916,14.084,13.739,13.9,2096583,0
2010-01-29,13.933,14.201,13.698,13.705,1295546,0
2010-02-01,13.748,14.135,13.705,14.108,1195400,0
2010-02-02,14.135,14.191,13.949,14.135,1845048,0
2010-02-03,14.026,14.201,14.026,14.135,1651907,0
2010-02-04,14.034,14.074,13.589,13.596,2008426,0
2010-02-05,13.606,13.832,13.489,13.689,3182294,0
2010-02-08,13.689,13.941,13.546,13.689,1536393,0
2010-02-09,14.074,14.353,13.923,14.277,2610179,0
2010-02-10,14.277,14.539,14.227,14.404,1830586,0
2010-02-11,14.353,14.739,14.286,14.731,1653109,0
2010-02-12,14.562,15.008,14.428,14.958,1891937,0
2010-02-16,15.175,15.402,15.133,15.184,2138890,0
2010-02-17,15.15,15.344,15.15,15.301,1826693,0
2010-02-18,15.301,15.402,15.184,15.319,1765321,0
2010-02-19,15.266,15.461,15.227,15.328,1063760,0
2010-02-22,15.376,15.402,15.159,15.266,950663,0
2010-02-23,15.211,15.419,15.05,15.075,1873554,0
2010-02-24,15.15,15.319,15.075,15.234,1172556,0
2010-02-25,15.125,15.301,14.949,15.257,1479554,0
2010-02-26,15.22,15.402,15.106,15.211,1490599,0
