Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,9.987,10.093,9.941,10.059,22428245,0
2010-01-05,10.029,10.059,9.891,9.954,26683024,0
2010-01-06,9.945,10.017,9.865,9.891,26334973,0
2010-01-07,9.848,9.886,9.752,9.777,25180351,0
2010-01-08,9.802,9.949,9.722,9.895,30307859,0
2010-01-11,9.92,9.996,9.785,9.87,18330930,0
2010-01-12,9.827,9.865,9.663,9.76,25572163,0
2010-01-13,9.819,9.945,9.726,9.933,24284428,0
2010-01-14,9.87,9.891,9.617,9.63,42056564,0
2010-01-15,9.68,9.705,9.3098,9.4571,64255981,0
2010-01-19,9.3981,9.844,9.3771,9.79,49801257,0
2010-01-20,9.718,9.76,9.335,9.3561,88285897,0
2010-01-21,10.059,10.337,9.954,10.156,155568686,0
2010-01-22,10.093,10.177,9.773,9.924,57421609,0
2010-01-25,9.962,10.055,9.832,9.971,43627390,0
2010-01-26,9.886,10.253,9.878,10.13,54598175,0
2010-01-27,10.072,10.206,9.945,10.088,49439689,0
2010-01-28,10.097,10.135,9.714,9.819,48288470,0
2010-01-29,9.865,10.101,9.625,9.689,53646846,0
2010-02-01,9.701,9.84,9.638,9.752,26195592,0
2010-02-02,9.726,9.819,9.646,9.714,27954764,0
2010-02-03,9.651,9.811,9.63,9.777,34180647,0
2010-02-04,9.718,9.802,9.4276,9.4487,46602384,0
2010-02-05,9.4907,9.592,9.3603,9.558,37069839,0
2010-02-08,9.579,9.659,9.4487,9.4655,18922127,0
2010-02-09,9.583,9.638,9.3603,9.415,28633575,0
2010-02-10,9.3939,9.4234,9.154,9.2424,37092803,0
2010-02-11,9.1793,9.3392,9.0657,9.314,30776195,0
2010-02-12,9.1667,9.2803,9.053,9.1625,42489830,0
2010-02-16,9.2551,9.4823,9.2551,9.4781,33914927,0
2010-02-17,9.503,9.575,9.415,9.545,27507384,0
2010-02-18,9.617,9.634,9.4781,9.613,21329295,0
2010-02-19,9.63,9.886,9.4529,9.857,46963410,0
2010-02-22,9.882,9.891,9.71,9.798,34242335,0
2010-02-23,9.76,9.764,9.55,9.634,24651466,0
2010-02-24,9.718,9.844,9.638,9.79,24076773,0
2010-02-25,9.689,9.693,9.4992,9.68,37832409,0
2010-02-26,9.646,9.701,9.52,9.689,37513032,0
2010-03-01,9.743,10.072,9.663,10.051,44288003,0
2010-03-02,10.046,10.152,10.017,10.097,36108390,0
2010-03-03,9.899,10.076,9.827,9.895,35192782,0
2010-03-04,9.684,10.017,9.663,10.008,28079095,0
2010-03-05,10.021,10.497,10.017,10.366,55289560,0
2010-03-08,10.282,10.497,10.269,10.455,26778069,0
2010-03-09,10.379,10.829,10.375,10.737,51349744,0
2010-03-10,10.715,10.863,10.657,10.758,32503720,0
2010-03-11,10.682,10.93,10.589,10.707,53724988,0
2010-03-12,10.758,10.943,10.732,10.93,36093609,0
2010-03-15,10.939,11.212,10.854,11.061,45462519,0
2010-03-16,11.195,11.305,11.044,11.275,43619461,0
2010-03-17,11.334,11.511,11.263,11.355,36523131,0
2010-03-18,11.456,11.574,11.33,11.557,28594813,0
2010-03-19,11.646,11.692,11.38,11.444,51354498,0
2010-03-22,11.246,11.448,11.204,11.393,32831012,0
2010-03-23,11.418,11.456,11.246,11.385,25999128,0
2010-03-24,11.351,11.444,11.305,11.338,28393908,0
2010-03-25,11.658,11.94,11.591,11.599,76668987,0
2010-03-26,11.671,11.679,11.481,11.553,27315857,0
2010-03-29,11.532,11.582,11.435,11.481,26923373,0
2010-03-30,11.566,11.574,11.338,11.423,26068724,0
2010-03-31,11.38,11.444,11.301,11.351,19099607,0
2010-04-01,11.414,11.486,11.174,11.183,34236573,0
2010-04-05,11.204,11.646,11.153,11.519,30295198,0
2010-04-06,11.469,11.557,11.317,11.477,34791934,0
2010-04-07,11.397,11.435,11.221,11.301,41930066,0
2010-04-08,11.098,11.254,11.01,11.136,47358537,0
2010-04-09,11.145,11.199,11.061,11.174,22604587,0
2010-04-12,11.216,11.275,11.157,11.208,18987467,0
2010-04-13,11.204,11.212,11.048,11.212,27459035,0
2010-04-14,11.292,11.406,11.237,11.38,34965187,0
2010-04-15,11.427,11.452,11.33,11.355,33429669,0
2010-04-16,11.347,11.376,11.035,11.082,48367144,0
2010-04-19,11.031,11.103,10.838,11.077,27327298,0
2010-04-20,11.128,11.187,11.035,11.111,30344754,0
2010-04-21,11.111,11.187,10.901,11.065,62769962,0
2010-04-22,10.278,10.442,10.059,10.429,134275095,0
2010-04-23,10.446,10.446,10.274,10.332,61910888,0
2010-04-26,10.278,10.429,10.181,10.345,0,0
2010-04-27,10.261,10.311,9.958,10.004,62385026,0
2010-04-28,10.038,10.118,9.971,10.097,39431785,0
2010-04-29,10.072,10.231,10.004,10.202,39250886,0
2010-04-30,10.164,10.248,10.004,10.008,36319617,0
2010-05-03,9.954,10.143,9.941,10.063,25973503,0
2010-05-04,9.769,9.794,9.4529,9.714,88725141,0
2010-05-05,9.655,9.785,9.4992,9.537,60497588,0
2010-05-06,9.503,9.743,8.6532,9.3729,71461933,0
2010-05-07,9.3687,9.554,8.9436,9.0404,71568237,0
2010-05-10,9.3098,9.609,9.3098,9.3981,47480364,0
2010-05-11,9.3098,9.596,9.2466,9.4192,30908122,0
2010-05-12,9.4571,9.512,9.3561,9.4739,26508490,0
2010-05-13,9.752,9.811,9.537,9.545,47767387,0
2010-05-14,9.508,9.533,9.2929,9.3645,41775115,0
2010-05-17,9.3392,9.4865,9.2551,9.4739,34882450,0
2010-05-18,9.533,9.583,9.314,9.3308,40311197,0
2010-05-19,9.2593,9.3098,9.0404,9.1077,74321710,0
2010-05-20,8.8847,9.032,8.5859,8.7584,81660231,0
2010-05-21,8.548,9.0404,8.548,9.0152,68853215,0
2010-05-24,8.9478,9.1835,8.8889,8.9899,48636169,0
2010-05-25,8.7247,9.0951,8.6532,9.0867,59012282,0
2010-05-26,9.1751,9.2761,8.9646,8.9983,42175205,0
2010-05-27,9.1667,9.2256,9.0867,9.2214,33196023,0
2010-05-28,9.2382,9.2382,8.8973,9.0109,35248155,0
2010-06-01,8.8847,9.0699,8.8047,8.8215,28134860,0
2010-06-02,8.8426,8.9478,8.7121,8.9436,29438326,0
2010-06-03,9.0236,9.335,8.9268,9.335,56715099,0
2010-06-04,9.2635,9.613,9.2172,9.2551,133819523,0
2010-06-07,9.2719,9.3813,9.0109,9.0699,63706051,0
2010-06-08,9.0699,9.1414,8.8089,9.1288,68568288,0
2010-06-09,9.1835,9.415,9.1414,9.1667,52917386,0
2010-06-10,9.2508,9.4192,9.2382,9.3771,40461871,0
2010-06-11,9.2719,9.55,9.2551,9.533,42901391,0
2010-06-14,9.646,9.646,9.3266,9.3476,31781566,0
2010-06-15,9.3855,9.436,9.2593,9.4234,46390181,0
2010-06-16,9.3476,9.436,9.2635,9.314,40371132,0
2010-06-17,9.3266,9.4066,9.2214,9.3013,23281039,0
2010-06-18,9.3013,9.4234,9.2719,9.3266,32992133,0
2010-06-21,9.3981,9.524,9.133,9.2045,32941833,0
2010-06-22,9.2551,9.3013,9.0614,9.0741,24247128,0
2010-06-23,9.0741,9.154,8.9141,8.9815,27536034,0
2010-06-24,8.9478,8.9941,8.6742,8.7795,38067768,0
2010-06-25,8.8005,8.8847,8.6448,8.8173,39379598,0
2010-06-28,8.7963,8.8258,8.5985,8.7163,42524664,0
2010-06-29,8.5438,8.569,8.2239,8.287,74564877,0
2010-06-30,8.2828,8.4806,8.2323,8.2534,49088333,0
2010-07-01,8.2281,8.3207,8.0219,8.266,61787198,0
