Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,12.393,12.393,12.053,12.14,166953,0
2010-01-05,12.154,12.226,12.073,12.21,51685,0
2010-01-06,12.154,12.179,12.073,12.147,44177,0
2010-01-07,12.323,12.323,12.098,12.172,46957,0
2010-01-08,12.147,12.293,12.147,12.25,57173,0
2010-01-11,12.348,12.393,12.172,12.25,69459,0
2010-01-12,12.25,12.348,12.154,12.302,82481,0
2010-01-13,12.302,12.342,12.226,12.28,72308,0
2010-01-14,12.235,12.302,12.235,12.302,65947,0
2010-01-15,12.287,12.333,12.25,12.273,33065,0
2010-01-19,12.266,12.387,12.266,12.323,58076,0
2010-01-20,12.293,12.315,12.21,12.273,44081,0
2010-01-21,12.323,12.393,12.287,12.393,34373,0
2010-01-22,12.387,12.409,12.28,12.333,41990,0
2010-01-25,12.287,12.357,12.287,12.287,52526,0
2010-01-26,12.329,12.393,12.266,12.333,88546,0
2010-01-27,12.365,12.387,12.287,12.302,47510,0
2010-01-28,12.357,12.357,12.242,12.242,46665,0
2010-01-29,12.25,12.293,12.218,12.226,52821,0
2010-02-01,12.28,12.323,12.21,12.226,32846,0
2010-02-02,12.293,12.333,12.218,12.315,38609,0
2010-02-03,12.329,12.357,12.242,12.333,44383,0
2010-02-04,12.266,12.302,12.179,12.179,61216,0
2010-02-05,12.179,12.28,12.147,12.235,89390,0
2010-02-08,12.266,12.266,12.14,12.14,50152,0
2010-02-09,12.21,12.315,12.203,12.315,42349,0
2010-02-10,12.273,12.415,12.266,12.38,57101,0
2010-02-11,12.372,12.38,12.258,12.273,50254,0
2010-02-12,12.307,12.357,12.235,12.348,33958,0
2010-02-16,12.429,12.429,12.258,12.28,69978,0
2010-02-17,12.333,12.333,12.266,12.293,60353,0
2010-02-18,12.323,12.387,12.293,12.342,52617,0
2010-02-19,12.365,12.393,12.315,12.393,47931,0
2010-02-22,12.576,12.576,12.293,12.302,67397,0
2010-02-23,12.342,12.422,12.287,12.393,77145,0
