Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,28.888,28.939,28.581,28.643,2344757,0
2010-01-05,28.564,28.774,28.302,28.386,3016855,0
2010-01-06,28.408,28.816,28.32,28.74,3244972,0
2010-01-07,28.667,28.696,28.452,28.564,2500579,0
2010-01-08,28.495,28.591,28.237,28.416,1893885,0
2010-01-11,28.511,29.046,28.511,28.969,3567955,0
2010-01-12,28.861,29.063,28.783,28.939,2715875,0
2010-01-13,28.962,29.257,28.871,29.203,1864304,0
2010-01-14,29.116,29.227,28.962,29.186,1752608,0
2010-01-15,29.439,29.499,28.758,29.028,2988377,0
2010-01-19,29.001,29.507,28.976,29.473,1994430,0
2010-01-20,29.116,29.291,28.705,29.11,2459621,0
2010-01-21,29.219,29.382,28.525,28.74,2726993,0
2010-01-22,28.6,28.667,27.892,27.901,3118543,0
2010-01-25,28.18,28.302,27.825,28.089,1859329,0
2010-01-26,28.049,28.268,27.809,28.171,3267807,0
2010-01-27,28.073,28.129,27.645,28.049,2399951,0
2010-01-28,28.089,28.163,27.545,27.568,2723524,0
2010-01-29,27.654,27.901,27.413,27.447,2550993,0
2010-02-01,27.568,27.769,27.266,27.725,2237981,0
2010-02-02,27.785,28.006,27.479,28.006,2073022,0
2010-02-03,27.832,27.956,27.611,27.678,2076128,0
2010-02-04,27.513,27.545,26.755,26.771,3387874,0
2010-02-05,26.73,26.878,26.259,26.737,2444601,0
2010-02-08,26.679,26.86,26.434,26.467,1532354,0
2010-02-09,26.663,27.14,26.607,26.812,1750439,0
2010-02-10,26.779,26.83,26.426,26.663,1406492,0
2010-02-11,26.589,26.903,26.368,26.837,2304208,0
2010-02-12,26.796,26.86,26.522,26.845,2298635,0
2010-02-16,26.985,27.479,26.945,27.471,1835259,0
2010-02-17,27.545,27.865,27.33,27.439,1961379,0
2010-02-18,27.363,27.925,27.363,27.685,1872695,0
2010-02-19,27.554,28.337,27.504,28.207,2559234,0
2010-02-22,28.245,28.416,27.832,27.848,2144134,0
2010-02-23,27.743,27.883,27.39,27.429,2261399,0
2010-02-24,27.454,27.585,27.1,27.33,2915657,0
2010-02-25,26.936,27.035,26.647,26.969,3529654,0
2010-02-26,27.009,27.183,26.805,26.878,2844101,0
2010-03-01,27.084,27.504,27.084,27.447,2958403,0
2010-03-02,27.568,27.76,27.249,27.373,3347263,0
2010-03-03,27.471,27.785,27.33,27.429,2828474,0
2010-03-04,27.429,27.488,27.224,27.289,2908472,0
2010-03-05,27.413,27.848,27.355,27.825,2647317,0
2010-03-08,27.717,27.932,27.62,27.645,2120698,0
2010-03-09,27.611,27.734,27.529,27.645,2495550,0
2010-03-10,28.032,28.214,27.84,28.089,3492965,0
2010-03-11,28.229,28.302,27.956,28.22,2583233,0
2010-03-12,28.355,28.355,27.832,27.832,2046570,0
2010-03-15,27.785,28.073,27.717,28.073,2534609,0
2010-03-16,28.014,28.329,27.825,28.311,1919744,0
2010-03-17,28.302,28.658,28.237,28.591,2405759,0
2010-03-18,28.564,28.765,28.268,28.425,2725094,0
2010-03-19,28.486,28.564,28.097,28.346,3739606,0
2010-03-22,28.237,28.37,28.114,28.198,2739635,0
2010-03-23,28.188,28.468,28.129,28.402,2703007,0
2010-03-24,28.285,28.386,28.073,28.081,2605350,0
2010-03-25,28.198,28.32,27.848,27.865,2259602,0
2010-03-26,27.981,28.056,27.717,28.023,2284323,0
2010-03-29,27.84,28.207,27.743,28.171,2166398,0
2010-03-30,28.137,28.468,28.137,28.425,2196020,0
2010-03-31,28.37,28.395,28.066,28.146,2341191,0
2010-04-01,28.294,28.495,28.163,28.253,1698097,0
2010-04-05,28.311,28.386,28.163,28.329,1449097,0
2010-04-06,28.18,28.557,28.089,28.557,1601061,0
2010-04-07,28.468,28.542,28.207,28.32,2063671,0
2010-04-08,28.229,28.311,28.066,28.277,1399287,0
2010-04-09,28.245,28.245,27.981,28.188,1375815,0
2010-04-12,28.237,28.495,28.229,28.386,1667882,0
2010-04-13,28.311,28.386,28.006,28.302,1483450,0
2010-04-14,28.22,28.377,28.049,28.362,2027762,0
2010-04-15,28.268,28.564,28.114,28.442,2469210,0
2010-04-16,28.402,28.425,27.901,27.95,2764642,0
2010-04-19,27.857,28.014,27.734,27.883,2369106,0
2010-04-20,27.981,28.18,27.941,28.097,2579096,0
2010-04-21,28.104,28.32,28.056,28.245,2735791,0
2010-04-22,28.129,28.129,27.832,28.081,2755134,0
2010-04-23,28.007,28.332,27.883,28.314,2180803,0
2010-04-26,28.337,28.346,28.081,28.081,0,0
2010-04-27,28.006,28.073,27.413,27.413,2560236,0
2010-04-28,27.413,27.825,27.363,27.504,3140993,0
2010-04-29,27.637,27.941,27.62,27.778,2555810,0
2010-04-30,27.832,28.518,27.769,28.311,3457474,0
2010-05-03,28.402,28.617,28.198,28.573,3163961,0
2010-05-04,28.268,28.395,27.654,27.725,2979658,0
2010-05-05,27.637,27.901,27.513,27.734,2708203,0
2010-05-06,27.585,27.802,25.849,26.878,5791001,0
2010-05-07,26.763,27.693,26.345,27.209,4923546,0
2010-05-10,27.989,28.37,27.693,27.925,3357059,0
2010-05-11,27.693,28.337,27.693,27.997,2814099,0
2010-05-12,28.006,28.395,27.909,28.214,2076401,0
2010-05-13,28.104,28.402,27.932,27.997,1861929,0
2010-05-14,27.865,27.964,27.545,27.725,2447259,0
2010-05-17,27.76,27.874,27.307,27.654,2545595,0
2010-05-18,27.708,27.981,27.355,27.397,2825787,0
2010-05-19,27.249,27.373,26.895,27.109,2523574,0
2010-05-20,26.663,26.763,26.086,26.154,3375078,0
2010-05-21,25.806,26.129,25.641,26.12,3839827,0
2010-05-24,26.022,26.548,25.701,26.078,4089855,0
2010-05-25,25.602,25.741,25.017,25.726,3605917,0
2010-05-26,25.806,26.45,25.709,26.047,4667386,0
2010-05-27,26.418,26.598,26.204,26.598,2079592,0
2010-05-28,26.566,26.912,26.516,26.656,2666528,0
2010-06-01,26.381,26.548,25.954,25.954,2918258,0
2010-06-02,26.17,26.721,26.047,26.721,3362957,0
2010-06-03,26.679,27.067,26.679,27.009,2190854,0
2010-06-04,26.714,26.83,26.196,26.259,3985398,0
2010-06-07,26.352,26.92,26.319,26.507,4488600,0
2010-06-08,26.485,26.638,26.196,26.598,3642801,0
2010-06-09,26.746,26.763,26.294,26.399,3061502,0
2010-06-10,26.705,27.052,26.705,27.035,2676629,0
2010-06-11,26.837,27.061,26.689,26.992,1954065,0
2010-06-14,27.209,27.513,27.148,27.266,2189035,0
2010-06-15,27.439,27.76,27.397,27.734,2476606,0
2010-06-16,27.429,28.137,27.429,28.114,3331308,0
2010-06-17,28.081,28.377,27.848,28.377,2202785,0
2010-06-18,28.355,28.534,28.163,28.294,2299241,0
2010-06-21,28.534,28.557,27.997,28.097,1538608,0
2010-06-22,28.18,28.188,27.421,27.513,1850419,0
2010-06-23,27.454,27.497,26.977,27.061,1983044,0
2010-06-24,26.895,27.413,26.895,26.992,1917181,0
2010-06-25,27.017,27.175,26.705,26.92,3172215,0
2010-06-28,26.598,27.1,26.581,26.927,2234879,0
2010-06-29,26.721,26.746,26.301,26.36,2790929,0
2010-06-30,26.271,26.63,26.054,26.129,2298451,0
2010-07-01,26.078,26.12,25.585,25.789,3958300,0
2010-07-02,25.799,25.972,25.618,25.641,2837568,0
2010-07-06,26.006,26.242,25.75,25.954,2952323,0
2010-07-07,26.094,26.895,25.98,26.86,2766815,0
2010-07-08,26.969,27.209,26.936,27.157,2795767,0
2010-07-09,27.084,27.289,26.927,27.232,2107602,0
2010-07-12,27.109,2.7272,27.009,27.14,1703810,0
2010-07-13,27.339,27.513,27.1,27.289,2017774,0
2010-07-14,27.201,27.429,27.052,27.348,2604790,0
2010-07-15,27.39,27.504,27.061,27.447,2377214,0
2010-07-16,27.315,27.421,26.779,26.812,2141652,0
2010-07-19,26.912,27.439,26.912,27.241,2581550,0
2010-07-20,26.912,27.281,26.812,27.183,2942621,0
2010-07-21,27.324,27.324,26.507,26.663,3541536,0
2010-07-22,26.92,27.232,26.812,27.109,3371463,0
2010-07-23,27.093,27.214,26.852,27.109,2721392,0
2010-07-26,27.109,27.281,27.009,27.183,4249141,0
2010-07-27,27.209,27.778,27.14,27.778,4239402,0
2010-07-28,27.602,27.956,27.585,27.654,4398211,0
2010-07-29,27.802,27.981,27.355,27.454,3978336,0
2010-07-30,27.167,27.454,27.126,27.307,2747200,0
2010-08-02,27.769,28.171,27.701,28.041,3721121,0
2010-08-03,28.023,28.081,27.76,27.809,2086966,0
2010-08-04,27.802,27.932,27.578,27.848,1995077,0
2010-08-05,27.62,27.964,27.447,27.769,2713635,0
2010-08-06,27.62,28.049,27.562,28.006,2475686,0
2010-08-09,28.014,28.18,27.817,27.973,1949812,0
2010-08-10,27.717,28.253,27.594,28.089,3669261,0
2010-08-11,27.743,27.809,27.39,27.429,3573295,0
2010-08-12,26.985,27.545,26.927,27.454,3319288,0
2010-08-13,27.488,28.097,27.406,27.956,4911020,0
2010-08-16,27.832,27.989,27.479,27.892,3520135,0
2010-08-17,28.081,28.207,27.909,27.964,3094136,0
2010-08-18,28.006,28.122,27.661,27.874,2868506,0
2010-08-19,27.751,27.883,27.413,27.628,2502433,0
2010-08-20,27.585,27.964,27.479,27.892,3115635,0
2010-08-23,28.081,28.294,27.909,27.909,1794008,0
2010-08-24,27.701,28.163,27.654,27.964,3793389,0
2010-08-25,27.817,27.909,27.545,27.825,5727862,0
2010-08-26,27.857,27.932,27.315,27.39,3443448,0
2010-08-27,27.504,28.023,27.307,27.989,2613484,0
2010-08-30,27.848,27.964,27.522,27.545,1776895,0
2010-08-31,27.543,27.957,27.268,27.801,3691100,0
2010-09-01,28.268,28.626,28.073,28.609,3303370,0
2010-09-02,28.573,28.635,28.253,28.511,2486427,0
2010-09-03,28.65,28.73,28.433,28.73,1616038,0
2010-09-07,28.581,28.844,28.525,28.573,1245240,0
2010-09-08,28.643,28.682,28.355,28.402,1460218,0
2010-09-09,28.688,28.758,28.534,28.573,1330175,0
2010-09-10,28.518,28.658,28.089,28.329,2857965,0
2010-09-13,28.46,28.518,28.006,28.097,4658991,0
2010-09-14,27.997,28.355,27.809,28.285,2913881,0
2010-09-15,28.263,28.277,27.901,27.909,2871915,0
2010-09-16,27.874,28.006,27.785,27.84,1895030,0
2010-09-17,28.014,28.014,27.693,27.883,2595787,0
2010-09-20,27.932,28.46,27.857,28.416,3369036,0
2010-09-21,28.386,28.749,28.198,28.581,8967274,0
2010-09-22,28.617,28.955,28.477,28.674,5591469,0
2010-09-23,28.548,28.721,28.37,28.468,3203241,0
2010-09-24,28.758,28.861,28.495,28.573,3688258,0
2010-09-27,28.635,28.667,28.277,28.495,3534593,0
2010-09-28,28.395,28.73,28.171,28.643,4080948,0
2010-09-29,28.591,28.696,28.32,28.425,2835669,0
2010-09-30,28.615,28.657,28.257,28.332,3028560,0
2010-10-01,28.329,28.635,28.32,28.525,1993783,0
2010-10-04,28.525,29.177,28.477,28.573,4155130,0
2010-10-05,28.828,28.985,28.758,28.844,1899081,0
2010-10-06,28.836,28.897,28.442,28.626,2149364,0
2010-10-07,28.721,28.816,28.635,28.774,2392846,0
2010-10-08,28.844,29.071,28.65,28.993,2194167,0
2010-10-11,29.071,29.234,28.914,29.116,1895631,0
2010-10-12,28.947,29.234,28.923,29.186,3701668,0
2010-10-13,29.227,29.265,29.159,29.257,3028834,0
2010-10-14,29.257,29.374,29.116,29.249,2399331,0
2010-10-15,29.473,29.473,29.21,29.341,5683961,0
2010-10-18,29.39,29.655,29.234,29.63,1827214,0
2010-10-19,29.365,29.647,29.291,29.382,2427533,0
2010-10-20,29.48,29.778,29.457,29.638,1758811,0
2010-10-21,29.696,29.81,29.365,29.546,2129533,0
2010-10-22,29.537,29.663,29.341,29.647,2760351,0
2010-10-25,29.834,29.958,29.638,29.705,2514638,0
2010-10-26,29.63,29.735,29.522,29.621,3493219,0
2010-10-27,29.424,29.603,29.21,29.582,3303175,0
2010-10-28,29.719,29.944,29.507,29.63,2785460,0
2010-10-29,29.748,30.518,29.748,30.399,4950726,0
2010-11-01,30.652,31.08,30.395,30.511,4623532,0
2010-11-02,30.791,30.89,30.585,30.626,2588875,0
2010-11-03,30.618,30.757,30.387,30.602,2504574,0
2010-11-04,30.839,31.196,30.791,31.16,3367276,0
2010-11-05,31.219,31.484,31.219,31.484,2821690,0
2010-11-08,31.416,31.441,30.823,30.94,3033729,0
2010-11-09,31.029,31.143,30.757,30.94,2949641,0
2010-11-10,30.881,30.962,30.559,30.898,2306281,0
2010-11-11,30.751,31.36,30.751,31.336,3377006,0
2010-11-12,31.16,31.178,30.774,30.948,2118721,0
2010-11-15,31.136,31.376,31.064,31.113,1601690,0
2010-11-16,30.948,31.047,30.503,30.757,3027635,0
2010-11-17,30.881,30.94,30.618,30.857,2373744,0
2010-11-18,31.143,31.292,30.971,31.267,2980555,0
2010-11-19,31.275,31.292,30.849,31.178,2540403,0
2010-11-22,31.113,31.143,30.644,31.088,2072210,0
2010-11-23,30.8,30.831,30.364,30.602,2206169,0
2010-11-24,30.757,30.98,30.757,30.931,2307701,0
2010-11-26,30.742,30.931,30.528,30.528,1325860,0
2010-11-29,30.337,30.543,30.166,30.437,2294332,0
2010-11-30,30.169,30.533,30.169,30.426,2598191,0
2010-12-01,30.742,31.12,30.528,30.948,2851409,0
2010-12-02,30.857,31.129,30.857,31.129,1963679,0
2010-12-03,31.228,31.36,31.038,31.36,2092648,0
2010-12-06,31.267,31.616,31.236,31.492,5871781,0
2010-12-07,31.721,32.115,31.572,31.712,4846392,0
2010-12-08,31.712,31.843,31.416,31.564,2336702,0
2010-12-09,31.458,31.555,30.766,31.16,5229258,0
2010-12-10,31.275,31.564,31.236,31.45,3672166,0
2010-12-13,31.607,31.688,31.383,31.598,2028646,0
2010-12-14,31.704,31.878,31.598,31.695,2606797,0
2010-12-15,31.672,31.78,31.088,31.096,3335942,0
2010-12-16,31.188,31.721,31.047,31.672,3350471,0
2010-12-17,31.616,31.911,31.508,31.861,2984835,0
2010-12-20,32.051,32.168,31.688,32.01,1975471,0
2010-12-21,32.2,32.281,31.967,31.991,2194899,0
2010-12-22,31.991,32.099,31.828,31.852,2038289,0
2010-12-23,31.852,31.991,31.755,31.878,1457173,0
2010-12-27,31.828,32.429,31.828,32.078,1789314,0
2010-12-28,32.168,32.348,32.086,32.281,1689993,0
2010-12-29,32.093,32.1,31.769,31.911,1519416,0
2010-12-30,31.885,32.011,31.751,31.841,1167447,0
2010-12-31,31.839,31.983,31.748,31.8,782201,0
2011-01-03,32.06,32.06,31.796,31.861,1797967,0
2011-01-04,31.96,32.29,31.835,32.051,2824836,0
2011-01-05,31.953,32.078,31.624,31.648,3383243,0
2011-01-06,31.648,31.738,31.416,31.712,2175883,0
