Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,26.526,26.86,26.396,26.783,1667416,0
2010-01-05,26.831,26.935,26.182,26.44,2616684,0
2010-01-06,26.416,26.88,26.009,26.262,3572573,0
2010-01-07,26.161,26.542,26.08,26.327,1240672,0
2010-01-08,26.218,26.435,26.098,26.396,983613,0
2010-01-11,26.538,26.666,26.266,26.407,986291,0
2010-01-12,26.044,26.187,25.776,26.133,2390498,0
2010-01-13,26.165,26.838,26.018,26.706,1713006,0
2010-01-14,26.612,26.822,26.24,26.327,1426094,0
2010-01-15,26.297,26.412,25.957,26.204,1498714,0
2010-01-19,26.218,26.814,26.062,26.81,1093705,0
2010-01-20,26.465,26.465,25.962,26.426,1305529,0
2010-01-21,26.514,26.626,25.476,25.481,1867130,0
2010-01-22,25.406,25.66,24.873,24.899,1733764,0
2010-01-25,25.306,25.463,25.183,25.204,964951,0
2010-01-26,25.072,25.504,24.938,25.026,1251633,0
2010-01-27,25.019,25.245,24.582,25.183,1523324,0
2010-01-28,25.157,25.316,24.423,24.714,1952752,0
2010-01-29,25.602,25.98,24.476,24.517,4594302,0
2010-02-01,25.201,26.022,25.201,26.009,2845106,0
2010-02-02,25.966,26.173,25.581,25.853,3885380,0
2010-02-03,25.646,25.995,25.43,25.715,1842629,0
2010-02-04,25.398,25.398,24.723,24.929,2314071,0
2010-02-05,24.996,25.191,24.23,25.001,3598713,0
2010-02-08,24.96,25.187,24.483,24.544,2223930,0
2010-02-09,24.903,25.273,24.582,25.093,1930948,0
2010-02-10,25.102,25.224,24.541,24.873,1822913,0
2010-02-11,24.866,25.209,24.621,25.085,1984414,0
2010-02-12,24.656,25.241,24.413,25.153,1761028,0
2010-02-16,25.435,25.764,25.306,25.731,1839998,0
2010-02-17,25.934,26.009,25.525,25.719,1420765,0
2010-02-18,25.554,26.004,25.554,25.962,1125085,0
2010-02-19,25.893,26.177,25.779,26.03,1433241,0
2010-02-22,26.182,26.31,25.911,26.141,1953305,0
2010-02-23,26.044,26.111,25.393,25.593,1662506,0
