Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,42.913,43.646,42.913,43.201,802597,0
2010-01-05,43.278,43.52,43.039,43.501,790234,0
2010-01-06,43.404,43.888,43.326,43.675,523597,0
2010-01-07,43.52,43.53,42.903,43.087,732428,0
2010-01-08,42.903,43.087,42.508,42.72,741607,0
2010-01-11,42.952,43.53,42.528,42.682,826401,0
2010-01-12,42.479,42.479,41.88,42.122,544649,0
2010-01-13,42.315,42.46,41.697,42.43,498894,0
2010-01-14,42.353,42.893,42.112,42.827,584141,0
2010-01-15,42.653,42.758,41.668,42.112,836435,0
2010-01-19,42.026,42.739,42.016,42.729,750681,0
2010-01-20,42.305,42.372,41.88,42.151,935807,0
2010-01-21,42.093,42.662,41.534,41.736,988698,0
2010-01-22,41.417,41.553,40.628,40.666,775911,0
2010-01-25,41.031,41.649,40.8,41.37,1134210,0
2010-01-26,41.128,41.862,40.887,41.185,849669,0
2010-01-27,41.195,41.427,40.511,41.35,1444763,0
2010-01-28,44.158,44.158,41.919,42.807,3588423,0
2010-01-29,43.191,43.191,41.968,42.46,2254004,0
2010-02-01,42.903,43.53,42.874,43.221,1302804,0
2010-02-02,44.005,44.659,43.115,44.563,1640627,0
2010-02-03,44.398,44.668,44.168,44.282,957287,0
2010-02-04,43.801,43.801,41.668,41.706,2448075,0
2010-02-05,41.63,41.794,40.434,41.37,1559553,0
2010-02-08,41.437,41.64,40.849,40.868,885903,0
2010-02-09,41.505,41.909,41.021,41.495,794988,0
2010-02-10,41.408,41.408,40.309,40.907,819485,0
2010-02-11,40.763,41.302,40.329,41.292,945561,0
2010-02-12,40.81,41.524,40.569,41.476,907278,0
2010-02-16,42.045,42.903,41.862,42.672,1408819,0
2010-02-17,42.739,42.981,42.605,42.662,2226726,0
2010-02-18,42.537,42.971,42.382,42.874,716615,0
2010-02-19,42.653,43.617,42.596,43.52,1010091,0
2010-02-22,43.81,43.927,42.653,42.893,1095142,0
2010-02-23,42.827,43.02,42.084,42.122,963599,0
2010-02-24,42.315,42.7,42.065,42.489,946755,0
2010-02-25,41.987,42.537,41.514,42.43,965863,0
2010-02-26,42.528,42.672,42.122,42.209,792657,0
2010-03-01,42.44,43.355,42.44,43.326,882249,0
2010-03-02,43.714,44.34,43.646,44.129,1539700,0
2010-03-03,44.233,44.639,44.233,44.563,1076840,0
2010-03-04,44.505,44.83,44.158,44.379,1103937,0
2010-03-05,44.716,45.749,44.649,45.652,1292279,0
2010-03-08,45.516,45.691,45.284,45.429,1178717,0
2010-03-09,45.265,45.73,45.12,45.691,1205545,0
2010-03-10,42.864,44.205,42.729,43.096,4159770,0
2010-03-11,42.44,42.69,42.093,42.266,10574105,0
2010-03-12,42.508,42.662,42.102,42.343,3573306,0
2010-03-15,42.334,42.392,41.109,41.958,2562450,0
