Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,15.604,15.916,15.604,15.819,1242789,0
2010-01-05,15.865,15.916,15.791,15.859,729127,0
2010-01-06,15.904,16.114,15.865,16.109,940969,0
2010-01-07,16.102,16.102,15.928,15.978,783358,0
2010-01-08,15.91,16.162,15.898,16.109,832029,0
2010-01-11,16.263,16.271,15.985,16.102,802326,0
2010-01-12,15.993,15.993,15.672,15.728,1123017,0
2010-01-13,15.733,15.859,15.604,15.824,570061,0
2010-01-14,15.812,15.985,15.77,15.859,648064,0
2010-01-15,15.877,15.928,15.631,15.89,747820,0
2010-01-19,15.883,15.941,15.819,15.928,1038061,0
2010-01-20,15.728,15.728,15.501,15.684,929478,0
2010-01-21,15.631,15.697,15.182,15.228,1654938,0
2010-01-22,15.215,15.22,14.832,14.867,1520973,0
2010-01-25,14.966,15.234,14.893,15.136,1075877,0
2010-01-26,15.079,15.114,14.893,14.994,945624,0
2010-01-27,14.926,15.017,14.374,14.564,1519033,0
2010-01-28,14.692,14.76,14.128,14.187,1352708,0
2010-01-29,14.268,14.642,14.25,14.281,1157299,0
2010-02-01,14.43,14.642,14.416,14.642,957219,0
2010-02-02,14.739,15.149,14.701,15.093,1139250,0
2010-02-03,15.098,15.098,14.873,14.985,816368,0
2010-02-04,14.824,14.824,14.424,14.51,1207793,0
2010-02-05,14.438,14.538,13.984,14.365,2427463,0
2010-02-08,14.416,14.443,14.087,14.087,748029,0
2010-02-09,14.187,14.381,14.087,14.187,787980,0
2010-02-10,14.181,14.411,14.122,14.324,701962,0
2010-02-11,14.449,14.538,14.274,14.538,715403,0
2010-02-12,14.404,14.581,14.347,14.545,643249,0
2010-02-16,14.804,14.92,14.713,14.893,820446,0
2010-02-17,14.867,15.079,14.867,14.941,551967,0
2010-02-18,15.005,15.098,14.933,15.045,872189,0
2010-02-19,15.038,15.084,14.933,14.96,853608,0
2010-02-22,15.025,15.121,14.811,14.885,853761,0
2010-02-23,14.824,14.905,14.568,14.568,802871,0
2010-02-24,14.564,14.755,14.489,14.747,663301,0
2010-02-25,14.594,14.781,14.365,14.781,1149458,0
2010-02-26,14.773,15.017,14.581,14.973,948941,0
2010-03-01,15.22,15.329,15.164,15.29,1508949,0
