Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,21.119,21.602,21.1,21.548,864032,0
2010-01-05,21.343,21.602,20.871,21.091,1065729,0
2010-01-06,20.545,21,20.545,20.816,1067544,0
2010-01-07,20.686,20.787,20.434,20.611,682165,0
2010-01-08,20.377,20.686,20.377,20.638,644640,0
2010-01-11,20.638,20.816,20.434,20.779,519326,0
2010-01-12,20.861,21.39,20.732,21.314,1410178,0
2010-01-13,21.119,21.119,20.686,21.017,1458595,0
2010-01-14,20.563,20.88,20.518,20.705,1434765,0
2010-01-15,20.563,20.871,20.563,20.648,1276389,0
2010-01-19,20.314,21.409,20.314,21.24,947000,0
2010-01-20,21.288,21.297,20.611,21.109,806071,0
2010-01-21,21.009,21.372,20.352,20.518,1288347,0
2010-01-22,20.147,20.573,20.036,20.073,775052,0
2010-01-25,20.686,20.686,20.082,20.287,481443,0
2010-01-26,19.682,20.119,19.489,19.849,727055,0
2010-01-27,19.636,19.942,19.357,19.867,942257,0
2010-01-28,19.646,20.036,19.137,19.857,1448108,0
2010-01-29,20.036,20.212,19.629,19.692,1437044,0
2010-02-01,19.831,20.055,19.508,19.747,990010,0
2010-02-02,19.738,19.969,19.609,19.885,1254591,0
2010-02-03,19.701,20.332,19.655,19.922,996760,0
2010-02-04,19.673,19.72,18.866,18.904,826613,0
2010-02-05,19.108,19.329,18.485,19.202,1615877,0
2010-02-08,19.146,19.655,18.977,19.118,1177989,0
2010-02-09,19.536,20.007,19.498,19.682,852476,0
2010-02-10,19.711,19.969,19.319,19.849,609990,0
2010-02-11,19.738,20.555,19.629,20.48,1044230,0
2010-02-12,19.804,20.461,19.738,20.314,913312,0
2010-02-16,20.611,20.936,20.509,20.816,345207,0
2010-02-17,20.806,20.963,20.451,20.555,548513,0
2010-02-18,20.461,20.816,20.359,20.732,415344,0
2010-02-19,20.499,20.953,20.499,20.806,1057518,0
2010-02-22,20.853,21.127,20.676,20.853,1241445,0
2010-02-23,20.714,20.972,20.406,20.415,530764,0
2010-02-24,20.461,20.797,20.424,20.48,471229,0
2010-02-25,19.998,20.406,19.831,20.277,1260324,0
2010-02-26,20.231,20.518,20.102,20.369,875450,0
2010-03-01,20.509,20.871,20.489,20.592,567804,0
2010-03-02,20.835,21.156,20.676,20.936,564573,0
2010-03-03,21.202,21.512,21.017,21.173,767377,0
2010-03-04,21.127,21.288,20.769,21.083,472176,0
2010-03-05,21.362,21.522,20.945,21.127,920523,0
2010-03-08,21.173,21.26,20.917,21.064,664303,0
2010-03-09,21.045,21.694,20.917,21.532,639960,0
2010-03-10,21.503,21.938,21.503,21.723,505526,0
2010-03-11,21.733,22.04,21.419,21.947,731570,0
2010-03-12,22.003,22.114,21.656,21.656,283684,0
2010-03-15,21.694,21.874,21.512,21.694,596897,0
2010-03-16,21.646,22.13,21.557,22.031,698034,0
2010-03-17,22.05,22.195,22.012,22.13,882037,0
2010-03-18,21.77,21.881,21.602,21.752,1163634,0
2010-03-19,21.891,23.247,21.891,22.781,3194003,0
2010-03-22,22.455,22.707,22.259,22.652,1080375,0
2010-03-23,22.483,22.966,22.455,22.872,769480,0
2010-03-24,22.483,22.762,22.298,22.346,1255593,0
2010-03-25,22.419,22.521,21.799,21.817,974853,0
2010-03-26,21.704,22.222,21.704,21.947,1268602,0
2010-03-29,22.149,22.279,22.021,22.259,1030341,0
2010-03-30,22.259,22.346,22.031,22.288,1616918,0
2010-03-31,22.288,22.411,22.077,22.222,952894,0
2010-04-01,22.373,22.568,22.114,22.222,1538464,0
2010-04-05,22.23,22.382,22.13,22.149,1169479,0
2010-04-06,22.317,22.326,22.077,22.149,1351600,0
2010-04-07,22.14,22.429,22.077,22.336,1598401,0
2010-04-08,22.363,22.511,22.114,22.307,1808539,0
2010-04-09,22.269,22.326,22.114,22.259,1259334,0
2010-04-12,22.269,22.411,22.204,22.23,743827,0
2010-04-13,22.373,22.568,22.077,22.429,1298127,0
2010-04-14,22.669,22.939,22.652,22.919,1056861,0
2010-04-15,22.781,22.901,22.652,22.725,569033,0
2010-04-16,22.446,22.615,21.9,22.149,709129,0
2010-04-19,21.836,22.096,21.789,22.031,1049129,0
2010-04-20,22.149,22.159,21.817,22.04,579439,0
2010-04-21,22.167,22.259,21.881,22.031,832693,0
2010-04-22,21.957,22.24,21.799,22.222,803720,0
2010-04-23,21.963,22.055,21.756,21.925,767914,0
2010-04-26,22.067,22.077,21.854,22.04,811301,0
2010-04-27,21.938,21.938,21.119,21.156,992386,0
2010-04-28,21.399,21.881,21.192,21.685,1097603,0
2010-04-29,22.003,22.725,21.967,22.439,1078250,0
2010-04-30,22.669,22.772,22.213,22.336,1835066,0
2010-05-03,22.213,22.605,22.213,22.336,913525,0
2010-05-04,22.13,22.13,21.221,21.685,1755766,0
2010-05-05,21.343,21.399,20.816,21.017,1374196,0
2010-05-06,20.705,21.39,19.266,20.387,2152982,0
2010-05-07,20.183,20.816,19.601,20.352,2070052,0
2010-05-10,21.854,22.003,20.907,21.24,1655854,0
2010-05-11,21.119,21.409,20.945,21.1,1331300,0
2010-05-12,21.24,21.539,21.091,21.333,1158617,0
2010-05-13,21.183,21.465,21.055,21.1,926002,0
2010-05-14,21.017,21.173,20.563,21.137,2343124,0
2010-05-17,20.926,21.183,20.332,20.853,1813771,0
2010-05-18,21.017,21.164,20.397,20.573,1692532,0
2010-05-19,20.249,20.769,20.016,20.63,1449166,0
2010-05-20,19.96,20.267,19.489,19.692,2081049,0
2010-05-21,18.931,20.156,18.866,20.137,1441930,0
2010-05-24,20.036,20.499,19.96,20.055,1363774,0
2010-05-25,19.47,19.885,19.239,19.867,1310492,0
2010-05-26,20.055,20.705,19.84,20.063,1118489,0
2010-05-27,20.853,20.963,20.434,20.816,607468,0
2010-05-28,20.63,20.648,20.092,20.202,1182730,0
2010-06-01,19.72,20.231,19.433,19.433,1664521,0
2010-06-02,19.664,20.055,19.555,19.998,1370662,0
2010-06-03,20.415,20.415,19.619,19.932,749563,0
2010-06-04,19.601,19.73,18.904,18.96,1425496,0
2010-06-07,18.904,19.108,18.494,18.562,1296857,0
2010-06-08,18.735,18.977,18.514,18.969,1030214,0
2010-06-09,19.034,19.462,18.904,18.977,864287,0
2010-06-10,19.47,19.893,19.366,19.849,973206,0
2010-06-11,19.738,20.277,19.619,20.267,695280,0
2010-06-14,20.323,20.592,20.092,20.221,979736,0
2010-06-15,20.461,20.826,20.305,20.705,1002999,0
2010-06-16,20.397,20.676,20.212,20.369,1491999,0
2010-06-17,20.573,20.861,20.387,20.816,1294019,0
2010-06-18,20.861,21.045,20.705,20.826,1367018,0
2010-06-21,21.333,21.343,20.741,20.897,1236791,0
2010-06-22,21.009,21.314,20.545,20.592,1326212,0
2010-06-23,20.686,20.787,20.342,20.714,582662,0
2010-06-24,20.667,20.732,20.323,20.434,829402,0
2010-06-25,20.48,20.936,20.277,20.853,537723,0
2010-06-28,21,21.027,20.592,20.621,318816,0
2010-06-29,20.397,20.406,19.516,19.646,1036610,0
2010-06-30,19.76,20.06,19.374,19.433,1003834,0
2010-07-01,19.498,19.619,18.719,19.508,1310284,0
2010-07-02,19.664,19.765,19.256,19.452,758424,0
2010-07-06,20.342,20.342,19.08,19.338,1345696,0
2010-07-07,19.498,19.804,19.48,19.747,1423319,0
2010-07-08,19.804,19.951,19.609,19.849,1051329,0
2010-07-09,19.811,19.969,19.747,19.922,1056262,0
2010-07-12,19.831,19.969,19.555,19.849,631529,0
2010-07-13,19.989,20.48,19.942,20.377,1034628,0
2010-07-14,20.128,20.657,20.119,20.545,917502,0
2010-07-15,20.48,20.667,20.055,20.638,1135512,0
2010-07-16,20.667,20.714,19.876,19.903,772602,0
2010-07-19,20.193,20.267,19.811,20.259,836970,0
2010-07-20,20.723,21.484,20.582,21.409,2085304,0
2010-07-21,21.593,21.846,21.26,21.362,2026825,0
2010-07-22,21.76,22.23,21.694,22.077,1135494,0
2010-07-23,21.854,22.596,21.807,22.521,818898,0
2010-07-26,22.439,22.901,22.307,22.892,998344,0
2010-07-27,22.826,22.929,22.483,22.733,817052,0
2010-07-28,22.66,23.152,22.615,23.098,762210,0
2010-07-29,23.19,23.438,23.142,23.374,1267076,0
