Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,69.136,69.471,67.444,67.83,545674,0
2010-01-05,67.913,68.349,66.738,68.24,660500,0
2010-01-06,68.332,69.498,68.24,68.718,576019,0
2010-01-07,68.489,70.022,68.142,69.433,346393,0
2010-01-08,69.25,69.602,68.085,68.718,260769,0
2010-01-11,69.055,69.358,68.649,68.767,221350,0
2010-01-12,68.167,68.774,67.38,67.855,362879,0
2010-01-13,68.085,69.332,67.846,69.201,254680,0
2010-01-14,68.635,69.889,68.463,69.669,304513,0
2010-01-15,69.594,69.833,68.962,69.201,298192,0
2010-01-19,69.169,70.284,69.084,70.144,370224,0
2010-01-20,69.874,71.155,69.225,70.352,634093,0
2010-01-21,70.359,71.155,68.479,68.519,398672,0
2010-01-22,68.578,69.619,66.237,66.403,525401,0
2010-01-25,67.077,67.609,65.87,66.869,359293,0
2010-01-26,66.141,67.47,66.132,66.502,257032,0
2010-01-27,66.337,67.601,65.229,67.322,302655,0
2010-01-28,67.528,67.542,66.132,66.844,207589,0
2010-01-29,67.231,67.47,65.31,65.424,453688,0
2010-02-01,65.827,66.659,65.162,66.493,286464,0
2010-02-02,66.763,67.758,66.072,67.642,232620,0
2010-02-03,67.068,67.338,65.343,65.697,505608,0
2010-02-04,64.982,64.982,63.438,63.759,620928,0
2010-02-05,63.916,64.438,62.683,64.243,613904,0
2010-02-08,64.602,65.482,63.88,63.933,413655,0
2010-02-09,64.645,64.818,63.429,64.243,538609,0
2010-02-10,64.29,65.063,62.788,64.383,425595,0
2010-02-11,64.383,65.293,63.83,65.221,232112,0
2010-02-12,64.447,65.907,64.35,65.853,405372,0
2010-02-16,66.566,67.642,66.213,67.503,366798,0
2010-02-17,67.642,68.675,67.51,68.675,308591,0
2010-02-18,68.489,69.39,68.019,69.169,343039,0
2010-02-19,68.831,69.302,68.657,69.119,416414,0
2010-02-22,69.358,69.734,68.619,69.471,365569,0
2010-02-23,69.308,69.759,68.691,69.447,301607,0
2010-02-24,69.734,69.98,69.217,69.966,454421,0
2010-02-25,69.11,70.254,68.76,70.127,334402,0
2010-02-26,70.169,71.468,69.818,70.525,682133,0
2010-03-01,70.778,71.073,70.179,71.03,238151,0
2010-03-02,71.417,71.664,70.999,71.508,424738,0
2010-03-03,71.484,71.819,71.099,71.532,313415,0
2010-03-04,71.591,72.355,71.548,72.296,485305,0
2010-03-05,72.796,74.358,72.411,74.201,576478,0
2010-03-08,73.921,74.931,73.48,74.332,413861,0
2010-03-09,73.98,74.652,73.405,73.757,775730,0
2010-03-10,73.85,73.937,72.953,73.774,607524,0
2010-03-11,73.397,74.301,73.123,74.267,476340,0
2010-03-12,74.677,75.178,74.037,74.792,306489,0
2010-03-15,74.71,75.406,73.874,74.267,362988,0
2010-03-16,74.374,75.833,74.374,75.833,662354,0
2010-03-17,75.605,77.159,75.605,76.697,375845,0
2010-03-18,76.771,77.058,76.187,76.285,304743,0
2010-03-19,76.31,76.771,75.524,75.67,489674,0
2010-03-22,75.16,76.327,75.16,76.271,429929,0
2010-03-23,75.596,76.23,74.341,75.343,433799,0
2010-03-24,75.097,75.942,75.064,75.327,329696,0
2010-03-25,75.605,75.989,74.643,74.809,587335,0
2010-03-26,74.686,75.195,73.519,73.733,724522,0
2010-03-29,72.975,74.086,72.593,72.658,653469,0
2010-03-30,72.617,73.929,72.593,73.741,388954,0
2010-03-31,73.168,74.318,72.69,73.85,722439,0
2010-04-01,73.997,74.752,73.256,74.597,734811,0
