Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,7.7179,7.893,7.7179,7.8493,467880,0
2010-01-05,7.8087,8.0168,7.8087,7.9425,660960,0
2010-01-06,7.9425,7.9791,7.9037,7.9484,365327,0
2010-01-07,7.9818,7.9818,7.772,7.8461,294158,0
2010-01-08,8.0236,8.0344,7.827,7.9525,750947,0
2010-01-11,7.965,7.9708,7.8699,7.9474,426147,0
2010-01-12,7.9474,7.9634,7.8757,7.8848,440411,0
2010-01-13,7.8848,7.9911,7.827,7.9708,768969,0
2010-01-14,7.8971,8.0903,7.8971,8.021,344924,0
2010-01-15,8.0878,8.1351,7.9985,8.0427,644062,0
2010-01-19,8.0954,8.2521,8.0009,8.2334,336296,0
2010-01-20,8.2633,8.2633,8.1419,8.2111,418318,0
2010-01-21,8.2094,8.2275,8.0643,8.1335,340470,0
2010-01-22,8.1054,8.148,8.0719,8.1326,571245,0
2010-01-25,8.1205,8.1736,8.0643,8.0921,249577,0
2010-01-26,8.0737,8.1607,8.0595,8.0921,531653,0
2010-01-27,8.0988,8.3258,8.0301,8.1778,1453387,0
2010-01-28,8.0945,8.1762,8.0135,8.0218,620920,0
2010-01-29,8.0218,8.0871,7.9152,7.9457,815399,0
2010-02-01,7.96,8.1795,7.9451,8.1778,639302,0
2010-02-02,7.9129,7.9185,7.8863,7.8913,17523334,0
2010-02-03,7.8592,7.9185,7.7422,7.8996,9513084,0
2010-02-04,7.68,7.7394,7.4342,7.5118,3263470,0
2010-02-05,7.5404,7.5848,7.16,7.3064,3666326,0
2010-02-08,7.4157,7.5412,7.2695,7.4688,1456891,0
2010-02-09,7.545,7.5599,7.3153,7.3869,1568677,0
2010-02-10,7.3961,7.424,7.2661,7.3064,888955,0
2010-02-11,7.2719,7.3592,7.2594,7.3486,600949,0
2010-02-12,7.3812,7.4074,7.2983,7.3799,649204,0
2010-02-16,7.5042,7.5593,7.4592,7.5562,989774,0
2010-02-17,7.5744,7.6294,7.5419,7.6104,1371221,0
2010-02-18,7.6159,7.6215,7.5482,7.6127,838906,0
2010-02-19,7.6703,7.8071,7.6414,7.7892,1306969,0
2010-02-22,7.7859,7.8222,7.7332,7.751,934061,0
2010-02-23,7.7737,7.7956,7.7299,7.7394,557888,0
2010-02-24,7.755,7.7989,7.7422,7.7793,732781,0
2010-02-25,7.7502,7.7965,7.7049,7.7885,516703,0
2010-02-26,7.8175,7.8175,7.772,7.8111,536869,0
2010-03-01,7.8502,7.856,7.7834,7.8485,618793,0
2010-03-02,7.869,7.8848,7.7939,7.8848,1451060,0
2010-03-03,7.8566,7.8814,7.8354,7.847,705145,0
2010-03-04,7.8136,7.8566,7.8021,7.8312,688797,0
2010-03-05,7.8014,7.8848,7.7989,7.8848,645581,0
2010-03-08,7.8848,7.9022,7.8566,7.8962,700548,0
2010-03-09,7.9077,7.9077,7.8741,7.893,583079,0
2010-03-10,7.9077,7.9268,7.8757,7.9136,810887,0
2010-03-11,7.9077,7.9268,7.8814,7.9219,620447,0
2010-03-12,7.9268,7.9684,7.893,7.9334,784096,0
2010-03-15,7.9641,7.9641,7.8502,7.9276,462440,0
2010-03-16,7.9276,7.9276,7.8683,7.92,479400,0
2010-03-17,7.9136,7.9441,7.9022,7.9441,792026,0
2010-03-18,7.9316,7.9425,7.8566,7.8971,329207,0
2010-03-19,7.8534,7.8781,7.7819,7.8411,820423,0
2010-03-22,7.7842,7.8608,7.7526,7.8338,787978,0
2010-03-23,7.8774,7.8774,7.7582,7.8263,909856,0
2010-03-24,7.772,7.8095,7.7314,7.7582,669376,0
2010-03-25,7.8045,7.8045,7.7477,7.7526,456007,0
2010-03-26,7.7892,7.7933,7.6953,7.6969,867231,0
2010-03-29,7.7477,7.7793,7.7065,7.7362,684355,0
2010-03-30,7.7582,7.7965,7.7129,7.7965,507314,0
2010-03-31,7.8184,7.8848,7.7956,7.8848,391968,0
2010-04-01,7.9316,7.9383,7.8897,7.9251,601402,0
2010-04-05,7.9441,7.9525,7.9185,7.9383,756475,0
2010-04-06,7.9383,7.965,7.9185,7.9268,524354,0
2010-04-07,7.8971,7.9366,7.8848,7.8872,520452,0
2010-04-08,7.8749,7.9576,7.8542,7.9407,831251,0
2010-04-09,7.9727,8.0903,7.9407,8.0678,1371993,0
2010-04-12,8.1154,8.1326,8.0578,8.1283,888336,0
2010-04-13,8.1054,8.1445,8.0643,8.1394,735842,0
2010-04-14,8.1351,8.1736,8.0936,8.1258,506676,0
2010-04-15,8.0878,8.2308,8.0878,8.1497,638756,0
2010-04-16,8.1342,8.1531,7.9659,8.0871,910781,0
2010-04-19,8.0086,8.1121,8.0086,8.1096,329289,0
2010-04-20,8.1771,8.2471,8.1667,8.2275,648904,0
2010-04-21,8.2289,8.286,8.224,8.2368,608111,0
2010-04-22,8.2275,8.2521,8.2026,8.2495,615625,0
2010-04-23,8.2504,8.2521,8.206,8.2289,456092,0
2010-04-26,8.1974,8.2703,8.1736,8.1897,637600,0
2010-04-27,8.2129,8.2747,8.0678,8.077,573107,0
2010-04-28,8.0135,8.0578,7.6294,7.8081,2859055,0
2010-04-29,7.8592,7.8723,7.7129,7.7785,1272249,0
2010-04-30,7.7746,7.9071,7.7737,7.8749,1004520,0
2010-05-03,7.9185,7.9457,7.7834,7.8881,1080385,0
2010-05-04,7.8781,7.8799,7.7394,7.751,1028909,0
2010-05-05,7.7129,7.7129,7.1946,7.5978,2997957,0
2010-05-06,7.357,7.5999,5.7981,7.1772,3547130,0
2010-05-07,7.144,7.4251,7.0614,7.2922,1627555,0
2010-05-10,7.6761,7.6969,7.4727,7.5672,925005,0
2010-05-11,7.5744,7.7885,7.5165,7.6856,1075312,0
2010-05-12,7.7526,7.8071,7.6551,7.7753,840655,0
2010-05-13,7.7965,7.8071,7.6096,7.6104,616755,0
2010-05-14,7.5978,7.652,7.5324,7.6454,850329,0
2010-05-17,7.6969,7.7129,7.4585,7.5008,1076061,0
2010-05-18,7.5404,7.584,7.4319,7.4806,502203,0
2010-05-19,7.4123,7.4217,7.1406,7.267,1444957,0
2010-05-20,7.1047,7.1886,6.9667,7.1382,1730517,0
2010-05-21,7.038,7.2892,6.9644,7.213,1480247,0
2010-05-24,7.2142,7.3064,7.2142,7.2522,593125,0
2010-05-25,7.1635,7.2911,7.097,7.2774,1352634,0
2010-05-26,7.3693,7.6286,7.3628,7.4342,849185,0
2010-05-27,7.6938,7.6938,7.53,7.5935,391862,0
2010-05-28,7.5419,7.6239,7.5042,7.5758,350333,0
2010-06-01,7.5324,7.6847,7.4251,7.4395,558361,0
2010-06-02,7.4409,7.6372,7.4409,7.5633,571813,0
2010-06-03,7.6197,7.7834,7.6197,7.7819,827004,0
2010-06-04,7.7785,7.7785,7.6372,7.6493,287425,0
2010-06-07,7.7933,7.8461,7.68,7.6847,664312,0
2010-06-08,7.7201,7.7281,7.6261,7.6711,529632,0
2010-06-09,7.7452,7.7965,7.6847,7.7129,854784,0
2010-06-10,7.7933,7.8263,7.7234,7.7933,542303,0
2010-06-11,7.7582,7.856,7.7362,7.856,484480,0
2010-06-14,7.8848,7.9741,7.8667,7.8897,525231,0
2010-06-15,7.9391,8.0202,7.9219,8.0009,416684,0
2010-06-16,8.0009,8.056,7.965,8.0427,491332,0
2010-06-17,8.0578,8.0812,8.0086,8.0719,566078,0
2010-06-18,8.0896,8.1038,8.016,8.0745,513993,0
2010-06-21,8.1531,8.1531,8.0845,8.0972,471910,0
2010-06-22,8.0921,8.1369,8.062,8.0936,477408,0
2010-06-23,8.0921,8.0921,7.9684,8.0703,476661,0
2010-06-24,8.0578,8.0954,8.042,8.0863,521474,0
2010-06-25,8.0954,8.2912,8.078,8.259,899797,0
2010-06-28,8.2894,8.345,8.2539,8.3164,813790,0
2010-06-29,8.272,8.272,8.1274,8.2204,1250525,0
2010-06-30,8.2222,8.3285,8.0896,8.2894,896838,0
2010-07-01,8.2772,8.2772,8.1154,8.1813,723548,0
2010-07-02,8.235,8.3051,8.1795,8.2816,714150,0
2010-07-06,8.3416,8.3685,8.2919,8.3258,722777,0
2010-07-07,8.3771,8.4885,8.345,8.4885,863313,0
2010-07-08,8.5432,8.6226,8.5078,8.5984,681233,0
2010-07-09,8.619,8.6922,8.602,8.6029,1315933,0
2010-07-12,8.6226,8.7659,8.5785,8.7502,794842,0
2010-07-13,8.8064,8.9418,8.8064,8.8625,833815,0
2010-07-14,8.9086,8.9169,8.799,8.8129,692049,0
2010-07-15,8.8432,8.8598,8.7355,8.8219,604970,0
2010-07-16,8.7649,8.8451,8.7594,8.8037,527230,0
2010-07-19,8.8515,8.8515,8.721,8.7833,575007,0
2010-07-20,8.731,8.8718,8.6344,8.8478,1238505,0
2010-07-21,8.8882,8.9086,8.7291,8.8608,1091634,0
2010-07-22,8.968,8.968,8.8129,8.8902,711458,0
2010-07-23,8.8644,8.9398,8.8064,8.8745,806947,0
2010-07-26,8.9398,8.95,8.8882,8.9242,745396,0
2010-07-27,8.9464,8.9651,8.8202,8.8755,864911,0
2010-07-28,8.8755,8.9565,8.7861,8.8451,623668,0
