Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,18.992,19.384,18.924,19.34,452826,0
2010-01-05,19.316,19.998,18.999,19.881,381382,0
2010-01-06,19.868,20.096,19.681,19.787,354441,0
2010-01-07,19.787,19.85,19.607,19.72,228952,0
2010-01-08,19.756,20.023,19.624,19.975,224635,0
2010-01-11,20.011,20.147,19.843,19.85,296194,0
2010-01-12,19.837,20.023,18.471,18.844,768609,0
2010-01-13,19.055,19.055,17.942,18.577,825848,0
2010-01-14,18.626,19.179,18.577,18.954,352276,0
2010-01-15,18.907,18.992,18.626,18.882,259279,0
2010-01-19,19.06,19.551,18.937,19.403,303816,0
2010-01-20,19.62,20.073,19.248,20.073,433970,0
2010-01-21,20.085,20.333,19.055,19.614,449987,0
2010-01-22,19.62,19.868,19.104,19.216,358918,0
2010-01-25,19.091,19.371,18.943,19.153,272824,0
2010-01-26,19.26,19.657,19.074,19.607,408717,0
2010-01-27,19.77,19.83,18.688,19.31,470179,0
2010-01-28,19.433,19.72,19.143,19.651,271927,0
2010-01-29,19.782,20.023,19.446,19.593,330157,0
2010-02-01,19.651,20.116,19.62,19.744,471588,0
2010-02-02,20.104,20.241,19.843,20.228,380868,0
2010-02-03,19.731,19.954,19.348,19.556,341797,0
2010-02-04,19.861,19.861,18.565,18.626,473336,0
2010-02-05,18.471,18.478,16.912,18.043,1221638,0
2010-02-08,18.36,18.515,17.981,18.341,343457,0
2010-02-09,17.434,18.019,17.385,17.756,3778320,0
2010-02-10,17.819,17.992,17.733,17.987,661683,0
2010-02-11,18.006,18.216,17.787,18.191,710095,0
2010-02-12,18.16,18.321,17.819,18.321,485042,0
2010-02-16,18.502,18.626,18.223,18.328,645954,0
2010-02-17,18.409,18.762,18.334,18.714,674533,0
2010-02-18,18.861,18.887,18.427,18.496,480550,0
2010-02-19,18.596,18.719,18.384,18.688,491791,0
2010-02-22,18.8,18.937,18.781,18.867,515958,0
2010-02-23,18.781,18.806,18.626,18.64,457594,0
2010-02-24,18.626,18.907,18.626,18.844,254003,0
2010-02-25,18.725,18.992,18.626,18.986,288371,0
2010-02-26,18.999,19.179,18.887,19.179,211286,0
2010-03-01,19.179,19.185,18.975,19.173,342638,0
