Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,4.85,5.27,4.81,5.25,679196,0
2010-01-05,5.23,5.23,4.96,5.01,488434,0
2010-01-06,4.93,5.04,4.85,5,362094,0
2010-01-07,5.06,5.06,4.93,4.97,159942,0
2010-01-08,4.91,5.04,4.9,4.98,178490,0
2010-01-11,5,5.05,4.9,4.99,434128,0
2010-01-12,4.94,5.01,4.91,4.92,77824,0
2010-01-13,4.92,5.01,4.9,5,618507,0
2010-01-14,5.03,5.16,4.91,4.94,1069662,0
2010-01-15,4.98,4.98,4.65,4.97,337679,0
2010-01-19,5.06,5.06,4.76,4.9,491620,0
2010-01-20,4.8,4.8,4.43,4.71,333395,0
2010-01-21,4.71,4.72,4.37,4.39,246157,0
2010-01-22,4.33,4.44,4.25,4.36,329773,0
2010-01-25,4.39,4.53,4.14,4.18,212634,0
2010-01-26,4.13,4.35,4.08,4.22,154220,0
2010-01-27,4.18,4.36,4.18,4.32,135219,0
2010-01-28,4.32,4.46,4.31,4.35,30826,0
2010-01-29,4.38,4.49,4.08,4.12,133375,0
2010-02-01,4.12,4.17,3.85,3.99,523634,0
2010-02-02,3.99,4.1,3.93,3.98,305093,0
2010-02-03,3.95,4.11,3.95,4.06,277081,0
2010-02-04,4.03,4.06,3.94,3.95,87271,0
2010-02-05,3.95,4,3.59,3.93,264321,0
2010-02-08,3.91,4.1,3.91,4.08,32321,0
2010-02-09,4.21,4.28,3.81,4,186030,0
2010-02-10,4,4,3.73,3.92,49978,0
2010-02-11,3.81,3.93,3.76,3.77,161855,0
2010-02-12,3.71,3.79,3.56,3.72,83538,0
2010-02-16,3.71,3.77,3.68,3.76,92613,0
2010-02-17,3.77,3.98,3.76,3.93,125367,0
2010-02-18,3.99,4.03,3.84,4.02,45928,0
2010-02-19,4.02,4.25,3.9,4.24,77630,0
2010-02-22,4.24,4.32,4.12,4.27,120779,0
2010-02-23,4.26,4.26,4.07,4.13,56178,0
2010-02-24,4.1,4.16,3.96,4.01,219650,0
2010-02-25,3.97,4.3,3.97,4.22,169367,0
2010-02-26,4.26,4.35,4.21,4.31,136243,0
2010-03-01,4.45,4.53,4.34,4.45,299486,0
2010-03-02,4.43,4.67,4.4,4.63,244362,0
2010-03-03,4.68,4.77,4.63,4.73,156342,0
2010-03-04,4.75,4.75,4.64,4.71,73953,0
2010-03-05,4.72,4.73,4.44,4.58,208741,0
2010-03-08,4.6,4.6,4.33,4.35,274552,0
2010-03-09,4.35,4.35,4.16,4.17,183548,0
2010-03-10,4.17,4.35,4.11,4.24,190154,0
2010-03-11,4.23,4.29,4.12,4.17,93218,0
2010-03-12,4.22,4.23,3.99,4.01,249268,0
2010-03-15,4.02,4.02,3.84,3.97,206829,0
2010-03-16,3.98,4.11,3.42,3.49,563472,0
2010-03-17,3.5,3.76,3.5,3.63,443732,0
2010-03-18,3.65,3.7,3.56,3.59,148076,0
2010-03-19,3.59,3.61,3,3,1194619,0
2010-03-22,3.02,3.23,2.98,3,464969,0
2010-03-23,3.08,3.24,3.03,3.18,783562,0
2010-03-24,3.2,3.49,3.19,3.47,466086,0
2010-03-25,3.46,3.54,3.28,3.47,364392,0
2010-03-26,3.45,3.72,3.43,3.59,285213,0
2010-03-29,3.64,3.65,3.37,3.48,123823,0
2010-03-30,3.54,3.54,3.3,3.32,140209,0
2010-03-31,3.38,3.38,3.22,3.32,123781,0
2010-04-01,3.3,3.45,3.3,3.44,139198,0
2010-04-05,3.48,3.58,3.47,3.55,183419,0
2010-04-06,3.52,3.62,3.52,3.6,56370,0
2010-04-07,3.6,3.6,3.42,3.6,138607,0
2010-04-08,3.56,3.69,3.45,3.55,124184,0
2010-04-09,3.55,3.6,3.43,3.5,102809,0
2010-04-12,3.48,3.48,3.32,3.38,279078,0
2010-04-13,3.34,3.39,3.2,3.32,268005,0
2010-04-14,3.3,3.32,3.16,3.29,252098,0
2010-04-15,3.3,3.3,3.1,3.13,359695,0
2010-04-16,3.09,3.15,2.96,2.99,467668,0
2010-04-19,2.99,3.3,2.99,3.29,252416,0
2010-04-20,3.27,3.31,3.14,3.15,288202,0
2010-04-21,3.12,3.27,3.07,3.26,143641,0
2010-04-22,3.2,3.44,3.1,3.42,241626,0
2010-04-23,3.45,3.45,3.35,3.39,139732,0
2010-04-26,3.38,3.44,3.25,3.25,166957,0
2010-04-27,3.23,3.25,3.04,3.09,277700,0
2010-04-28,3.14,3.14,3.05,3.11,128726,0
2010-04-29,3.17,3.2,3.03,3.14,330342,0
2010-04-30,3.13,3.15,3.04,3.08,39539,0
2010-05-03,3.09,3.09,3.04,3.05,79657,0
2010-05-04,3.03,3.06,3,3.03,157863,0
2010-05-05,3.03,3.05,2.81,2.85,214221,0
2010-05-06,2.83,2.91,2.51,2.55,293679,0
2010-05-07,2.65,2.8,2.42,2.52,152176,0
2010-05-10,2.77,2.87,2.5,2.5,175549,0
2010-05-11,2.53,2.75,2.52,2.67,246273,0
2010-05-12,2.65,2.78,2.65,2.74,174553,0
2010-05-13,2.72,2.79,2.61,2.64,69203,0
2010-05-14,2.56,2.7,2.56,2.61,68376,0
2010-05-17,2.68,2.8,2.57,2.79,137920,0
2010-05-18,2.8,2.8,2.6,2.6,82184,0
2010-05-19,2.55,2.6,1.92,1.97,400303,0
2010-05-20,1.97,2,1.9,1.93,195052,0
2010-05-21,1.85,1.96,1.6,1.84,271538,0
2010-05-24,1.8,2.13,1.8,2.08,413253,0
2010-05-25,2.11,2.25,1.9,2.21,232209,0
2010-05-26,2.25,2.45,2.19,2.25,202413,0
2010-05-27,2.27,2.35,2.2,2.27,75761,0
2010-05-28,2.32,2.35,2.15,2.25,106774,0
2010-06-01,2.27,2.28,2.17,2.21,81627,0
2010-06-02,2.21,2.21,2.01,2.09,141696,0
2010-06-03,2.06,2.15,2.03,2.08,62597,0
2010-06-04,2.05,2.2,1.79,1.79,217125,0
2010-06-07,1.79,1.89,1.67,1.67,148151,0
2010-06-08,1.67,1.77,1.51,1.7,484832,0
2010-06-09,1.71,1.82,1.6,1.63,188551,0
2010-06-10,1.63,1.85,1.63,1.69,265105,0
2010-06-11,1.66,1.76,1.58,1.73,181073,0
2010-06-14,1.8,1.81,1.73,1.77,78730,0
2010-06-15,1.75,1.93,1.75,1.9,124176,0
2010-06-16,1.94,2.05,1.9,2.04,146180,0
2010-06-17,2.1,2.18,2,2.02,141928,0
2010-06-18,2.05,2.05,1.93,1.98,97018,0
2010-06-21,2.05,2.26,2.05,2.15,263103,0
2010-06-22,2.16,2.16,1.89,1.94,622013,0
2010-06-23,1.91,1.94,1.7,1.73,629494,0
2010-06-24,1.86,2.13,1.86,1.9,954007,0
2010-06-25,1.9,1.98,1.88,1.9,336391,0
2010-06-28,1.9,1.95,1.89,1.9,111270,0
2010-06-29,2,2,1.65,1.75,299734,0
2010-06-30,1.75,1.85,1.67,1.77,153369,0
2010-07-01,1.75,1.85,1.68,1.8,133792,0
2010-07-02,1.8,1.82,1.7,1.77,111002,0
2010-07-06,1.78,1.84,1.45,1.59,448665,0
2010-07-07,1.57,1.64,1.55,1.58,93775,0
2010-07-08,1.58,1.62,1.5,1.56,108091,0
2010-07-09,1.6,1.86,1.48,1.79,288577,0
2010-07-12,1.78,1.86,1.7,1.75,140851,0
2010-07-13,1.82,1.92,1.75,1.91,325152,0
2010-07-14,1.92,1.92,1.82,1.87,87549,0
2010-07-15,1.84,1.92,1.8,1.88,105172,0
2010-07-16,1.83,1.83,1.69,1.7,115617,0
2010-07-19,1.73,1.73,1.6,1.64,95739,0
2010-07-20,1.58,1.68,1.57,1.63,97751,0
2010-07-21,1.63,1.69,1.55,1.63,55513,0
2010-07-22,1.68,1.84,1.68,1.81,139291,0
2010-07-23,1.88,1.99,1.79,1.9,171170,0
2010-07-26,1.93,1.93,1.71,1.74,182667,0
2010-07-27,1.76,1.86,1.76,1.82,133439,0
2010-07-28,1.82,1.96,1.78,1.96,48380,0
2010-07-29,1.98,1.98,1.85,1.89,108984,0
2010-07-30,1.86,1.97,1.78,1.82,72517,0
2010-08-02,1.91,1.91,1.8,1.82,24840,0
2010-08-03,1.8,1.91,1.76,1.78,62108,0
2010-08-04,1.77,1.83,1.75,1.81,44355,0
2010-08-05,1.79,1.83,1.75,1.75,46121,0
2010-08-06,1.73,1.8,1.71,1.78,53166,0
2010-08-09,1.8,1.8,1.69,1.71,74811,0
2010-08-10,1.71,1.75,1.64,1.68,44425,0
2010-08-11,1.64,1.64,1.57,1.6,49138,0
2010-08-12,1.58,1.64,1.58,1.63,44246,0
2010-08-13,1.6,1.67,1.46,1.46,278549,0
2010-08-16,1.5,1.64,1.41,1.6,141244,0
2010-08-17,1.65,1.65,1.6,1.61,73906,0
2010-08-18,1.65,2.35,1.65,2.25,1248779,0
2010-08-19,2.25,2.69,2.04,2.27,885971,0
2010-08-20,2.3,2.3,2.1,2.17,355232,0
2010-08-23,2.22,2.24,1.93,1.96,338621,0
2010-08-24,1.89,1.99,1.81,1.95,233944,0
2010-08-25,1.93,1.96,1.86,1.91,139218,0
2010-08-26,1.92,2.13,1.85,1.87,274476,0
2010-08-27,1.87,1.99,1.85,1.94,150295,0
2010-08-30,1.95,2.05,1.95,2.02,235366,0
2010-08-31,2.02,2.02,1.95,2,38809,0
2010-09-01,2,2.05,1.98,2,230513,0
2010-09-02,1.98,2.08,1.98,2.04,55110,0
2010-09-03,2.09,2.09,1.96,2,149640,0
2010-09-07,2.01,2.01,1.96,1.96,37143,0
2010-09-08,1.95,2.02,1.95,1.97,62416,0
2010-09-09,1.95,1.97,1.85,1.86,122185,0
2010-09-10,1.85,1.91,1.8,1.86,88185,0
2010-09-13,1.9,1.9,1.85,1.88,39916,0
2010-09-14,1.89,1.91,1.85,1.86,41554,0
2010-09-15,1.85,1.93,1.85,1.9,51216,0
2010-09-16,1.9,1.9,1.82,1.83,79142,0
2010-09-17,1.9,1.9,1.75,1.82,195706,0
2010-09-20,1.82,1.95,1.82,1.94,118598,0
2010-09-21,1.91,1.95,1.9,1.91,24376,0
2010-09-22,1.9,1.93,1.84,1.85,38082,0
2010-09-23,1.84,1.91,1.82,1.9,39634,0
2010-09-24,1.9,1.92,1.86,1.89,64163,0
2010-09-27,1.91,1.91,1.83,1.86,76422,0
2010-09-28,1.86,1.89,1.82,1.89,56516,0
2010-09-29,1.84,1.88,1.81,1.88,82107,0
2010-09-30,1.87,1.88,1.83,1.88,49709,0
2010-10-01,1.88,1.89,1.78,1.83,73906,0
2010-10-04,1.83,1.84,1.76,1.82,95579,0
2010-10-05,1.82,1.89,1.76,1.87,112331,0
2010-10-06,1.9,2.03,1.85,1.95,214895,0
2010-10-07,1.95,2.17,1.94,2.1,273284,0
2010-10-08,2.1,2.18,2.06,2.17,121458,0
2010-10-11,2.17,2.45,2.11,2.31,307059,0
2010-10-12,2.31,2.35,2.19,2.33,311221,0
2010-10-13,2.35,2.37,2.22,2.37,102003,0
2010-10-14,2.37,2.37,2.3,2.32,57230,0
2010-10-15,2.3,2.4,2.28,2.4,128724,0
2010-10-18,2.38,2.6,2.37,2.56,230394,0
2010-10-19,2.55,2.55,2.39,2.4,152676,0
2010-10-20,2.4,2.4,2.23,2.37,92442,0
2010-10-21,2.36,2.48,2.32,2.42,99886,0
2010-10-22,2.4,2.57,2.4,2.57,96278,0
2010-10-25,2.59,2.64,2.48,2.53,150482,0
2010-10-26,2.48,2.57,2.48,2.51,54353,0
2010-10-27,2.5,2.54,2.45,2.54,87087,0
2010-10-28,2.55,2.55,2.38,2.39,65451,0
2010-10-29,2.39,2.39,2.34,2.34,43250,0
