Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,2.8165,2.8251,2.728,2.8251,28884,0
2010-01-05,2.8121,2.8209,2.7456,2.7852,39129,0
2010-01-06,2.7631,2.7631,2.6972,2.7058,18093,0
2010-01-07,2.7014,2.7237,2.7014,2.7237,21922,0
2010-01-08,2.6573,2.8165,2.6527,2.7631,57752,0
2010-01-11,2.8165,2.8209,2.6972,2.8209,39555,0
2010-01-12,2.7546,2.8165,2.7456,2.8165,11137,0
2010-01-13,2.8165,2.8209,2.7412,2.7852,46033,0
2010-01-14,2.7852,2.7852,2.719,2.7501,25889,0
2010-01-15,2.7852,2.7852,2.7546,2.7589,7915,0
2010-01-19,2.7631,2.7678,2.7412,2.7589,35463,0
2010-01-20,2.7456,2.7766,2.7412,2.7412,101293,0
2010-01-21,2.7546,2.7546,2.6527,2.7369,122315,0
2010-01-22,2.7014,2.7369,2.6838,2.719,74048,0
2010-01-25,2.7014,2.7237,2.6926,2.7058,58885,0
2010-01-26,2.7146,2.719,2.6527,2.6795,76441,0
2010-01-27,2.6527,2.6972,2.6306,2.6972,185705,0
2010-01-28,2.719,2.7852,2.635,2.7852,51693,0
2010-01-29,2.7852,2.7852,2.6882,2.7852,32102,0
2010-02-01,2.7369,2.7852,2.7058,2.7852,18898,0
2010-02-02,2.7456,2.7631,2.6926,2.7237,26333,0
2010-02-03,2.719,2.7589,2.719,2.719,13739,0
2010-02-04,2.719,2.7631,2.7014,2.7014,17150,0
2010-02-05,2.6751,2.7146,2.6394,2.6616,28345,0
2010-02-08,2.6527,2.7631,2.6527,2.7146,35188,0
2010-02-09,2.6972,2.7631,2.6706,2.719,26576,0
2010-02-10,2.7325,2.7325,2.7058,2.7237,15240,0
2010-02-11,2.7058,2.7766,2.6882,2.7589,35396,0
2010-02-12,2.7631,2.8209,2.7237,2.8209,40214,0
2010-02-16,2.8209,2.8298,2.7456,2.8165,58191,0
2010-02-17,2.8298,2.8341,2.7631,2.8075,13871,0
2010-02-18,2.7766,2.7988,2.7589,2.7631,24125,0
2010-02-19,2.7812,2.7812,2.7412,2.7546,18617,0
2010-02-22,2.719,2.7456,2.7014,2.7325,14847,0
2010-02-23,2.7546,2.8298,2.719,2.7766,149792,0
2010-02-24,2.7501,2.7722,2.7501,2.7631,9383,0
2010-02-25,2.7631,2.7631,2.7237,2.7369,6658,0
2010-02-26,2.7103,2.7546,2.6972,2.7325,20169,0
2010-03-01,2.6972,2.7412,2.6795,2.719,21836,0
2010-03-02,2.7412,2.8298,2.7369,2.8298,46648,0
2010-03-03,2.8341,3.0287,2.8341,3.0066,210675,0
2010-03-04,3.0242,3.1083,3.0197,3.0816,94225,0
2010-03-05,3.0595,3.1171,3.0508,3.1171,116652,0
2010-03-08,3.0508,3.0994,2.9623,2.9934,90724,0
2010-03-09,2.9668,3.1171,2.8963,3.0684,237256,0
2010-03-10,3.0816,3.0816,2.9402,3.0508,51747,0
2010-03-11,3.0197,3.0508,2.8872,2.9799,193039,0
2010-03-12,2.949,3.0684,2.9182,3.0374,263982,0
2010-03-15,3.0197,3.1171,2.9889,2.9889,80059,0
2010-03-16,3.0197,3.0861,2.9711,3.0861,51691,0
2010-03-17,3.0508,3.1037,2.9844,3.1037,59444,0
2010-03-18,3.0465,3.0861,3.0022,3.0861,89980,0
2010-03-19,3.0153,3.0595,2.9934,3.0551,78570,0
2010-03-22,3.0551,3.0948,2.9668,3.0684,89435,0
2010-03-23,3.064,3.0861,3.0374,3.0508,43215,0
2010-03-24,3.0153,3.0551,2.9976,3.0331,16691,0
2010-03-25,3.0287,3.0595,3.0287,3.0331,35126,0
2010-03-26,3.0287,3.0595,3.0287,3.0374,32801,0
2010-03-29,3.0153,3.0728,3.0153,3.0684,39173,0
2010-03-30,3.0816,3.0816,2.9844,3.0109,23743,0
2010-03-31,2.9844,3.0905,2.9004,3.0508,144426,0
2010-04-01,3.0684,3.1392,2.9623,3.0153,120898,0
2010-04-05,2.9668,3.0153,2.9402,2.9757,177197,0
2010-04-06,2.9402,3.0905,2.9402,3.0772,60496,0
2010-04-07,3.0728,3.0728,3.0066,3.0153,22562,0
2010-04-08,3.0419,3.0728,2.9578,2.9711,71190,0
2010-04-09,2.9711,3.0331,2.9402,3.0197,151801,0
2010-04-12,3.0508,3.1701,3.0508,3.1171,185688,0
2010-04-13,3.2012,3.2012,3.0508,3.1304,73519,0
2010-04-14,3.1171,3.1613,3.0948,3.1525,69058,0
2010-04-15,3.1613,3.1613,3.1037,3.126,42791,0
