Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,3.89,3.92,3.75,3.89,564213,0
2010-01-05,3.91,4.09,3.88,4.06,777734,0
2010-01-06,4.12,4.25,4.11,4.21,588982,0
2010-01-07,4.22,4.3,4.12,4.27,622907,0
2010-01-08,4.3,4.37,4.14,4.28,517854,0
2010-01-11,4.48,4.48,4.21,4.22,678500,0
2010-01-12,4.24,4.27,3.96,3.97,692632,0
2010-01-13,3.99,4.32,3.98,4.28,958690,0
2010-01-14,4.4,4.4,4.18,4.28,448316,0
2010-01-15,4.26,4.27,4.1,4.16,478979,0
2010-01-19,4.25,4.25,4.12,4.21,419894,0
2010-01-20,4.1,4.11,3.95,3.96,838864,0
2010-01-21,3.95,3.95,3.61,3.7,1074611,0
2010-01-22,3.6,3.66,3.44,3.59,1007736,0
2010-01-25,3.58,3.67,3.35,3.47,686791,0
2010-01-26,3.41,3.59,3.31,3.53,682374,0
2010-01-27,3.55,3.58,3.33,3.41,614134,0
2010-01-28,3.45,3.49,3.23,3.37,682190,0
2010-01-29,3.31,3.34,3.11,3.15,803670,0
2010-02-01,3.23,3.58,3.09,3.52,981373,0
2010-02-02,3.64,3.7,3.52,3.55,700706,0
2010-02-03,3.52,3.57,3.34,3.48,628018,0
2010-02-04,3.37,3.37,3.01,3.11,1270388,0
2010-02-05,3.06,3.35,2.86,3.32,1193821,0
2010-02-08,3.45,3.45,3.12,3.15,729306,0
2010-02-09,3.18,3.34,3.18,3.3,639542,0
2010-02-10,3.34,3.35,3.18,3.35,353733,0
2010-02-11,3.45,3.5,3.35,3.48,498231,0
2010-02-12,3.24,3.4,3.13,3.37,518258,0
2010-02-16,3.47,3.62,3.41,3.59,719294,0
2010-02-17,3.63,3.65,3.48,3.49,472328,0
2010-02-18,3.5,3.52,3.4,3.4,356955,0
2010-02-19,3.38,3.44,3.25,3.33,494859,0
2010-02-22,3.34,3.44,3.33,3.33,261323,0
2010-02-23,3.31,3.32,3.18,3.19,334133,0
2010-02-24,3.15,3.2,3.1,3.1,250083,0
2010-02-25,3.08,3.28,3.01,3.23,606188,0
2010-02-26,3.25,3.34,3.21,3.28,264156,0
2010-03-01,3.28,3.38,3.23,3.3,224122,0
2010-03-02,3.39,3.54,3.34,3.46,566839,0
2010-03-03,3.5,3.68,3.49,3.56,733886,0
2010-03-04,3.56,3.66,3.47,3.61,587356,0
2010-03-05,3.66,3.8,3.64,3.71,394889,0
2010-03-08,3.71,3.8,3.6,3.6,392632,0
2010-03-09,3.48,3.6,3.48,3.59,377911,0
2010-03-10,3.65,3.65,3.41,3.43,560669,0
2010-03-11,3.39,3.52,3.34,3.49,298153,0
2010-03-12,3.57,3.58,3.41,3.47,247342,0
2010-03-15,3.48,3.48,3.28,3.32,357785,0
2010-03-16,3.44,3.5,3.28,3.3,765192,0
2010-03-17,3.3,3.36,3.27,3.27,416455,0
2010-03-18,3.37,3.37,3.18,3.22,530605,0
2010-03-19,3.25,3.25,3.12,3.15,808592,0
2010-03-22,3.07,3.25,3.07,3.24,346400,0
2010-03-23,3.25,3.36,3.18,3.34,450921,0
2010-03-24,3.32,3.32,3.13,3.16,563495,0
2010-03-25,3.18,3.24,3.08,3.22,985226,0
2010-03-26,3.23,3.36,3.22,3.27,658216,0
2010-03-29,3.34,3.35,3.27,3.28,306534,0
2010-03-30,3.3,3.3,3.19,3.23,258941,0
2010-03-31,3.29,3.3,3.16,3.21,318939,0
2010-04-01,3.25,3.31,3.25,3.26,425271,0
2010-04-05,3.35,3.36,3.27,3.31,550191,0
2010-04-06,3.25,3.37,3.25,3.31,369238,0
2010-04-07,3.35,3.49,3.34,3.45,892861,0
2010-04-08,3.44,3.48,3.33,3.46,423508,0
2010-04-09,3.51,3.67,3.49,3.6,1023259,0
2010-04-12,3.65,3.74,3.6,3.63,779531,0
2010-04-13,3.67,3.67,3.46,3.55,490799,0
2010-04-14,3.66,3.74,3.62,3.7,555805,0
2010-04-15,3.7,3.72,3.6,3.61,300350,0
2010-04-16,3.53,3.6,3.36,3.5,857328,0
2010-04-19,3.47,3.5,3.36,3.48,404968,0
2010-04-20,3.49,3.6,3.49,3.55,321469,0
2010-04-21,3.62,3.62,3.44,3.51,575350,0
2010-04-22,3.47,3.54,3.41,3.54,314778,0
2010-04-23,3.5,3.63,3.42,3.57,525905,0
2010-04-26,3.63,3.7,3.62,3.67,503398,0
2010-04-27,3.58,3.73,3.58,3.68,618968,0
2010-04-28,3.68,3.83,3.65,3.73,571942,0
2010-04-29,3.73,3.85,3.69,3.8,659290,0
2010-04-30,3.84,4.02,3.82,3.91,920943,0
2010-05-03,3.93,4.02,3.85,3.89,641426,0
2010-05-04,3.85,3.92,3.46,3.78,1080633,0
2010-05-05,3.62,3.75,3.48,3.61,706425,0
2010-05-06,3.67,3.76,3.48,3.68,520023,0
2010-05-07,3.68,3.72,3.5,3.63,529707,0
2010-05-10,3.7,3.75,3.52,3.65,754334,0
2010-05-11,3.74,4.01,3.74,4,1495810,0
2010-05-12,4.06,4.28,4.05,4.13,1757627,0
2010-05-13,4.06,4.24,3.92,4,919314,0
2010-05-14,4.07,4.12,3.86,4.03,743505,0
2010-05-17,3.97,4.1,3.92,3.96,686435,0
2010-05-18,3.96,4.02,3.86,3.91,570784,0
2010-05-19,4.01,4.11,3.81,4.01,2099507,0
2010-05-20,3.8,3.95,3.55,3.55,1484032,0
2010-05-21,3.43,3.55,3.08,3.42,1585207,0
2010-05-24,3.43,3.55,3.43,3.48,381128,0
2010-05-25,3.4,3.48,3.26,3.44,781062,0
2010-05-26,3.58,3.68,3.53,3.53,601366,0
2010-05-27,3.62,3.69,3.55,3.55,627792,0
2010-05-28,3.55,3.62,3.42,3.57,526870,0
2010-06-01,3.51,3.7,3.44,3.5,490020,0
2010-06-02,3.46,3.5,3.38,3.47,469738,0
2010-06-03,3.47,3.48,3.33,3.45,415774,0
2010-06-04,3.39,3.39,3.26,3.29,529772,0
2010-06-07,3.22,3.42,3.22,3.39,372198,0
2010-06-08,3.4,3.51,3.39,3.44,495723,0
2010-06-09,3.43,3.46,3.39,3.39,244122,0
2010-06-10,3.36,3.45,3.34,3.45,171626,0
2010-06-11,3.43,3.47,3.38,3.44,188669,0
2010-06-14,3.45,3.53,3.41,3.41,240801,0
2010-06-15,3.45,3.5,3.41,3.49,312338,0
2010-06-16,3.52,3.54,3.44,3.44,255915,0
2010-06-17,3.52,3.55,3.47,3.52,426772,0
2010-06-18,3.6,3.74,3.57,3.6,1026027,0
2010-06-21,3.73,3.76,3.51,3.51,457165,0
2010-06-22,3.55,3.63,3.5,3.51,259534,0
2010-06-23,3.48,3.62,3.4,3.62,278470,0
2010-06-24,3.64,3.65,3.55,3.6,272432,0
2010-06-25,3.65,3.7,3.64,3.68,297081,0
2010-06-28,3.73,3.79,3.57,3.61,429073,0
2010-06-29,3.53,3.55,3.42,3.46,346093,0
2010-06-30,3.49,3.53,3.38,3.38,277161,0
2010-07-01,3.34,3.42,3.11,3.11,733379,0
2010-07-02,3.24,3.24,3.15,3.17,381278,0
2010-07-06,3.16,3.2,3.08,3.09,324232,0
2010-07-07,3.1,3.38,3.07,3.36,435034,0
2010-07-08,3.38,3.49,3.29,3.45,284104,0
2010-07-09,3.49,3.62,3.43,3.57,541239,0
