Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,80.574,81.328,79.522,79.847,3360149,0
2010-01-05,79.838,80.937,79.073,80.889,2605774,0
2010-01-06,80.689,81.444,79.999,80.22,2603401,0
2010-01-07,80.23,80.23,78.843,79.348,3232900,0
2010-01-08,80.451,81.58,79.368,81.319,4547348,0
2010-01-11,81.895,84.478,81.712,83.483,6408592,0
2010-01-12,82.705,84.852,81.905,82.842,3495883,0
2010-01-13,83.196,83.558,81.473,82.112,2984469,0
2010-01-14,81.885,82.714,81.415,82.564,2199221,0
2010-01-15,82.611,83.052,81.262,81.434,4529798,0
2010-01-19,81.299,82.537,81.299,82.19,2392405,0
2010-01-20,81.091,81.14,79.494,80.431,2919067,0
2010-01-21,80.709,80.832,77.791,78.078,2994774,0
2010-01-22,77.808,78.325,76.725,76.823,2666541,0
2010-01-25,77.714,77.714,75.734,77.206,1963232,0
2010-01-26,76.984,77.724,76.078,77.275,2374760,0
2010-01-27,77.265,77.284,75.217,76.948,3682817,0
2010-01-28,77.482,77.482,75.004,75.657,2063249,0
2010-01-29,76.239,77.216,74.921,74.966,3281127,0
2010-02-01,75.407,77.245,75.36,77.187,3193747,0
2010-02-02,77.569,78.987,76.89,78.775,3362559,0
2010-02-03,78.136,79.272,77.416,78.573,2710708,0
2010-02-04,77.845,78.212,75.35,75.446,4002832,0
2010-02-05,75.446,75.827,71.925,73.379,5785055,0
2010-02-08,73.504,74.413,72.058,73.379,3100570,0
2010-02-09,73.934,76.277,73.639,75.798,4906174,0
2010-02-10,75.744,75.865,74.172,74.911,2295841,0
2010-02-11,74.994,76.335,74.098,76.098,2375354,0
2010-02-12,75.013,75.283,74.164,75.159,3032941,0
2010-02-16,75.513,76.735,75.513,76.518,2768702,0
2010-02-17,76.452,77.014,75.523,76.489,2596502,0
2010-02-18,76.192,76.919,75.943,76.641,1790214,0
2010-02-19,76.641,78.882,76.641,78.23,3135342,0
2010-02-22,78.698,79.551,78.001,78.804,2318859,0
2010-02-23,78.517,79.532,77.426,77.971,2317324,0
2010-02-24,78.204,79.999,78.204,79.494,3222519,0
2010-02-25,78.019,79.676,76.804,79.59,3142698,0
2010-02-26,79.541,81.309,78.766,81.101,3166595,0
2010-03-01,81.253,82.714,81.17,82.103,2528063,0
2010-03-02,82.705,83.359,81.532,81.722,3312304,0
2010-03-03,82.112,84.01,81.96,82.423,3740525,0
2010-03-04,83.464,83.702,81.781,82.631,2558574,0
2010-03-05,83.436,83.962,82.89,83.196,1899590,0
2010-03-08,83.492,83.76,82.423,82.928,2011539,0
2010-03-09,82.744,83.568,81.942,83.101,2114504,0
2010-03-10,83.255,84.526,83.127,83.492,2672655,0
2010-03-11,82.871,83.245,81.942,82.754,4527124,0
2010-03-12,82.793,82.947,81.14,82.462,3767868,0
