Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,8.046,8.0647,8.0058,8.0587,198702,0
2010-01-05,8.1135,8.1135,7.9145,7.9723,363937,0
2010-01-06,8.0117,8.0875,7.9943,8.0117,223907,0
2010-01-07,8.0764,8.0981,7.9998,8.0935,157343,0
2010-01-08,8.1201,8.218,8.0875,8.218,171126,0
2010-01-11,8.2352,8.3442,8.2137,8.3399,207412,0
2010-01-12,8.2605,8.4214,8.2352,8.3808,308352,0
2010-01-13,8.4617,8.5074,8.4038,8.4337,386841,0
2010-01-14,8.4394,8.445,8.3934,8.4083,232612,0
2010-01-15,8.3758,8.4777,8.3633,8.3704,256773,0
2010-01-19,8.3501,8.5476,8.3353,8.5012,340843,0
2010-01-20,8.3442,8.4659,8.3353,8.445,210132,0
2010-01-21,8.3872,8.4617,8.2711,8.2711,345412,0
2010-01-22,8.3068,8.3294,8.2541,8.2657,278684,0
2010-01-25,8.2877,8.3442,8.1929,8.2657,275540,0
2010-01-26,8.2657,8.4083,8.2422,8.3189,253922,0
2010-01-27,8.3399,8.3442,8.2541,8.2657,143640,0
2010-01-28,8.2814,8.3633,8.1799,8.2422,242005,0
2010-01-29,8.3068,8.4659,8.2092,8.2285,208000,0
2010-02-01,8.2352,8.3976,8.2228,8.3007,165101,0
2010-02-02,8.3249,8.445,8.3249,8.3976,138613,0
2010-02-03,8.3808,8.5665,8.3501,8.5074,279623,0
2010-02-04,8.3976,8.5246,8.3007,8.3294,239437,0
2010-02-05,8.3566,8.3633,8.1459,8.2937,406378,0
2010-02-08,8.2285,8.2711,8.0935,8.0935,310955,0
2010-02-09,8.218,8.2711,8.1669,8.2352,215896,0
2010-02-10,8.2541,8.4617,8.2541,8.4146,203570,0
2010-02-11,8.4394,8.5773,8.4083,8.5532,306468,0
2010-02-12,8.5288,8.5288,8.4617,8.5192,197013,0
2010-02-16,8.5934,8.704,8.5719,8.5827,405819,0
2010-02-17,8.5719,8.5934,8.445,8.4564,224773,0
2010-02-18,8.445,8.4838,8.3704,8.4214,160153,0
2010-02-19,8.3353,8.3872,8.2657,8.3249,260552,0
2010-02-22,8.3249,8.3704,8.2937,8.3704,143926,0
2010-02-23,8.3872,8.4659,8.3501,8.445,242084,0
2010-02-24,8.4617,8.4705,8.3808,8.4705,127642,0
2010-02-25,8.4969,8.5665,8.3501,8.5665,210558,0
2010-02-26,8.5934,8.5934,8.5012,8.5476,143250,0
2010-03-01,8.5827,8.6668,8.5719,8.6668,238101,0
2010-03-02,8.6866,8.8197,8.6668,8.6668,308229,0
2010-03-03,8.6668,8.7147,8.5288,8.5532,236076,0
2010-03-04,8.5532,8.6924,8.5532,8.6172,185151,0
2010-03-05,8.6392,8.6985,8.6172,8.656,138862,0
2010-03-08,8.673,8.7201,8.6336,8.6453,156046,0
2010-03-09,8.65,8.6668,8.5192,8.65,265480,0
2010-03-10,8.656,8.6985,8.6282,8.6453,200301,0
2010-03-11,8.6336,8.656,8.5532,8.5665,175127,0
2010-03-12,8.6172,8.6866,8.5827,8.6866,136747,0
2010-03-15,8.6866,8.7432,8.6668,8.7432,129550,0
2010-03-16,8.7819,8.8135,8.6985,8.8004,155664,0
2010-03-17,8.8248,9.014,8.7819,8.9497,303055,0
2010-03-18,8.9497,9.0432,8.9092,8.9952,266667,0
2010-03-19,8.9846,8.9952,8.8471,8.9289,271736,0
2010-03-22,8.6392,8.8979,8.56,8.8814,410240,0
2010-03-23,8.9289,8.9886,8.8471,8.8979,231585,0
2010-03-24,8.8685,9.0262,8.8536,8.941,339980,0
2010-03-25,8.9846,8.9886,8.9289,8.9735,283097,0
2010-03-26,9.0262,9.0732,8.9043,9.0377,202096,0
2010-03-29,9.0481,9.0481,8.9289,8.9333,207787,0
2010-03-30,8.9793,8.9793,8.7092,8.7432,422304,0
2010-03-31,8.7773,8.7819,8.6605,8.7718,168178,0
2010-04-01,8.7883,8.8759,8.704,8.8574,143903,0
2010-04-05,8.8536,8.8536,8.6985,8.7258,212009,0
2010-04-06,8.704,8.7258,8.6605,8.6804,240843,0
2010-04-07,8.673,8.7311,8.598,8.6219,210009,0
2010-04-08,8.6336,8.7539,8.5532,8.7539,174505,0
2010-04-09,8.7539,8.8135,8.7311,8.8135,137200,0
2010-04-12,8.7672,8.8135,8.7539,8.7718,212352,0
2010-04-13,8.7478,8.7883,8.656,8.6985,246022,0
2010-04-14,8.6804,8.7672,8.6453,8.7258,278398,0
2010-04-15,8.6985,8.7615,8.6392,8.704,317805,0
2010-04-16,8.6282,8.6924,8.56,8.6101,224686,0
2010-04-19,8.56,8.65,8.5353,8.6282,186581,0
2010-04-20,8.65,8.7384,8.65,8.7384,315300,0
2010-04-21,8.6392,8.704,8.6336,8.673,301513,0
2010-04-22,8.6605,8.7147,8.65,8.6605,211984,0
2010-04-23,8.6993,8.8508,8.6993,8.8322,285914,0
2010-04-26,8.8341,8.9952,8.8341,8.9546,314027,0
2010-04-27,8.9463,8.9676,8.8536,8.8979,332307,0
2010-04-28,8.9289,9.0065,8.9289,8.9497,241963,0
2010-04-29,8.9614,9.0377,8.9546,9.0377,210410,0
2010-04-30,9.0481,9.0481,8.9793,9.0262,213329,0
2010-05-03,9.0262,9.0981,8.9886,9.0885,239523,0
2010-05-04,9.0555,9.0819,9.014,9.0819,239672,0
2010-05-05,9.0377,9.0432,8.8004,8.8068,422542,0
2010-05-06,8.6336,8.7539,1.3928,7.8972,3053902,0
2010-05-07,7.8855,8.1799,7.6955,8.1502,1177309,0
2010-05-10,8.4901,8.5476,8.3501,8.5246,466605,0
2010-05-11,8.4146,8.656,8.4083,8.589,232855,0
2010-05-12,8.6038,8.7201,8.5353,8.589,238719,0
2010-05-13,8.5246,8.8932,8.5246,8.7147,218401,0
2010-05-14,8.6219,8.7147,8.5246,8.6866,231760,0
2010-05-17,8.7201,8.7201,8.5288,8.7092,228339,0
2010-05-18,8.795,8.795,8.6282,8.6282,293279,0
2010-05-19,8.5934,8.6453,8.3068,8.6038,382701,0
2010-05-20,8.3068,8.4337,8.0412,8.0981,521549,0
2010-05-21,8.0412,8.3758,7.7128,8.3068,412708,0
2010-05-24,8.2541,8.4705,8.2541,8.4214,236415,0
2010-05-25,8.2711,8.2711,7.9321,8.1459,626623,0
2010-05-26,8.2092,8.4337,8.2092,8.3758,328623,0
2010-05-27,8.4838,8.6101,8.4617,8.598,148027,0
2010-05-28,8.673,8.673,8.4969,8.5288,155834,0
2010-06-01,8.4617,8.5476,8.3934,8.4564,152448,0
2010-06-02,8.4564,8.6101,8.4564,8.5827,178772,0
2010-06-03,8.5532,8.6282,8.5532,8.598,153378,0
2010-06-04,8.4969,8.6392,8.4659,8.4659,164482,0
2010-06-07,8.5192,8.6172,8.4901,8.5934,168290,0
2010-06-08,8.5665,8.6282,8.5532,8.6101,151520,0
2010-06-09,8.7147,8.7478,8.6392,8.673,149410,0
2010-06-10,8.7147,8.7478,8.6866,8.7384,196247,0
2010-06-11,8.6866,8.8536,8.6866,8.8471,178310,0
2010-06-14,8.9614,8.9676,8.8574,8.9614,262536,0
2010-06-15,8.9846,9.014,8.941,9.0065,236922,0
2010-06-16,9.0026,9.0555,8.9676,8.9886,204803,0
2010-06-17,8.9952,9.0262,8.9676,8.9952,117166,0
2010-06-18,9.0065,9.0432,8.9846,9.0262,131012,0
2010-06-21,8.9952,9.0262,8.8877,8.9156,158796,0
2010-06-22,8.8685,8.9222,8.8415,8.8685,124363,0
2010-06-23,8.8877,8.9614,8.8004,8.8932,134134,0
2010-06-24,8.8305,8.8415,8.7539,8.7615,145050,0
2010-06-25,8.7883,8.941,8.7432,8.9289,118089,0
2010-06-28,8.9289,9.0196,8.8536,9.0196,165346,0
2010-06-29,8.9463,8.9846,8.8197,8.8619,167605,0
2010-06-30,8.9139,9.0396,8.8555,8.98,133933,0
2010-07-01,8.8536,8.9289,8.5246,8.704,571390,0
2010-07-02,8.6605,8.7258,8.5353,8.6668,172271,0
2010-07-06,8.6924,8.7147,8.6172,8.6219,186917,0
2010-07-07,8.6282,8.7672,8.6219,8.7672,158886,0
2010-07-08,8.7615,8.7615,8.6453,8.7311,164690,0
2010-07-09,8.6866,8.8341,8.673,8.8341,135067,0
2010-07-12,8.7672,8.8341,8.7258,8.8004,188313,0
2010-07-13,8.8341,8.8814,8.7539,8.8619,179918,0
2010-07-14,8.8135,8.8471,8.7147,8.795,119065,0
2010-07-15,8.8248,8.8932,8.7615,8.8759,223660,0
2010-07-16,8.8619,8.8619,8.7819,8.8536,175766,0
2010-07-19,8.8471,8.9289,8.8248,8.9092,209930,0
2010-07-20,8.8877,8.9614,8.8536,8.9497,226486,0
2010-07-21,8.9497,9.032,8.9463,8.9735,207945,0
