Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,53.35,54.47,53.35,53.98,674810,0
2010-01-05,53.28,53.49,51.57,52.52,2143320,0
2010-01-06,52.2,53.32,52.2,52.76,1404985,0
2010-01-07,52.75,53.05,51.6,52.23,954639,0
2010-01-08,52.17,52.96,51.88,52.96,457568,0
2010-01-11,53.57,53.6,52.19,52.45,514457,0
2010-01-12,52.14,52.49,50.4,51.02,956175,0
2010-01-13,51.02,52.71,51.02,52.39,803866,0
2010-01-14,52.3,53,51.66,52.14,585964,0
2010-01-15,51.93,52.8,51.13,51.39,684828,0
2010-01-19,51.48,52.73,51.25,52.33,943903,0
2010-01-20,52.21,53.11,51.5,53.01,1584057,0
2010-01-21,55.38,56.19,53.07,54.61,3792543,0
2010-01-22,54.72,54.94,51.9,52.28,1734581,0
2010-01-25,52.63,53.7,51.86,53.48,1368984,0
2010-01-26,53.26,53.59,52.27,52.39,1462214,0
2010-01-27,52.26,52.65,51.1,51.63,1406697,0
2010-01-28,51.52,51.73,49.64,50.72,2151731,0
2010-01-29,51,51.49,49.27,49.43,1532544,0
2010-02-01,49.53,50.41,49.33,50.39,1068060,0
2010-02-02,48.41,50.82,47.84,50.48,1752068,0
2010-02-03,50.25,51.47,49.77,50.46,1419639,0
2010-02-04,49.93,50.22,48.31,48.36,1235789,0
2010-02-05,48.94,48.94,47.11,48.43,1662778,0
2010-02-08,48.51,49.69,48.49,48.52,1021863,0
2010-02-09,49.11,50.46,49.11,50.25,1491902,0
2010-02-10,49.98,50.43,49.63,49.96,940989,0
2010-02-11,49.85,53.8,49.76,53.71,2496274,0
2010-02-12,53.25,53.97,52.2,53.35,1535771,0
2010-02-16,53.68,53.92,52.87,53.57,706976,0
2010-02-17,53.43,53.94,52.95,53.77,1045845,0
2010-02-18,53.6,54.79,53.09,54.68,964874,0
2010-02-19,54.54,55.57,54.37,54.94,1079265,0
2010-02-22,55.34,55.5,54.62,54.9,742350,0
2010-02-23,54.44,54.89,53.51,54.33,627338,0
2010-02-24,54.38,56.16,53.98,55.57,1086996,0
2010-02-25,54.81,55.38,54.12,55.37,874264,0
2010-02-26,55.37,55.84,55,55.8,995708,0
2010-03-01,56.11,58.48,56,58.25,2144250,0
2010-03-02,58.41,60.23,58.29,59.69,2586293,0
2010-03-03,59.75,61.93,59.7,61.32,2957710,0
2010-03-04,61.27,61.8,60.16,60.7,1243624,0
2010-03-05,61.17,61.66,60.99,61.22,1163074,0
2010-03-08,61.44,62.06,60.77,60.88,1351826,0
2010-03-09,60.96,62.45,60.62,61.66,1411330,0
2010-03-10,61.89,63.48,61.56,62.67,1503242,0
2010-03-11,62.95,63.74,62,63.74,1433446,0
2010-03-12,63.99,64,62.37,63.1,1078733,0
2010-03-15,62.99,63.27,62.25,63.07,647262,0
2010-03-16,63.04,63.17,62.15,62.51,865050,0
2010-03-17,62.82,64.89,62.55,64.6,1454585,0
2010-03-18,64.86,65.1,63.8,64.31,827205,0
2010-03-19,63.28,63.29,60.86,61.75,2231433,0
2010-03-22,61.66,63.03,61.03,62.78,826125,0
2010-03-23,62.88,63.68,62.14,63.6,901357,0
2010-03-24,63.5,64.26,63,63.99,1113091,0
2010-03-25,64.51,65.1,62.65,62.65,1237554,0
2010-03-26,62.91,63.72,61.98,62.56,723425,0
2010-03-29,62.7,63.05,62.2,62.62,558075,0
2010-03-30,62.76,63.29,61.89,62.47,666890,0
2010-03-31,62.19,62.89,61.51,61.63,740261,0
2010-04-01,61.69,63.45,61.44,62.14,1021348,0
2010-04-05,62.7,65.69,62.7,65.29,1241611,0
2010-04-06,65.26,65.4,63.95,65.12,1144988,0
2010-04-07,65.29,65.53,63.96,64.56,834542,0
2010-04-08,64.11,64.36,62.25,63.92,1276552,0
2010-04-09,63.86,64.92,63.48,64.76,764547,0
2010-04-12,64.93,65.17,63.68,63.99,977106,0
2010-04-13,64.07,65.45,63.87,65.21,1593028,0
2010-04-14,65.31,67.69,65.31,67.34,1378574,0
2010-04-15,67.4,67.77,66.31,67.13,927575,0
2010-04-16,66.9,67.25,65.38,66.25,916583,0
2010-04-19,66.37,66.67,64,65.76,1249687,0
2010-04-20,66.01,66.65,65.51,65.96,1046684,0
2010-04-21,65.84,67.28,65.6,66.96,1739092,0
2010-04-22,65.17,71.8,65.02,71.79,4294356,0
2010-04-23,71.67,72.6,70.6,71.28,1719509,0
2010-04-26,71.3,71.92,70.26,70.41,946278,0
2010-04-27,70,70.84,68.47,69.61,1506711,0
2010-04-28,70.1,70.38,68.48,69.57,740933,0
2010-04-29,70.36,71.52,69.29,70.39,1297745,0
2010-04-30,70.63,71.3,68.4,68.43,1500264,0
2010-05-03,67.33,71.21,67.33,71.08,1599790,0
2010-05-04,69.54,70.25,68.95,69.33,1224395,0
2010-05-05,68.36,69.96,67.59,69.23,1461308,0
2010-05-06,68.93,69.69,60.5,65.74,2280667,0
2010-05-07,64.98,65.73,60.72,63.33,2383501,0
2010-05-10,66.5,68.57,66,68.57,1694161,0
2010-05-11,67.76,70.99,67.53,69.79,1738006,0
2010-05-12,70.23,73.15,70.09,72.85,1676483,0
2010-05-13,72.39,74,70.34,70.69,1508042,0
2010-05-14,69.59,70.33,68.59,70,1222482,0
2010-05-17,70.03,71.4,67.83,69.61,1418032,0
2010-05-18,70.57,71.14,68.4,68.87,906519,0
2010-05-19,68.5,69.61,67.05,68.65,886657,0
2010-05-20,66.36,66.81,64.1,64.73,1941301,0
2010-05-21,64.08,67.54,62.99,66.9,2229605,0
2010-05-24,66.91,68.46,66.53,67.32,1354259,0
2010-05-25,65.38,68.62,63.31,68.59,2241933,0
2010-05-26,69.72,71.62,68.54,68.69,5031601,0
2010-05-27,70.39,73.24,70.39,73.22,2077956,0
2010-05-28,72.59,72.59,69.87,70.33,2248056,0
2010-06-01,70.02,70.55,67.65,67.76,1671157,0
2010-06-02,68.46,69.41,67.6,69.28,1437606,0
2010-06-03,70.22,72.12,69.9,71.96,1967170,0
2010-06-04,70.19,71.39,68.64,69.01,1807314,0
2010-06-07,69.01,70.38,66.82,67.05,1552906,0
2010-06-08,67.32,68,65,66.83,1851029,0
2010-06-09,66.66,68.42,64.39,66.81,2703454,0
2010-06-10,68.27,68.99,66.79,68.1,899194,0
2010-06-11,67.16,69.95,66.92,69.95,1348721,0
2010-06-14,71,71.83,70.01,70.47,1237520,0
2010-06-15,71.41,73.29,70.88,72.97,1041600,0
2010-06-16,72.1,75.24,72.01,74.69,2506183,0
2010-06-17,75.28,75.93,72.77,73.42,1615843,0
2010-06-18,73.36,74.62,72.94,73.81,1591163,0
2010-06-21,74.99,77.1,73.8,74.22,1871231,0
2010-06-22,74.44,76,73.03,73.17,1478659,0
2010-06-23,72.66,75.24,72.32,74.36,1388343,0
2010-06-24,74.08,74.09,71.53,71.98,1480120,0
2010-06-25,72.02,72.3,70.1,71.89,1412086,0
2010-06-28,72.22,74.48,72.21,73.51,1200456,0
2010-06-29,71.46,71.97,68.83,69.09,1852521,0
2010-06-30,69.1,70.52,67.72,68.57,2086311,0
2010-07-01,68.51,69.91,66.79,69.6,1525318,0
2010-07-02,69.98,69.98,67.97,68.65,1221949,0
2010-07-06,69.9,72.46,69.26,70.14,1581102,0
2010-07-07,70.5,75.19,70.5,75.12,2138507,0
2010-07-08,75.61,76.16,74.16,75.53,1768654,0
2010-07-09,75.18,75.9,74.4,75.23,799753,0
2010-07-12,75.13,77.96,74.96,76.67,1373317,0
2010-07-13,77.5,77.7,74.93,76.86,1738142,0
2010-07-14,77.07,79.21,77.04,77.87,1260022,0
2010-07-15,78.24,79,76.91,78.7,867408,0
2010-07-16,77.94,78.52,76.29,76.37,1384443,0
2010-07-19,75.24,77.03,75.02,76.25,1825800,0
2010-07-20,75,77,73.76,76.79,1234832,0
2010-07-21,77.15,77.74,72.48,73.11,3213004,0
2010-07-22,80.1,83.85,79.4,83.4,5533954,0
2010-07-23,83.2,87.35,82.74,87.21,2956972,0
2010-07-26,87.16,87.69,85.81,87.48,1786420,0
2010-07-27,87.88,87.97,85.16,86.09,1490097,0
2010-07-28,85.76,87.21,84.6,85.78,978423,0
2010-07-29,86.87,87.7,84.35,86.53,1313120,0
2010-07-30,85.27,88.34,84.51,87.83,2213146,0
2010-08-02,87.96,90.25,87.01,88.6,2190938,0
2010-08-03,88.14,89.27,87.51,88.59,1097346,0
2010-08-04,88.51,90,87.87,89.82,1212218,0
2010-08-05,89.51,90.83,88.37,88.95,1125539,0
2010-08-06,87.49,89.5,86.72,88.48,1262395,0
2010-08-09,89.4,91.97,88.75,91.41,1742267,0
2010-08-10,90.84,92.7,89.99,92.23,1206079,0
2010-08-11,89.56,89.94,86.01,86.82,2273063,0
2010-08-12,82.47,84.68,80,82.77,3859565,0
2010-08-13,82.83,84.96,82.27,83.88,1451810,0
2010-08-16,82.96,85.19,82.34,83.89,806903,0
2010-08-17,85.21,89.77,84.7,87.91,2003817,0
2010-08-18,88.52,89.52,87.89,88.86,1781405,0
2010-08-19,88.46,89.6,88.12,88.73,1165822,0
2010-08-20,88.12,91.63,88.08,91.04,1420538,0
2010-08-23,90.73,91.6,88.76,89.27,1269634,0
2010-08-24,87.56,87.64,85.57,86.27,1459416,0
2010-08-25,85.63,87.08,84.01,86.89,1693033,0
2010-08-26,87.88,89.6,87.35,87.66,1217029,0
2010-08-27,88.7,89.89,86,89.02,1186194,0
2010-08-30,89.09,90.97,89,89.24,1203312,0
2010-08-31,88.58,89.21,86.46,87.43,1385030,0
2010-09-01,89.84,91.17,89.21,90.74,1175380,0
2010-09-02,91.22,91.69,89.83,91.11,1612511,0
2010-09-03,92.72,94.48,92,93.8,1194984,0
2010-09-07,93.22,94.43,92.25,93.52,1029025,0
2010-09-08,94.37,97.05,93.56,96.36,2180459,0
2010-09-09,97,98.01,94.7,95.73,2076879,0
2010-09-10,95.63,95.63,92.75,94.15,1446904,0
2010-09-13,96.31,99.72,95.91,98.87,1991999,0
2010-09-14,98.47,100.17,97.57,98.66,1801115,0
2010-09-15,99.13,99.73,97.2,99.14,1324081,0
2010-09-16,99.32,100.92,98,100.52,1453549,0
2010-09-17,100.56,101.45,99.33,100.98,1307373,0
2010-09-20,101.96,105.2,100.99,104.64,1781012,0
2010-09-21,104.91,104.91,102.03,103.38,1453581,0
2010-09-22,102.63,103.82,99.61,100.49,1678607,0
2010-09-23,99.17,104.1,99.04,102.49,1672923,0
2010-09-24,104.24,105.72,102.81,103.07,1404024,0
2010-09-27,103.5,104.1,101.19,103.23,1328964,0
2010-09-28,103.66,105.5,100.8,104.06,1888075,0
2010-09-29,104.12,105.5,102.96,104.41,1318003,0
2010-09-30,105.09,107.3,102.56,103.81,2583016,0
2010-10-01,104.82,105.27,101.65,103.29,1779470,0
2010-10-04,103.65,109,103.16,105.89,3064304,0
