Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,10.241,10.33,9.771,9.888,13025,0
2010-01-05,9.898,9.898,9.2699,9.2699,23390,0
2010-01-06,9.2502,9.4074,8.6609,8.6609,35380,0
2010-01-07,8.6807,8.7887,8.1505,8.3469,23793,0
2010-01-08,8.7101,8.8476,8.3174,8.3862,17136,0
2010-01-11,8.4548,8.6807,8.3469,8.5628,15867,0
2010-01-12,8.4548,8.5628,8.4155,8.4941,7904,0
2010-01-13,8.4647,8.7592,8.3566,8.5529,13472,0
2010-01-14,8.5235,8.9557,8.5235,8.6414,22040,0
2010-01-15,8.7592,8.8181,8.6021,8.6216,18864,0
2010-01-19,8.6216,9.525,8.6216,9.319,12931,0
2010-01-20,9.2699,9.2699,8.8574,9.0342,8366,0
2010-01-21,8.8869,9.3678,8.504,8.5235,17520,0
2010-01-22,8.5432,8.8671,7.9932,8.1994,23558,0
2010-01-25,8.5628,8.5628,8.0817,8.4255,14185,0
2010-01-26,8.4155,8.8378,8.2782,8.3174,18330,0
2010-01-27,8.2387,8.5432,8.2387,8.4941,7013,0
2010-01-28,8.5432,9.319,8.4448,8.6511,18623,0
2010-01-29,8.8671,8.8671,8.6511,8.7002,15310,0
2010-02-01,8.7199,9.319,8.2584,8.3369,15102,0
2010-02-02,8.3862,8.6609,8.3369,8.3469,16673,0
2010-02-03,8.3662,8.3762,7.3648,7.5122,32091,0
2010-02-04,7.4924,7.5023,6.9033,6.9425,22938,0
2010-02-05,6.9524,7.2175,6.4712,7.0801,23256,0
2010-02-08,7.0505,7.0897,6.8739,6.8836,32225,0
2010-02-09,7.021,7.571,7.021,7.3943,27497,0
2010-02-10,7.3746,7.3746,6.9817,7.2175,14923,0
2010-02-11,7.1682,7.355,6.9817,7.0996,10958,0
2010-02-12,7.031,7.2568,6.9817,7.2275,11332,0
2010-02-16,7.2666,7.2961,7.1389,7.2468,9384,0
2010-02-17,7.2568,7.463,7.1682,7.4237,7641,0
2010-02-18,7.3943,7.5416,7.3648,7.4532,5496,0
2010-02-19,7.463,7.787,7.463,7.6496,14572,0
2010-02-22,7.6889,7.9048,7.4729,7.8754,26234,0
2010-02-23,7.787,8.1897,7.679,7.9048,10383,0
2010-02-24,7.6496,8.1013,7.6299,7.9932,10126,0
2010-02-25,7.9048,7.9737,7.7575,7.9245,7166,0
2010-02-26,7.954,9.0342,7.7477,8.4548,22260,0
2010-03-01,7.9048,8.7592,7.7969,8.6216,15663,0
2010-03-02,8.6119,9.653,8.6119,9.2797,50506,0
2010-03-03,9.3092,9.732,9.0243,9.4552,12962,0
2010-03-04,9.623,9.623,9.4164,9.575,29167,0
2010-03-05,9.613,10.046,9.3287,10.026,32463,0
2010-03-08,10.096,10.096,9.604,9.663,35705,0
2010-03-09,9.594,9.809,9.4164,9.4264,41417,0
2010-03-10,9.4164,9.967,8.7887,9.0636,42138,0
2010-03-11,9.0243,9.103,8.7002,8.9557,32224,0
2010-03-12,9.0243,9.0243,8.8083,8.8574,3036,0
2010-03-15,8.8476,8.9262,8.7101,8.7887,4929,0
2010-03-16,8.8476,8.8476,8.504,8.6119,1956,0
2010-03-17,8.6119,8.7887,8.504,8.5823,4703,0
2010-03-18,8.4743,8.5727,8.2484,8.2484,17733,0
2010-03-19,8.3369,8.3369,8.1306,8.2683,30249,0
2010-03-22,8.1994,8.4448,8.1994,8.2387,7936,0
2010-03-23,8.2092,8.6119,8.0031,8.5432,25482,0
2010-03-24,8.4941,8.4941,8.1505,8.1699,9834,0
2010-03-25,8.2683,8.3469,8.1013,8.1405,6710,0
2010-03-26,8.1897,8.769,8.0521,8.4448,26648,0
2010-03-29,8.4941,8.6807,8.2782,8.4255,5561,0
2010-03-30,8.5727,8.7298,8.3762,8.5334,8638,0
2010-03-31,8.4647,8.769,8.2877,8.4155,17635,0
2010-04-01,8.4448,8.7101,8.0424,8.2782,10559,0
2010-04-05,8.1897,8.2683,8.1699,8.229,4714,0
2010-04-06,8.1505,8.3369,8.1505,8.2683,2362,0
2010-04-07,8.2387,8.4448,8.229,8.3862,8287,0
2010-04-08,8.2782,8.7788,8.2782,8.5628,13699,0
2010-04-09,8.5922,8.5922,8.1994,8.2387,21065,0
2010-04-12,8.2683,8.3862,8.229,8.3469,10148,0
2010-04-13,8.3469,8.6216,7.9737,8.3174,39581,0
2010-04-14,8.504,8.5136,8.1306,8.3662,24311,0
2010-04-15,8.3369,8.3369,8.1897,8.2683,5191,0
2010-04-16,8.2683,8.3762,8.0521,8.1013,19203,0
2010-04-19,8.0521,8.2484,7.8754,8.2191,12593,0
2010-04-20,8.0521,8.1209,7.9834,8.0817,8593,0
2010-04-21,8.2976,9.152,8.2092,9.0537,32165,0
2010-04-22,8.9262,9.2109,8.7002,8.8967,11682,0
2010-04-23,8.9164,8.9262,8.6414,8.7395,10057,0
2010-04-26,8.7592,9.1323,8.7199,8.7592,13017,0
2010-04-27,8.7887,9.0047,8.2683,8.3862,17574,0
2010-04-28,8.4255,9.1323,8.3959,8.6315,10554,0
2010-04-29,8.7298,8.8083,8.4448,8.5823,16365,0
2010-04-30,8.5727,8.6119,8.1897,8.2782,32362,0
2010-05-03,8.3076,8.4548,7.9834,8.3862,18979,0
2010-05-04,8.2387,8.4647,7.9245,8.0424,23520,0
2010-05-05,7.954,8.1994,7.5122,7.6004,33502,0
2010-05-06,7.571,8.2484,7.2862,7.5611,20151,0
2010-05-07,7.5122,8.0227,7.2371,7.4138,13556,0
2010-05-10,7.7477,7.8657,7.3844,7.8165,22591,0
2010-05-11,7.738,8.0031,7.3648,7.679,18458,0
2010-05-12,7.3844,8.1013,7.3844,8.0424,18254,0
2010-05-13,7.5218,8.1013,7.5218,7.8067,8372,0
2010-05-14,7.7477,7.7477,7.4138,7.571,10776,0
2010-05-17,7.6496,8.1505,7.4826,7.5513,14958,0
2010-05-18,7.6889,7.9048,7.3648,7.3943,14268,0
2010-05-19,7.3648,7.4532,7.1194,7.1782,17424,0
2010-05-20,7.021,7.2175,6.972,7.0996,31377,0
2010-05-21,6.9817,7.2275,6.8934,6.9524,14589,0
2010-05-24,6.9524,7.2568,6.6675,6.6971,27155,0
2010-05-25,6.5401,6.8247,6.4809,6.5105,16609,0
2010-05-26,6.5987,6.9817,6.5201,6.5201,22345,0
2010-05-27,6.6579,6.7461,6.5793,6.7461,14796,0
2010-05-28,6.7757,6.7952,6.6282,6.6971,33936,0
2010-06-01,6.6675,6.7757,6.1963,6.1963,18132,0
2010-06-02,6.265,6.5987,6.2551,6.5498,16771,0
2010-06-03,6.5987,6.7658,6.5201,6.5594,10521,0
2010-06-04,6.3828,6.5694,6.1766,6.1864,20737,0
2010-06-07,6.1373,6.1864,5.8918,5.8918,26475,0
2010-06-08,6.1373,6.1766,5.9116,6.0096,16907,0
2010-06-09,6.0391,6.049,5.6268,5.715,26254,0
2010-06-10,5.8034,5.823,5.509,5.8034,22444,0
2010-06-11,5.6955,5.8133,5.5776,5.6757,18350,0
2010-06-14,5.715,5.7446,5.4107,5.5384,17401,0
2010-06-15,5.5483,5.607,5.3421,5.4991,32830,0
2010-06-16,5.45,5.6463,5.45,5.45,14529,0
2010-06-17,5.4991,5.4991,5.3614,5.4007,3919,0
2010-06-18,5.45,5.45,5.2733,5.391,31751,0
2010-06-21,5.4892,5.5971,5.2829,5.3714,17812,0
2010-06-22,5.4107,5.5776,5.4107,5.4793,15775,0
2010-06-23,5.4598,5.5776,5.3614,5.45,14948,0
2010-06-24,5.3124,5.4007,5.2535,5.2829,28980,0
2010-06-25,5.3222,5.5186,4.9197,5.0178,981260,0
2010-06-28,5.0178,5.0964,4.8215,4.9,55205,0
2010-06-29,4.8706,5.126,4.8117,4.9884,23765,0
2010-06-30,5.0475,5.1455,4.9099,4.9589,23239,0
2010-07-01,4.9099,5.0571,4.8117,4.8117,22619,0
2010-07-02,4.8312,4.9491,4.8117,4.9099,7842,0
2010-07-06,5.0375,5.0375,4.8117,4.8312,17019,0
2010-07-07,4.8117,4.8117,4.5859,4.6153,25427,0
2010-07-08,4.6252,4.9099,4.5859,4.8411,16512,0
2010-07-09,4.9,5.0082,4.6741,4.7626,20435,0
2010-07-12,4.7526,4.8215,4.5074,4.684,20256,0
2010-07-13,4.684,4.8215,4.5074,4.6252,69642,0
2010-07-14,4.6349,4.6349,4.5268,4.6153,9113,0
2010-07-15,4.5859,4.7037,4.4875,4.517,15686,0
2010-07-16,4.517,4.566,4.4189,4.4483,17380,0
2010-07-19,4.6645,4.7526,4.4681,4.4875,22896,0
2010-07-20,4.4974,4.6153,4.4288,4.517,15539,0
2010-07-21,4.7037,5.1062,4.6153,4.7919,55443,0
2010-07-22,4.8019,4.8117,4.7037,4.8117,18050,0
2010-07-23,4.9099,4.9197,4.7724,4.8411,25440,0
2010-07-26,4.8608,5.0571,4.8608,5.0082,32318,0
2010-07-27,5.0475,5.1554,5.0375,5.1554,29710,0
2010-07-28,5.1652,5.2043,5.0375,5.1062,30857,0
2010-07-29,5.1062,5.1062,5.0768,5.1062,9912,0
2010-07-30,5.1062,5.1062,5.0669,5.0964,11619,0
2010-08-02,5.2043,5.2043,5.1062,5.1356,21193,0
2010-08-03,5.1062,5.1554,5.0669,5.1554,14351,0
2010-08-04,5.2043,5.2043,5.0868,5.1554,13238,0
2010-08-05,5.1749,5.7543,5.0571,5.4107,14094,0
2010-08-06,5.391,6.2257,5.2928,6.1079,22480,0
2010-08-09,6.3435,6.4221,5.9802,6.2257,20051,0
2010-08-10,6.2944,6.2944,5.7446,5.7543,14846,0
2010-08-11,5.7249,5.9998,5.4991,5.4991,11116,0
2010-08-12,5.5284,5.5284,5.45,5.5284,2991,0
2010-08-13,5.5579,6.3828,5.5579,5.99,3699,0
2010-08-16,5.8723,6.0391,5.8723,5.8918,4990,0
2010-08-17,5.9016,6.1276,5.8918,6.1177,53827,0
2010-08-18,6.0883,6.3239,5.6661,6.3239,29053,0
2010-08-19,6.1373,6.1766,6.049,6.049,6762,0
2010-08-20,6.2944,6.2944,5.9802,6.098,6963,0
2010-08-23,6.0784,6.0784,5.4007,5.5384,30182,0
2010-08-24,5.5875,5.774,5.5284,5.5284,10989,0
2010-08-25,5.5579,5.774,5.5284,5.6955,3768,0
2010-08-26,5.7249,5.7249,4.9982,5.0475,19132,0
2010-08-27,5.0475,5.4697,5.0276,5.1652,8098,0
2010-08-30,5.391,5.5579,5.3028,5.3714,8096,0
2010-08-31,5.3614,5.4793,5.0768,5.1455,5263,0
2010-09-01,5.1554,5.3321,5.1554,5.2241,2356,0
2010-09-02,5.2535,5.4007,5.0571,5.1062,11491,0
2010-09-03,5.0868,5.2241,4.9296,5.0276,7762,0
2010-09-07,4.9884,5.1062,4.7526,4.8215,6259,0
2010-09-08,4.8608,5.234,4.8411,5.2241,7039,0
2010-09-09,5.1554,5.1554,4.9689,5.0868,8134,0
2010-09-10,5.0768,5.1554,5.0768,5.1554,915,0
2010-09-13,5.2142,5.2241,4.9392,5.1554,7030,0
2010-09-14,5.0082,5.1554,5.0082,5.0375,4592,0
2010-09-15,5.0375,5.1554,5.0276,5.1554,8403,0
2010-09-16,5.1455,5.1554,5.1356,5.1356,11508,0
2010-09-17,5.1554,5.1554,4.566,4.566,36968,0
2010-09-20,4.6349,4.9099,4.6349,4.8117,20389,0
2010-09-21,4.8117,5.0475,4.8117,4.8608,3749,0
2010-09-22,4.9785,5.0475,4.9785,5.0475,5127,0
2010-09-23,5.0964,5.1062,4.7822,4.7822,6398,0
2010-09-24,4.9,5.0475,4.7626,4.9099,11127,0
2010-09-27,4.7724,4.9589,4.7626,4.9099,2442,0
2010-09-28,4.9589,5.0082,4.7724,4.7919,11773,0
2010-09-29,4.8608,4.8608,4.7919,4.8019,8255,0
2010-09-30,4.9392,4.9491,4.8608,4.8608,3951,0
2010-10-01,4.9099,4.9099,4.8608,4.8608,307,0
2010-10-04,4.7626,4.8804,4.7626,4.8312,1121,0
2010-10-05,4.8804,4.8804,4.8312,4.8312,268,0
2010-10-06,4.8804,4.9099,4.7626,4.8019,1834,0
2010-10-07,4.7724,4.9099,4.6741,4.6939,5700,0
2010-10-08,4.684,4.7331,4.6153,4.7133,6111,0
2010-10-11,4.6645,4.7526,4.5956,4.6153,12979,0
2010-10-12,4.6645,4.684,4.517,4.6447,10304,0
2010-10-13,4.4777,4.6153,4.4777,4.576,5804,0
2010-10-14,4.5956,4.6153,4.5956,4.5956,715,0
2010-10-15,4.7822,4.7822,4.6153,4.6741,7886,0
2010-10-18,4.7233,4.7233,4.5074,4.6546,1834,0
2010-10-19,4.7233,4.7233,4.517,4.517,2750,0
2010-10-20,4.6252,4.7331,4.6153,4.6252,3473,0
2010-10-21,4.7331,4.7822,4.6645,4.684,6518,0
2010-10-22,4.684,4.7037,4.4582,4.566,17080,0
2010-10-25,4.5956,4.7822,4.5859,4.7037,4481,0
2010-10-26,4.6546,4.6741,4.4875,4.4875,8769,0
2010-10-27,4.4875,4.5367,4.4189,4.4483,23080,0
2010-10-28,4.517,4.5467,4.4288,4.4483,4577,0
2010-10-29,4.4189,4.4875,4.4189,4.4288,21311,0
2010-11-01,4.517,4.6939,4.4189,4.4288,13917,0
2010-11-02,4.5467,4.566,4.4681,4.4974,8503,0
2010-11-03,4.4974,4.5956,4.4681,4.566,2449,0
2010-11-04,4.4582,4.6153,4.4386,4.5563,5715,0
2010-11-05,4.4974,4.8608,4.4681,4.8608,6639,0
2010-11-08,4.851,4.9099,4.7233,4.9099,13717,0
2010-11-09,4.7233,4.8706,4.7233,4.8312,714,0
2010-11-10,4.851,4.851,4.6349,4.7919,7219,0
2010-11-11,4.7919,4.9589,4.7919,4.9392,5775,0
2010-11-12,4.9099,4.9099,4.6252,4.8608,4176,0
2010-11-15,4.8411,4.8411,4.6741,4.7037,1889,0
2010-11-16,4.6741,4.8706,4.6741,4.8117,4622,0
2010-11-17,4.684,4.8608,4.684,4.7526,2090,0
2010-11-18,4.7037,4.7133,4.7037,4.7133,4663,0
2010-11-19,4.7626,4.9099,4.7429,4.7429,8225,0
2010-11-22,4.8608,4.9491,4.8608,4.8804,915,0
2010-11-23,4.8804,4.9099,4.7626,4.7626,1679,0
