Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,9.774,9.897,9.635,9.664,2164095,0
2010-01-05,9.609,9.983,9.609,9.932,3365772,0
2010-01-06,9.983,10.365,9.88,10.311,5643434,0
2010-01-07,10.338,10.476,10.184,10.234,2414769,0
2010-01-08,10.234,10.642,10.087,10.607,4764509,0
2010-01-11,10.755,10.857,10.476,10.693,4385558,0
2010-01-12,10.615,10.865,10.588,10.728,3326357,0
2010-01-13,10.755,10.773,10.529,10.745,2889487,0
2010-01-14,10.71,10.865,10.658,10.764,2538520,0
2010-01-15,10.789,10.857,10.538,10.547,2812103,0
2010-01-19,10.574,10.597,10.303,10.338,3217594,0
2010-01-20,10.26,10.391,10.174,10.217,1993946,0
2010-01-21,10.207,10.399,10.14,10.303,4878892,0
2010-01-22,10.253,10.435,10.131,10.174,3691943,0
2010-01-25,10.311,10.435,10.2,10.234,2948385,0
2010-01-26,10.122,10.365,10.122,10.157,1570019,0
2010-01-27,10.174,10.286,9.966,10.166,3119010,0
2010-01-28,10.166,10.217,9.88,9.949,2852100,0
2010-01-29,9.966,10.157,9.767,9.774,2095775,0
2010-02-01,9.835,10.14,9.784,10.122,2779555,0
2010-02-02,10.166,10.365,10.131,10.338,2153262,0
2010-02-03,10.311,10.407,10.131,10.356,3627403,0
2010-02-04,10.2,10.399,10.077,10.087,3608495,0
2010-02-05,10.112,10.157,9.817,10.05,3664475,0
2010-02-08,10.077,10.2,9.966,10.077,2022912,0
2010-02-09,10.244,10.27,10.05,10.103,3195774,0
2010-02-10,10.058,10.15,9.958,10.05,1324926,0
2010-02-11,10.05,10.234,9.966,10.234,1174400,0
2010-02-12,10.103,10.184,10.036,10.166,1731375,0
2010-02-16,10.217,10.443,10.192,10.443,1180769,0
2010-02-17,10.399,10.996,10.399,10.84,3496996,0
2010-02-18,10.857,11.101,10.84,11.023,2663227,0
2010-02-19,11.039,11.229,10.97,11.101,2221604,0
2010-02-22,11.125,11.369,11.117,11.29,2503532,0
2010-02-23,11.29,11.404,11.014,11.3,2792931,0
2010-02-24,11.3,11.3,10.823,11.152,4771356,0
2010-02-25,11.014,11.093,10.899,11.058,4006429,0
2010-02-26,11.084,11.3,11.039,11.229,3355547,0
2010-03-01,11.282,11.654,11.108,11.644,3254837,0
2010-03-02,11.679,11.698,11.387,11.436,4400927,0
2010-03-03,11.471,11.516,11.125,11.265,3932039,0
2010-03-04,11.661,12.606,11.516,11.845,12957174,0
2010-03-05,11.913,12.418,11.819,12.331,4970829,0
2010-03-08,12.331,12.444,12.028,12.078,4920253,0
2010-03-09,11.975,12.174,11.724,11.724,4656680,0
2010-03-10,11.74,11.863,11.661,11.679,5194444,0
2010-03-11,11.644,12.104,11.436,12.078,4568476,0
2010-03-12,12.139,12.625,12.078,12.597,5339441,0
2010-03-15,12.579,12.805,12.347,12.511,5021652,0
2010-03-16,12.495,12.787,12.452,12.728,2698104,0
2010-03-17,12.805,12.938,12.669,12.705,2449989,0
2010-03-18,12.72,12.821,12.563,12.633,1946804,0
2010-03-19,12.687,12.805,12.418,12.633,4516414,0
2010-03-22,12.52,13.083,12.469,12.978,2791495,0
2010-03-23,13.004,13.101,12.763,13.074,2356172,0
2010-03-24,13.046,13.046,12.735,12.876,2185725,0
2010-03-25,12.938,12.971,12.705,12.735,2519788,0
2010-03-26,13.046,13.379,12.947,13.038,5173434,0
2010-03-29,13.109,13.324,13.083,13.109,2919727,0
2010-03-30,13.197,13.324,13.012,13.022,3601416,0
2010-03-31,12.987,13.126,12.964,13.022,2753733,0
2010-04-01,13.422,13.611,13.271,13.341,5221446,0
2010-04-05,13.415,13.507,13.279,13.422,3271486,0
2010-04-06,13.279,13.514,13.214,13.474,3146010,0
2010-04-07,13.388,13.531,13.172,13.248,2803720,0
2010-04-08,13.206,13.254,12.987,13.214,2960538,0
2010-04-09,13.271,13.315,12.971,13.248,2936232,0
2010-04-12,13.248,13.248,13.022,13.206,2346733,0
2010-04-13,13.181,13.397,13.074,13.36,2173258,0
2010-04-14,13.379,13.611,13.181,13.567,3736372,0
2010-04-15,13.81,13.915,13.648,13.827,3491523,0
2010-04-16,13.748,13.854,13.531,13.664,3921577,0
2010-04-19,13.558,13.709,13.254,13.456,3481373,0
2010-04-20,13.54,13.699,13.465,13.621,1767625,0
2010-04-21,13.603,13.879,13.448,13.791,2091360,0
2010-04-22,13.699,14.321,13.638,14.286,3065570,0
2010-04-23,14.275,14.363,14.083,14.266,1982657,0
2010-04-26,14.158,14.51,14.158,14.501,2440918,0
2010-04-27,14.443,14.483,13.757,13.783,3219886,0
2010-04-28,13.925,14.059,13.585,13.791,2470117,0
2010-04-29,13.942,14.2,13.845,14.131,1812295,0
2010-04-30,14.191,14.241,13.263,13.289,3197081,0
2010-05-03,13.379,13.673,13.324,13.531,2823672,0
2010-05-04,13.324,13.324,12.795,12.867,4927150,0
2010-05-05,12.72,13.109,12.435,12.876,5253617,0
2010-05-06,12.78,12.78,11.309,12.27,6405347,0
2010-05-07,12.217,12.52,11.75,12.069,5194064,0
