Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,41.638,42.151,41.401,42.141,3616850,0
2010-01-05,42.151,42.511,41.768,42.115,3254713,0
2010-01-06,42.133,43.354,42.006,43.214,4311535,0
2010-01-07,43.709,44.955,43.38,44.855,5736486,0
2010-01-08,44.763,45.678,44.699,45.577,4357834,0
2010-01-11,45.843,46.083,45.451,45.78,3649116,0
2010-01-12,45.038,45.275,44.425,44.991,3220298,0
2010-01-13,45.194,45.415,44.36,45.284,3533417,0
2010-01-14,45.186,46.256,45.186,45.98,3718965,0
2010-01-15,45.735,45.917,44.883,44.963,3436085,0
2010-01-19,44.972,45.444,44.807,45.338,2244808,0
2010-01-20,45.01,45.11,43.637,44.441,3690696,0
2010-01-21,44.587,44.587,42.619,42.628,4660778,0
2010-01-22,42.591,43.671,42.501,42.511,3762515,0
2010-01-25,42.821,43.497,42.821,42.877,2200757,0
2010-01-26,42.684,43.399,42.519,42.83,2102758,0
2010-01-27,42.811,43.232,42.141,43.169,2755725,0
2010-01-28,43.555,43.866,41.521,42.178,2605194,0
2010-01-29,42.464,43.177,41.411,41.53,2754216,0
2010-02-01,41.805,42.426,41.401,42.098,1802016,0
2010-02-02,42.492,43.646,42.141,43.6,3545726,0
2010-02-03,43.363,44.085,42.756,42.867,2994055,0
2010-02-04,42.501,42.501,40.303,40.584,6424772,0
2010-02-05,40.524,40.751,38.203,39.441,6233211,0
2010-02-08,39.614,40.136,38.864,38.873,4820671,0
2010-02-09,39.467,40.081,38.909,39.642,4334511,0
2010-02-10,39.688,40.117,38.873,39.871,3042321,0
2010-02-11,39.745,40.787,39.432,40.687,3154757,0
2010-02-12,40.126,40.504,39.671,40.402,2306166,0
2010-02-16,40.971,41.749,40.905,41.667,2887528,0
2010-02-17,42.07,42.108,41.337,41.749,2666775,0
2010-02-18,41.53,43.07,41.493,42.877,2815446,0
2010-02-19,42.773,42.867,41.949,42.08,3573874,0
2010-02-22,42.821,43.354,42.263,42.501,3428377,0
2010-02-23,42.511,42.581,40.769,41.227,3838097,0
2010-02-24,41.429,41.585,41.008,41.475,2005995,0
2010-02-25,40.76,41.373,39.974,41.264,2967814,0
2010-02-26,39.166,39.57,38.333,39.203,11517137,0
2010-03-01,39.449,39.652,38.662,39.265,4855085,0
2010-03-02,39.614,39.706,38.836,39.158,3325008,0
2010-03-03,39.331,39.843,38.948,39.688,3995462,0
2010-03-04,39.843,40.053,39.623,39.991,2535108,0
2010-03-05,40.448,41.097,40.338,40.896,3005448,0
2010-03-08,41.125,41.163,40.558,41.115,2253152,0
2010-03-09,40.905,41.628,40.905,41.345,2163585,0
2010-03-10,41.565,41.739,41.281,41.475,2085736,0
2010-03-11,41.439,42.034,41.173,42.006,2125297,0
2010-03-12,42.244,42.426,41.931,42.124,1907741,0
2010-03-15,41.996,42.024,41.173,41.842,2155012,0
2010-03-16,41.894,42.07,41.53,41.996,1487846,0
2010-03-17,42.08,42.656,42.08,42.319,1968436,0
2010-03-18,42.398,42.591,41.797,42.08,1607105,0
2010-03-19,42.161,42.319,41.237,41.448,2827361,0
2010-03-22,41.063,41.611,40.879,41.548,2406706,0
2010-03-23,41.548,42.088,41.273,41.996,1640894,0
2010-03-24,42.034,43.078,41.721,42.839,4261287,0
2010-03-25,43.415,43.415,42.244,42.336,2560286,0
2010-03-26,42.436,42.73,41.922,42.371,1560245,0
2010-03-29,42.536,43.123,42.519,43.031,2489280,0
2010-03-30,43.169,43.718,42.903,43.123,2420262,0
2010-03-31,42.938,42.957,42.38,42.599,1743189,0
2010-04-01,42.948,43.977,42.903,43.6,2788559,0
2010-04-05,44.131,45.357,43.736,45.338,3216785,0
2010-04-06,45.301,46.247,44.982,45.77,3668877,0
2010-04-07,45.797,45.98,44.883,45.194,3271887,0
2010-04-08,44.963,45.577,44.425,45.559,3307864,0
2010-04-09,45.678,46.971,45.623,46.504,2975023,0
2010-04-12,46.879,47.052,46.209,46.887,2739421,0
2010-04-13,46.85,46.887,46.375,46.787,2178885,0
2010-04-14,47.135,47.41,46.84,47.343,2593030,0
2010-04-15,46.751,47.336,46.714,47.024,3171480,0
2010-04-16,46.686,47.199,45.476,46.4,4102639,0
2010-04-19,46.035,46.787,45.797,46.531,2698669,0
2010-04-20,46.916,48.079,46.916,47.958,2490570,0
2010-04-21,47.903,48.281,47.429,48.189,2360462,0
2010-04-22,47.749,48.73,47.219,48.645,1968926,0
2010-04-23,48.733,48.997,47.968,48.988,2582998,0
2010-04-26,48.775,49.37,48.281,48.553,0,0
2010-04-27,48.06,49.26,47.701,47.861,4028950,0
2010-04-28,48.416,49.223,48.189,48.73,3024362,0
2010-04-29,49.095,50.808,49.086,50.497,4261796,0
2010-04-30,50.571,50.716,48.281,48.397,3287399,0
2010-05-03,48.783,49.223,47.931,49.105,3087023,0
2010-05-04,48.214,48.214,46.4,47.071,3381175,0
2010-05-05,46.009,46.85,45.256,46.54,3703400,0
2010-05-06,46.172,47.19,42.024,45.11,4087589,0
2010-05-07,44.799,44.827,41.768,42.088,8638973,0
2010-05-10,44.689,44.955,43.866,44.845,4681117,0
2010-05-11,43.709,47.024,43.288,46.228,7925263,0
2010-05-12,46.448,49.599,46.448,48.903,7045160,0
2010-05-13,48.818,49.305,48.465,48.636,5148450,0
2010-05-14,48.033,48.547,46.4,46.971,3873475,0
2010-05-17,46.961,47.29,44.525,46.083,5823068,0
2010-05-18,46.649,47.931,45.688,45.879,4821545,0
2010-05-19,45.294,45.633,43.177,44.222,5101860,0
2010-05-20,41.969,42.821,41.429,41.493,5327400,0
2010-05-21,40.311,42.756,40.311,41.94,4943275,0
2010-05-24,41.729,42.546,41.219,41.227,2994197,0
2010-05-25,40.126,41.354,39.863,41.354,3856823,0
2010-05-26,41.931,42.124,40.402,40.558,3745114,0
2010-05-27,42.328,43.81,42.161,43.791,4248940,0
2010-05-28,43.628,43.727,42.766,42.976,2769082,0
2010-06-01,42.319,42.903,40.742,40.815,3626524,0
2010-06-02,41.125,41.823,40.594,41.768,3140500,0
2010-06-03,42.07,42.336,41.105,42.216,3707194,0
2010-06-04,40.532,41.337,40.072,40.294,3814479,0
2010-06-07,40.184,40.558,38.975,39.056,3305204,0
2010-06-08,39.222,40.347,39.064,40.184,3935992,0
2010-06-09,40.44,41.565,39.78,39.964,3086270,0
2010-06-10,40.944,41.814,40.706,41.759,2047658,0
2010-06-11,41.299,41.996,41.016,41.777,1638191,0
2010-06-14,42.581,43.086,41.859,41.959,1576209,0
2010-06-15,42.572,43.399,42.053,43.325,1860915,0
2010-06-16,42.756,43.425,42.546,43.078,1769566,0
2010-06-17,43.142,43.142,41.859,42.3,1931839,0
2010-06-18,42.417,42.83,42.3,42.564,1671740,0
2010-06-21,43.105,43.709,42.098,42.426,1582074,0
2010-06-22,42.398,42.976,41.475,41.602,1441113,0
2010-06-23,41.557,41.638,40.485,41.289,1538970,0
2010-06-24,41.125,41.125,39.824,40.126,2165563,0
2010-06-25,40.355,41.125,40.164,40.632,5215942,0
2010-06-28,40.833,40.852,39.761,39.807,2296816,0
2010-06-29,39.112,39.771,38.175,38.671,4658445,0
2010-06-30,38.727,39.765,38.542,38.994,2668064,0
2010-07-01,38.625,38.9,37.736,38.251,2930652,0
2010-07-02,38.873,38.873,37.745,38.251,1850515,0
2010-07-06,38.975,39.424,38.287,38.983,2758251,0
2010-07-07,39.046,40.697,39.046,40.668,2772706,0
2010-07-08,41.072,41.53,40.787,41.401,2690864,0
2010-07-09,41.219,41.823,40.852,41.593,1652314,0
2010-07-12,41.419,41.419,40.687,40.915,1791348,0
2010-07-13,41.391,42.253,41.264,41.894,2954988,0
2010-07-14,41.62,41.676,40.697,41.201,2575304,0
2010-07-15,41.008,41.173,39.936,40.658,2466839,0
2010-07-16,40.355,40.355,39.083,39.194,2118100,0
2010-07-19,39.459,39.706,38.755,39.477,1579403,0
2010-07-20,38.737,40.714,38.708,40.65,2406698,0
2010-07-21,41.063,41.328,40.062,40.266,1945915,0
2010-07-22,41.087,42.455,40.99,42.151,2847997,0
2010-07-23,42.234,43.142,41.729,43.086,2054227,0
2010-07-26,43.25,43.928,42.703,43.828,2686741,0
2010-07-27,45.038,45.567,44.001,44.972,6318946,0
2010-07-28,44.891,45.001,44.195,44.506,3280448,0
2010-07-29,44.909,45.065,43.573,43.938,2506570,0
2010-07-30,43.177,44.425,42.922,44.231,1794228,0
2010-08-02,45.102,45.735,44.835,45.444,2517440,0
2010-08-03,45.186,45.405,44.616,44.855,1528418,0
2010-08-04,44.918,45.212,44.285,45.084,2237002,0
2010-08-05,44.773,45.137,44.248,44.754,1404410,0
2010-08-06,44.185,44.817,43.801,44.653,1284312,0
2010-08-09,45.019,45.166,44.616,45.093,1240647,0
2010-08-10,44.525,44.918,44.222,44.644,1659283,0
2010-08-11,43.689,43.689,42.408,42.74,2495623,0
2010-08-12,41.695,42.782,41.695,42.408,2207175,0
2010-08-13,42.088,42.811,42.034,42.206,1144059,0
2010-08-16,41.912,42.501,41.62,42.044,1394279,0
