Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,2.69,2.74,2.51,2.61,152526,0
2010-01-05,2.6,2.63,2.5,2.52,106512,0
2010-01-06,2.51,2.68,2.5,2.59,137333,0
2010-01-07,2.57,2.69,2.5,2.56,98013,0
2010-01-08,2.54,2.64,2.5,2.54,76205,0
2010-01-11,2.55,2.62,2.49,2.54,124685,0
2010-01-12,2.53,2.55,2.47,2.47,68830,0
2010-01-13,2.5,2.64,2.48,2.61,81553,0
2010-01-14,2.6,2.67,2.53,2.55,62276,0
2010-01-15,2.56,2.58,2.49,2.51,121168,0
2010-01-19,2.51,2.6,2.45,2.5,163507,0
2010-01-20,2.48,2.51,2.47,2.47,160406,0
2010-01-21,2.48,2.5,2.4,2.41,106604,0
2010-01-22,2.4,2.44,2.33,2.35,92222,0
2010-01-25,2.37,2.39,2.13,2.17,262132,0
2010-01-26,2.16,2.25,2.14,2.15,125028,0
2010-01-27,2.15,2.23,2.15,2.19,91317,0
2010-01-28,2.2,2.22,1.96,2,295465,0
2010-01-29,2.16,2.32,1.98,2.07,539477,0
2010-02-01,2.1,2.29,2.04,2.06,526851,0
2010-02-02,2.06,2.09,2,2.01,258397,0
2010-02-03,2.02,2.07,1.98,2.01,244308,0
2010-02-04,2.03,2.04,1.86,1.86,394862,0
2010-02-05,1.87,1.97,1.78,1.86,396657,0
2010-02-08,1.86,1.95,1.82,1.83,149223,0
2010-02-09,1.87,1.89,1.8,1.86,173632,0
2010-02-10,1.85,1.87,1.84,1.86,120943,0
2010-02-11,1.86,1.89,1.85,1.88,151728,0
2010-02-12,1.89,1.95,1.84,1.85,157198,0
2010-02-16,1.82,1.95,1.82,1.89,183604,0
2010-02-17,1.91,1.93,1.87,1.9,147772,0
2010-02-18,1.9,1.95,1.88,1.93,207169,0
2010-02-19,1.93,2.11,1.9,2.11,490008,0
2010-02-22,2.16,2.18,2.07,2.09,194586,0
2010-02-23,2.12,2.17,2.06,2.17,273094,0
2010-02-24,2.19,2.19,2.1,2.13,237343,0
2010-02-25,2.1,2.11,2.02,2.05,243638,0
2010-02-26,2.05,2.09,2.01,2.03,107349,0
2010-03-01,2.04,2.15,2.03,2.13,351862,0
2010-03-02,2.13,2.15,2.09,2.15,204393,0
2010-03-03,2.15,2.18,2.11,2.15,199660,0
2010-03-04,2.16,2.17,2.05,2.17,285377,0
2010-03-05,2.18,2.28,2.1,2.26,208853,0
2010-03-08,2.27,2.38,2.23,2.36,166918,0
2010-03-09,2.39,2.51,2.37,2.51,229570,0
2010-03-10,2.51,2.66,2.4,2.46,284486,0
2010-03-11,2.46,2.58,2.41,2.57,166211,0
2010-03-12,2.58,2.65,2.52,2.58,223244,0
2010-03-15,2.58,2.58,2.46,2.58,127035,0
2010-03-16,2.58,2.59,2.51,2.59,92200,0
2010-03-17,2.6,2.62,2.53,2.55,91192,0
2010-03-18,2.55,2.59,2.45,2.51,113558,0
2010-03-19,2.53,2.73,2.51,2.72,376863,0
2010-03-22,2.69,2.7,2.6,2.68,175055,0
2010-03-23,2.69,2.75,2.64,2.69,142224,0
2010-03-24,2.68,2.68,2.5,2.51,232188,0
