Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,14.007,14.007,14.007,14.007,828,0
2010-01-06,14.007,14.007,14.007,14.007,948,0
2010-01-07,14.592,14.592,14.592,14.592,120,0
2010-01-08,14.592,14.592,14.592,14.592,237,0
2010-01-11,14.592,14.592,14.592,14.592,355,0
2010-01-20,14.557,14.557,14.007,14.007,593,0
2010-01-21,14.007,14.007,14.007,14.007,713,0
2010-02-10,14.555,14.555,14.555,14.555,1185,0
2010-02-11,14.007,14.007,14.007,14.007,1185,0
2010-02-12,14.128,14.128,14.128,14.128,473,0
2010-02-18,14.472,14.472,14.472,14.472,1660,0
2010-02-24,14.128,14.128,14.128,14.128,120,0
2010-02-26,14.75,14.759,14.75,14.759,473,0
2010-03-02,14.128,14.128,14.128,14.128,355,0
2010-03-25,14.128,14.128,14.128,14.128,237,0
2010-03-26,13.924,13.924,13.924,13.924,1185,0
2010-03-29,13.924,13.924,13.924,13.924,237,0
2010-04-12,13.94,13.94,13.924,13.924,1066,0
2010-04-14,13.924,13.924,13.924,13.924,355,0
2010-04-22,14.13,14.13,13.961,13.961,473,0
2010-04-28,13.961,13.961,13.961,13.961,237,0
2010-04-30,14.557,14.557,14.388,14.388,1776,0
2010-05-03,15.186,15.186,15.186,15.186,593,0
2010-05-05,14.675,14.675,14.675,14.675,3438,0
2010-05-10,14.853,14.853,14.853,14.853,237,0
2010-05-11,14.853,14.853,14.853,14.853,1066,0
2010-05-12,16.031,16.031,16.031,16.031,237,0
2010-05-13,16.031,16.031,16.031,16.031,237,0
2010-05-17,15.27,15.27,15.27,15.27,7350,0
2010-05-20,14.974,14.974,14.974,14.974,237,0
2010-05-27,15.139,15.139,15.139,15.139,1172,0
2010-05-28,15.139,15.139,15.139,15.139,234,0
2010-06-01,15.353,15.353,15.353,15.353,587,0
2010-06-02,15.353,15.779,15.353,15.779,2578,0
2010-06-08,16.966,16.966,16.966,16.966,234,0
2010-06-17,16.207,16.207,16.207,16.207,234,0
2010-06-23,15.438,16.197,15.438,16.197,1406,0
2010-06-24,16.207,16.207,16.207,16.207,587,0
2010-07-09,15.437,15.437,15.437,15.437,351,0
2010-07-12,15.437,15.437,15.437,15.437,705,0
2010-07-21,16.206,16.206,14.926,14.926,1172,0
2010-07-22,15.389,15.389,15.389,15.389,351,0
2010-07-27,15.565,15.565,15.437,15.437,1172,0
2010-08-06,16.207,16.207,16.207,16.207,351,0
2010-08-09,16.207,16.207,16.207,16.207,3751,0
2010-08-11,15.437,15.437,15.437,15.437,234,0
2010-08-27,15.779,15.779,15.779,15.779,234,0
2010-09-21,15.899,15.899,15.899,15.899,351,0
2010-09-28,15.437,15.437,15.437,15.437,587,0
2010-10-05,15.565,15.565,15.437,15.437,587,0
2010-10-06,14.749,14.749,14.749,14.749,3402,0
2010-10-12,14.749,14.749,14.749,14.749,2111,0
2010-10-18,14.712,14.712,14.712,14.712,234,0
2010-10-20,14.879,14.879,14.879,14.879,234,0
2010-10-21,14.369,14.369,14.369,14.369,351,0
2010-10-22,15.567,15.567,15.567,15.567,234,0
2010-10-29,15.353,15.353,15.353,15.353,234,0
2010-11-02,14.579,15.561,14.579,15.501,8914,0
2010-11-05,15.779,15.779,15.779,15.779,467,0
2010-11-24,14.712,14.712,14.712,14.712,467,0
2010-11-26,14.536,14.536,14.536,14.536,118,0
2010-11-30,15.305,15.305,15.305,15.305,467,0
2010-12-07,15.305,15.305,15.305,15.305,118,0
2010-12-15,14.63,14.63,14.63,14.63,2345,0
2010-12-16,15.77,15.778,15.761,15.761,587,0
2010-12-20,15.437,15.437,15.437,15.437,1291,0
2010-12-21,15.737,15.779,15.737,15.779,819,0
2010-12-23,15.936,15.936,15.075,15.075,348,0
2010-12-31,14.861,14.861,14.861,14.861,463,0
2011-01-11,14.559,14.861,14.517,14.861,1161,0
2011-01-12,15.075,15.075,15.075,15.075,463,0
2011-01-13,14.694,14.694,14.694,14.694,1044,0
2011-01-18,15.075,15.075,15.075,15.075,231,0
2011-01-24,15.378,15.378,15.333,15.333,581,0
2011-02-04,15.511,15.511,15.511,15.511,231,0
2011-02-09,15.333,15.333,15.333,15.333,812,0
2011-02-10,15.723,15.723,15.723,15.723,231,0
2011-02-14,15.592,15.808,15.592,15.808,5571,0
2011-02-15,15.937,15.937,15.937,15.937,581,0
2011-02-16,15.937,15.937,15.937,15.937,1510,0
2011-02-22,15.808,15.808,15.808,15.808,348,0
2011-02-28,15.808,15.808,15.808,15.808,463,0
2011-03-04,15.808,15.808,15.808,15.808,463,0
2011-03-09,15.382,15.382,15.382,15.382,812,0
2011-03-15,15.938,16.368,15.938,16.066,6965,0
2011-03-28,16.066,16.066,16.066,16.066,348,0
2011-04-13,15.428,15.428,15.428,15.428,231,0
2011-04-14,16.066,16.066,16.066,16.066,812,0
2011-04-21,15.463,15.937,15.463,15.937,581,0
2011-05-04,15.333,15.333,15.333,15.333,231,0
2011-05-10,15.428,15.428,15.428,15.428,581,0
2011-05-12,15.464,15.464,15.464,15.464,581,0
2011-05-27,16.113,16.113,16.113,16.113,116,0
2011-06-02,15.548,15.548,15.548,15.548,921,0
2011-06-03,15.677,15.677,15.677,15.677,229,0
2011-06-06,15.847,16.544,15.847,16.457,6201,0
2011-06-21,15.714,15.714,15.714,15.714,345,0
2011-06-22,15.717,15.89,15.717,15.89,31123,0
2011-06-23,16.501,16.501,16.197,16.197,16193,0
2011-06-29,16.113,16.113,15.677,15.677,688,0
2011-07-05,16.502,16.502,16.502,16.502,575,0
2011-07-07,16.494,16.494,16.494,16.494,229,0
2011-07-18,16.502,16.502,16.502,16.502,116,0
2011-07-21,15.733,15.733,15.733,15.733,345,0
2011-07-29,15.741,15.741,15.741,15.741,575,0
2011-08-02,15.917,15.917,15.917,15.917,575,0
2011-08-08,15.687,15.687,15.687,15.687,116,0
2011-08-10,15.687,15.687,15.687,15.687,229,0
2011-08-12,15.687,15.687,15.687,15.687,229,0
2011-08-16,16.003,16.003,16.003,16.003,575,0
2011-08-17,16.373,16.373,16.373,16.373,458,0
2011-08-18,16.066,16.066,16.066,16.066,458,0
2011-08-22,16.109,16.197,16.109,16.197,921,0
2011-08-23,16.281,16.281,16.281,16.281,2412,0
2011-10-06,16.271,16.271,16.271,16.271,115,0
2011-10-07,15.687,15.687,15.687,15.687,229,0
2011-10-13,15.687,15.687,15.687,15.687,1262,0
2011-10-14,15.687,15.687,15.687,15.687,804,0
2011-10-17,15.687,15.687,15.687,15.687,804,0
2011-10-18,15.687,15.687,15.687,15.687,229,0
2011-10-19,15.687,15.687,15.687,15.687,229,0
2011-11-01,15.709,15.761,15.709,15.761,1606,0
2011-11-02,16.268,16.373,16.268,16.373,5282,0
2011-11-07,16.457,16.457,16.457,16.457,345,0
2011-11-10,15.677,15.677,15.677,15.677,229,0
2011-11-16,16.113,16.113,15.687,15.687,458,0
2011-11-17,15.714,15.714,15.714,15.714,116,0
2011-11-21,15.687,15.687,15.687,15.687,345,0
2011-11-22,16.108,16.457,16.108,16.457,1492,0
2011-12-02,15.761,15.761,15.761,15.761,345,0
2011-12-07,16.023,16.892,16.023,16.892,7236,0
2011-12-08,16.764,17.068,16.764,17.068,7005,0
2011-12-12,16.549,16.549,16.549,16.549,229,0
2011-12-20,15.714,15.714,15.714,15.714,458,0
2011-12-21,15.952,17.625,15.952,17.625,6809,0
2011-12-29,16.252,16.252,16.252,16.252,453,0
2011-12-30,16.252,16.252,16.252,16.252,227,0
2012-01-05,16.252,16.252,16.252,16.252,114,0
2012-01-12,16.744,16.744,16.744,16.744,453,0
2012-01-13,16.79,16.93,16.79,16.93,1475,0
2012-01-18,16.792,16.792,16.792,16.792,681,0
2012-01-20,16.744,16.744,16.744,16.744,795,0
2012-01-25,17.375,17.375,17.375,17.375,227,0
2012-01-27,17.133,17.133,17.133,17.133,568,0
2012-02-02,17.357,17.357,17.357,17.357,1363,0
2012-02-21,17.625,19.387,17.625,19.387,2270,0
2012-02-22,18.507,18.507,18.507,18.507,2497,0
2012-02-23,17.854,19.518,17.854,19.518,3405,0
2012-03-02,18.507,18.507,18.507,18.507,114,0
2012-03-07,18.507,18.507,18.507,18.507,2384,0
2012-03-08,18.942,19.825,18.942,19.825,1928,0
2012-03-09,19.823,20.659,19.161,19.602,5788,0
2012-03-12,19.387,20.27,19.387,20.27,2384,0
2012-04-16,20.697,21.058,20.697,21.058,1022,0
2012-04-19,19.036,19.036,19.036,19.036,907,0
