Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,5.3111,5.4347,5.3111,5.4347,903051,0
2010-01-05,5.4427,5.4427,5.2956,5.3189,966012,0
2010-01-06,5.3266,5.4115,5.257,5.3728,809973,0
2010-01-07,5.3498,5.6205,5.3266,5.5585,958433,0
2010-01-08,5.512,5.6669,5.5043,5.6589,648062,0
2010-01-11,5.6899,5.7057,5.4427,5.4582,511098,0
2010-01-12,5.4115,5.489,5.3728,5.4582,506750,0
2010-01-13,5.4735,5.5431,5.3808,5.5276,523223,0
2010-01-14,5.5431,5.7597,5.5199,5.7057,758177,0
2010-01-15,5.6822,5.7285,5.489,5.6205,851558,0
2010-01-19,5.6436,5.7442,5.6127,5.7364,850957,0
2010-01-20,5.6899,5.7597,5.4505,5.6669,995782,0
2010-01-21,5.6976,5.8753,5.5431,5.8368,2318434,0
2010-01-22,5.8139,5.9916,5.6205,5.6899,1545465,0
2010-01-25,5.7442,5.8139,5.5431,5.5741,995533,0
2010-01-26,5.7057,5.7057,5.4115,5.4271,1087650,0
2010-01-27,5.4115,5.7209,5.3034,5.7209,1220381,0
2010-01-28,5.6127,5.7597,5.489,5.5741,975862,0
2010-01-29,5.6049,5.6822,5.4505,5.4811,2080492,0
2010-02-01,5.5199,5.628,5.4115,5.512,1003124,0
2010-02-02,5.5043,5.5585,5.4115,5.4505,886100,0
2010-02-03,5.4347,5.4582,5.257,5.3343,1082093,0
2010-02-04,5.2725,5.3885,5.1411,5.2416,1550629,0
2010-02-05,5.2416,5.4347,5.1565,5.3653,1377294,0
2010-02-08,5.342,5.342,5.2108,5.2108,827696,0
2010-02-09,5.2879,5.3189,5.2182,5.2725,865096,0
2010-02-10,5.2416,5.342,5.1874,5.3343,723666,0
2010-02-11,5.3034,5.342,5.2416,5.3343,625237,0
2010-02-12,5.2801,5.3728,5.2494,5.3653,765362,0
2010-02-16,5.4039,5.512,5.3885,5.512,577428,0
2010-02-17,5.5043,5.5665,5.4039,5.4968,721275,0
2010-02-18,5.4968,5.636,5.4968,5.636,591682,0
2010-02-19,5.5665,5.6976,5.5665,5.6899,643114,0
2010-02-22,5.7364,5.7442,5.6589,5.7442,556376,0
2010-02-23,5.7209,5.7597,5.6669,5.6899,566077,0
2010-02-24,5.6976,5.9373,5.6746,5.8907,703603,0
2010-02-25,5.7597,5.8601,5.6822,5.8525,654304,0
2010-02-26,5.8139,5.9606,5.8139,5.8753,901265,0
2010-03-01,5.8987,5.9606,5.8215,5.8289,1099770,0
2010-03-02,5.8601,5.8753,5.6822,5.6899,1428725,0
2010-03-03,5.7209,5.7285,5.6127,5.6512,854065,0
2010-03-04,5.6822,5.7442,5.6127,5.7442,529541,0
2010-03-05,5.7828,6.0224,5.7673,6.0146,1043999,0
2010-03-08,6.0146,6.0612,5.9606,6.0146,541247,0
2010-03-09,5.9992,6.1074,5.9218,6.0532,532359,0
2010-03-10,6.0767,6.2466,6.0612,6.1152,1033998,0
2010-03-11,6.0843,6.1848,6.0532,6.177,815444,0
2010-03-12,6.2233,6.2313,6.0919,6.1152,506123,0
2010-03-15,6.1074,6.1848,6.0454,6.1848,431457,0
2010-03-16,6.2313,6.2388,6.1152,6.2388,301731,0
2010-03-17,6.2466,6.3782,6.2079,6.2621,519168,0
2010-03-18,6.2388,6.3394,6.2154,6.2776,770093,0
2010-03-19,6.3239,6.494,6.2388,6.4784,1488896,0
2010-03-22,6.4321,6.5792,6.3782,6.5792,667498,0
2010-03-23,6.6023,6.6331,6.4708,6.6255,717067,0
2010-03-24,6.5946,6.5946,6.4399,6.4477,1380015,0
2010-03-25,6.5172,6.6951,6.4708,6.5017,984530,0
2010-03-26,6.5172,6.6255,6.5093,6.548,876518,0
2010-03-29,6.5558,6.6023,6.3782,6.4321,1493388,0
2010-03-30,6.4246,6.4477,6.3702,6.3934,826727,0
2010-03-31,6.3473,6.3934,6.2621,6.2698,1120406,0
2010-04-01,6.3007,6.3859,6.2852,6.3702,745811,0
2010-04-05,6.4012,6.5093,6.3473,6.5093,494868,0
2010-04-06,6.4863,6.7646,6.4246,6.7183,697022,0
2010-04-07,6.6872,6.8033,6.6485,6.7183,742191,0
2010-04-08,6.7105,6.7954,6.6331,6.7489,563759,0
2010-04-09,6.7646,6.8728,6.7336,6.7877,486957,0
2010-04-12,6.7877,6.9113,6.7877,6.8342,766992,0
2010-04-13,6.8033,6.842,6.7105,6.7646,444094,0
2010-04-14,6.8033,6.9579,6.8033,6.9501,534709,0
2010-04-15,6.9272,7.0352,6.865,7.0039,457033,0
2010-04-16,7.0118,7.0118,6.6485,6.842,1077861,0
2010-04-19,6.8033,6.9272,6.6331,6.7725,1179311,0
2010-04-20,6.8188,6.9272,6.7801,6.9272,494423,0
2010-04-21,6.9194,7.1821,6.9194,7.1666,815531,0
2010-04-22,7.0816,7.4449,7.0816,7.4219,1070383,0
2010-04-23,7.468,7.4759,7.2826,7.3444,1107182,0
2010-04-26,7.3444,7.3907,7.1508,7.1821,1258609,0
2010-04-27,7.1202,7.3367,6.9272,6.9656,1103528,0
2010-04-28,7.0352,7.1821,6.9964,7.0892,781012,0
2010-04-29,7.1898,7.5067,7.0816,7.4912,944477,0
2010-04-30,7.4601,7.5376,7.1742,7.2052,1039398,0
2010-05-03,7.2591,7.3211,7.1898,7.2826,713336,0
2010-05-04,7.1742,7.2052,6.9579,7.0661,1667872,0
2010-05-05,6.9113,7.0816,6.8114,7.0739,1075011,0
2010-05-06,7.0039,7.1588,6.3473,6.8342,1542021,0
2010-05-07,6.8263,6.9423,6.5017,6.5017,1553861,0
2010-05-10,6.8885,6.9964,6.7801,6.9272,1070376,0
2010-05-11,6.8342,7.2747,6.8188,7.1588,1017045,0
2010-05-12,7.2361,7.4296,7.1588,7.4063,655457,0
2010-05-13,7.3521,7.4835,7.2981,7.3367,644288,0
2010-05-14,7.2668,7.2981,7.0739,7.1742,734769,0
2010-05-17,7.2128,7.3057,7.0352,7.2284,663746,0
2010-05-18,7.3521,7.3673,7.0118,7.0892,875101,0
2010-05-19,7.0429,7.1742,6.8961,6.9889,949198,0
2010-05-20,6.9113,6.9113,6.3547,6.3624,1451190,0
2010-05-21,6.2621,6.6331,6.2313,6.5326,1240280,0
2010-05-24,6.5172,6.5558,6.2776,6.2776,718028,0
2010-05-25,6.1461,6.3702,6.0767,6.3394,1014904,0
2010-05-26,6.4012,6.4863,6.3007,6.3316,1127735,0
2010-05-27,6.4477,6.5017,6.2698,6.4784,774368,0
2010-05-28,6.4477,6.4477,6.2388,6.3316,1273364,0
2010-06-01,6.2852,6.3782,6.1848,6.2154,890085,0
2010-06-02,6.293,6.5017,6.2002,6.5017,985900,0
2010-06-03,6.4399,6.7027,6.4399,6.6562,1229151,0
2010-06-04,6.4863,6.4863,6.1848,6.1848,1490801,0
2010-06-07,6.2388,6.3239,6.1537,6.2233,1225609,0
2010-06-08,6.2233,6.3007,6.0612,6.2542,1506925,0
2010-06-09,6.3239,6.3239,6.1152,6.1615,1571353,0
2010-06-10,6.2852,6.3934,6.2154,6.3934,961521,0
2010-06-11,6.3085,6.5326,6.3085,6.5249,763965,0
2010-06-14,6.5713,6.6562,6.4708,6.5558,975450,0
2010-06-15,6.6485,6.7877,6.5713,6.7568,1070801,0
2010-06-16,6.7259,6.8342,6.6951,6.8188,1731470,0
2010-06-17,6.842,6.865,6.7027,6.8114,1070178,0
2010-06-18,6.8806,6.8806,6.6562,6.7954,1076773,0
2010-06-21,6.8728,6.8728,6.7183,6.7568,593000,0
2010-06-22,6.7877,6.9113,6.6872,6.6872,816834,0
2010-06-23,6.6951,6.7259,6.5326,6.6331,831810,0
2010-06-24,6.6023,6.6719,6.5093,6.5403,532692,0
2010-06-25,6.5792,6.7568,6.5017,6.7259,905648,0
2010-06-28,6.7413,6.7954,6.5946,6.6951,502742,0
2010-06-29,6.5868,6.5868,6.2852,6.3239,1371582,0
2010-06-30,6.3439,6.4381,6.1955,6.2112,1151708,0
2010-07-01,6.2388,6.3239,6.0068,6.1461,1095571,0
2010-07-02,6.1307,6.2154,6.0454,6.0919,608310,0
2010-07-06,6.2388,6.2776,5.945,5.9837,915253,0
2010-07-07,6.0302,6.3085,6.0302,6.3085,1136878,0
2010-07-08,6.3934,6.4165,6.2698,6.3859,867554,0
2010-07-09,6.3702,6.5713,6.3473,6.5713,442380,0
2010-07-12,6.5637,6.5868,6.4477,6.5017,492860,0
2010-07-13,6.5868,6.7568,6.5792,6.7568,1129022,0
2010-07-14,6.7259,6.7413,6.5792,6.6255,915333,0
2010-07-15,6.5792,6.6255,6.3702,6.4784,857042,0
2010-07-16,6.4089,6.4089,6.1461,6.1615,1031860,0
2010-07-19,6.177,6.2313,6.0224,6.1074,683308,0
2010-07-20,6.0378,6.1924,5.9606,6.1924,1010405,0
2010-07-21,6.2466,6.2466,5.8215,5.8215,1413892,0
2010-07-22,5.9297,6.1074,5.9297,6.0996,864612,0
2010-07-23,6.0532,6.2776,5.9837,6.2542,714344,0
2010-07-26,6.2621,6.5868,6.1924,6.5713,1025710,0
2010-07-27,6.6485,6.8263,6.6255,6.7259,1320473,0
2010-07-28,6.7183,6.842,6.6951,6.7259,960584,0
2010-07-29,6.7646,6.8114,6.5946,6.7105,676942,0
2010-07-30,6.6255,6.8114,6.5868,6.6255,796026,0
2010-08-02,6.7568,6.842,6.6719,6.7954,679306,0
2010-08-03,6.7801,6.865,6.6872,6.7489,473258,0
2010-08-04,6.8114,6.8806,6.7489,6.8263,502138,0
2010-08-05,6.7489,6.7646,6.6409,6.6795,522060,0
2010-08-06,6.6023,6.6485,6.4399,6.5713,551688,0
2010-08-09,6.6409,6.8033,6.5558,6.7877,443480,0
2010-08-10,6.6872,6.842,6.6562,6.7568,905980,0
2010-08-11,6.6331,6.6562,6.3859,6.3859,949788,0
2010-08-12,6.2852,6.3162,6.1461,6.1924,1054022,0
2010-08-13,6.1537,6.1848,6.0843,6.0843,691303,0
2010-08-16,6.0378,6.2154,6.0378,6.177,1017242,0
2010-08-17,6.2466,6.4012,6.2002,6.3859,818079,0
2010-08-18,6.3547,6.4246,6.2621,6.4089,616200,0
2010-08-19,6.3782,6.4399,6.1924,6.2079,1052114,0
2010-08-20,6.1924,6.2002,5.9297,6.0068,1571641,0
2010-08-23,5.9992,6.1152,5.9759,6.0378,1247948,0
2010-08-24,5.9916,6.0843,5.8832,6.0454,1290126,0
2010-08-25,6.0454,6.1152,5.9373,6.1152,683910,0
2010-08-26,6.1228,6.1924,6.0532,6.0843,745300,0
2010-08-27,6.177,6.2388,6.0688,6.1848,1248521,0
2010-08-30,6.1384,6.1384,5.8525,5.8601,1062556,0
2010-08-31,5.8746,6.0154,5.8669,5.9372,1194121,0
2010-09-01,6.0612,6.1074,5.9992,6.0919,1374918,0
2010-09-02,6.0996,6.0996,5.9992,6.0767,1233173,0
2010-09-03,6.1615,6.3007,6.1307,6.3007,869151,0
2010-09-07,6.2542,6.293,6.1537,6.1694,998337,0
2010-09-08,6.177,6.3624,6.1694,6.3394,918732,0
2010-09-09,6.3859,6.494,6.3702,6.4246,1403383,0
2010-09-10,6.4553,6.5326,6.4321,6.4784,760706,0
2010-09-13,6.5713,6.6719,6.5172,6.6409,1028460,0
