Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,4.36,4.56,4.34,4.54,17945,0
2010-01-05,4.53,4.76,4.53,4.76,24354,0
2010-01-06,4.73,4.75,4.58,4.66,9311,0
2010-01-07,4.62,4.88,4.4,4.85,23437,0
2010-01-08,4.83,4.95,4.83,4.94,6394,0
2010-01-11,4.97,5,4.85,4.92,12580,0
2010-01-12,4.88,4.9,4.75,4.81,7885,0
2010-01-13,4.81,4.99,4.77,4.92,8338,0
2010-01-14,4.86,4.87,4.76,4.81,6057,0
2010-01-15,4.85,4.9,4.75,4.75,11295,0
2010-01-19,4.75,5.12,4.66,5.12,21674,0
2010-01-20,5.08,5.3,5,5.05,10555,0
2010-01-21,5.07,5.07,4.66,4.66,23441,0
2010-01-22,4.67,4.67,4.5,4.55,33438,0
2010-01-25,4.59,4.67,4.53,4.59,16428,0
2010-01-26,4.5,4.56,4.5,4.51,11332,0
2010-01-27,4.48,4.54,4.44,4.5,20414,0
2010-01-28,4.52,4.65,4.32,4.35,13030,0
2010-01-29,4.35,4.51,4.32,4.37,11739,0
2010-02-01,4.4,4.63,4.32,4.61,25003,0
2010-02-02,4.9,4.9,4.46,4.5,62115,0
2010-02-03,4.46,4.46,4.3,4.4,16639,0
2010-02-04,4.39,4.49,4.16,4.16,37186,0
2010-02-05,4.28,4.28,4.12,4.15,11788,0
2010-02-08,4.15,4.16,3.91,3.92,16900,0
2010-02-09,3.95,4.06,3.92,4.05,11497,0
2010-02-10,4.02,4.06,3.94,3.98,17174,0
2010-02-11,3.95,4.15,3.95,4.1,10749,0
2010-02-12,4.02,4.18,4.02,4.11,12995,0
2010-02-16,4.12,4.24,4.12,4.24,6196,0
2010-02-17,4.27,4.39,4.25,4.32,8743,0
2010-02-18,4.3,4.38,4.3,4.38,4382,0
2010-02-19,4.37,4.4,4.3,4.34,14756,0
2010-02-22,4.35,4.47,4.25,4.27,19059,0
2010-02-23,4.25,4.32,4.22,4.24,13388,0
2010-02-24,4.21,4.35,4.21,4.26,3920,0
2010-02-25,4.18,4.26,4.16,4.25,7712,0
2010-02-26,4.25,4.25,3.99,4.16,21628,0
2010-03-01,4.16,4.2,4.09,4.2,8828,0
2010-03-02,4.22,4.32,4.16,4.25,11120,0
2010-03-03,4.28,4.28,4.13,4.24,15029,0
2010-03-04,4.09,4.35,4.05,4.23,11660,0
2010-03-05,4.23,4.4,4.17,4.4,10182,0
2010-03-08,4.4,4.43,4.22,4.34,17144,0
2010-03-09,4.28,4.45,4.28,4.41,7188,0
2010-03-10,4.39,4.4,4.1,4.19,25030,0
2010-03-11,4.1,4.21,3.87,4.2,34092,0
2010-03-12,4.19,4.35,4.12,4.24,8388,0
2010-03-15,4.18,4.5,4.08,4.4,21798,0
2010-03-16,4.02,4.02,2.98,3.22,619140,0
2010-03-17,3.37,3.44,3.23,3.32,231559,0
2010-03-18,3.31,3.36,3.2,3.28,83842,0
2010-03-19,3.28,3.44,3.18,3.32,141121,0
2010-03-22,3.34,3.51,3.18,3.51,135048,0
2010-03-23,3.51,3.52,3.37,3.5,52883,0
2010-03-24,3.49,3.55,3.4,3.44,89526,0
2010-03-25,3.55,3.7,3.5,3.61,83987,0
2010-03-26,3.6,3.8,3.6,3.76,88250,0
2010-03-29,3.77,4.1,3.72,4.03,65813,0
2010-03-30,4.02,4.23,4.01,4.1,107575,0
2010-03-31,4.14,4.24,3.87,3.87,72853,0
2010-04-01,3.9,4.11,3.8,3.83,40732,0
2010-04-05,3.96,4.08,3.91,4.08,36062,0
2010-04-06,4.07,4.35,4.07,4.21,64560,0
2010-04-07,4.18,4.33,4.09,4.25,44357,0
2010-04-08,4.25,4.28,4.14,4.16,13001,0
2010-04-09,4.01,4.25,4.01,4.1,17841,0
2010-04-12,4.11,4.12,3.91,3.91,33194,0
2010-04-13,3.98,4.15,3.91,3.93,17329,0
2010-04-14,3.96,4,3.96,4,16770,0
2010-04-15,3.99,3.99,3.7,3.8,35933,0
2010-04-16,3.8,3.87,3.7,3.72,44437,0
2010-04-19,3.7,3.91,3.7,3.91,24717,0
2010-04-20,4,4,3.73,3.83,20319,0
2010-04-21,3.83,3.96,3.83,3.96,37027,0
2010-04-22,3.93,4,3.82,3.94,33989,0
2010-04-23,3.92,3.99,3.91,3.93,17883,0
2010-04-26,3.7,4.49,3.61,4.1,195824,0
2010-04-27,4.09,4.18,4.09,4.1,49663,0
2010-04-28,4.14,4.19,4.13,4.14,14105,0
2010-04-29,4.15,4.15,3.8,3.95,41412,0
2010-04-30,3.95,3.95,3.73,3.73,26600,0
2010-05-03,3.81,4.09,3.46,3.59,64612,0
2010-05-04,3.51,3.54,3.35,3.42,26397,0
2010-05-05,3.31,3.47,3.25,3.26,50568,0
2010-05-06,3.25,3.84,3.25,3.58,102191,0
2010-05-07,3.64,3.64,3.29,3.29,48674,0
2010-05-10,3.72,3.76,3.2,3.38,59752,0
2010-05-11,3.26,3.58,3.25,3.46,25703,0
2010-05-12,3.49,3.68,3.38,3.66,33498,0
2010-05-13,3.58,3.66,3.42,3.61,20769,0
2010-05-14,3.5,3.5,3.28,3.4,33719,0
2010-05-17,3.43,3.5,3.27,3.28,12210,0
2010-05-18,3.29,3.46,3.01,3.12,18244,0
2010-05-19,3.13,3.35,3.1,3.15,26232,0
2010-05-20,3.11,3.35,3.02,3.03,22452,0
2010-05-21,3.02,3.04,3,3.03,24077,0
