Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,8.3,8.65,8.24,8.55,283915,0
2010-01-05,8.6,8.64,8.05,8.14,332988,0
2010-01-06,8.1,8.26,8.06,8.1,172858,0
2010-01-07,8.09,8.48,8.07,8.39,241065,0
2010-01-08,8.35,8.74,8.27,8.71,272806,0
2010-01-11,8.83,8.89,8.38,8.41,214526,0
2010-01-12,8.35,8.5,8.2,8.25,231009,0
2010-01-13,8.31,8.6,8.25,8.55,236815,0
2010-01-14,8.55,8.68,8.5,8.51,99054,0
2010-01-15,8.53,8.57,8.2,8.41,162422,0
2010-01-19,8.41,8.59,8.37,8.53,131078,0
2010-01-20,8.42,8.49,8.18,8.3,117414,0
2010-01-21,8.27,8.31,8,8.03,156408,0
2010-01-22,8.05,8.15,7.83,7.84,118646,0
2010-01-25,7.86,7.99,7.84,7.88,157551,0
2010-01-26,7.87,7.99,7.75,7.8,183628,0
2010-01-27,7.75,7.84,7.52,7.69,146737,0
2010-01-28,7.73,7.9,7.37,7.39,164135,0
2010-01-29,7.44,7.59,7.3,7.33,131682,0
2010-02-01,7.39,7.45,7.25,7.41,121835,0
2010-02-02,7.45,7.64,7.33,7.62,134156,0
2010-02-03,7.58,7.79,7.37,7.45,130496,0
2010-02-04,7.4,7.78,7.07,7.09,212346,0
2010-02-05,7.1,7.12,6.74,6.93,260160,0
2010-02-08,6.96,6.96,6.8,6.86,144239,0
2010-02-09,6.93,7.08,6.25,6.31,475221,0
2010-02-10,6.3,6.31,5.94,5.98,443279,0
2010-02-11,5.97,5.99,5.27,5.63,912776,0
2010-02-12,5.54,5.91,5.48,5.9,324371,0
2010-02-16,5.96,6.34,5.9,6.3,275766,0
2010-02-17,6.35,6.5,6.14,6.29,141431,0
2010-02-18,6.29,6.39,6.12,6.24,113332,0
2010-02-19,6.24,6.28,6.15,6.22,93432,0
2010-02-22,6.26,6.3,6.08,6.1,112371,0
2010-02-23,6.12,6.23,6.01,6.2,202850,0
2010-02-24,6.2,6.38,6.02,6.09,245138,0
2010-02-25,6,6.51,5.99,6.49,199739,0
2010-02-26,6.5,6.75,6.5,6.55,274839,0
2010-03-01,6.57,6.75,6.34,6.59,286868,0
2010-03-02,6.75,7.47,6.72,7.41,528285,0
2010-03-03,7.47,7.56,7.25,7.36,273149,0
2010-03-04,7.7,8.19,7.7,7.91,537779,0
2010-03-05,8.01,8.95,7.95,8.86,752586,0
2010-03-08,8.9,9.17,8.82,8.85,451487,0
2010-03-09,8.8,9.29,8.76,9.09,442605,0
2010-03-10,9.1,9.24,8.85,8.95,239347,0
2010-03-11,8.87,9.2,8.85,9.02,214531,0
2010-03-12,9.1,9.1,8.8,8.86,217045,0
2010-03-15,8.96,8.96,8.54,8.86,215502,0
2010-03-16,8.86,8.87,8.57,8.78,149366,0
2010-03-17,8.85,8.85,8.48,8.55,185411,0
2010-03-18,8.5,8.84,8.25,8.56,171148,0
2010-03-19,8.63,8.74,8.26,8.37,232860,0
2010-03-22,8.28,8.38,8.26,8.3,129662,0
2010-03-23,8.33,8.67,8.21,8.65,213856,0
2010-03-24,8.58,8.71,8.47,8.6,147858,0
2010-03-25,8.63,8.63,8.2,8.21,161735,0
2010-03-26,8.27,8.37,8.07,8.19,61629,0
2010-03-29,8.17,8.27,8.13,8.26,65796,0
2010-03-30,8.27,8.4,8.1,8.1,97306,0
2010-03-31,8.07,8.2,7.98,8.02,110659,0
2010-04-01,8.1,8.13,7.84,7.85,176033,0
2010-04-05,7.86,8.18,7.67,8.03,186997,0
2010-04-06,7.85,7.97,7.57,7.75,491411,0
2010-04-07,7.75,7.8,7.64,7.65,138257,0
2010-04-08,7.58,7.74,7.52,7.6,163257,0
