Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,27.65,28.54,27.65,28.38,169453,0
2010-01-05,28.28,29.24,28.01,28.72,228439,0
2010-01-06,28.72,29.71,28.57,29.1,169481,0
2010-01-07,29.02,29.65,28.65,29.36,135081,0
2010-01-08,29.2,29.56,28.74,28.87,224876,0
2010-01-11,28.79,29.35,28.44,28.47,105635,0
2010-01-12,28.23,28.23,26.02,26.08,521393,0
2010-01-13,26.1,26.38,24.89,25.36,622970,0
2010-01-14,25.43,25.7,25.23,25.58,132420,0
2010-01-15,25.64,26.06,24.89,24.98,250822,0
2010-01-19,25,25.57,24.84,25.47,126123,0
2010-01-20,25.24,25.5,24.88,25.26,146040,0
2010-01-21,25.35,25.5,24.58,24.72,234436,0
2010-01-22,24.7,25.02,24.39,24.7,178058,0
2010-01-25,24.85,24.85,24.27,24.46,137970,0
2010-01-26,24.35,24.43,23.84,23.92,396551,0
2010-01-27,23.83,24.17,23.56,23.88,209206,0
2010-01-28,23.98,24.02,23.5,23.64,204720,0
2010-01-29,23.77,24.16,23.52,23.58,195090,0
2010-02-01,23.58,23.6,23.08,23.17,228629,0
2010-02-02,23.2,23.52,22.95,23.09,555554,0
2010-02-03,23.05,23.09,22.52,22.78,217735,0
2010-02-04,22.58,22.74,21.92,22.06,351805,0
2010-02-05,22.05,22.05,21.39,21.73,261229,0
2010-02-08,21.72,22.27,21.54,21.88,299263,0
2010-02-09,22.07,22.14,21.49,21.67,440592,0
2010-02-10,21.54,21.54,21.1,21.2,287147,0
2010-02-11,21.11,21.38,21.05,21.2,276663,0
2010-02-12,21,21.46,21,21.3,254596,0
2010-02-16,21.34,21.66,21.06,21.35,256262,0
2010-02-17,21.46,21.86,21.24,21.68,560229,0
2010-02-18,21.73,23.14,21.73,23.04,350393,0
2010-02-19,23.06,23.54,22.95,23.27,143296,0
2010-02-22,23.25,23.56,23.13,23.17,127903,0
2010-02-23,23.12,23.26,22.7,22.95,114553,0
2010-02-24,23.03,23.48,22.9,23.44,92119,0
2010-02-25,23.15,24.13,23.02,24.12,169506,0
2010-02-26,24.01,24.11,23.43,23.93,211566,0
2010-03-01,24.1,25.68,24.09,25.57,377436,0
2010-03-02,25.6,26.15,25.59,25.86,341243,0
2010-03-03,25.86,25.95,24.91,25.81,335890,0
2010-03-04,26.85,28.27,26.82,27.61,517818,0
2010-03-05,27.8,28.29,27.34,28.17,363914,0
2010-03-08,28.24,28.85,28.17,28.53,218710,0
2010-03-09,28.54,28.86,28.01,28.26,230450,0
2010-03-10,28.27,29.12,27.94,28.75,349699,0
2010-03-11,28.53,29.4,28.51,29.07,154601,0
2010-03-12,29.24,29.52,29.11,29.43,132732,0
2010-03-15,29.31,29.75,28.95,29.72,187525,0
2010-03-16,29.69,29.69,29.03,29.24,211875,0
2010-03-17,29.2,29.35,28.88,29.24,136310,0
2010-03-18,29.33,29.33,28.63,29.09,167158,0
2010-03-19,29.13,29.64,28.49,29,358040,0
2010-03-22,28.72,29.46,28.57,29.25,254593,0
2010-03-23,29.5,30.65,29.26,30.62,342280,0
2010-03-24,30.61,30.92,29.77,29.92,286948,0
2010-03-25,29.98,30.17,29.33,29.39,133321,0
2010-03-26,29.38,30.63,29.23,30.61,261125,0
2010-03-29,30.76,31.23,30.57,30.92,254874,0
2010-03-30,30.92,31.5,30.66,31.21,244943,0
2010-03-31,31.03,31.41,30.72,31.01,197384,0
2010-04-01,31.29,31.44,30.5,31.34,226735,0
2010-04-05,31.38,32.33,31.38,32.29,166047,0
2010-04-06,32.11,32.49,31.88,32.48,85594,0
2010-04-07,32.55,32.55,31.62,31.93,311734,0
2010-04-08,31.88,32.26,31.13,31.9,186329,0
2010-04-09,31.83,32.06,31.15,32,165154,0
2010-04-12,31.93,33.2,31.85,33.18,304350,0
2010-04-13,32.99,34.49,32.99,33.85,519267,0
2010-04-14,34.38,34.79,33.75,34.79,360623,0
2010-04-15,34.52,34.67,33.57,34.19,372776,0
2010-04-16,34.01,34.21,33.51,33.88,243355,0
2010-04-19,33.88,34.05,32.98,33.73,283351,0
2010-04-20,33.83,33.85,33.22,33.51,176870,0
2010-04-21,33.66,34.18,33.12,33.87,220883,0
2010-04-22,33.42,35,33.23,34.82,210458,0
2010-04-23,34.73,34.89,34.16,34.75,246144,0
2010-04-26,34.63,34.79,34.34,34.35,243691,0
2010-04-27,34.28,34.77,33.77,34.01,341589,0
2010-04-28,34.13,34.48,33.48,33.7,324559,0
2010-04-29,33.83,34.72,33.78,34.56,251404,0
2010-04-30,34.47,34.55,33.21,33.29,460812,0
2010-05-03,33.29,34.07,32.76,33.94,173920,0
2010-05-04,33.55,33.55,32.36,32.7,218734,0
2010-05-05,32.48,32.49,31.33,31.68,178454,0
2010-05-06,31.46,31.71,29.08,30.51,257864,0
2010-05-07,30.37,30.58,28.88,29.39,247268,0
2010-05-10,30.83,31,30.22,30.71,173503,0
2010-05-11,30.38,31.91,30.17,31.46,159570,0
2010-05-12,31.54,32.67,31.14,32.47,151214,0
2010-05-13,32.3,32.3,30.92,31.22,165282,0
2010-05-14,30.96,30.96,30.08,30.43,126046,0
2010-05-17,30.62,31.09,29.6,30.64,122907,0
2010-05-18,30.98,31.39,29.54,29.59,98243,0
2010-05-19,29.46,29.69,28.61,29.51,158713,0
2010-05-20,28.82,29.6,28.36,28.44,235409,0
2010-05-21,28.07,29.16,27.7,28.81,183225,0
2010-05-24,28.81,29.2,28.39,28.81,155019,0
2010-05-25,28.12,28.94,27.39,28.84,252418,0
2010-05-26,29.11,29.65,28.6,28.98,213259,0
2010-05-27,30.7,33.79,29.79,29.91,558312,0
2010-05-28,29.74,31.66,29.54,31.12,548375,0
2010-06-01,30.9,31.5,30.42,30.54,297527,0
2010-06-02,30.84,31.58,30.01,31.56,632398,0
2010-06-03,31.39,31.94,30.63,30.96,190315,0
2010-06-04,30.1,30.3,29.27,29.44,321716,0
2010-06-07,29.53,30.72,28.77,28.84,362820,0
2010-06-08,29,29.3,27.91,28.4,255994,0
2010-06-09,28.71,29.33,28.71,29.26,413305,0
2010-06-10,29.64,30.49,29.61,30.43,162677,0
2010-06-11,29.95,31.2,29.91,30.76,214327,0
2010-06-14,30.93,31.33,30.32,30.47,205904,0
2010-06-15,30.74,31.03,30.35,30.77,195273,0
2010-06-16,30.58,30.66,30.05,30.1,218866,0
2010-06-17,30.34,30.46,29.53,29.65,156457,0
2010-06-18,29.87,30.33,29.48,30.33,231165,0
2010-06-21,30.75,30.75,28.95,29.14,122245,0
2010-06-22,29.14,29.49,28.27,28.41,179913,0
2010-06-23,28.33,28.95,28,28.7,165697,0
2010-06-24,28.52,28.52,27.69,27.89,146736,0
2010-06-25,27.98,28.72,27.44,28.62,292709,0
2010-06-28,28.69,29.05,28.14,28.25,139108,0
2010-06-29,27.75,27.89,26.84,27.04,308427,0
