Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,27.48,28.68,27.48,28.68,26279,0
2010-01-05,28.44,29.16,28.08,28.08,24129,0
2010-01-06,27.96,29.16,27.96,28.92,37147,0
2010-01-07,28.8,29.04,28.32,28.8,21604,0
2010-01-08,28.8,29.76,28.32,29.52,34850,0
2010-01-11,30,30,28.8,29.76,32575,0
2010-01-12,29.52,29.52,27.72,28.08,42942,0
2010-01-13,28.56,28.56,27.24,27.84,36025,0
2010-01-14,27.84,29.04,27.36,28.56,22752,0
2010-01-15,28.8,28.8,27.24,27.96,42769,0
2010-01-19,28.08,29.76,27.96,29.76,53838,0
2010-01-20,29.64,30,28.8,29.16,51038,0
2010-01-21,29.16,29.52,28.8,28.92,39534,0
2010-01-22,28.92,29.76,27.84,28.08,48035,0
2010-01-25,28.2,28.44,27.12,27.6,36211,0
2010-01-26,27.6,27.6,26.52,26.52,40050,0
2010-01-27,26.4,26.88,25.92,26.76,32546,0
2010-01-28,26.88,27.48,26.28,26.76,25639,0
2010-01-29,26.88,27.6,26.28,26.76,33154,0
2010-02-01,26.76,27.24,26.4,26.52,15687,0
2010-02-02,26.76,28.32,26.4,28.08,53315,0
2010-02-03,27.96,28.2,26.76,27,20647,0
2010-02-04,27,27,25.8,25.8,38268,0
2010-02-05,26.52,26.52,25.2,25.56,65792,0
2010-02-08,25.68,25.68,24.84,24.96,47168,0
2010-02-09,25.2,25.68,24.72,25.2,40639,0
2010-02-10,25.2,25.8,24.96,25.2,34004,0
2010-02-11,25.08,27.6,25.08,27.6,60372,0
2010-02-12,27,28.08,26.76,28.08,54984,0
2010-02-16,28.44,29.76,28.32,29.4,69015,0
2010-02-17,29.64,30.96,29.64,30.96,45593,0
2010-02-18,30.84,31.32,30,31.32,50737,0
2010-02-19,31.32,31.8,30.72,31.08,43644,0
2010-02-22,31.2,31.68,30,31.08,31956,0
2010-02-23,31.08,31.2,29.88,30.96,35857,0
2010-02-24,30.84,31.68,30.84,30.96,36875,0
2010-02-25,30.24,30.6,29.52,30.6,27015,0
2010-02-26,30.6,31.2,30.48,31.08,19775,0
