Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,21.505,21.62,21.365,21.5,36770,0
2010-01-05,21.515,21.515,20.97,20.97,48398,0
2010-01-06,20.93,21.4,20.4,20.85,83954,0
2010-01-07,20.775,21.21,20.775,21.13,13190,0
2010-01-08,21.095,21.255,20.59,20.96,35214,0
2010-01-11,21,21,20.535,20.665,27230,0
2010-01-12,20.435,20.765,20.185,20.325,23556,0
2010-01-13,20.35,20.725,20.055,20.5,30314,0
2010-01-14,20.34,20.6,20.15,20.5,16460,0
2010-01-15,20.6,20.785,20,20.15,50258,0
2010-01-19,20.05,20.81,20.05,20.57,24382,0
2010-01-20,20.29,20.545,19.84,20.425,46562,0
2010-01-21,20.495,20.495,19.905,20,15076,0
2010-01-22,19.885,20.6,18.945,19.43,62634,0
2010-01-25,19.37,19.81,18.845,19.63,60492,0
2010-01-26,19.505,19.9,18.91,19.375,23042,0
2010-01-27,19.175,19.915,19.085,19.56,40040,0
2010-01-28,19.505,20.29,19.005,19.125,41878,0
2010-01-29,19.255,19.58,18.105,18.735,125348,0
2010-02-01,18.885,19.44,18.005,19.37,39806,0
2010-02-02,19.745,19.9,18.73,19.075,46024,0
2010-02-03,19.085,19.785,18.99,19.165,18354,0
2010-02-04,18.975,19.025,17.5,18.01,35734,0
2010-02-05,18.1,19.225,16.925,18.98,35840,0
2010-02-08,18.98,20.5,18.905,19.465,89962,0
2010-02-09,19.77,20.55,19.085,20.395,37060,0
2010-02-10,20.675,20.675,19.8,20.365,54668,0
2010-02-11,20.205,21.155,19.96,21.1,36390,0
2010-02-12,20.77,22.35,19.525,22.295,56280,0
2010-02-16,22.385,22.705,22,22.425,34622,0
2010-02-17,22.465,23.08,22.465,23.04,22536,0
2010-02-18,23.095,23.095,22.485,23,24436,0
2010-02-19,23.045,23.045,22.415,22.885,31914,0
2010-02-22,22.895,23.465,22.895,23.465,15166,0
2010-02-23,23.46,23.46,22.55,22.97,16222,0
2010-02-24,22.98,22.98,22.4,22.56,26484,0
2010-02-25,22.14,22.15,21.74,21.945,15972,0
2010-02-26,22,22,21.4,21.53,37470,0
2010-03-01,21.55,22.975,21.545,22.95,24882,0
2010-03-02,23.05,24.29,22.635,23.905,27728,0
2010-03-03,23.735,24.285,23.38,23.555,32158,0
2010-03-04,23.495,24.09,22.9,24.005,19970,0
2010-03-05,24.215,24.7,24.165,24.7,27566,0
2010-03-08,24.85,25,24.115,24.89,32882,0
2010-03-09,24.89,25.235,24.66,24.86,27840,0
2010-03-10,24.74,25,23.51,24.745,70362,0
2010-03-11,24.685,24.895,24.43,24.855,8368,0
2010-03-12,24.745,24.75,24.11,24.57,10196,0
2010-03-15,24.215,24.635,23.795,24.295,18700,0
2010-03-16,24.575,24.7,24.26,24.56,13124,0
2010-03-17,24.51,24.985,24.475,24.7,24530,0
2010-03-18,24.805,24.84,24.37,24.425,11170,0
2010-03-19,24.445,24.55,22.38,22.745,101038,0
2010-03-22,22.485,22.755,21.97,22.6,30022,0
2010-03-23,22.56,24.21,22.56,23.675,27956,0
2010-03-24,23.615,24.37,23.28,23.475,50718,0
2010-03-25,23.4,23.7,23.325,23.35,18886,0
2010-03-26,23.375,23.59,22.73,22.885,16794,0
2010-03-29,22.925,23.51,22.925,23.47,9672,0
2010-03-30,23.525,24.245,23.525,23.87,19068,0
2010-03-31,23.735,23.98,23.565,23.905,13362,0
2010-04-01,23.895,24,23.705,23.805,88122,0
2010-04-05,23.8,24.16,22.15,22.63,243426,0
2010-04-06,22.53,23.56,22.53,23.545,22142,0
2010-04-07,23.55,23.98,23.13,23.58,29510,0
2010-04-08,23.1,23.945,23.075,23.885,12584,0
2010-04-09,23.985,24.08,23.615,23.99,13094,0
2010-04-12,24.015,24.475,23.905,24.16,19444,0
2010-04-13,23.83,24.16,23.75,24,20280,0
2010-04-14,24.105,24.46,23.51,24.425,43304,0
2010-04-15,24.365,24.905,24.25,24.71,34522,0
2010-04-16,24.55,25,23.98,24.12,27476,0
2010-04-19,24.045,24.305,23.745,23.905,11460,0
2010-04-20,24.375,25,24.215,25,35436,0
2010-04-21,24.995,25,24.905,24.95,18724,0
2010-04-22,24.695,25.245,24.695,25.24,22434,0
2010-04-23,24.645,25.23,24.25,25.23,24566,0
2010-04-26,25.065,26,25.065,25.78,16410,0
2010-04-27,25.68,25.68,24.845,25.115,22958,0
2010-04-28,25.3,26,25.3,25.86,13806,0
2010-04-29,26,26,25.68,25.83,21216,0
2010-04-30,26.125,26.125,24.6,24.85,26132,0
2010-05-03,24.62,25.7,24.6,25.04,99818,0
2010-05-04,24.54,24.54,23.725,24.41,40116,0
2010-05-05,24.11,24.11,22.56,23.505,64410,0
2010-05-06,22.055,24.5,22.055,23.01,49236,0
2010-05-07,23.065,24.1,22.235,23.34,47126,0
2010-05-10,24.215,25.69,24.11,25.565,52918,0
2010-05-11,25.32,26,24.65,25.985,27516,0
2010-05-12,26,26.25,25.455,26,46276,0
2010-05-13,25.84,26.025,25.49,25.715,40304,0
2010-05-14,25.5,25.605,25.015,25.21,32064,0
2010-05-17,25.5,25.685,25.195,25.5,42256,0
2010-05-18,25.96,25.97,24.98,25.015,31696,0
2010-05-19,24.845,24.925,24.27,24.295,21536,0
2010-05-20,23.54,23.54,22.01,22.015,65632,0
2010-05-21,21.685,22.805,21.31,22.26,66248,0
2010-05-24,22.24,22.7,22.21,22.395,38222,0
2010-05-25,22,22.135,20.615,21.935,60424,0
2010-05-26,22.105,22.78,22.105,22.525,38186,0
2010-05-27,23.09,23.76,22.635,23.525,69450,0
2010-05-28,22.995,23.485,22.66,22.815,45316,0
2010-06-01,22.585,23.72,22.175,22.31,48040,0
2010-06-02,22.525,24,22.525,23.99,39766,0
2010-06-03,23.89,24.39,23.275,24.205,25170,0
2010-06-04,23.595,24.085,22.645,22.79,43766,0
2010-06-07,22.945,23.735,22.44,22.52,42534,0
2010-06-08,22.585,23.185,22.215,22.595,95580,0
2010-06-09,23.4,23.55,22.465,22.56,16918,0
2010-06-10,22.925,23.845,22.63,23.705,45246,0
2010-06-11,23.47,24.45,23.47,24.395,20800,0
2010-06-14,24.615,25.55,24.465,24.85,46830,0
2010-06-15,24.505,26.095,24.505,25.825,48094,0
2010-06-16,25.635,26,25.155,25.88,26190,0
2010-06-17,25.77,26.295,25.505,26.22,65736,0
2010-06-18,26.415,26.825,26.015,26.685,48168,0
2010-06-21,26.995,27.735,26.09,26.465,63974,0
2010-06-22,26.665,26.935,26.26,26.26,16374,0
2010-06-23,26.135,26.285,25.785,25.86,45338,0
2010-06-24,24.915,25.915,24.915,25.085,24664,0
2010-06-25,25.165,25.625,23.29,24.905,436528,0
2010-06-28,24.96,24.975,24.75,24.81,17706,0
2010-06-29,24.365,24.365,23.385,23.695,28648,0
2010-06-30,23.75,24.37,23.75,24.24,49706,0
2010-07-01,24.135,25.265,23.75,25.21,35666,0
