Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,29.606,30.376,29.548,29.846,1176721,0
2010-01-05,29.699,30.731,29.564,30.455,2118051,0
2010-01-06,30.361,30.97,30.309,30.869,1040531,0
2010-01-07,31.092,31.534,30.549,30.643,954858,0
2010-01-08,30.665,31.514,30.44,31.491,1595151,0
2010-01-11,31.557,32.268,30.926,31.44,898736,0
2010-01-12,31.122,31.484,29.888,30.309,1319775,0
2010-01-13,30.514,30.783,29.896,30.658,1304667,0
2010-01-14,30.687,30.687,29.737,29.978,732068,0
2010-01-15,29.998,30.382,29.375,29.411,714243,0
2010-01-19,29.394,29.737,29.387,29.686,684237,0
2010-01-20,29.612,29.68,29.004,29.106,621564,0
2010-01-21,29.172,29.315,28.2,28.468,1277676,0
2010-01-22,28.483,28.599,27.382,27.621,1353592,0
2010-01-25,27.967,28.171,27.686,28.04,948176,0
2010-01-26,28.062,28.489,27.822,28.163,603705,0
2010-01-27,28.143,28.483,27.91,28.397,847634,0
2010-01-28,28.535,28.539,27.512,27.605,727698,0
2010-01-29,27.902,28.503,27.512,27.621,1264891,0
2010-02-01,27.757,27.917,27.545,27.859,1016400,0
2010-02-02,27.814,29.461,27.814,29.362,1716643,0
2010-02-03,29.063,29.063,28.091,28.271,917143,0
2010-02-04,27.931,28.04,26.667,26.721,1507426,0
2010-02-05,26.706,26.981,26.119,26.808,1544475,0
2010-02-08,26.945,27.235,26.597,26.634,503305,0
2010-02-09,27.011,27.229,26.778,27.213,763328,0
2010-02-10,27.308,27.597,26.757,27.178,1004634,0
2010-02-11,27.192,27.925,26.836,27.872,1185383,0
2010-02-12,27.649,27.895,27.229,27.847,819966,0
2010-02-16,28.035,28.343,27.847,28.337,458887,0
2010-02-17,28.462,28.967,28.446,28.511,606549,0
2010-02-18,28.446,28.967,28.375,28.91,545607,0
2010-02-19,28.692,29.296,28.692,29.041,590222,0
2010-02-22,29.172,29.215,28.692,28.939,600116,0
2010-02-23,28.822,28.889,28.035,28.251,624398,0
2010-02-24,28.375,28.439,27.96,28.375,973934,0
2010-02-25,27.982,28.52,27.692,28.468,924628,0
2010-02-26,28.576,28.657,28.222,28.375,577699,0
2010-03-01,28.397,29.394,28.091,29.12,1255026,0
2010-03-02,29.159,29.394,29.12,29.265,848325,0
2010-03-03,29.265,29.338,28.585,28.649,1206861,0
2010-03-04,28.788,29.223,28.788,28.959,815303,0
2010-03-05,29.23,29.692,29.026,29.585,1238195,0
2010-03-08,29.692,30.767,29.585,30.737,2086638,0
2010-03-09,30.68,31.448,30.665,30.904,2116183,0
2010-03-10,30.999,31.157,30.783,31.122,1565447,0
2010-03-11,31.049,31.645,30.845,31.565,1745608,0
2010-03-12,31.731,31.826,31.157,31.803,1374615,0
2010-03-15,31.811,32.464,31.803,32.412,1845243,0
2010-03-16,32.58,32.965,32.065,32.42,1927410,0
2010-03-17,32.602,32.679,31.514,32.464,4045707,0
2010-03-18,33.479,33.653,32.514,32.935,5978181,0
2010-03-19,33.118,33.151,32.464,32.623,2138164,0
2010-03-22,32.464,33.341,32.158,33.28,1328420,0
2010-03-23,33.313,33.733,33.044,33.667,1420056,0
2010-03-24,33.551,33.688,32.923,32.929,1341055,0
2010-03-25,33.051,33.667,32.941,32.972,2088794,0
2010-03-26,33.144,33.455,32.884,33.109,995259,0
2010-03-29,32.999,33.217,32.479,32.818,864098,0
2010-03-30,32.978,33.051,32.433,32.776,1612805,0
2010-03-31,32.573,33.167,32.535,32.672,1310835,0
2010-04-01,32.891,33.021,32.55,32.824,901019,0
2010-04-05,32.824,33.08,32.672,32.972,1995278,0
2010-04-06,32.824,32.948,32.542,32.811,2214828,0
2010-04-07,32.884,32.965,32.542,32.688,2522349,0
2010-04-08,32.803,32.803,32.007,32.349,1393976,0
2010-04-09,32.441,32.76,32.124,32.688,1202699,0
2010-04-12,32.869,33.038,32.594,32.688,1425439,0
2010-04-13,32.697,32.824,32.412,32.667,877539,0
2010-04-14,32.923,33.038,32.609,32.864,2124104,0
2010-04-15,32.869,33.306,32.667,33.176,1846692,0
2010-04-16,32.999,33.188,32.507,32.705,1734215,0
2010-04-19,32.542,32.738,31.507,32.289,1796626,0
2010-04-20,32.529,32.776,32.124,32.23,721822,0
2010-04-21,32.319,32.898,32.007,32.799,1292665,0
2010-04-22,32.479,34.327,32.354,34.118,1909416,0
2010-04-23,34.227,34.548,33.732,34.509,1688309,0
2010-04-26,35.421,35.669,34.849,34.958,2075250,0
2010-04-27,34.812,34.899,33.717,33.849,1990712,0
2010-04-28,34.16,34.183,32.987,33.051,1616540,0
2010-04-29,33.306,33.559,32.972,33.341,1145354,0
2010-04-30,33.341,33.42,31.753,31.906,1875013,0
2010-05-03,32.007,32.884,31.796,32.42,1265328,0
2010-05-04,31.818,31.861,30.309,30.484,2640434,0
2010-05-05,29.215,29.606,26.91,28.993,12829590,0
2010-05-06,28.264,28.854,25.394,27.503,4958342,0
2010-05-07,27.495,27.495,25.256,26.153,5728856,0
2010-05-10,27.532,29.142,27.242,29.017,4395438,0
2010-05-11,28.657,29.773,28.511,28.998,2922906,0
2010-05-12,29.223,29.287,28.432,28.716,3333800,0
2010-05-13,28.56,28.88,27.649,27.888,2003704,0
2010-05-14,27.503,27.721,26.271,26.694,2984743,0
2010-05-17,26.8,27.178,26.003,26.836,2301105,0
2010-05-18,27.178,27.454,25.821,25.979,2108666,0
2010-05-19,25.698,25.893,24.561,25.235,4628731,0
2010-05-20,24.429,25.35,24.087,24.626,3799871,0
2010-05-21,24.48,25.727,23.688,25.59,4382459,0
2010-05-24,25.537,26.373,25.335,25.633,2558147,0
2010-05-25,24.733,25.879,24.024,25.813,3066372,0
2010-05-26,26.039,26.039,24.618,24.786,3948104,0
2010-05-27,25.524,26.561,25.387,26.547,4059261,0
2010-05-28,25.836,27.286,25.836,26.423,7983357,0
2010-06-01,26.193,26.46,24.746,24.833,5116177,0
2010-06-02,24.995,25.444,24.594,25.307,3847840,0
2010-06-03,25.322,25.858,24.982,25.387,2188721,0
2010-06-04,24.87,24.893,23.232,23.516,4703147,0
2010-06-07,23.087,23.458,22.567,22.567,4509706,0
2010-06-08,22.697,22.986,22.104,22.697,5155051,0
2010-06-09,22.921,23.648,22.718,22.95,3792269,0
2010-06-10,23.631,24.277,23.575,24.168,2642121,0
2010-06-11,23.755,24.589,23.712,24.32,1783835,0
2010-06-14,24.494,25.146,24.385,24.674,3265102,0
2010-06-15,24.833,25.327,24.27,25.3,1907406,0
2010-06-16,25.031,25.031,24.13,24.27,2294954,0
2010-06-17,24.336,24.539,23.704,24.024,1839803,0
2010-06-18,24.087,24.277,23.624,23.674,2266850,0
2010-06-21,24.074,24.147,23.392,23.553,2552458,0
2010-06-22,23.544,24.153,22.673,22.726,2631583,0
2010-06-23,22.746,23.256,22.078,23.03,2313206,0
2010-06-24,23.023,23.148,22.378,22.799,3236808,0
2010-06-25,22.856,23.165,22.617,22.898,3108127,0
2010-06-28,23.102,23.102,22.51,22.574,3085283,0
