Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,7.6168,7.631,7.5487,7.631,965084,0
2010-01-05,7.6398,7.7918,7.6208,7.7457,763624,0
2010-01-06,7.7785,7.9065,7.7738,7.8897,1535671,0
2010-01-07,7.9254,7.9532,7.8422,7.9221,634553,0
2010-01-08,7.8972,7.9411,7.88,7.8938,827488,0
2010-01-11,7.9411,8.101,7.9411,8.0553,897040,0
2010-01-12,7.9808,7.9901,7.8747,7.9619,880457,0
2010-01-13,7.9411,7.9619,7.8513,7.88,642128,0
2010-01-14,7.8621,7.9469,7.8621,7.88,603973,0
2010-01-15,7.9065,7.9532,7.8384,7.8699,606801,0
2010-01-19,7.9154,7.9411,7.8699,7.8938,758882,0
2010-01-20,7.8938,7.9619,7.7918,7.8475,739973,0
2010-01-21,7.8254,7.8621,7.5534,7.5946,847030,0
2010-01-22,7.6398,7.6398,7.3188,7.3729,1372055,0
2010-01-25,7.4102,7.4291,7.2305,7.2866,929805,0
2010-01-26,7.313,7.313,7.0749,7.2081,973990,0
2010-01-27,7.1794,7.3366,7.1478,7.2268,1116759,0
2010-01-28,7.295,7.3562,7.0794,7.1345,924573,0
2010-01-29,7.2268,7.2268,7.0094,7.0689,781983,0
2010-02-01,7.0794,7.0884,6.826,7.05,2331148,0
2010-02-02,7.0974,7.2826,7.0286,7.2729,977964,0
2010-02-03,7.2621,7.3879,7.235,7.3879,620396,0
2010-02-04,7.3034,7.3188,7.0199,7.0464,1002264,0
2010-02-05,6.9904,7.2081,6.8337,7.1613,1034521,0
2010-02-08,7.184,7.2826,7.1613,7.199,656861,0
2010-02-09,7.1613,7.3417,7.1533,7.3188,496937,0
2010-02-10,7.2621,7.3639,7.0794,7.3269,432164,0
2010-02-11,7.3639,7.4553,7.2546,7.4467,576977,0
2010-02-12,7.4509,7.5622,7.3188,7.5622,478542,0
2010-02-16,7.5946,7.636,7.4842,7.5487,992886,0
2010-02-17,7.6129,7.6446,7.4797,7.4929,598592,0
2010-02-18,7.5306,7.5581,7.3639,7.3729,754583,0
2010-02-19,7.4224,7.4224,7.2776,7.3366,594620,0
2010-02-22,7.4102,7.4467,7.308,7.3507,640498,0
2010-02-23,7.3769,7.3879,7.2546,7.295,545150,0
2010-02-24,7.2621,7.4797,7.2268,7.4797,611410,0
2010-02-25,7.3879,7.6446,7.3034,7.6398,483629,0
2010-02-26,7.6129,7.7883,7.6129,7.6775,752509,0
2010-03-01,7.6857,7.7706,7.6647,7.7251,839424,0
2010-03-02,7.8155,7.9619,7.7883,7.9619,754436,0
2010-03-03,8.0051,8.0553,7.8848,7.9154,852976,0
2010-03-04,7.9532,8.0252,7.8422,8.0104,501984,0
2010-03-05,8.0104,8.1319,8.0104,8.1319,781735,0
2010-03-08,8.1669,8.2343,8.051,8.1713,654890,0
2010-03-09,8.1465,8.1713,8.101,8.1465,448811,0
2010-03-10,8.1909,8.2023,8.0104,8.0305,636203,0
2010-03-11,8.0124,8.1414,7.9619,8.1414,428978,0
2010-03-12,8.1713,8.2462,8.0961,8.1465,624479,0
2010-03-15,8.1094,8.1319,7.9619,8.0688,439279,0
2010-03-16,8.1578,8.179,8.0553,8.1669,517819,0
2010-03-17,8.1669,8.2757,8.101,8.2176,598934,0
2010-03-18,8.2557,8.2757,8.1146,8.2023,377631,0
2010-03-19,8.2023,8.2557,8.0772,8.1146,423638,0
2010-03-22,8.0731,8.1763,7.8621,8.1763,481400,0
2010-03-23,8.1763,8.2211,8.0961,8.1524,436348,0
2010-03-24,8.1371,8.1823,8.0553,8.101,440788,0
2010-03-25,8.1239,8.1465,7.9619,8.022,476589,0
2010-03-26,8.0171,8.0305,7.9154,8.0104,396536,0
2010-03-29,7.9901,8.1146,7.9901,8.0731,489493,0
2010-03-30,8.0925,8.1146,7.9852,8.0171,332559,0
2010-03-31,8.051,8.1146,7.9852,8.1146,350884,0
2010-04-01,8.1189,8.2176,8.1189,8.2176,360084,0
