Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,5.7294,5.7606,5.6423,5.6794,564162,0
2010-01-05,5.7731,5.8168,5.7231,5.7978,642818,0
2010-01-06,5.8478,5.8598,5.7483,5.8042,507368,0
2010-01-07,5.823,5.8352,5.7664,5.8168,388777,0
2010-01-08,5.8352,5.8789,5.8042,5.8666,695518,0
2010-01-11,5.8853,5.9165,5.8666,5.9099,363830,0
2010-01-12,5.9727,5.9727,5.8042,5.8102,576332,0
2010-01-13,5.8853,5.8853,5.8102,5.8352,425247,0
2010-01-14,5.8478,5.8727,5.8352,5.8727,463042,0
2010-01-15,5.8853,5.8912,5.7175,5.7731,771968,0
2010-01-19,5.8289,5.854,5.6922,5.7853,760452,0
2010-01-20,5.7664,5.7853,5.7105,5.7853,669205,0
2010-01-21,5.7544,5.7793,5.7175,5.7355,438326,0
2010-01-22,5.7294,5.7544,5.6488,5.6794,485633,0
2010-01-25,5.6609,5.6981,5.6293,5.6542,600405,0
2010-01-26,5.6794,5.7731,5.6673,5.7606,617475,0
2010-01-27,5.7606,5.7606,5.6673,5.7105,458966,0
2010-01-28,5.7483,5.7483,5.686,5.6922,341426,0
2010-01-29,5.7793,5.7793,5.6363,5.6794,490273,0
2010-02-01,5.6794,5.7231,5.6363,5.6922,462214,0
2010-02-02,5.6922,5.7793,5.6922,5.7793,408393,0
2010-02-03,5.7731,5.8352,5.7231,5.8352,393777,0
2010-02-04,5.8102,5.8289,5.6363,5.6363,604633,0
2010-02-05,5.5799,5.6236,5.412,5.5986,1567880,0
2010-02-08,5.5551,5.6922,5.5238,5.5363,511290,0
2010-02-09,5.5487,5.5986,5.474,5.5926,652653,0
2010-02-10,5.6794,5.6794,5.5427,5.6113,490176,0
2010-02-11,5.5986,5.6542,5.5551,5.5613,466056,0
2010-02-12,5.5427,5.6293,5.4866,5.6293,468418,0
2010-02-16,5.6736,5.6981,5.6236,5.6922,646729,0
2010-02-17,5.7418,5.7544,5.686,5.7294,364653,0
2010-02-18,5.7355,5.8289,5.7231,5.7978,561015,0
2010-02-19,5.8042,5.8478,5.7664,5.823,475651,0
2010-02-22,5.854,5.8789,5.8289,5.8352,629535,0
2010-02-23,5.8352,5.8789,5.792,5.8598,738407,0
2010-02-24,5.8789,5.8789,5.8352,5.854,295420,0
2010-02-25,5.854,5.8789,5.823,5.8666,538216,0
2010-02-26,5.904,5.904,5.8352,5.8789,375690,0
2010-03-01,5.904,5.9226,5.8976,5.9226,495503,0
2010-03-02,5.9226,5.9537,5.8666,5.8853,505884,0
2010-03-03,5.8789,5.9165,5.8168,5.823,745088,0
2010-03-04,5.8042,5.8853,5.7853,5.8102,494216,0
2010-03-05,5.8289,5.8478,5.792,5.8478,470580,0
2010-03-08,5.8478,5.8912,5.8478,5.8853,328426,0
2010-03-09,5.8853,5.9414,5.8789,5.9345,541990,0
2010-03-10,5.9478,5.9727,5.9099,5.9478,446096,0
2010-03-11,5.9537,5.9596,5.8352,5.9478,368721,0
2010-03-12,5.9537,5.985,5.9414,5.985,351353,0
2010-03-15,5.9537,5.9727,5.9226,5.9661,355086,0
2010-03-16,5.9537,5.985,5.9345,5.9596,505561,0
2010-03-17,5.9596,5.985,5.9537,5.9786,439615,0
