Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,13.2,13.52,12.48,13.2,4598,0
2010-01-05,13.2,13.2,12.88,13.2,1891,0
2010-01-06,12.88,13.52,12.88,13.2,7656,0
2010-01-07,13.2,13.92,13.2,13.68,14616,0
2010-01-08,13.44,14.4,13.44,14.4,6435,0
2010-01-11,14.4,14.88,14.32,14.88,8139,0
2010-01-12,14.48,14.72,13.76,14,5537,0
2010-01-13,13.84,14.48,13.6,14,4240,0
2010-01-14,13.84,14.32,13.6,13.92,2168,0
2010-01-15,14,14,13.04,13.44,3307,0
2010-01-19,13.44,14.32,12.96,14,8133,0
2010-01-20,14,14,13.6,13.6,6106,0
2010-01-21,13.6,13.92,13.04,13.76,10624,0
2010-01-22,13.2,13.76,12.96,13.36,4084,0
2010-01-25,13.36,13.6,13.2,13.36,4086,0
2010-01-26,13.6,13.6,13.36,13.36,3219,0
2010-01-27,13.44,13.76,13.36,13.36,7368,0
2010-01-28,13.6,13.84,13.52,13.84,12060,0
2010-01-29,14.16,16,14,15.36,30865,0
2010-02-01,16,16,14.8,15.28,29930,0
2010-02-02,15.12,15.44,14.8,15.44,10803,0
2010-02-03,15.6,15.84,14.96,15.84,6186,0
2010-02-04,15.84,15.84,15.04,15.84,7927,0
2010-02-05,15.52,15.52,14.72,15.36,4583,0
2010-02-08,15.36,15.68,14.64,15.68,3156,0
2010-02-09,15.36,15.84,15.36,15.84,3256,0
2010-02-10,15.68,15.76,15.36,15.76,1096,0
2010-02-11,15.76,15.76,15.52,15.6,2803,0
2010-02-12,15.2,15.2,14.8,15.2,7210,0
2010-02-16,15.2,15.6,14.88,15.6,12314,0
2010-02-17,15.92,16.72,15.6,16.72,33600,0
2010-02-18,16.24,16.8,15.68,16.64,13022,0
2010-02-19,16.08,16.64,16,16.32,4953,0
2010-02-22,16.48,16.48,15.6,15.6,6661,0
2010-02-23,15.28,15.6,15.28,15.52,1762,0
2010-02-24,15.52,16.48,15.28,15.52,8366,0
2010-02-25,15.2,16,15.2,16,3913,0
2010-02-26,16,16.4,15.28,15.6,8357,0
2010-03-01,15.36,16.4,15.36,16.32,5793,0
2010-03-02,16.4,16.4,16,16.4,2708,0
2010-03-03,15.92,16.4,15.52,15.52,3149,0
2010-03-04,15.68,16,15.36,15.44,2279,0
2010-03-05,16,16,15.04,15.28,6433,0
2010-03-08,15.12,16,14.96,15.92,15133,0
2010-03-09,15.6,16,14.88,15.6,10652,0
2010-03-10,15.6,16,15.6,16,18829,0
2010-03-11,15.84,16,15.6,15.92,7349,0
2010-03-12,15.68,16.08,15.68,16,1340,0
2010-03-15,15.92,15.92,15.52,15.84,7013,0
2010-03-16,15.68,15.76,15.12,15.76,21299,0
2010-03-17,15.76,15.76,15.04,15.2,6150,0
2010-03-18,15.2,15.28,14.96,15.2,3075,0
2010-03-19,15.04,15.04,14.32,14.8,5116,0
2010-03-22,14.32,14.4,13.6,14,22386,0
2010-03-23,13.84,13.84,13.52,13.76,8281,0
2010-03-24,13.92,14.88,13.6,13.76,4543,0
2010-03-25,14.16,14.16,13.92,14,1700,0
2010-03-26,13.76,13.76,12.8,13.6,15446,0
2010-03-29,13.36,14.8,12.8,13.84,28233,0
2010-03-30,14.16,14.8,13.84,14.4,10431,0
2010-03-31,14.64,15.12,14.32,14.56,5441,0
2010-04-01,15.12,15.84,14.88,15.84,10314,0
2010-04-05,15.92,15.92,15.2,15.44,17648,0
2010-04-06,15.04,15.92,14.72,15.92,12921,0
2010-04-07,15.84,15.92,15.52,15.6,9622,0
2010-04-08,15.36,16,15.36,15.92,9445,0
2010-04-09,15.92,16.16,15.68,16,13955,0
2010-04-12,15.76,16.16,15.76,16.08,8968,0
2010-04-13,15.84,16.32,15.84,16.24,8107,0
2010-04-14,16.4,16.8,15.6,16.24,14079,0
2010-04-15,16.4,16.72,16,16.32,8563,0
2010-04-16,16.24,16.8,15.84,16.8,12471,0
2010-04-19,17.6,17.6,16.08,17.44,13214,0
2010-04-20,17.04,17.68,16.56,16.88,11665,0
2010-04-21,17.28,18,16.88,17.28,26337,0
2010-04-22,17.28,18,17.28,18,12950,0
2010-04-23,18,18,17.12,17.92,11375,0
2010-04-26,18,18,17.44,18,2355,0
2010-04-27,17.6,17.84,17.2,17.28,2283,0
2010-04-28,17.76,17.76,16.72,16.72,3092,0
2010-04-29,16.64,16.8,16.32,16.8,2838,0
2010-04-30,16.8,16.8,15.84,16,5996,0
2010-05-03,16.4,16.4,15.68,16,4624,0
2010-05-04,16.24,16.24,15.2,15.52,2425,0
2010-05-05,14.96,16,14.4,15.36,5373,0
2010-05-06,15.6,15.76,14.4,14.88,4059,0
2010-05-07,15.52,15.68,14.4,14.8,6269,0
2010-05-10,14.96,15.52,14.96,15.12,2315,0
2010-05-11,15.04,15.12,14.8,14.96,4430,0
2010-05-12,14.72,15.44,14.48,14.88,1328,0
2010-05-13,15.12,16.32,14.96,15.28,4610,0
2010-05-14,15.12,16,14.88,14.96,1226,0
2010-05-17,15.28,15.6,14.4,14.8,4898,0
2010-05-18,14.64,14.96,14.56,14.72,588,0
2010-05-19,14.56,15.04,14.24,14.8,3405,0
2010-05-20,14.8,14.8,14,14.56,7345,0
2010-05-21,14.16,14.8,14,14.32,2562,0
2010-05-24,14.24,14.72,14.24,14.72,888,0
2010-05-25,14.48,14.8,14,14.64,2204,0
2010-05-26,14.8,14.8,14.24,14.56,1678,0
2010-05-27,14.56,14.8,14.4,14.72,2462,0
2010-05-28,14.96,14.96,14.56,14.72,1465,0
2010-06-01,14.8,14.8,13.76,14,7650,0
2010-06-02,14.4,14.8,14.4,14.48,2719,0
2010-06-03,14.8,15.52,14.8,15.52,2428,0
2010-06-04,15.2,15.6,14.64,14.8,3122,0
2010-06-07,14.88,15.6,14.8,15.44,3510,0
2010-06-08,15.6,15.6,14.88,14.88,1700,0
2010-06-09,14.96,14.96,13.68,14,6816,0
2010-06-10,13.76,14,13.76,14,613,0
2010-06-11,14,14.16,14,14,3775,0
2010-06-14,13.84,13.84,13.44,13.44,6601,0
2010-06-15,13.68,13.68,13.36,13.6,11511,0
2010-06-16,13.68,13.68,13.28,13.28,4788,0
2010-06-17,13.2,13.52,13.2,13.44,2174,0
2010-06-18,13.68,13.68,13.12,13.12,9595,0
2010-06-21,12.96,13.68,12.96,13.28,3454,0
2010-06-22,13.36,13.44,12.96,13.2,8833,0
2010-06-23,13.2,13.2,12.08,12.4,14994,0
2010-06-24,12.08,12.4,12,12,5563,0
2010-06-25,12.08,12.64,11.76,12.32,14256,0
2010-06-28,12.4,12.64,12.32,12.4,6608,0
2010-06-29,12,12.4,11.6,11.76,5094,0
2010-06-30,11.6,12,11.52,11.52,4677,0
2010-07-01,11.6,11.92,11.44,11.68,5963,0
2010-07-02,11.52,12.24,11.52,12,2163,0
2010-07-06,12,12.32,11.28,12,7436,0
2010-07-07,12.24,12.24,11.04,11.04,4245,0
2010-07-08,11.36,11.92,11.36,11.68,1063,0
2010-07-09,11.84,12,11.36,11.84,2386,0
2010-07-12,12,12,11.76,11.76,2388,0
2010-07-13,12,12.4,11.44,11.84,6541,0
2010-07-14,11.6,11.6,11.44,11.44,1635,0
2010-07-15,11.44,11.52,11.2,11.52,3097,0
2010-07-16,11.68,11.68,11.28,11.52,532,0
2010-07-19,11.44,11.76,10.8,10.96,3037,0
2010-07-20,11.36,11.6,11.36,11.36,4125,0
2010-07-21,11.2,11.76,11.2,11.6,1842,0
2010-07-22,11.76,12.32,11.76,12.32,2591,0
2010-07-23,12.96,12.96,11.6,12.4,1438,0
2010-07-26,12.32,12.4,11.52,11.52,3989,0
2010-07-27,11.6,12,11.52,11.84,3213,0
2010-07-28,11.6,12.16,11.52,12.08,911,0
2010-07-29,11.52,11.84,11.52,11.84,113,0
2010-07-30,11.52,12.08,11.52,12,786,0
2010-08-02,12.24,12.24,11.68,12,2025,0
2010-08-03,11.84,12.32,11.84,11.92,1218,0
2010-08-04,11.68,12.32,11.68,12.32,4238,0
2010-08-05,12.32,12.32,12,12.24,1294,0
2010-08-06,12,12.56,12,12.56,4096,0
2010-08-09,12.16,12.56,12.16,12.56,1350,0
2010-08-10,12.16,12.72,12.16,12.72,2894,0
2010-08-11,12.16,12.4,12.16,12.4,1044,0
2010-08-12,12.16,12.4,12.16,12.4,1970,0
2010-08-13,12.16,12.64,12.16,12.64,1136,0
2010-08-16,12.4,12.64,12.24,12.64,756,0
2010-08-17,12.4,12.4,12.16,12.16,3672,0
2010-08-18,12.4,12.64,12.32,12.64,6337,0
2010-08-19,12.56,12.64,12.24,12.4,3808,0
2010-08-20,12.4,12.56,12.4,12.4,13541,0
2010-08-23,12.32,12.64,12.32,12.4,5900,0
2010-08-24,12.24,12.32,12,12.32,450,0
2010-08-25,12.48,12.48,12,12.24,6513,0
2010-08-26,12.08,12.4,12.08,12.4,7856,0
2010-08-27,12.32,12.32,12,12.24,9269,0
2010-08-30,12.08,12.32,12.08,12.32,958,0
2010-08-31,12.08,12.32,11.68,12.32,1316,0
2010-09-01,12.24,12.24,11.76,12.24,1544,0
2010-09-02,11.68,12.24,11.6,12.24,1479,0
2010-09-03,12,12,11.68,12,1328,0
2010-09-07,11.76,12,11.76,11.84,1307,0
2010-09-08,12.32,12.32,11.68,12,3243,0
2010-09-09,11.84,12.16,11.76,12,1467,0
2010-09-10,11.92,12.16,11.92,12.16,1075,0
2010-09-13,12,12.24,11.84,12.24,3737,0
2010-09-14,11.92,12.32,11.84,12.32,625,0
2010-09-15,12.24,12.32,11.84,12.32,606,0
2010-09-17,12.32,12.32,12,12.32,698,0
2010-09-20,12.32,12.32,11.84,12.24,732,0
2010-09-21,12,12,11.6,12,1200,0
2010-09-22,12,12,11.84,11.84,706,0
2010-09-23,11.68,11.92,11.6,11.92,3349,0
2010-09-24,11.92,11.92,11.52,11.76,1426,0
2010-09-27,11.36,11.68,11.2,11.6,9387,0
2010-09-28,11.68,11.92,11.6,11.92,1313,0
2010-09-29,11.92,11.92,11.52,11.84,2287,0
2010-09-30,12,12,11.84,12,1927,0
2010-10-01,11.84,12,11.76,12,6093,0
2010-10-04,12,12.32,11.76,12.32,1709,0
2010-10-06,12.08,12.24,11.92,12.24,1576,0
2010-10-07,12,12.24,11.84,12.16,1335,0
2010-10-08,12,12.24,11.68,12.24,2425,0
2010-10-11,11.76,12.16,11.68,12.16,1865,0
2010-10-12,12,12.16,12,12.08,631,0
2010-10-13,12,12.16,11.68,12.16,3137,0
2010-10-14,12,12.4,12,12.4,3747,0
2010-10-15,12.64,12.64,12.24,12.64,1406,0
2010-10-18,12.48,12.48,10.96,12.08,7834,0
2010-10-19,12,12.08,11.92,12,21156,0
2010-10-20,11.84,12,11.84,12,328,0
2010-10-21,12,12.8,12,12.72,3276,0
2010-10-22,12.8,13.68,12.8,12.8,4169,0
2010-10-25,13.12,13.6,12.96,12.96,5743,0
2010-10-26,12.8,13.44,12.8,13.2,1511,0
2010-10-27,13.52,13.6,13.36,13.6,3129,0
2010-10-28,13.6,13.6,13.28,13.6,575,0
2010-10-29,13.36,13.44,13.04,13.04,1265,0
2010-11-01,13.6,13.6,13.36,13.6,679,0
2010-11-02,13.6,13.6,13.44,13.44,1058,0
2010-11-03,13.6,13.76,13.44,13.6,5596,0
2010-11-04,13.6,13.76,13.36,13.52,2863,0
2010-11-05,13.28,14.4,12.88,13.68,12520,0
2010-11-08,13.68,14.4,13.6,13.68,5696,0
2010-11-09,13.68,14.16,13.6,14,1488,0
2010-11-10,13.68,14.16,13.52,14.16,2538,0
2010-11-11,13.76,13.76,13.2,13.76,1472,0
2010-11-12,13.6,14,13.52,14,1421,0
2010-11-15,14.08,14.16,13.6,14.08,2001,0
2010-11-16,14.16,14.16,13.44,13.92,639,0
2010-11-17,14.56,15.12,14.24,14.72,21537,0
2010-11-18,14.72,14.96,14.56,14.72,3578,0
2010-11-19,14.48,14.88,14.48,14.88,725,0
2010-11-22,14.48,15.04,14.4,14.88,1639,0
2010-11-23,14.56,14.8,14.08,14.4,21931,0
2010-11-24,14.32,14.32,13.76,14,2092,0
2010-11-26,13.84,14.08,13.68,14.08,3035,0
2010-11-29,14.08,14.08,13.52,13.76,3262,0
2010-11-30,15.04,15.04,13.2,13.52,7956,0
2010-12-01,13.52,13.52,13.2,13.44,2775,0
2010-12-02,13.68,13.68,13.2,13.36,367,0
2010-12-03,13.52,13.52,13.04,13.44,727,0
2010-12-06,13.68,13.68,13.04,13.28,2597,0
2010-12-07,13.52,13.52,12.8,13.2,6000,0
2010-12-08,12.88,12.88,12.56,12.64,5732,0
2010-12-09,12.48,12.64,12.24,12.32,8409,0
2010-12-10,13.36,13.36,12.24,12.24,7365,0
2010-12-13,13.28,13.68,12.88,13.28,16275,0
2010-12-14,13.6,13.92,13.2,13.92,6751,0
2010-12-15,13.76,14.08,13.6,14.08,5420,0
2010-12-16,13.92,14.48,13.92,14.32,8401,0
2010-12-17,14.4,14.8,14,14.4,5724,0
2010-12-20,14.56,14.56,14.08,14.48,6206,0
2010-12-21,14.24,14.4,13.36,13.68,6392,0
2010-12-22,13.68,13.68,13.52,13.6,2475,0
2010-12-23,13.44,13.68,13.12,13.52,7633,0
2010-12-27,13.6,13.6,13.04,13.12,5338,0
2010-12-28,13.12,13.12,12.8,12.96,5534,0
2010-12-29,13.2,13.2,12.72,12.88,13601,0
2010-12-30,12.96,13.04,12.8,12.8,10389,0
2010-12-31,12.72,14,12.72,13.68,5213,0
2011-01-03,13.76,13.76,13.36,13.44,4764,0
2011-01-04,13.44,13.6,13.12,13.52,5840,0
2011-01-05,13.6,13.84,13.6,13.68,1497,0
2011-01-06,13.92,14.16,13.76,13.92,1638,0
2011-01-07,14,14.16,13.92,14.08,2340,0
2011-01-10,14.16,14.96,14.08,14.8,6355,0
2011-01-11,14.8,15.36,14.4,15.36,3538,0
2011-01-12,14.8,15.12,14.4,14.72,3409,0
2011-01-13,14.8,14.8,14.32,14.32,1620,0
2011-01-14,14.56,15.76,14.56,15.6,13813,0
2011-01-18,15.6,16.64,15.6,16.56,12515,0
2011-01-19,17.2,17.2,16.4,16.48,15510,0
2011-01-20,16.56,16.8,16.24,16.56,4393,0
2011-01-21,16.56,17.12,16.4,16.56,2719,0
2011-01-24,16.8,16.88,16.64,16.64,4365,0
2011-01-25,16.8,16.8,16.48,16.56,2223,0
2011-01-26,16.48,16.72,16.24,16.48,2151,0
2011-01-27,17.04,17.28,16.32,16.32,2988,0
2011-01-28,16.48,17.52,16.24,16.24,3773,0
2011-01-31,16.16,16.88,16,16.48,3013,0
2011-02-01,16.48,16.8,16.16,16.16,4141,0
2011-02-02,16.16,16.72,16.16,16.56,4808,0
