Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,29.904,29.94,29.774,29.828,1507483,0
2010-01-05,29.15,29.211,28.892,29.039,2333265,0
2010-01-06,28.851,28.95,28.664,28.698,2665428,0
2010-01-07,28.742,28.843,28.475,28.796,2538780,0
2010-01-08,28.504,28.573,28.303,28.533,4252460,0
2010-01-11,28.796,29.005,28.698,28.898,3303359,0
2010-01-12,28.789,29.018,28.712,28.956,2127401,0
2010-01-13,28.898,29.018,28.664,28.956,3381663,0
2010-01-14,29.08,29.226,29.018,29.142,6327462,0
2010-01-15,28.557,28.649,28.155,28.398,3398077,0
2010-01-19,28.913,29.33,28.898,29.239,2436626,0
2010-01-20,29.239,29.309,29.024,29.198,7151951,0
2010-01-21,29.343,29.394,28.698,28.828,2383721,0
2010-01-22,28.557,28.698,28.227,28.297,1748536,0
2010-01-25,28.171,28.212,28.011,28.08,1819251,0
2010-01-26,28.199,28.468,28.143,28.323,2168039,0
2010-01-27,28.178,28.248,27.944,28.061,2719597,0
2010-01-28,28.108,28.15,27.497,27.643,3293618,0
2010-01-29,27.255,27.393,27.038,27.082,4348195,0
2010-02-01,26.872,27.02,26.788,26.983,3651789,0
2010-02-02,27.128,27.484,27.066,27.413,5304260,0
2010-02-03,27.066,27.171,26.915,27.02,2309530,0
2010-02-04,27.227,27.311,26.671,26.719,2548141,0
2010-02-05,26.498,26.518,25.942,26.423,4229046,0
2010-02-08,26.518,26.671,26.436,26.462,2802927,0
2010-02-09,26.561,26.901,26.346,26.705,4701387,0
2010-02-10,26.074,26.206,25.922,26.046,2000605,0
2010-02-11,26.322,26.733,26.199,26.705,5323467,0
2010-02-12,26.879,26.921,26.693,26.901,2438992,0
2010-02-16,26.983,27.304,26.859,27.248,5267717,0
2010-02-17,27.343,27.38,27.171,27.324,2207479,0
2010-02-18,27.053,27.185,26.962,26.962,5435514,0
2010-02-19,26.468,26.643,26.354,26.561,2049273,0
2010-02-22,25.963,26.103,25.824,25.909,5138475,0
2010-02-23,25.942,26.046,25.879,25.978,2565436,0
2010-02-24,25.937,26.087,25.879,25.913,1937390,0
2010-02-25,25.545,25.776,25.484,25.776,3248494,0
2010-02-26,25.657,25.867,25.575,25.783,2319799,0
2010-03-01,25.512,25.745,25.449,25.707,2895273,0
2010-03-02,25.77,25.991,25.7,25.846,2125682,0
2010-03-03,25.901,26.096,25.83,25.937,1569443,0
2010-03-04,26.046,26.081,25.901,25.942,2083634,0
2010-03-05,25.713,26.151,25.684,26.059,2704765,0
2010-03-08,25.948,26.059,25.867,25.942,2361883,0
2010-03-09,26.067,26.206,26.032,26.184,1578329,0
2010-03-10,26.026,26.206,26.011,26.144,1699080,0
2010-03-11,26.138,26.27,25.998,26.27,1553176,0
2010-03-12,26.297,26.346,26.157,26.253,1909033,0
2010-03-15,26.144,26.192,26.04,26.192,2211453,0
2010-03-16,26.12,26.309,26.032,26.234,1955133,0
2010-03-17,26.339,26.346,26.04,26.239,2322091,0
2010-03-18,26.838,27.235,26.803,27.227,4791574,0
2010-03-19,26.775,26.886,26.636,26.775,3951491,0
2010-03-22,26.956,27.248,26.894,27.082,2632839,0
2010-03-23,26.845,27.095,26.832,27.061,2471774,0
2010-03-24,26.872,26.962,26.727,26.824,2639074,0
2010-03-25,26.927,26.935,26.671,26.671,2574077,0
2010-03-26,26.43,26.513,26.346,26.393,1696362,0
2010-03-29,26.401,26.539,26.372,26.462,1376590,0
2010-03-30,26.601,26.643,26.436,26.539,1399557,0
2010-03-31,26.485,26.865,26.477,26.741,2578826,0
2010-04-01,26.705,26.788,26.636,26.763,1575546,0
2010-04-05,26.943,26.943,26.77,26.816,1272487,0
2010-04-06,26.442,27.061,26.436,26.894,4644117,0
2010-04-07,26.97,27.151,26.838,26.908,3972840,0
2010-04-08,26.956,27.066,26.894,26.978,2491644,0
2010-04-09,27.282,27.311,27.128,27.212,2504236,0
2010-04-12,27.157,27.318,27.089,27.165,1857426,0
2010-04-13,27.387,27.435,27.177,27.413,2228745,0
2010-04-14,27.491,27.574,27.38,27.4,2835998,0
2010-04-15,27.358,27.553,27.329,27.393,1807792,0
2010-04-16,27.574,27.704,27.343,27.469,2243223,0
2010-04-19,27.136,27.337,27.116,27.337,1486855,0
2010-04-20,27.387,27.491,27.282,27.374,3202832,0
2010-04-21,27.191,27.212,26.927,27.074,2184529,0
2010-04-22,26.921,27.095,26.581,26.803,4182212,0
2010-04-23,26.525,26.816,26.45,26.803,2275106,0
2010-04-26,26.872,26.962,26.845,26.852,1845967,0
