Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,30.537,30.917,30.44,30.791,440653,0
2010-01-05,30.809,30.809,29.798,30.422,567598,0
2010-01-06,30.97,32.261,30.953,31.772,1137702,0
2010-01-07,31.816,32.41,31.6,32.242,375433,0
2010-01-08,32.223,32.419,31.99,32.269,287526,0
2010-01-11,32.428,32.428,31.323,31.474,480466,0
2010-01-12,31.204,31.609,31.016,31.528,392099,0
2010-01-13,31.456,31.557,31.223,31.493,296839,0
2010-01-14,31.314,31.502,31.123,31.249,179648,0
2010-01-15,31.331,31.35,30.556,30.925,320209,0
2010-01-19,31.043,31.196,30.828,31.078,193139,0
2010-01-20,30.656,30.781,30.179,30.422,259089,0
2010-01-21,30.358,30.582,29.789,30.086,285047,0
2010-01-22,30.086,30.189,29.175,29.268,275490,0
2010-01-25,29.576,29.9,29.376,29.538,255453,0
2010-01-26,29.567,30.034,29.323,29.357,310226,0
2010-01-27,29.277,29.567,28.375,29.448,696422,0
2010-01-28,29.42,29.448,28.104,28.279,422797,0
2010-01-29,28.288,28.828,27.685,27.817,444479,0
2010-02-01,28.007,28.007,27.053,27.628,432916,0
2010-02-02,27.601,27.971,27.447,27.685,473075,0
2010-02-03,27.609,28.034,26.88,27.251,504221,0
2010-02-04,27.043,27.223,26.368,26.494,795557,0
2010-02-05,26.539,26.61,26.061,26.403,641822,0
2010-02-08,26.394,26.799,25.899,26.513,410579,0
2010-02-09,26.925,27.053,26.233,26.766,486085,0
2010-02-10,26.663,26.791,26.149,26.627,337310,0
2010-02-11,26.494,26.691,26.332,26.573,498278,0
2010-02-12,26.349,26.748,26.025,26.681,450709,0
2010-02-16,26.843,26.925,26.177,26.691,439342,0
2010-02-17,26.871,27.412,26.627,27.334,652289,0
2010-02-18,27.259,27.456,27.196,27.297,664212,0
2010-02-19,27.297,27.412,26.943,27.259,507377,0
2010-02-22,27.297,27.43,26.916,27.114,493472,0
2010-02-23,27.114,27.214,26.475,26.564,681096,0
2010-02-24,26.7,26.748,26.098,26.663,1343311,0
2010-02-25,26.158,27.097,26.08,26.791,1006105,0
2010-02-26,26.123,26.187,24.646,24.889,2260244,0
2010-03-01,25.063,25.367,24.451,24.988,1710828,0
2010-03-02,25.015,25.917,24.934,25.638,1985675,0
2010-03-03,25.819,25.997,25.503,25.783,894956,0
2010-03-04,25.764,25.927,25.24,25.404,457663,0
2010-03-05,25.449,25.717,25.367,25.717,1000043,0
2010-03-08,25.764,25.89,25.322,25.404,363030,0
2010-03-09,25.367,25.638,25.18,25.574,1004371,0
2010-03-10,25.476,25.845,25.458,25.836,1045854,0
2010-03-11,25.845,25.845,25.395,25.494,519789,0
2010-03-12,25.648,25.727,25.458,25.727,687820,0
2010-03-15,25.672,25.672,25.195,25.458,613868,0
2010-03-16,25.449,26.196,25.395,26.196,639200,0
2010-03-17,26.251,27.278,26.033,27.071,980758,0
2010-03-18,27.088,27.879,27.088,27.638,807968,0
2010-03-19,27.628,27.808,26.88,27.35,826397,0
2010-03-22,27.088,27.746,27.025,27.703,365109,0
2010-03-23,27.685,28.412,27.509,28.412,568125,0
2010-03-24,28.168,28.429,27.638,27.647,433820,0
2010-03-25,27.888,27.944,27.316,27.316,311876,0
2010-03-26,27.43,27.647,27.158,27.466,351370,0
2010-03-29,27.43,27.628,27.278,27.601,335779,0
2010-03-30,27.538,27.826,27.268,27.368,381171,0
2010-03-31,27.233,27.666,27.223,27.223,376177,0
2010-04-01,27.403,27.737,27.158,27.368,283355,0
2010-04-05,27.341,27.843,27.018,27.755,536735,0
2010-04-06,27.694,28.302,27.685,28.15,326779,0
2010-04-07,28.159,28.365,27.907,28.025,341998,0
2010-04-08,27.879,28.244,27.826,28.159,201588,0
2010-04-09,28.168,28.252,27.888,27.999,371520,0
2010-04-12,27.926,28.439,27.8,28.33,310714,0
2010-04-13,28.33,28.754,28.187,28.584,332763,0
2010-04-14,28.737,29.015,28.531,29.007,269411,0
2010-04-15,28.843,29.053,28.764,28.843,234321,0
2010-04-16,28.782,29.044,28.602,28.728,252966,0
2010-04-19,28.627,28.852,28.141,28.476,366040,0
2010-04-20,28.512,29.817,28.512,29.789,414842,0
2010-04-21,29.735,30.394,29.683,30.323,350091,0
2010-04-22,30.043,30.711,29.709,30.682,267728,0
2010-04-23,28.76,30.797,27.928,30.07,2866218,0
2010-04-26,29.988,30.16,29.341,29.529,421781,0
2010-04-27,29.268,30.179,29.097,29.557,792861,0
2010-04-28,29.691,30.068,29.485,29.709,493261,0
2010-04-29,29.798,30.719,29.567,30.682,543853,0
2010-04-30,30.629,31.151,30.068,30.276,574711,0
2010-05-03,30.286,30.592,30.026,30.501,600065,0
2010-05-04,29.61,29.909,28.311,28.448,1366492,0
2010-05-05,28.375,29.16,28.261,28.402,918538,0
2010-05-06,28.357,28.672,25.404,27.233,833034,0
2010-05-07,27.114,27.42,26.123,26.475,1248373,0
2010-05-10,27.79,28.457,27.711,28.244,594034,0
2010-05-11,28.08,28.934,27.862,28.448,796792,0
2010-05-12,28.602,28.925,28.375,28.88,306293,0
2010-05-13,28.828,29.341,28.485,28.862,322772,0
2010-05-14,28.636,28.828,28.052,28.719,630177,0
2010-05-17,28.701,29.656,28.429,29.548,701063,0
2010-05-18,29.918,30.574,29.808,30.007,845078,0
2010-05-19,29.935,30.619,29.438,29.9,696045,0
2010-05-20,29.213,29.232,28.235,28.296,993964,0
2010-05-21,27.87,28.791,27.862,28.187,1123675,0
2010-05-24,28.114,28.429,27.808,27.808,650801,0
2010-05-25,27.121,28.339,27.114,28.187,595359,0
2010-05-26,28.339,28.339,26.564,26.748,1143323,0
2010-05-27,27.316,27.316,26.349,26.843,973831,0
2010-05-28,26.691,27.177,26.503,26.71,761321,0
2010-06-01,26.394,26.564,25.249,25.259,607585,0
2010-06-02,25.548,25.638,25.134,25.386,1007842,0
2010-06-03,25.6,25.746,25.213,25.638,783211,0
2010-06-04,24.988,25.312,24.774,24.827,726201,0
2010-06-07,24.783,24.969,23.825,23.872,815979,0
2010-06-08,23.862,23.97,22.801,23.036,1550300,0
2010-06-09,23.28,23.997,23.081,23.28,745603,0
2010-06-10,23.656,23.944,23.566,23.918,332394,0
2010-06-11,23.664,24.081,23.421,23.783,460930,0
2010-06-14,23.953,24.424,23.953,24.053,464709,0
2010-06-15,24.284,25.063,24.194,25.025,391581,0
2010-06-16,24.81,24.925,24.609,24.684,340562,0
2010-06-17,24.729,24.783,24.18,24.443,251725,0
2010-06-18,24.468,24.628,24.171,24.6,485599,0
2010-06-21,24.852,24.944,24.194,24.34,250129,0
2010-06-22,24.322,24.684,23.28,23.324,817362,0
2010-06-23,23.214,24.053,23.097,23.818,518398,0
2010-06-24,23.674,23.682,22.521,22.593,942517,0
2010-06-25,22.71,22.908,22.376,22.871,780974,0
2010-06-28,22.647,22.835,22.376,22.512,414999,0
2010-06-29,22.105,22.234,21.422,21.682,624537,0
2010-06-30,21.614,21.78,21.196,21.243,585259,0
2010-07-01,21.205,21.205,20.249,20.747,679452,0
2010-07-02,20.863,20.881,20.142,20.44,461744,0
2010-07-06,20.828,21.195,20.505,20.646,541068,0
2010-07-07,20.747,21.403,20.62,21.385,352108,0
2010-07-08,21.628,21.908,21.412,21.647,397846,0
2010-07-09,21.592,22.142,21.504,22.114,294292,0
2010-07-12,21.99,21.99,20.953,21.081,492451,0
2010-07-13,21.385,21.6,21.115,21.521,394532,0
2010-07-14,21.618,21.618,21.125,21.288,294067,0
2010-07-15,21.259,21.368,20.681,21.133,307844,0
2010-07-16,20.953,21.169,20.314,20.323,454967,0
2010-07-19,20.35,20.405,19.855,20.214,345998,0
2010-07-20,19.908,20.646,19.809,20.601,448429,0
2010-07-21,20.784,21.259,20.655,20.766,639125,0
2010-07-22,21.081,22.025,21.062,21.852,594847,0
2010-07-23,21.829,21.945,21.475,21.729,457988,0
2010-07-26,21.71,22.43,21.566,22.296,353188,0
2010-07-27,22.512,22.602,21.756,21.845,454950,0
2010-07-28,21.837,22.071,21.368,21.422,407963,0
2010-07-29,21.618,21.811,20.944,21.314,372216,0
2010-07-30,20.953,21.332,20.505,20.944,650124,0
2010-08-02,19.819,21.431,19.819,20.917,1127031,0
2010-08-03,21.269,22.161,21.09,22.071,742529,0
2010-08-04,22.071,22.448,21.737,21.802,546441,0
2010-08-05,21.71,21.935,21.45,21.494,304537,0
2010-08-06,21.278,21.467,20.583,21.017,341290,0
2010-08-09,21.071,21.278,20.838,21.269,438107,0
2010-08-10,21.081,21.485,20.784,21.115,543258,0
2010-08-11,20.69,20.69,19.999,20.142,948589,0
2010-08-12,19.899,20.323,19.827,20.214,365331,0
2010-08-13,20.106,20.249,20.017,20.123,394405,0
2010-08-16,20.035,20.35,19.952,20.231,289745,0
2010-08-17,20.368,20.738,20.214,20.547,443543,0
2010-08-18,20.496,20.802,20.24,20.681,346134,0
2010-08-19,20.575,20.62,20.026,20.133,397768,0
2010-08-20,20.017,20.538,19.908,20.395,296970,0
2010-08-23,20.557,20.671,20.017,20.053,344904,0
2010-08-24,19.8,20.214,19.8,19.819,513388,0
2010-08-25,19.612,19.918,19.241,19.863,464658,0
2010-08-26,19.881,20.035,19.241,19.312,419527,0
2010-08-27,19.54,20.332,19.116,20.286,413452,0
2010-08-30,20.152,20.413,19.566,19.566,317082,0
2010-08-31,19.495,20.037,19.347,19.828,295037,0
2010-09-01,20.267,20.575,20.017,20.449,379076,0
2010-09-02,20.522,20.838,20.395,20.766,381026,0
2010-09-03,20.944,21.628,20.82,21.548,623146,0
2010-09-07,21.6,22.071,21.251,21.306,637644,0
2010-09-08,21.288,21.45,20.828,20.89,436531,0
2010-09-09,21.169,21.169,20.566,20.784,370749,0
2010-09-10,20.802,21.637,20.766,21.574,507383,0
2010-09-13,21.845,22.494,21.845,22.306,606087,0
2010-09-14,22.306,22.466,21.999,22.333,547980,0
2010-09-15,22.216,22.216,21.54,21.609,449376,0
2010-09-16,21.485,21.53,20.81,21.052,485869,0
2010-09-17,21.115,21.16,19.863,19.881,1350202,0
2010-09-20,19.873,20.305,19.413,20.249,968565,0
2010-09-21,20.161,20.449,19.881,20.133,709017,0
2010-09-22,20.123,20.332,19.773,20.072,625819,0
2010-09-23,19.881,20.222,19.7,19.763,485971,0
2010-09-24,19.944,20.171,19.602,19.881,809733,0
2010-09-27,19.855,20.179,19.358,20.082,685812,0
2010-09-28,20.007,20.529,19.648,20.44,305626,0
2010-09-29,20.314,20.881,20.222,20.43,413366,0
2010-09-30,20.551,20.761,20.055,20.491,339895,0
2010-10-01,20.655,20.98,20.43,20.69,442395,0
2010-10-04,20.681,20.871,20.277,20.583,289589,0
2010-10-05,20.802,21.341,20.601,21.133,299864,0
2010-10-06,21.034,21.269,20.953,21.142,378774,0
2010-10-07,21.142,21.6,21.017,21.125,323998,0
2010-10-08,21.125,21.403,20.629,21.296,369936,0
2010-10-11,21.341,21.592,21.09,21.475,228417,0
2010-10-12,21.45,21.521,21.214,21.341,218875,0
2010-10-13,21.494,21.829,21.269,21.521,250253,0
2010-10-14,21.566,21.592,21.35,21.548,291880,0
2010-10-15,21.737,21.802,21.385,21.521,254760,0
2010-10-18,21.584,21.98,21.441,21.98,248747,0
2010-10-19,21.655,22.052,21.485,21.665,425704,0
2010-10-20,21.792,22.287,21.665,22.242,283697,0
2010-10-21,22.401,22.935,22.376,22.744,671245,0
2010-10-22,22.71,22.879,21.99,22.151,558661,0
2010-10-25,22.35,22.702,22.071,22.17,327807,0
2010-10-26,21.609,22.251,21.259,21.637,502692,0
2010-10-27,21.566,21.566,20.999,21.368,248031,0
2010-10-28,21.54,21.665,21.259,21.54,228785,0
2010-10-29,21.449,21.886,21.383,21.778,221540,0
2010-11-01,21.829,21.935,21.044,21.332,300171,0
2010-11-02,21.557,22.306,21.513,22.251,306710,0
2010-11-03,22.259,22.448,21.765,22.234,294757,0
2010-11-04,22.575,22.818,22.35,22.676,288648,0
2010-11-05,22.702,23.746,22.702,23.692,739086,0
2010-11-08,23.656,23.872,23.547,23.835,560191,0
2010-11-09,24.035,25.089,23.997,24.144,507581,0
2010-11-10,24.18,25.413,24.089,25.276,552827,0
2010-11-11,24.82,25.386,24.397,25.213,646000,0
2010-11-12,24.934,24.988,24.248,24.258,361253,0
2010-11-15,24.406,24.502,24.016,24.071,397682,0
2010-11-16,23.862,23.97,23.122,23.306,510698,0
2010-11-17,23.297,23.594,23.09,23.341,275141,0
2010-11-18,23.566,24.222,23.493,23.737,331031,0
2010-11-19,23.71,23.944,23.502,23.72,352796,0
2010-11-22,23.594,23.72,22.889,23.484,460722,0
2010-11-23,23.132,23.195,22.754,23,382853,0
2010-11-24,23.214,23.585,23.158,23.566,261323,0
2010-11-26,23.421,23.512,23.167,23.167,131312,0
2010-11-29,23.01,23.28,22.835,23.149,311317,0
2010-11-30,22.885,22.95,22.579,22.848,381685,0
2010-12-01,23.287,24.322,23.233,24.18,386084,0
2010-12-02,24.24,24.537,24.016,24.519,299823,0
2010-12-03,24.378,24.583,23.89,24.519,300247,0
2010-12-06,24.451,25.072,24.424,24.944,210774,0
2010-12-07,25.171,25.223,24.349,24.406,345724,0
2010-12-08,24.502,25.413,24.468,25.213,341800,0
2010-12-09,25.349,25.583,25.143,25.24,240528,0
2010-12-10,25.285,26.339,25.285,26.251,314188,0
2010-12-13,26.287,26.449,25.927,25.952,316910,0
2010-12-14,26.061,26.277,25.917,26.061,328894,0
2010-12-15,26.177,26.304,25.81,25.845,435414,0
2010-12-16,25.927,26.304,25.754,26.287,388718,0
2010-12-17,26.296,26.782,26.215,26.332,449924,0
2010-12-20,26.377,26.394,25.672,25.819,294700,0
2010-12-21,25.89,25.97,25.458,25.708,290758,0
2010-12-22,25.69,25.764,25.285,25.494,350690,0
2010-12-23,25.449,25.53,24.628,24.925,314154,0
2010-12-27,24.862,25.195,24.492,25.125,172154,0
2010-12-28,25.134,25.23,24.72,24.774,252187,0
2010-12-29,24.692,25.209,24.692,24.853,415280,0
2010-12-30,24.783,25.018,24.719,24.863,140707,0
2010-12-31,24.896,24.978,24.545,24.713,272660,0
2011-01-03,24.952,25.783,24.88,25.404,317691,0
2011-01-04,25.423,25.423,24.24,24.284,341768,0
2011-01-05,24.203,24.406,24.044,24.222,579659,0
2011-01-06,24.194,24.294,23.566,23.639,364005,0
2011-01-07,23.195,23.35,22.34,22.842,1527208,0
2011-01-10,22.763,22.792,21.917,22.133,1105619,0
2011-01-11,22.296,22.693,22.188,22.612,606818,0
2011-01-12,22.842,23.324,22.773,23.306,374358,0
2011-01-13,23.359,23.385,22.727,22.852,288060,0
2011-01-14,22.801,23.701,22.638,23.594,409024,0
2011-01-18,23.602,23.72,23.242,23.701,559720,0
2011-01-19,23.646,23.764,23.09,23.122,337532,0
2011-01-20,22.973,23.53,22.494,23.439,374464,0
2011-01-21,23.62,23.62,23.054,23.333,237790,0
2011-01-24,23.402,24.628,23.333,24.359,612434,0
2011-01-25,24.161,24.267,23.783,24.194,252986,0
2011-01-26,24.248,24.655,24.016,24.053,460450,0
2011-01-27,23.979,24.322,23.783,23.843,407952,0
