Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,27.055,27.238,26.882,27.062,1986693,0
2010-01-05,27.138,27.138,26.481,26.763,1980152,0
2010-01-06,26.797,26.797,26.365,26.737,1572070,0
2010-01-07,26.663,26.831,26.09,26.358,3775746,0
2010-01-08,26.691,26.896,26.174,26.421,3245841,0
2010-01-11,26.532,26.613,26.198,26.399,1301534,0
2010-01-12,26.322,26.358,25.817,25.983,3733919,0
2010-01-13,25.966,26.413,25.949,26.358,1535752,0
2010-01-14,26.289,26.672,26.207,26.631,1525768,0
2010-01-15,26.605,26.814,26.365,26.746,2425394,0
2010-01-19,26.763,26.972,26.597,26.888,1200492,0
2010-01-20,26.682,26.874,26.447,26.831,1802380,0
2010-01-21,26.737,27.062,26.613,26.7,2708137,0
2010-01-22,26.613,26.84,25.975,26.024,1941866,0
2010-01-25,26.158,26.297,25.959,26.132,1323779,0
2010-01-26,26.033,26.273,25.99,26.015,1256999,0
2010-01-27,25.959,26.223,25.791,26.189,1253224,0
2010-01-28,26.249,26.39,25.966,26.231,1168059,0
2010-01-29,26.297,26.297,25.392,25.408,2942157,0
2010-02-01,25.549,26.099,25.408,25.94,2882183,0
2010-02-02,26.007,26.622,25.841,26.579,3168146,0
2010-02-03,26.49,26.805,26.358,26.672,1961686,0
2010-02-04,26.481,26.64,25.966,25.998,2456886,0
2010-02-05,25.949,26.072,25.116,25.618,3345443,0
2010-02-08,27.987,29.265,27.887,28.87,13753333,0
2010-02-09,28.907,29.342,28.668,29.16,5117380,0
2010-02-10,29.143,29.617,29.018,29.36,3977663,0
2010-02-11,29.384,30.098,29.16,30.058,2924817,0
2010-02-12,29.875,29.941,29.502,29.566,5196333,0
2010-02-16,29.808,29.922,28.907,29.135,4638632,0
2010-02-17,29.225,29.534,29.127,29.468,1785832,0
2010-02-18,29.384,29.791,29.259,29.742,2190009,0
2010-02-19,29.625,29.932,29.416,29.772,1881839,0
2010-02-22,29.869,29.875,29.46,29.54,1957204,0
2010-02-23,29.525,29.557,29.151,29.342,1543558,0
2010-02-24,29.342,29.557,29.201,29.509,1756729,0
2010-02-25,29.275,29.724,28.818,29.684,2474492,0
2010-02-26,29.764,29.932,29.451,29.757,1888532,0
2010-03-01,29.772,30.098,29.525,29.991,2006166,0
2010-03-02,30.073,30.509,29.983,30.448,2878899,0
2010-03-03,30.43,30.499,30.193,30.215,2001977,0
2010-03-04,30.2,30.548,30.2,30.548,1820958,0
