Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,5.2604,5.2604,5.2028,5.2604,25886,0
2010-01-05,5.241,5.2604,5.1742,5.2604,8401,0
2010-01-06,5.241,5.3752,5.241,5.356,35600,0
2010-01-07,5.3752,5.4038,5.2794,5.3655,19415,0
2010-01-08,5.3365,5.4611,5.3365,5.4611,10989,0
2010-01-11,5.5377,5.643,5.4325,5.6336,11906,0
2010-01-12,5.6619,5.6714,5.4994,5.4994,20314,0
2010-01-13,5.4896,5.5568,5.0688,5.5568,20248,0
2010-01-14,5.27,5.6523,5.27,5.547,11992,0
2010-01-15,5.547,5.643,5.4325,5.5856,13813,0
2010-01-19,5.595,5.6236,5.547,5.6142,11181,0
2010-01-20,5.5377,5.5377,5.4038,5.4038,3137,0
2010-01-21,5.356,5.356,5.136,5.2508,19666,0
2010-01-22,5.136,5.27,5.0786,5.27,4271,0
2010-01-25,5.2604,5.2604,5.0786,5.1742,13320,0
2010-01-26,5.0882,5.2604,4.9543,5.2508,15294,0
2010-01-27,5.0307,5.1074,5.0307,5.0976,2926,0
2010-01-28,5.0976,5.1454,4.9732,5.0211,9646,0
2010-01-29,5.1074,5.1647,4.9829,4.9829,8418,0
2010-02-01,5.1549,5.3271,5.0976,5.1932,14279,0
2010-02-02,5.1169,5.241,5.0688,5.1169,36244,0
2010-02-03,5.1169,5.509,5.1074,5.241,60549,0
2010-02-04,8.0147,8.0817,7.613,7.7278,1081463,0
2010-02-05,7.6993,7.7661,7.6607,7.7182,329754,0
2010-02-08,7.8236,7.9382,7.7565,7.7852,71447,0
2010-02-09,7.8904,7.8904,7.7661,7.7757,25623,0
2010-02-10,7.747,7.8904,7.747,7.7757,36401,0
2010-02-11,7.7949,7.8712,7.747,7.8523,151929,0
2010-02-12,7.8425,7.8619,7.7661,7.8044,37057,0
2010-02-16,7.8139,7.9192,7.7565,7.8425,80679,0
2010-02-17,7.8425,7.948,7.8236,7.9001,51006,0
2010-02-18,7.9577,8.0627,7.9192,7.986,55578,0
2010-02-19,8.0533,8.3494,8.0242,8.2635,91304,0
2010-02-22,8.1872,8.2253,7.8712,7.8712,101568,0
2010-02-23,7.833,7.948,7.7375,7.9001,60101,0
2010-02-24,7.986,8.0721,7.9284,7.9382,12104,0
2010-02-25,7.9577,8.1104,7.8807,8.1104,38496,0
2010-02-26,7.986,8.0336,7.8904,7.8904,7885,0
2010-03-01,7.986,8.0721,7.8044,8.0434,35998,0
2010-03-02,8.0242,8.0336,7.948,7.986,13228,0
2010-03-03,7.986,8.1009,7.9284,8.1009,119502,0
2010-03-04,8.0147,8.0336,7.8807,8.0336,10548,0
2010-03-05,8.0911,8.0911,7.9763,8.0434,13255,0
2010-03-08,7.9958,8.0627,7.948,7.948,13247,0
2010-03-09,8.0721,8.1677,7.833,8.0336,46356,0
2010-03-10,8.0055,8.0336,7.8904,7.986,21485,0
2010-03-11,8.0242,8.0242,7.8236,7.8425,20707,0
2010-03-12,7.9001,8.0147,7.8425,7.9763,11444,0
2010-03-15,7.9577,8.0336,7.8523,8.0336,21453,0
2010-03-16,8.0336,8.0336,7.8904,7.9671,31846,0
2010-03-17,7.9577,7.9763,7.9001,7.948,25408,0
2010-03-18,7.948,7.9763,7.9382,7.9577,6391,0
2010-03-19,8.0147,8.4737,7.9577,8.3302,216413,0
2010-03-22,8.3689,8.9904,8.3689,8.5981,98414,0
2010-03-23,8.971,9.1815,8.6749,8.7511,106121,0
2010-03-24,8.7704,8.8853,8.6079,8.6364,42557,0
2010-03-25,8.6175,8.78,8.5884,8.6749,84850,0
2010-03-26,8.6459,8.7704,8.5601,8.7129,29176,0
2010-03-29,8.3015,8.6459,8.3015,8.6079,30874,0
2010-03-30,8.7033,8.7033,8.6079,8.6749,52148,0
2010-03-31,8.6555,8.6749,8.6079,8.6079,39479,0
2010-04-01,8.5601,8.6749,8.5601,8.6364,23546,0
2010-04-05,8.5788,8.7704,8.5788,8.7129,26489,0
2010-04-06,8.6842,8.7511,8.6079,8.6079,70124,0
2010-04-07,8.6079,8.7033,8.6079,8.6937,33753,0
2010-04-08,8.6555,8.6842,8.6271,8.6842,22126,0
2010-04-09,8.6079,8.6937,8.5601,8.6555,30224,0
2010-04-12,8.5884,8.6842,8.5884,8.6749,19710,0
2010-04-13,8.6079,8.7321,8.6079,8.6937,56969,0
2010-04-14,8.6651,8.8947,8.6651,8.7608,38433,0
2010-04-15,8.7415,9.3156,8.7415,9.0285,36866,0
2010-04-16,9.0575,9.3156,9.0477,9.1336,23744,0
2010-04-19,9.0954,9.1336,8.8947,9.0575,37993,0
