Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,15.627,15.866,15.575,15.655,795651,0
2010-01-05,15.77,15.934,15.216,15.434,682247,0
2010-01-06,15.471,15.845,15.447,15.719,531286,0
2010-01-07,15.703,15.77,15.59,15.712,413534,0
2010-01-08,15.733,15.853,15.613,15.814,252121,0
2010-01-11,15.821,16.014,15.785,16.002,432149,0
2010-01-12,15.911,15.979,15.753,15.853,327146,0
2010-01-13,15.927,16.076,15.801,16.04,299611,0
2010-01-14,16.023,16.113,15.927,16.092,319309,0
2010-01-15,16.023,16.19,15.853,16.076,490204,0
2010-01-19,16.061,16.265,16.008,16.152,494092,0
2010-01-20,16.12,16.284,15.882,16.25,423033,0
2010-01-21,16.216,16.354,15.919,16.023,1047668,0
2010-01-22,16.032,16.092,15.778,15.778,598230,0
2010-01-25,15.829,15.829,15.613,15.785,626755,0
2010-01-26,15.785,15.888,15.627,15.829,390465,0
2010-01-27,15.299,15.485,14.859,15.03,1447192,0
2010-01-28,15.053,15.06,14.664,14.969,763013,0
2010-01-29,14.969,15.06,14.791,14.791,691581,0
2010-02-01,14.774,14.842,14.557,14.797,521491,0
2010-02-02,14.782,14.918,14.617,14.746,807478,0
2010-02-03,14.732,14.797,14.581,14.685,648592,0
2010-02-04,14.617,14.724,14.363,14.363,903276,0
2010-02-05,14.335,14.395,13.93,14.222,983053,0
2010-02-08,14.272,14.321,14.011,14.044,675871,0
2010-02-09,14.176,14.461,14.077,14.222,748605,0
2010-02-10,14.176,14.574,14.155,14.514,999027,0
2010-02-11,14.483,14.836,14.328,14.836,806059,0
2010-02-12,14.821,14.939,14.537,14.91,1048864,0
2010-02-16,15.022,15.09,14.746,15.06,851725,0
2010-02-17,15.127,15.253,14.976,15.253,705976,0
2010-02-18,15.06,15.15,14.797,14.886,872200,0
2010-02-19,14.842,14.948,14.821,14.894,859674,0
2010-02-22,15.03,15.95,15.007,15.837,1540265,0
2010-02-23,15.778,15.882,15.627,15.814,1063417,0
2010-02-24,15.814,15.814,15.51,15.733,707330,0
2010-02-25,15.627,15.649,15.357,15.454,772175,0
2010-02-26,15.405,15.606,15.193,15.233,689051,0
2010-03-01,15.291,15.411,15.216,15.33,1041778,0
2010-03-02,15.33,15.492,15.33,15.441,676095,0
2010-03-03,15.492,15.703,15.373,15.447,870530,0
2010-03-04,15.447,15.516,15.315,15.477,810982,0
2010-03-05,15.575,15.725,15.501,15.725,1269446,0
2010-03-08,15.694,15.746,15.523,15.532,749161,0
2010-03-09,15.501,15.566,15.396,15.566,1107611,0
2010-03-10,15.599,16.054,15.575,16.04,964801,0
2010-03-11,16.032,16.397,15.882,16.397,1014656,0
2010-03-12,16.382,16.389,16.167,16.368,841693,0
2010-03-15,16.389,16.436,16.241,16.389,681733,0
2010-03-16,16.389,16.928,16.34,16.89,1509313,0
2010-03-17,16.87,17.175,16.809,16.898,1349010,0
2010-03-18,16.95,17.206,16.696,16.712,1008579,0
2010-03-19,16.689,16.936,16.548,16.675,809902,0
2010-03-22,16.554,16.742,16.451,16.586,383641,0
2010-03-23,16.548,16.816,16.534,16.779,658258,0
2010-03-24,16.779,16.861,16.599,16.675,415828,0
2010-03-25,16.704,16.779,16.57,16.593,352154,0
2010-03-26,16.646,16.749,16.495,16.637,497404,0
2010-03-29,16.66,16.825,16.614,16.779,334030,0
2010-03-30,16.736,16.996,16.712,16.878,369349,0
2010-03-31,16.95,16.975,16.756,16.787,452471,0
2010-04-01,16.809,17.004,16.803,16.95,385250,0
2010-04-05,17.025,17.214,16.981,17.071,353662,0
2010-04-06,16.958,17.421,16.936,17.414,617867,0
2010-04-07,17.331,17.386,17.102,17.257,580011,0
2010-04-08,17.198,17.198,16.787,16.95,790962,0
2010-04-09,16.95,16.996,16.749,16.921,531702,0
2010-04-12,16.885,17.071,16.885,17.047,344405,0
2010-04-13,17.078,17.138,16.907,17.085,395293,0
2010-04-14,17.168,17.206,16.981,17.168,400342,0
2010-04-15,17.116,17.281,17.102,17.175,654029,0
2010-04-16,17.138,17.234,16.966,17.013,625686,0
2010-04-19,17.018,17.168,17.004,17.085,574133,0
2010-04-20,17.116,17.274,17.116,17.234,397974,0
2010-04-21,17.274,17.683,17.234,17.625,1780073,0
2010-04-22,17.601,17.714,17.444,17.705,489416,0
2010-04-23,17.751,17.909,17.668,17.869,498562,0
2010-04-26,17.892,17.975,17.691,17.751,437448,0
