Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,34.07,34.731,33.959,34.707,8590821,0
2010-01-05,34.544,34.8,34.484,34.773,7532843,0
2010-01-06,34.783,34.871,34.601,34.773,6882489,0
2010-01-07,34.783,35.574,34.475,35.446,11379414,0
2010-01-08,35.197,36.298,35.084,36.229,7934539,0
2010-01-11,36.39,37.096,36.383,36.686,5948446,0
2010-01-12,36.46,36.562,36.005,36.271,5242214,0
2010-01-13,36.263,36.554,35.989,36.399,4764242,0
2010-01-14,36.263,36.751,36.229,36.617,3988449,0
2010-01-15,36.589,36.824,36.306,36.667,6660937,0
2010-01-19,36.743,37.167,36.538,36.857,6069254,0
2010-01-20,36.617,36.7,36.04,36.436,5367616,0
2010-01-21,36.436,36.562,34.991,35.033,8626106,0
2010-01-22,34.895,35.333,34.276,34.303,8049389,0
2010-01-25,34.655,34.981,34.475,34.593,3580109,0
2010-01-26,34.448,34.8,34.154,34.379,3227077,0
2010-01-27,34.535,34.731,33.924,34.629,6859788,0
2010-01-28,34.862,34.913,33.768,34.25,6862905,0
2010-01-29,33.036,33.694,32.324,33.234,17700358,0
2010-02-01,33.477,33.905,33.422,33.865,5972561,0
2010-02-02,33.914,34.063,33.594,33.99,8192484,0
2010-02-03,33.856,34.008,33.486,33.726,5072528,0
2010-02-04,33.513,33.685,32.409,32.451,11239864,0
2010-02-05,32.451,32.606,31.55,32.229,9905115,0
2010-02-08,32.288,32.288,31.653,31.713,7252078,0
2010-02-09,32.143,32.892,32.041,32.531,7988200,0
2010-02-10,32.531,32.685,32.143,32.443,4648090,0
2010-02-11,32.35,32.985,32.074,32.883,5143253,0
2010-02-12,32.514,32.685,32.108,32.565,6629777,0
2010-02-16,32.795,33.521,32.755,33.477,6943092,0
2010-02-17,33.467,33.733,33.323,33.621,5482833,0
2010-02-18,33.603,34.361,33.529,34.276,6174045,0
2010-02-19,34.216,34.809,34.008,34.593,6757427,0
2010-02-22,34.764,34.835,34.404,34.535,4666120,0
2010-02-23,34.535,34.809,34.224,34.345,5985409,0
2010-02-24,34.5,35.135,34.448,34.904,5600073,0
2010-02-25,34.404,34.601,33.966,34.566,6555485,0
2010-02-26,34.558,34.773,34.327,34.544,5187857,0
2010-03-01,34.62,35.128,34.62,34.895,5279292,0
2010-03-02,35.135,35.256,34.862,34.991,4707853,0
2010-03-03,35.006,35.419,35.006,35.197,6440465,0
2010-03-04,35.239,35.455,35.051,35.419,4300850,0
2010-03-05,35.556,36.056,35.464,36.049,6377019,0
2010-03-08,36.04,36.115,35.653,35.687,4079516,0
2010-03-09,35.662,36.554,35.618,36.358,6429405,0
2010-03-10,36.271,36.554,36.212,36.418,5577399,0
2010-03-11,36.322,36.659,36.091,36.659,4097361,0
2010-03-12,36.816,37.096,36.52,36.924,6457794,0
2010-03-15,36.905,37.013,36.642,36.959,5701832,0
2010-03-16,37.104,37.139,36.686,37.013,7440312,0
2010-03-17,37.176,37.303,36.677,36.905,5955267,0
2010-03-18,36.915,37.442,36.806,37.356,5768834,0
2010-03-19,37.838,38.092,37.5,37.69,11268676,0
2010-03-22,37.45,37.838,37.338,37.468,5548584,0
2010-03-23,37.561,38.129,37.492,38.01,6439825,0
2010-03-24,38.045,38.747,37.887,38.26,9121689,0
2010-03-25,38.489,38.946,38.101,38.138,7006019,0
2010-03-26,38.217,38.696,38.146,38.363,5180076,0
2010-03-29,38.628,38.818,38.489,38.594,5022209,0
2010-03-30,38.714,38.946,38.318,38.663,5630896,0
2010-03-31,39.247,39.377,38.792,38.936,10370310,0
2010-04-01,39.143,39.437,38.465,38.73,7796711,0
2010-04-05,38.946,39.255,38.775,39.091,4887921,0
2010-04-06,39.091,39.351,39.008,39.1,4610184,0
2010-04-07,39.135,39.36,38.775,38.919,5805687,0
2010-04-08,38.885,39.231,38.714,39.126,4863282,0
2010-04-09,39.281,39.549,39.025,39.369,4382303,0
2010-04-12,39.445,39.711,39.386,39.556,3761901,0
2010-04-13,39.54,39.626,39.152,39.272,4335357,0
2010-04-14,39.395,39.884,39.369,39.85,5320625,0
2010-04-15,39.781,40.023,39.652,39.971,3885136,0
2010-04-16,39.944,40.005,38.981,39.411,9143281,0
2010-04-19,39.091,39.445,38.862,39.351,5661896,0
2010-04-20,39.617,39.935,39.324,39.891,5402956,0
2010-04-21,39.988,40.194,39.686,40.161,5229398,0
2010-04-22,39.841,40.821,39.453,40.805,8324242,0
2010-04-23,40.805,41.096,40.169,41.046,8933611,0
2010-04-26,41.167,41.654,41.105,41.519,0,0
2010-04-27,41.483,41.483,40.278,40.374,8227707,0
2010-04-28,40.649,40.752,40.005,40.468,5743063,0
2010-04-29,40.839,41.761,40.719,41.735,6637140,0
2010-04-30,41.699,41.827,40.83,40.83,6357051,0
2010-05-03,41.123,41.743,41.069,41.725,4728541,0
2010-05-04,41.185,41.25,39.98,40.305,8466706,0
2010-05-05,39.584,39.833,39.05,39.463,6750607,0
2010-05-06,39.135,39.755,34.388,38.101,11431027,0
2010-05-07,37.579,38.379,36.865,37.433,10078779,0
2010-05-10,39.298,39.918,39.008,39.626,7267904,0
2010-05-11,39.255,40.09,39.198,39.437,5293992,0
2010-05-12,39.711,40.427,39.617,40.313,4765831,0
2010-05-13,40.278,40.374,39.677,39.728,3276613,0
2010-05-14,39.386,39.48,38.473,39.118,9927058,0
2010-05-17,39.152,39.403,38.396,39.084,7968609,0
2010-05-18,39.135,39.652,38.3,38.465,8647107,0
2010-05-19,38.076,38.344,37.243,37.723,8715159,0
2010-05-20,36.538,36.89,35.696,35.943,11004133,0
2010-05-21,35.179,36.598,35.067,36.186,12914667,0
2010-05-24,36.254,36.7,35.901,35.989,7467421,0
2010-05-25,34.904,35.98,34.492,35.943,8987118,0
2010-05-26,36.161,36.977,36.073,36.22,9906667,0
2010-05-27,37.122,37.414,36.686,37.347,6701593,0
2010-05-28,37.295,37.442,36.478,36.788,5293932,0
2010-06-01,36.332,40.047,35.98,36.04,5934123,0
2010-06-02,36.306,36.949,36.081,36.924,5865295,0
2010-06-03,36.987,37.356,36.857,37.212,4028519,0
2010-06-04,36.169,36.469,35.162,35.325,6441896,0
2010-06-07,35.377,35.438,34.388,34.404,6125341,0
2010-06-08,34.379,34.835,33.809,34.773,9395601,0
2010-06-09,34.937,35.627,34.353,34.412,11968679,0
2010-06-10,35.084,35.671,34.945,35.489,8444774,0
2010-06-11,35.162,35.592,34.809,35.54,7719525,0
2010-06-14,35.564,36.289,35.564,35.721,7061669,0
2010-06-15,36.081,37.031,35.953,37.023,6275864,0
2010-06-16,36.626,36.987,36.562,36.769,6071588,0
2010-06-17,36.873,36.905,36.177,36.686,7573777,0
2010-06-18,36.788,36.949,36.554,36.915,10049497,0
2010-06-21,37.347,37.649,36.686,36.924,6176187,0
2010-06-22,37.079,37.225,36.229,36.298,5526785,0
2010-06-23,36.271,36.409,35.696,35.989,5853448,0
2010-06-24,35.791,35.934,35.179,35.266,6026076,0
2010-06-25,35.368,35.989,35.214,35.782,7290639,0
2010-06-28,35.971,36.014,35.359,35.438,3508660,0
2010-06-29,34.818,34.871,33.603,33.828,8809397,0
2010-06-30,33.189,34.332,33.148,33.571,9545191,0
2010-07-01,33.537,33.537,32.59,33.158,9344631,0
2010-07-02,33.191,33.571,32.83,33.141,5930384,0
2010-07-06,33.666,33.846,33.003,33.296,6385884,0
2010-07-07,33.323,34.566,33.296,34.566,6903363,0
2010-07-08,34.981,35.135,34.544,35.033,4581606,0
2010-07-09,35.128,35.564,34.921,35.498,5811204,0
2010-07-12,35.377,35.583,34.981,35.111,3457627,0
2010-07-13,35.627,36.212,35.531,35.997,5456722,0
2010-07-14,35.824,36.151,35.601,35.86,4098482,0
2010-07-15,35.909,36.177,35.024,35.943,6070358,0
2010-07-16,35.635,35.736,34.475,34.566,6414000,0
2010-07-19,34.773,34.88,34.43,34.707,4620724,0
2010-07-20,34.188,35.498,34.063,35.438,5107341,0
2010-07-21,35.662,36.065,35.143,35.377,5688972,0
2010-07-22,35.851,36.797,35.782,36.694,6753319,0
2010-07-23,37.303,37.732,36.554,37.414,9473823,0
2010-07-26,37.509,38.045,37.295,37.75,6336479,0
2010-07-27,38.055,38.101,37.295,37.356,7388306,0
2010-07-28,37.356,37.414,36.987,37.195,4809844,0
2010-07-29,37.375,37.518,36.332,36.743,8160136,0
2010-07-30,36.186,37.031,35.962,36.865,5158803,0
2010-08-02,37.553,37.776,37.269,37.613,5256552,0
2010-08-03,37.389,37.5,37.005,37.104,5868745,0
2010-08-04,37.303,37.984,37.203,37.83,5551048,0
2010-08-05,37.57,37.992,37.509,37.949,3684927,0
2010-08-06,37.414,37.887,37.031,37.649,3801667,0
2010-08-09,37.903,37.93,37.553,37.75,2447986,0
2010-08-10,37.45,37.579,36.959,37.347,3965719,0
2010-08-11,36.634,36.725,35.745,35.962,6385387,0
2010-08-12,35.455,35.721,35.317,35.514,3996393,0
2010-08-13,35.368,35.704,35.325,35.54,3762531,0
2010-08-16,35.291,35.583,34.843,35.419,3402196,0
2010-08-17,35.943,37.005,35.824,36.46,7028093,0
2010-08-18,36.212,36.46,35.892,36.263,4698919,0
2010-08-19,36.031,36.031,34.8,35.067,7043294,0
2010-08-20,34.716,35.051,34.448,34.954,5207031,0
2010-08-23,35.067,35.309,34.526,34.544,3667267,0
2010-08-24,34.036,34.154,33.306,33.837,7838974,0
2010-08-25,33.495,33.63,32.755,33.389,8911849,0
2010-08-26,33.703,33.856,33.176,33.288,5323704,0
2010-08-27,33.594,34.139,33.018,34.104,4804763,0
2010-08-30,33.905,34.188,33.396,33.422,3411661,0
2010-08-31,33.277,33.793,32.932,33.594,7827000,0
2010-09-01,34.054,35.359,33.932,35.162,7761053,0
2010-09-02,35.23,36.133,35.23,36.133,7694830,0
2010-09-03,36.436,37.203,36.436,36.833,6598219,0
2010-09-07,36.538,36.709,35.989,36.065,5346659,0
2010-09-08,36.081,36.571,36.04,36.289,4440704,0
2010-09-09,36.816,36.915,35.962,36.1,4742721,0
2010-09-10,36.263,36.89,36.065,36.824,5273218,0
2010-09-13,37.25,37.492,37.061,37.243,4890256,0
2010-09-14,37.225,37.666,37.031,37.45,5704551,0
2010-09-15,37.295,37.527,37.113,37.477,5717568,0
2010-09-16,37.25,37.723,37.25,37.613,5083199,0
2010-09-17,37.75,37.913,37.45,37.69,7194112,0
2010-09-20,37.881,38.2,37.561,38.11,5386134,0
2010-09-21,38.11,38.281,37.75,38.11,5668358,0
2010-09-22,37.957,38.119,37.311,37.57,5131711,0
2010-09-23,37.485,37.812,37.053,37.185,5753457,0
2010-09-24,37.586,38.266,37.586,38.242,4713241,0
2010-09-27,38.281,38.281,37.586,37.708,4720202,0
2010-09-28,37.838,38.119,37.158,38.01,5336649,0
2010-09-29,37.768,38.092,37.622,37.881,4797244,0
2010-09-30,38.181,38.613,37.586,37.793,6303071,0
2010-10-01,38.155,38.456,37.857,37.974,5647025,0
2010-10-04,37.974,38.309,37.338,37.509,4667298,0
2010-10-05,37.887,38.902,37.838,38.714,7456423,0
2010-10-06,38.714,39.437,38.706,39.324,6464798,0
2010-10-07,39.445,39.445,38.756,39.118,5002749,0
2010-10-08,39.281,39.471,38.853,39.351,4178345,0
2010-10-11,39.36,39.437,39.058,39.231,3682077,0
2010-10-12,39.05,39.281,38.489,39.18,4182023,0
2010-10-13,39.453,40.151,39.324,39.918,5535236,0
2010-10-14,39.891,39.908,39.333,39.711,4632066,0
2010-10-15,40.047,40.169,39.505,39.988,5539742,0
2010-10-18,40.005,40.443,39.825,40.427,5072932,0
2010-10-19,39.825,40.278,39.324,39.702,8632448,0
2010-10-20,39.859,40.676,39.79,39.918,10763732,0
2010-10-21,40.177,40.649,39.891,40.142,6920585,0
2010-10-22,40.116,40.725,39.008,40.649,8277066,0
2010-10-25,41.069,41.527,40.805,40.882,5724995,0
2010-10-26,40.788,40.821,40.332,40.666,4629134,0
2010-10-27,40.116,40.553,39.79,40.504,4711905,0
2010-10-28,40.83,41.096,40.107,40.513,3789443,0
2010-10-29,40.323,40.603,40.087,40.525,3600603,0
2010-11-01,40.366,40.743,40.047,40.254,5112207,0
2010-11-02,40.486,40.77,40.366,40.632,3396818,0
2010-11-03,40.752,40.942,40.202,40.805,3783552,0
2010-11-04,41.285,42.164,41.158,42.156,9390330,0
2010-11-05,42.148,42.437,41.933,42.385,9009555,0
2010-11-08,42.164,42.473,41.933,42.239,6638364,0
2010-11-09,42.32,42.43,41.933,42.164,7520754,0
2010-11-10,42.131,42.131,41.699,41.998,5294869,0
2010-11-11,41.708,41.896,41.2,41.553,5052343,0
2010-11-12,41.32,41.458,40.599,40.873,5791428,0
2010-11-15,40.986,41.347,40.873,40.932,3713782,0
2010-11-16,41.242,42.574,41.242,41.663,16143088,0
2010-11-17,41.717,42.248,41.431,41.99,10362841,0
2010-11-18,42.527,42.98,42.411,42.781,5519850,0
2010-11-19,42.781,42.825,42.257,42.818,5449429,0
2010-11-22,42.552,43.049,42.173,42.707,5067174,0
2010-11-23,42.393,42.939,42.214,42.662,5511471,0
2010-11-24,42.859,43.383,42.773,43.358,5897292,0
2010-11-26,42.825,43.256,42.619,43.12,1839950,0
2010-11-29,42.756,43.049,42.311,42.946,4443345,0
2010-11-30,42.591,43.041,42.228,42.756,4803467,0
2010-12-01,43.436,44.062,43.358,43.763,5927452,0
2010-12-02,43.728,44.288,43.521,44.03,6088679,0
2010-12-03,43.843,44.333,43.67,44.252,4321386,0
2010-12-06,44.107,44.219,43.824,44.014,3615246,0
2010-12-07,44.424,44.667,44.125,44.234,5154086,0
2010-12-08,44.234,44.571,43.979,44.186,4335743,0
2010-12-09,44.432,44.529,44.08,44.159,3432588,0
2010-12-10,44.306,44.977,44.186,44.711,6217052,0
2010-12-13,44.923,45.071,44.631,44.725,3998697,0
2010-12-14,44.95,45.422,44.725,45.183,5845009,0
2010-12-15,44.82,45.2,44.168,44.333,10748543,0
2010-12-16,44.333,45.948,44.333,45.939,7734173,0
2010-12-17,45.881,45.881,45.061,45.577,9020870,0
2010-12-20,45.785,45.836,45.44,45.509,3981939,0
2010-12-21,45.819,46.137,45.569,46.044,3485599,0
2010-12-22,45.974,46.224,45.776,46.207,3173090,0
2010-12-23,46.044,46.137,45.714,45.956,2134706,0
2010-12-27,45.62,46.008,45.509,45.92,1834617,0
2010-12-28,46.119,46.119,45.638,46.026,1792191,0
2010-12-29,46.156,46.2,45.785,45.845,1665033,0
2010-12-30,45.758,45.845,45.429,45.55,2502312,0
2010-12-31,45.539,45.906,45.345,45.722,1891279,0
2011-01-03,45.974,46.809,45.974,46.629,4416933,0
2011-01-04,46.654,46.686,45.569,45.999,5801814,0
2011-01-05,45.749,47.006,45.708,46.765,5127067,0
2011-01-06,46.918,46.927,46.197,46.755,3859088,0
2011-01-07,46.954,47.032,46.285,46.704,3330634,0
2011-01-10,46.629,46.739,45.93,46.361,3982639,0
2011-01-11,46.593,46.755,46.189,46.448,3056192,0
2011-01-12,46.85,47.134,46.584,47.066,4260426,0
2011-01-13,46.963,47.17,46.801,46.954,3459351,0
2011-01-14,46.859,47.332,46.765,47.324,4151812,0
2011-01-18,47.332,47.522,46.945,47.099,3819518,0
2011-01-19,47.161,47.248,46.505,46.739,4379521,0
2011-01-20,46.654,48.031,46.413,46.945,8647157,0
