Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,3.88,3.98,3.88,3.98,2424246,0
2010-01-05,3.98,4.02,3.85,4,3076731,0
2010-01-06,3.94,4.01,3.9,3.98,2094097,0
2010-01-07,4.1,4.31,4.02,4.31,6184915,0
2010-01-08,4.28,4.33,4.13,4.24,3126588,0
2010-01-11,4.34,4.36,4.11,4.19,1938955,0
2010-01-12,4.12,4.16,3.98,4,2505969,0
2010-01-13,4.03,4.24,3.98,4.22,2958994,0
2010-01-14,4.23,4.27,4.08,4.13,3749425,0
2010-01-15,4.13,4.15,3.91,4.01,2346092,0
2010-01-19,4.04,4.04,3.93,4,1208977,0
2010-01-20,3.98,3.99,3.88,3.88,1549738,0
2010-01-21,3.91,3.95,3.72,3.77,2527695,0
2010-01-22,3.76,3.87,3.67,3.7,2142844,0
2010-01-25,3.73,3.79,3.52,3.54,3218401,0
2010-01-26,3.54,3.68,3.53,3.58,2058745,0
2010-01-27,3.66,3.66,3.5,3.59,2127060,0
2010-01-28,3.75,3.88,3.65,3.69,2633992,0
2010-01-29,3.74,3.91,3.63,3.64,1810051,0
2010-02-01,3.66,3.75,3.62,3.75,1341492,0
2010-02-02,3.88,4.04,3.83,3.98,4847784,0
2010-02-03,3.96,3.97,3.77,3.83,2710002,0
2010-02-04,3.75,3.75,3.6,3.62,2571017,0
2010-02-05,3.63,3.67,3.46,3.55,2744521,0
2010-02-08,3.59,3.76,3.48,3.64,1712506,0
2010-02-09,3.73,3.74,3.57,3.7,1345266,0
2010-02-10,3.67,3.72,3.59,3.68,699040,0
2010-02-11,3.68,3.83,3.63,3.82,3655423,0
2010-02-12,3.73,3.91,3.71,3.88,1199541,0
2010-02-16,3.89,4.03,3.82,3.96,3334163,0
2010-02-17,4.1,4.2,4.05,4.18,4057649,0
2010-02-18,4.15,4.2,4.03,4.15,1754498,0
2010-02-19,4.14,4.25,4.12,4.13,1355930,0
2010-02-22,4.16,4.21,4.04,4.08,1387558,0
2010-02-23,4.08,4.11,3.9,3.91,1940130,0
2010-02-24,3.99,4.03,3.9,3.92,1119930,0
2010-02-25,3.83,3.98,3.77,3.97,1483745,0
2010-02-26,3.92,3.99,3.87,3.89,1258152,0
2010-03-01,3.89,3.98,3.81,3.96,1533550,0
2010-03-02,3.99,4.01,3.92,3.97,2036114,0
2010-03-03,4.15,4.25,4.08,4.14,5976854,0
2010-03-04,4.17,4.19,4.02,4.09,2764654,0
2010-03-05,4.12,4.22,4.11,4.2,2421451,0
2010-03-08,4.21,4.27,4.16,4.19,1995017,0
2010-03-09,4.19,4.33,4.18,4.29,2422418,0
2010-03-10,4.29,4.54,4.26,4.47,3292219,0
2010-03-11,4.49,4.5,4.36,4.41,1626235,0
2010-03-12,4.48,4.49,4.29,4.38,1394763,0
2010-03-15,4.42,4.44,4.32,4.32,1130323,0
2010-03-16,4.41,4.55,4.32,4.55,3292206,0
2010-03-17,4.55,4.75,4.5,4.57,2789759,0
2010-03-18,4.53,4.75,4.5,4.68,2106074,0
2010-03-19,4.73,4.75,4.47,4.47,2786828,0
2010-03-22,4.44,4.62,4.35,4.57,1721131,0
2010-03-23,4.68,4.69,4.58,4.67,1529943,0
2010-03-24,4.73,4.91,4.63,4.88,2956272,0
2010-03-25,4.92,4.96,4.75,4.75,2070352,0
2010-03-26,4.76,4.89,4.76,4.8,1526885,0
2010-03-29,4.82,4.88,4.7,4.71,1385462,0
2010-03-30,4.69,4.74,4.51,4.52,2331760,0
2010-03-31,4.51,4.54,4.35,4.35,2396505,0
2010-04-01,4.41,4.6,4.41,4.47,2162253,0
2010-04-05,4.55,4.68,4.48,4.64,1850012,0
2010-04-06,4.69,4.73,4.62,4.64,1423051,0
2010-04-07,4.59,4.72,4.51,4.57,1638093,0
2010-04-08,4.53,4.55,4.44,4.48,1383142,0
2010-04-09,4.62,4.83,4.56,4.81,3191470,0
2010-04-12,4.84,4.86,4.73,4.75,1637509,0
2010-04-13,4.73,4.76,4.63,4.63,1511674,0
2010-04-14,4.69,5.32,4.66,5.28,5489088,0
2010-04-15,5.26,5.74,5.2,5.44,6183864,0
2010-04-16,5.51,5.57,5.12,5.39,4438972,0
2010-04-19,5.29,5.6,5.26,5.38,3296274,0
2010-04-20,5.47,5.75,5.4,5.65,3016957,0
2010-04-21,5.72,6.46,5.68,6.32,8679535,0
2010-04-22,6.21,6.81,6.02,6.57,8887086,0
2010-04-23,6.68,7.31,6.67,7.14,10337312,0
2010-04-26,7.22,7.65,7.11,7.23,7771810,0
2010-04-27,7.09,7.24,6.51,6.6,7679610,0
2010-04-28,6.8,6.98,6.48,6.54,6348889,0
2010-04-29,6.59,7.25,6.55,7.16,5662721,0
2010-04-30,7.36,7.68,6.81,7.11,7976416,0
2010-05-03,7.25,8.05,7.2,7.99,9579780,0
2010-05-04,7.81,7.84,6.85,6.98,10963618,0
2010-05-05,6.99,7.45,6.54,7.02,7630400,0
2010-05-06,7.05,7.23,5.25,6.41,10124853,0
2010-05-07,6.56,6.65,5.86,5.95,6425133,0
2010-05-10,6.54,7,6.42,6.99,7460960,0
2010-05-11,6.79,7.55,6.73,7.27,7768720,0
2010-05-12,7.49,7.74,7.4,7.46,5896023,0
2010-05-13,7.54,7.59,6.91,6.98,7105415,0
2010-05-14,6.76,6.97,6.55,6.9,5158818,0
2010-05-17,6.79,6.95,6.15,6.46,7473917,0
2010-05-18,6.77,6.82,6.35,6.45,5407464,0
2010-05-19,6.26,6.57,6.03,6.17,5249224,0
2010-05-20,5.92,6.44,5.71,6.05,8920898,0
2010-05-21,5.85,6.42,5.67,6.07,5794117,0
2010-05-24,6.13,6.49,5.91,5.94,5522123,0
2010-05-25,5.68,5.95,5.53,5.95,5811163,0
2010-05-26,6.34,6.52,6,6.04,5676087,0
