Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,27.238,27.773,27.197,27.617,561351,0
2010-01-05,27.617,27.617,27.009,27.214,395889,0
2010-01-06,27.132,27.559,27.066,27.444,407132,0
2010-01-07,27.526,27.805,27.214,27.765,377910,0
2010-01-08,27.765,28.548,27.575,28.39,391726,0
2010-01-11,28.474,29.065,28.193,29,797919,0
2010-01-12,28.622,28.638,28.061,28.193,575823,0
2010-01-13,28.178,28.63,27.954,28.54,467417,0
2010-01-14,28.326,28.695,28.234,28.655,497352,0
2010-01-15,28.663,28.851,28.225,28.259,774195,0
2010-01-19,28.225,28.902,28.185,28.663,529920,0
2010-01-20,28.268,28.474,27.915,28.349,542635,0
2010-01-21,28.407,28.407,27.172,27.262,710380,0
2010-01-22,27.132,27.396,26.439,26.563,683405,0
2010-01-25,26.926,26.926,26.209,26.447,453419,0
2010-01-26,26.258,26.34,25.863,26.045,711726,0
2010-01-27,25.872,26.005,25.238,25.765,887978,0
2010-01-28,25.715,25.715,24.852,25.469,999340,0
2010-01-29,25.419,25.427,24.49,24.497,975307,0
2010-02-01,24.638,25.312,24.464,25.312,593390,0
2010-02-02,25.337,25.888,25.247,25.83,550881,0
2010-02-03,25.749,25.896,25.083,25.148,855046,0
2010-02-04,24.891,25.006,23.608,23.673,1560915,0
2010-02-05,23.717,23.764,23.016,23.534,1227058,0
2010-02-08,23.665,23.921,23.073,23.626,748988,0
2010-02-09,23.986,24.398,23.748,24.086,657151,0
2010-02-10,23.955,24.068,23.46,23.717,646155,0
2010-02-11,23.708,23.805,23.378,23.717,1275385,0
2010-02-12,23.46,24.117,23.182,24.104,650586,0
2010-02-16,24.374,24.588,24.192,24.539,330685,0
2010-02-17,24.556,24.868,24.449,24.801,768094,0
2010-02-18,24.852,25.371,24.736,25.321,518291,0
2010-02-19,25.295,25.567,25.196,25.461,230524,0
2010-02-22,25.6,25.649,25.255,25.337,361914,0
2010-02-23,25.18,25.337,24.579,24.613,515492,0
2010-02-24,24.744,24.975,24.482,24.801,492586,0
2010-02-25,24.366,24.728,23.213,24.621,751849,0
2010-02-26,24.588,24.751,24.389,24.712,830841,0
2010-03-01,24.843,25.362,24.638,25.187,527299,0
2010-03-02,25.205,25.354,24.983,25.156,693112,0
2010-03-03,25.165,25.262,24.777,24.991,774404,0
2010-03-04,25.131,25.131,24.712,24.942,467122,0
2010-03-05,25.214,25.51,25.148,25.501,312386,0
2010-03-08,25.501,25.683,25.222,25.371,328532,0
2010-03-09,25.18,25.535,25.148,25.501,394130,0
2010-03-10,25.436,25.715,25.255,25.7,449615,0
2010-03-11,25.477,25.872,25.196,25.872,395232,0
2010-03-12,25.913,25.931,25.7,25.896,468613,0
2010-03-15,25.765,25.938,25.658,25.863,637433,0
2010-03-16,25.954,26.218,25.857,26.02,1017293,0
2010-03-17,26.145,26.2,25.98,26.005,935300,0
2010-03-18,26.061,26.061,25.411,25.436,846437,0
2010-03-19,25.453,25.492,25.075,25.214,718808,0
2010-03-22,25.015,25.575,24.958,25.51,577097,0
2010-03-23,25.6,26.324,25.436,26.275,505989,0
2010-03-24,26.087,26.414,25.988,26.2,674084,0
2010-03-25,26.489,26.744,25.98,25.988,640084,0
2010-03-26,26.036,26.414,25.971,26.07,399375,0
2010-03-29,26.258,26.506,26.2,26.375,268699,0
2010-03-30,26.34,26.67,26.168,26.244,447639,0
2010-03-31,26.2,26.447,26.07,26.293,488984,0
2010-04-01,26.506,26.933,26.317,26.933,548072,0
2010-04-05,26.983,27.469,26.983,27.426,655554,0
2010-04-06,27.165,27.526,27.091,27.426,855260,0
2010-04-07,27.426,27.601,27.14,27.238,741139,0
2010-04-08,27.123,27.288,26.637,27.132,693908,0
2010-04-09,27.188,27.469,26.933,27.379,346863,0
2010-04-12,27.328,27.379,26.958,27.073,526995,0
2010-04-13,26.949,27.214,26.762,27.188,490155,0
2010-04-14,27.435,27.732,27.123,27.724,347332,0
2010-04-15,27.716,27.923,27.461,27.691,376439,0
2010-04-16,27.494,27.749,26.942,27.247,445325,0
2010-04-19,27.073,27.296,26.735,26.958,570049,0
2010-04-20,27.157,27.371,27.018,27.222,465274,0
2010-04-21,27.214,27.396,27.048,27.157,724845,0
2010-04-22,26.942,28.135,26.661,28.102,1056744,0
2010-04-23,27.997,28.643,27.873,28.561,674983,0
2010-04-26,28.564,28.926,28.399,28.439,565777,0
2010-04-27,28.242,28.613,27.88,27.979,1070733,0
2010-04-28,28.087,28.366,27.535,27.683,1076317,0
2010-04-29,24.728,27.625,24.728,26.87,3574442,0
2010-04-30,26.827,26.861,25.484,25.484,1346077,0
2010-05-03,25.559,25.559,24.522,24.942,1461374,0
2010-05-04,24.669,24.827,24.201,24.786,1550400,0
2010-05-05,24.482,24.482,23.442,23.542,2057252,0
2010-05-06,23.395,23.962,21.007,22.612,1442627,0
2010-05-07,22.594,22.818,21.468,21.715,2481426,0
2010-05-10,22.742,23.182,22.029,22.416,1594701,0
2010-05-11,22.094,22.9,21.963,22.678,1173872,0
2010-05-12,22.825,23.19,22.678,23.041,789547,0
2010-05-13,22.917,23.352,22.811,23.182,886566,0
2010-05-14,22.972,23.091,22.356,22.686,1036649,0
2010-05-17,22.818,22.892,21.947,22.586,936579,0
2010-05-18,22.825,23.082,22.372,22.39,1202329,0
2010-05-19,22.309,22.364,21.501,22.036,888784,0
2010-05-20,21.494,21.494,20.842,20.842,1605707,0
2010-05-21,20.595,21.443,20.299,21.352,1676685,0
2010-05-24,21.329,21.525,21.073,21.148,722915,0
2010-05-25,20.636,21.402,20.332,21.352,1458838,0
2010-05-26,21.583,22.103,21.336,21.715,1413910,0
2010-05-27,22.225,22.917,22.036,22.892,1264895,0
2010-05-28,22.786,23.048,22.25,22.399,2003966,0
2010-06-01,22.142,22.372,21.683,21.683,1028695,0
2010-06-02,21.846,22.241,21.598,22.216,1260001,0
2010-06-03,22.364,22.505,22.085,22.325,901151,0
2010-06-04,21.699,22.103,21.247,21.303,972584,0
2010-06-07,21.402,21.501,20.71,20.71,726796,0
2010-06-08,20.77,20.983,20.539,20.842,597750,0
2010-06-09,20.949,21.196,20.553,20.645,607830,0
2010-06-10,21.031,21.443,21.031,21.319,601430,0
2010-06-11,21.031,21.468,21.031,21.394,554262,0
2010-06-14,21.683,21.938,21.419,21.468,584283,0
2010-06-15,21.699,21.846,21.566,21.837,905609,0
2010-06-16,21.706,21.855,21.592,21.706,786526,0
2010-06-17,21.79,21.938,21.287,21.494,423978,0
2010-06-18,21.508,21.598,21.27,21.394,564665,0
2010-06-21,21.723,21.837,21.196,21.311,377301,0
2010-06-22,21.294,21.607,20.727,20.727,422621,0
2010-06-23,20.727,21.098,20.43,20.932,618273,0
2010-06-24,20.851,20.86,20.34,20.381,510093,0
2010-06-25,20.389,20.884,20.191,20.621,1579704,0
