Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,9.0172,9.3618,9.0172,9.3064,125655,0
2010-01-05,9.3064,9.791,9.2472,9.709,184666,0
2010-01-06,9.791,10.253,9.709,10.08,210306,0
2010-01-07,10.165,10.281,9.765,10.194,142290,0
2010-01-08,10.109,10.253,9.907,10.109,90674,0
2010-01-11,10.194,10.74,9.994,10.625,168353,0
2010-01-12,9.994,10.051,9.3326,9.4209,403122,0
2010-01-13,9.591,9.679,9.3326,9.4761,303794,0
2010-01-14,9.2744,9.679,9.2472,9.532,388851,0
2010-01-15,9.822,10.194,9.3914,10.138,6966746,0
2010-01-19,10.453,10.74,10.165,10.481,1361098,0
2010-01-20,10.654,10.913,10.109,10.339,757007,0
2010-01-21,10.425,10.596,10.222,10.339,853246,0
2010-01-22,10.511,10.625,10.08,10.253,944750,0
2010-01-25,10.339,10.625,10.253,10.339,487616,0
2010-01-26,10.339,10.481,10.08,10.481,424896,0
2010-01-27,10.54,10.54,10.194,10.397,682451,0
2010-01-28,10.453,10.596,10.194,10.596,1003906,0
2010-01-29,10.625,11.2,10.367,10.453,2064816,0
2010-02-01,10.596,10.596,9.679,10.194,593468,0
2010-02-02,10.165,10.74,10.08,10.54,414784,0
2010-02-03,10.855,11.085,10.453,10.453,489656,0
2010-02-04,10.453,10.481,10.222,10.253,354785,0
2010-02-05,10.109,10.453,10.08,10.339,308467,0
2010-02-08,10.309,10.768,10.165,10.684,335297,0
2010-02-09,10.943,10.943,10.222,10.481,309707,0
2010-02-10,10.481,10.596,10.281,10.54,294678,0
2010-02-11,10.54,11.028,10.281,10.97,257510,0
2010-02-12,10.797,11.401,10.596,11.169,400130,0
2010-02-16,11.314,11.314,10.913,11.169,294347,0
2010-02-17,11.287,11.429,11.143,11.371,271361,0
2010-02-18,11.429,11.573,11.143,11.546,323661,0
2010-02-19,11.546,11.632,11.401,11.457,442304,0
2010-02-22,11.488,11.488,11.057,11.314,330378,0
2010-02-23,11.314,11.346,10.625,10.97,290273,0
2010-02-24,11.057,11.546,10.797,11.488,462127,0
2010-02-25,11.346,11.603,11.229,11.488,339399,0
2010-02-26,11.801,12.206,11.603,11.918,660497,0
2010-03-01,11.975,11.975,11.66,11.717,355998,0
2010-03-02,11.717,11.775,11.632,11.66,202903,0
2010-03-03,11.632,11.744,11.514,11.573,200837,0
2010-03-04,11.632,11.69,11.488,11.69,186960,0
2010-03-05,11.66,12.781,11.632,12.462,406490,0
2010-03-08,12.494,12.809,12.12,12.608,283657,0
2010-03-09,12.521,12.781,12.349,12.435,318451,0
2010-03-10,12.55,12.894,12.32,12.749,335347,0
2010-03-11,12.665,12.924,12.608,12.924,606717,0
2010-03-12,12.894,13.038,12.665,12.894,633285,0
2010-03-15,12.781,13.007,12.781,12.867,211539,0
2010-03-16,12.867,12.867,12.494,12.691,863758,0
2010-03-17,12.723,12.924,12.462,12.635,848630,0
2010-03-18,12.837,12.983,12.608,12.983,215067,0
2010-03-19,12.521,13.871,12.406,13.755,4013475,0
2010-03-22,13.755,13.755,12.894,13.586,734353,0
2010-03-23,14.044,14.044,13.442,13.698,914402,0
2010-03-24,13.668,15.221,13.641,14.732,1554047,0
2010-03-25,14.904,15.535,14.388,14.415,983751,0
2010-03-26,14.503,14.904,14.073,14.388,1355760,0
2010-03-29,14.472,14.472,13.871,14.073,798474,0
2010-03-30,14.044,14.704,13.929,14.472,557435,0
2010-03-31,14.446,15.077,14.044,14.876,1348832,0
2010-04-01,14.931,15.221,14.847,15.077,431999,0
2010-04-05,15.105,15.509,14.876,15.509,499269,0
2010-04-06,15.364,15.767,15.077,15.708,490535,0
2010-04-07,15.65,16.082,15.364,15.565,981491,0
