Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,10.603,10.693,10.49,10.678,133942,0
2010-01-05,10.671,10.701,10.465,10.507,158176,0
2010-01-06,10.531,10.564,10.436,10.474,91602,0
2010-01-07,10.499,10.701,10.444,10.655,61205,0
2010-01-08,10.655,10.774,10.507,10.54,34600,0
2010-01-11,10.546,10.555,10.319,10.336,54035,0
2010-01-12,10.248,10.28,10.03,10.148,40417,0
2010-01-13,10.148,10.444,10.014,10.376,101247,0
2010-01-14,10.353,10.414,10.163,10.163,27454,0
2010-01-15,10.195,10.248,9.89,10.07,88056,0
2010-01-19,10.11,10.195,9.97,10.141,62476,0
2010-01-20,10.046,10.087,9.711,9.865,79006,0
2010-01-21,9.865,9.93,9.571,9.587,56801,0
2010-01-22,9.554,9.789,9.4609,9.4837,60935,0
2010-01-25,9.571,9.571,9.1404,9.3048,60419,0
2010-01-26,9.3133,9.4529,9.2741,9.3282,59412,0
2010-01-27,9.3207,9.53,9.2413,9.4837,49467,0
2010-01-28,9.546,9.546,9.2413,9.289,68415,0
2010-01-29,9.397,9.781,9.397,9.539,105822,0
2010-02-01,9.601,9.601,9.397,9.4609,41326,0
2010-02-02,9.4365,9.757,9.4365,9.678,69855,0
2010-02-03,9.624,9.773,9.523,9.757,65554,0
2010-02-04,9.686,9.719,9.3752,9.4128,69841,0
2010-02-05,9.397,9.656,9.397,9.631,40120,0
2010-02-08,9.587,9.631,9.3901,9.4297,98324,0
2010-02-09,9.515,9.703,9.2039,9.656,81143,0
2010-02-10,9.594,9.631,9.3207,9.515,47726,0
2010-02-11,9.4609,9.789,9.3508,9.781,89146,0
2010-02-12,9.678,9.806,9.664,9.789,78812,0
2010-02-16,9.789,9.875,9.656,9.865,29327,0
2010-02-17,9.851,10.187,9.806,10.163,75633,0
2010-02-18,10.133,10.329,10.11,10.296,78261,0
2010-02-19,10.304,10.49,10.296,10.465,76873,0
2010-02-22,10.465,10.718,10.465,10.609,56370,0
2010-02-23,10.623,10.812,10.376,10.788,70892,0
2010-02-24,10.78,10.78,10.649,10.742,35184,0
2010-02-25,10.555,10.623,10.422,10.596,57106,0
