Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,16.58,16.865,16.504,16.779,430834,0
2010-01-05,16.779,16.83,16.373,16.418,589395,0
2010-01-06,16.459,16.529,16.322,16.39,435052,0
2010-01-07,16.399,16.986,16.322,16.917,285061,0
2010-01-08,16.856,17.201,16.83,17.186,252960,0
2010-01-11,17.208,17.208,16.58,16.677,257701,0
2010-01-12,16.513,16.796,16.443,16.744,327542,0
2010-01-13,16.771,16.977,16.572,16.744,168609,0
2010-01-14,16.607,17.106,16.563,17.054,375660,0
2010-01-15,17.081,17.227,16.686,16.882,617894,0
2010-01-19,16.91,17.435,16.873,17.427,569339,0
2010-01-20,17.28,17.754,17.054,17.684,513857,0
2010-01-21,17.667,18.71,17.571,18.488,1104615,0
2010-01-22,18.452,18.692,17.91,18.029,855590,0
2010-01-25,18.183,18.183,17.719,18.012,386366,0
2010-01-26,18.012,18.357,17.848,18.012,407726,0
2010-01-27,17.9,18.46,17.822,18.263,370071,0
2010-01-28,18.237,18.279,17.719,17.925,519837,0
2010-01-29,17.925,18.41,17.746,17.969,421055,0
2010-02-01,18.098,18.21,17.787,18.046,477504,0
2010-02-02,18.003,18.192,17.771,17.883,436898,0
2010-02-03,17.9,18.038,17.373,17.659,312975,0
2010-02-04,17.522,17.641,17.005,17.03,427418,0
2010-02-05,17.054,17.366,16.599,17.149,476290,0
2010-02-08,17.132,17.254,16.734,16.856,212614,0
2010-02-09,17.091,17.227,16.686,17.081,311198,0
2010-02-10,16.967,17.444,16.839,17.435,346438,0
2010-02-11,17.341,17.366,16.917,17.28,237253,0
2010-02-12,17.186,17.624,17.045,17.571,342567,0
2010-02-16,17.641,18.081,17.548,18.065,241575,0
2010-02-17,18.183,18.323,18.046,18.254,328527,0
2010-02-18,18.287,18.313,18.038,18.296,186752,0
2010-02-19,18.305,18.71,18.228,18.659,389736,0
2010-02-22,18.701,18.969,18.582,18.916,272903,0
2010-02-23,18.901,18.952,18.495,18.574,158698,0
2010-02-24,18.582,19.055,18.582,18.866,176610,0
2010-02-25,18.692,18.942,18.582,18.942,160690,0
2010-02-26,18.969,18.969,18.263,18.279,291887,0
2010-03-01,18.401,18.84,18.296,18.511,538531,0
2010-03-02,18.546,18.745,18.323,18.503,597372,0
2010-03-03,18.651,18.84,18.287,18.41,535273,0
2010-03-04,18.503,18.598,18.348,18.503,313001,0
2010-03-05,18.582,18.942,18.503,18.771,515123,0
2010-03-08,18.797,18.866,18.537,18.574,277987,0
2010-03-09,18.521,18.908,18.495,18.659,348251,0
2010-03-10,18.642,19.143,18.642,19.028,346988,0
2010-03-11,18.901,19.134,18.893,19.09,289663,0
2010-03-12,19.176,19.4,18.856,19.229,258154,0
2010-03-15,19.149,19.617,19.134,19.555,237056,0
2010-03-16,19.581,19.917,19.443,19.908,173826,0
2010-03-17,19.899,21.677,19.899,21.245,1224415,0
2010-03-18,21.255,21.314,20.753,20.806,408513,0
2010-03-19,20.944,21.056,20.608,20.797,802673,0
2010-03-22,20.694,21.324,20.468,21.227,265735,0
2010-03-23,21.263,21.263,20.632,21.132,313117,0
2010-03-24,20.995,21.21,20.744,20.788,403882,0
2010-03-25,20.867,21.314,20.694,20.703,404469,0
2010-03-26,20.771,20.892,20.22,20.418,430556,0
2010-03-29,20.512,20.521,20.117,20.288,231114,0
2010-03-30,20.175,20.262,19.744,19.892,308911,0
2010-03-31,19.857,20.359,19.822,19.841,359709,0
2010-04-01,19.925,20.107,19.667,19.892,293496,0
2010-04-05,19.995,20.262,19.892,20.142,214102,0
2010-04-06,20.011,20.409,19.867,20.288,628970,0
2010-04-07,20.203,20.478,20.142,20.332,406638,0
2010-04-08,20.246,20.658,20.098,20.503,315526,0
2010-04-09,20.572,20.572,20.168,20.453,195184,0
2010-04-12,20.453,20.617,20.22,20.453,188916,0
2010-04-13,20.445,20.54,20.15,20.478,272769,0
2010-04-14,20.608,21.02,20.503,21.003,508941,0
2010-04-15,21.011,21.314,20.925,21.075,428142,0
2010-04-16,21.02,21.02,20.107,20.313,355191,0
2010-04-19,20.262,20.54,19.831,20.22,211261,0
2010-04-20,20.359,20.608,20.133,20.608,292821,0
2010-04-21,20.599,21.142,20.555,21.099,395549,0
2010-04-22,20.875,21.305,20.512,21.219,293214,0
2010-04-23,21.083,21.317,20.846,21.298,379978,0
2010-04-26,21.305,21.305,20.814,20.917,236786,0
2010-04-27,20.797,21.383,20.581,20.668,385223,0
2010-04-28,20.875,21.296,20.675,21.038,355924,0
2010-04-29,21.123,21.556,21.011,21.487,441541,0
2010-04-30,21.461,21.591,20.839,20.839,565350,0
2010-05-03,20.91,21.201,20.744,21.176,220077,0
2010-05-04,20.849,20.849,19.581,19.736,489925,0
2010-05-05,19.649,19.658,18.884,19.134,681677,0
2010-05-06,19.037,19.124,15.374,18.081,723405,0
2010-05-07,17.951,18.374,17.254,17.58,576078,0
2010-05-10,18.425,18.787,17.831,18.762,421771,0
