Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,7.6,7.9,7.15,7.9,33762,0
2010-01-05,7.9,8,7.7,7.9,17268,0
2010-01-06,7.85,8.05,7.85,8,22176,0
2010-01-07,8.1,8.15,8,8.15,19525,0
2010-01-08,8.05,8.45,7.75,8.2,20468,0
2010-01-11,8,8.15,7.85,8,18378,0
2010-01-12,7.7,7.85,7.55,7.85,13582,0
2010-01-13,7.95,8,7.75,7.95,5851,0
2010-01-14,8.05,8.1,7.75,7.95,4148,0
2010-01-15,7.85,7.85,7.6,7.7,9418,0
2010-01-19,7.65,8.05,7.4,7.4,31308,0
2010-01-20,7.55,7.55,7.25,7.45,19361,0
2010-01-21,7.5,7.7,7.4,7.4,16667,0
2010-01-22,7.4,7.5,7.25,7.25,6837,0
2010-01-25,7.1,7.55,7.1,7.3,16407,0
2010-01-26,7.15,7.8,7.15,7.65,20979,0
2010-01-27,7.75,7.75,7.3,7.3,9849,0
2010-01-28,7.15,7.55,7.05,7.15,9049,0
2010-01-29,7.15,7.25,7.05,7.1,12542,0
2010-02-01,7,7.25,7,7.15,9353,0
2010-02-02,7.05,7.5,7.05,7.5,22952,0
2010-02-03,7.05,7.4,6.9,7.25,55448,0
2010-02-04,7.05,7.25,6.75,7.1,16916,0
2010-02-05,6.95,7.5,6.8,7.25,27504,0
2010-02-08,7.15,7.4,7.05,7.25,45269,0
2010-02-09,7.4,7.4,6.95,7.25,25524,0
2010-02-10,7.1,7.3,6.95,7.1,30168,0
2010-02-11,6.95,7.3,6.95,7.3,30620,0
2010-02-12,7.3,7.45,7,7.45,34444,0
2010-02-16,7.3,7.5,6.9,7.15,54810,0
2010-02-17,7.05,7.25,6.95,7.05,17514,0
2010-02-18,6.95,7.9,6.95,7.7,52046,0
2010-02-19,7.5,8,7.45,7.85,77603,0
2010-02-22,7.85,8.15,7.2,7.4,83153,0
2010-02-23,7.6,7.7,6.95,7.55,61040,0
2010-02-24,7.55,7.55,7,7,49977,0
2010-02-25,7,7.25,7,7.2,21602,0
2010-02-26,7.35,7.35,7.05,7.35,14473,0
2010-03-01,7.35,7.35,7.05,7.15,18329,0
2010-03-02,7.35,7.35,7.05,7.15,30234,0
2010-03-03,7.2,7.2,7,7.1,33018,0
2010-03-04,7,7.2,6.9,7,38706,0
2010-03-05,7,7.2,6.9,7.2,38329,0
2010-03-08,7.2,7.25,6.95,7.05,29992,0
2010-03-09,7,7.05,6.75,6.9,27821,0
2010-03-10,7.05,7.05,6.9,6.95,5211,0
2010-03-11,7,7.2,6.95,7.05,20357,0
2010-03-12,6.95,7.3,6.95,7.15,21118,0
2010-03-15,7.25,7.25,7,7,9834,0
2010-03-16,7.15,7.2,6.95,7,21673,0
2010-03-17,7,7.1,6.9,7,27235,0
2010-03-18,7,7.05,6.9,7,17226,0
2010-03-19,7,7.15,6.95,7.15,20293,0
2010-03-22,7.2,7.2,6.9,7.15,33361,0
2010-03-23,7,7.15,7,7,24941,0
2010-03-24,7,7.15,6.95,7,10582,0
2010-03-25,7.15,7.15,7,7.1,13864,0
2010-03-26,7.15,7.15,7,7,10455,0
2010-03-29,7,9.75,6.95,7.7,419185,0
2010-03-30,7.6,8,7.2,7.85,133916,0
2010-03-31,7.8,8.05,7.5,7.6,55191,0
2010-04-01,7.65,7.8,7.25,7.55,48573,0
2010-04-05,7.7,7.7,7.15,7.5,24943,0
2010-04-06,7.4,7.65,7.1,7.55,20178,0
2010-04-07,7.35,7.6,7.25,7.6,26032,0
2010-04-08,7.3,8.05,7.3,7.85,36924,0
2010-04-09,8,8.1,7.7,7.8,10667,0
2010-04-12,7.65,8.45,7.65,8.25,24928,0
2010-04-13,8.1,8.2,7.9,7.9,22287,0
2010-04-14,7.9,8.25,7.9,8.05,21838,0
2010-04-15,8.4,8.55,8.25,8.55,48075,0
2010-04-16,8.7,9.45,8.5,8.95,231394,0
2010-04-19,9.1,9.5,8.95,9.2,111301,0
2010-04-20,9.25,9.25,9.05,9.05,29618,0
2010-04-21,9,9.15,8.45,8.8,64584,0
2010-04-22,8.55,8.7,8.4,8.6,27363,0
2010-04-23,8.6,9,8.5,8.5,18952,0
2010-04-26,8.65,8.65,8.25,8.5,31604,0
2010-04-27,8.45,9.15,8.3,9.15,31011,0
2010-04-28,9.45,9.45,8.4,8.65,24726,0
2010-04-29,7.9,8.25,7.45,7.85,79816,0
2010-04-30,7.65,7.75,7.15,7.35,40652,0
2010-05-03,7.25,7.65,7.15,7.5,39097,0
2010-05-04,7.25,7.45,6.85,7.05,53494,0
2010-05-05,6.9,7.45,6.75,7.35,22564,0
2010-05-06,7.05,7.7,7,7,28478,0
2010-05-07,7.05,7.2,6.8,7.2,15610,0
2010-05-10,7.25,7.35,7,7,16228,0
2010-05-11,7.1,7.2,6.8,6.8,20157,0
2010-05-12,6.8,7.25,6.8,7.25,15283,0
2010-05-13,7.25,7.35,7,7.2,22320,0
2010-05-14,7.1,7.25,6.95,6.95,9553,0
2010-05-17,6.9,7.15,6.9,7.05,9576,0
2010-05-18,7.1,7.2,7,7.1,11015,0
2010-05-19,7,7.15,6.85,7,33802,0
2010-05-20,6.9,7,6.7,6.75,32037,0
2010-05-21,6.7,6.8,6.6,6.6,24740,0
2010-05-24,6.75,6.75,6.4,6.45,30018,0
2010-05-25,6.4,6.55,6.4,6.5,17562,0
2010-05-26,6.55,6.65,6.4,6.55,32052,0
2010-05-27,6.85,7.35,6.7,7.15,93878,0
2010-05-28,7.3,7.4,6.95,7.15,23822,0
2010-06-01,8,8.05,7.05,7.05,43725,0
2010-06-02,7.3,7.5,7.15,7.35,31524,0
2010-06-03,7.55,7.75,7.25,7.5,43657,0
2010-06-04,7.65,7.65,7.35,7.4,61855,0
2010-06-07,7.15,7.65,7.05,7.1,43852,0
2010-06-08,7.05,7.9,7,7.9,81764,0
2010-06-09,8.1,8.45,7.85,8.25,73294,0
2010-06-10,8.25,8.95,8.25,8.6,74032,0
2010-06-11,8.75,8.75,7.75,7.9,41393,0
2010-06-14,8.75,9,8.65,8.85,108620,0
2010-06-15,9,9.25,9,9.25,84331,0
2010-06-16,9.35,10.3,8.9,9.9,182409,0
2010-06-17,10.5,10.5,9.5,10.4,131668,0
2010-06-18,10.55,10.6,9.8,10.15,111326,0
2010-06-21,10.45,10.5,10.1,10.3,77400,0
2010-06-22,10.45,10.55,9.85,10,72812,0
2010-06-23,10,10,9.5,9.95,46752,0
2010-06-24,9.5,10.1,9.5,10.1,36786,0
2010-06-25,10.1,10.85,10.1,10.7,90018,0
2010-06-28,10.9,11.15,10.8,10.95,70116,0
2010-06-29,10.85,10.85,10,10.1,67010,0
2010-06-30,10.05,10.2,9.5,9.55,62634,0
2010-07-01,9.55,9.75,8.1,8.95,103204,0
2010-07-02,9,10.1,8.85,9.35,35389,0
2010-07-06,10,10.1,9.15,9.25,52799,0
2010-07-07,9.5,9.8,9.25,9.5,21131,0
2010-07-08,9.7,9.9,9.5,9.8,17512,0
2010-07-09,9.8,10,9.6,10,22575,0
2010-07-12,10,10.15,9.9,9.95,39793,0
2010-07-13,10.3,10.3,10,10,26604,0
2010-07-14,10.1,10.15,9.85,10.05,29401,0
2010-07-15,10.1,10.5,10,10.4,59673,0
2010-07-16,10.45,10.5,10,10,27051,0
2010-07-19,10,10.1,9.5,10,37096,0
2010-07-20,10,10,9.75,9.75,15076,0
2010-07-21,9.75,10,9.75,9.75,26392,0
2010-07-22,9.85,9.95,9.7,9.7,10123,0
2010-07-23,9.55,9.75,9.5,9.55,17348,0
2010-07-26,9.55,9.6,9.25,9.55,23297,0
2010-07-27,9.55,9.8,9.35,9.5,32961,0
2010-07-28,9.6,9.6,9.05,9.1,17952,0
2010-07-29,9.1,9.6,9.1,9.5,17932,0
2010-07-30,9.5,9.9,9.45,9.7,23147,0
2010-08-02,9.9,10,9.7,9.7,25002,0
2010-08-03,9.75,9.95,9.6,9.6,13179,0
2010-08-04,9.7,12.2,9.6,11.3,554307,0
2010-08-05,11.2,11.25,10.1,10.15,152456,0
2010-08-06,10.15,10.2,9.7,9.9,80877,0
2010-08-09,9.9,10.15,9.45,9.95,45975,0
2010-08-10,9.8,10.4,9.45,9.45,38350,0
2010-08-11,9.45,9.65,9,9.4,34715,0
2010-08-12,9,9.3,9,9,46287,0
2010-08-13,9,9.1,8.8,8.9,23330,0
2010-08-16,8.75,9.2,8.75,8.95,28410,0
2010-08-17,9,9.25,8.8,8.8,25822,0
2010-08-18,8.8,9.15,8.8,8.95,18158,0
2010-08-19,8.95,9.15,8.8,9,20970,0
2010-08-20,8.95,9,8.4,8.4,36704,0
2010-08-23,8.4,8.55,7.9,8.3,50813,0
2010-08-24,8.35,8.35,7.75,7.8,31021,0
2010-08-25,7.6,7.75,7.3,7.55,33654,0
2010-08-26,7.8,7.85,7.45,7.45,29816,0
2010-08-27,7.4,7.6,7.3,7.45,21962,0
2010-08-30,7.45,7.85,7.45,7.8,6973,0
2010-08-31,7.8,8.95,7.8,8.4,35617,0
2010-09-01,8.4,8.45,8.25,8.45,16390,0
2010-09-02,8.45,8.45,8.25,8.25,19812,0
2010-09-03,8.3,8.45,8.15,8.15,12538,0
2010-09-07,8.3,8.5,8.15,8.15,14950,0
2010-09-08,8.15,8.35,8.1,8.1,9971,0
2010-09-09,8.1,8.3,8,8.05,16317,0
2010-09-10,8.05,8.2,7.7,8,19240,0
2010-09-13,8,8.2,7.8,8.2,32034,0
2010-09-14,8.1,8.35,8.1,8.2,17114,0
2010-09-15,8.2,8.65,8.2,8.55,22313,0
2010-09-16,8.5,8.7,8.4,8.65,7684,0
2010-09-17,8.65,8.7,8.35,8.45,17332,0
2010-09-20,8.7,8.7,8.35,8.5,20551,0
2010-09-21,8.4,8.55,8.25,8.35,22443,0
2010-09-22,8.45,8.5,8.25,8.35,11256,0
2010-09-23,8.35,8.7,8.35,8.7,15186,0
2010-09-24,8.7,8.7,8.45,8.5,12406,0
2010-09-27,8.5,8.7,8.25,8.5,18761,0
2010-09-28,8.65,8.85,8.5,8.7,27676,0
2010-09-29,8.75,8.85,8.6,8.8,5153,0
2010-09-30,8.75,8.85,8.7,8.75,9852,0
2010-10-01,8.8,8.8,8.65,8.65,12015,0
2010-10-04,8.65,8.65,7.6,7.6,38007,0
