Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,5.35,5.45,5.25,5.3,20746,0
2010-01-05,5.3,5.3,5.1,5.22,15765,0
2010-01-06,5.13,5.19,4.79,4.9,82643,0
2010-01-07,4.87,5,4.85,4.94,34492,0
2010-01-08,4.8,4.88,4.68,4.74,42890,0
2010-01-11,4.74,4.78,4.68,4.74,26235,0
2010-01-12,5,5,4.55,4.61,27549,0
2010-01-13,4.51,4.68,4.26,4.45,66173,0
2010-01-14,4.48,4.66,4.35,4.45,33192,0
2010-01-15,4.39,4.4,4.25,4.31,15050,0
2010-01-19,4.25,4.56,4.25,4.42,20290,0
2010-01-20,4.38,4.47,4.26,4.47,29477,0
2010-01-21,4.47,4.6,4.35,4.55,24040,0
2010-01-22,4.58,4.63,4.31,4.37,29683,0
2010-01-25,4.43,4.43,4.01,4.19,67424,0
2010-01-26,4.15,4.35,4.15,4.35,14105,0
2010-01-27,4.22,4.35,4.1,4.15,25344,0
2010-01-28,4.22,4.65,4.22,4.33,67486,0
2010-01-29,4.4,4.55,4.3,4.48,62073,0
2010-02-01,4.59,4.65,4.53,4.59,43186,0
2010-02-02,4.3,5.25,4.3,5.17,86752,0
2010-02-03,5.14,5.5,5.14,5.5,117501,0
2010-02-04,5.32,5.32,4.75,4.76,110284,0
2010-02-05,4.73,4.89,4.6,4.73,72479,0
2010-02-08,4.7,4.73,4.57,4.7,26069,0
2010-02-09,4.73,5.03,4.73,4.99,41490,0
2010-02-10,4.95,5.17,4.9,5.05,34310,0
2010-02-11,5.11,5.4,5.06,5.39,110047,0
2010-02-12,5.34,5.82,5.31,5.81,212981,0
2010-02-16,5.97,6.23,5.91,6.18,234026,0
2010-02-17,6.17,6.24,5.7,6.13,149919,0
2010-02-18,5.95,6.1,5.78,5.78,66051,0
2010-02-19,5.83,6.05,5.8,5.9,39098,0
2010-02-22,6.14,6.14,5.85,5.9,32713,0
2010-02-23,5.89,5.97,5.31,5.44,104299,0
2010-02-24,5.41,5.51,5.33,5.48,46200,0
2010-02-25,5.47,5.99,5.39,5.88,62080,0
2010-02-26,5.88,5.99,5.57,5.64,51040,0
2010-03-01,5.73,5.73,5.4,5.46,46825,0
2010-03-02,5.55,5.7,5.43,5.65,41761,0
2010-03-03,5.92,6.09,5.72,5.92,132174,0
2010-03-04,5.99,6.03,5.75,5.86,39257,0
2010-03-05,5.82,5.92,5.77,5.82,28190,0
2010-03-08,5.88,5.88,5.6,5.66,27168,0
2010-03-09,5.66,5.66,5.35,5.39,62647,0
2010-03-10,5.4,5.79,5.4,5.79,49969,0
2010-03-11,5.85,5.89,5.75,5.8,26697,0
2010-03-12,5.83,5.83,5.7,5.77,44135,0
2010-03-15,5.84,5.94,5.8,5.88,38006,0
2010-03-16,5.94,5.96,5.67,5.73,88888,0
2010-03-17,5.72,5.73,5.05,5.44,134946,0
2010-03-18,5.49,5.49,5.25,5.35,24274,0
2010-03-19,5.32,5.35,4.98,5.06,76470,0
2010-03-22,5.08,5.1,4.75,5.05,50240,0
2010-03-23,5.04,5.08,4.97,5.03,33633,0
2010-03-24,4.95,5.05,4.91,5.05,14696,0
2010-03-25,5.1,5.65,5,5.61,99084,0
2010-03-26,5.6,5.61,5.3,5.32,31189,0
2010-03-29,5.4,5.4,5.16,5.17,22569,0
2010-03-30,5.12,5.25,5.02,5.25,34956,0
2010-03-31,5.25,5.4,5.25,5.39,23284,0
2010-04-01,5.42,5.42,5.28,5.28,13520,0
2010-04-05,5.33,5.48,5.33,5.43,14360,0
2010-04-06,5.4,5.45,5.16,5.44,42676,0
2010-04-07,5.46,5.48,5.39,5.41,11680,0
2010-04-08,5.37,5.4,5.35,5.35,30796,0
2010-04-09,5.37,5.4,5.17,5.17,28939,0
2010-04-12,5.17,5.17,4.84,5.02,112075,0
2010-04-13,5.05,5.33,5.01,5.27,32150,0
2010-04-14,5.3,5.3,4.95,5.09,51005,0
2010-04-15,5.03,5.2,5.01,5.15,40785,0
2010-04-16,5.16,5.17,5.09,5.14,26845,0
2010-04-19,5.15,5.53,5.13,5.43,128601,0
2010-04-20,5.52,5.65,5.49,5.49,48860,0
2010-04-21,5.54,5.54,5.2,5.39,59233,0
2010-04-22,5.36,5.37,5.24,5.33,29555,0
2010-04-23,5.35,5.45,5.35,5.37,34827,0
2010-04-26,5.35,5.38,5.25,5.32,31859,0
2010-04-27,5.3,5.34,5.3,5.3,18959,0
2010-04-28,5.06,5.37,5.05,5.31,38952,0
2010-04-29,5.29,5.29,5.15,5.2,15185,0
2010-04-30,5.18,5.3,5.11,5.28,30015,0
2010-05-03,5.3,5.37,5.2,5.28,16200,0
2010-05-04,5.26,5.39,5.1,5.3,67242,0
2010-05-05,5.28,5.28,5,5.13,60740,0
2010-05-06,5.1,5.15,4.9,4.93,38021,0
2010-05-07,4.8,4.96,4.62,4.82,79006,0
2010-05-10,4.93,5,4.65,4.82,74792,0
2010-05-11,4.82,4.98,4.8,4.91,26748,0
2010-05-12,4.98,4.98,4.89,4.92,13695,0
2010-05-13,4.92,4.92,4.82,4.86,28350,0
2010-05-14,4.8,4.86,4.8,4.81,14800,0
2010-05-17,4.8,4.8,4.65,4.7,60240,0
2010-05-18,4.7,4.74,4.66,4.74,29337,0
2010-05-19,4.74,4.74,4.65,4.65,27783,0
2010-05-20,4.62,4.63,4.34,4.43,76354,0
2010-05-21,4.39,4.51,4.26,4.42,14726,0
2010-05-24,4.35,4.44,4.3,4.39,45700,0
2010-05-25,4.27,4.35,4.25,4.35,13925,0
2010-05-26,4.35,4.48,4.3,4.35,20450,0
2010-05-27,4.4,4.48,4.36,4.46,20050,0
2010-05-28,4.45,4.46,4.43,4.46,3150,0
2010-06-01,4.48,4.48,4.42,4.42,21803,0
2010-06-02,4.5,4.5,4.42,4.48,2430,0
2010-06-03,4.5,4.56,4.41,4.41,11060,0
2010-06-04,4.3,4.46,4.3,4.4,8360,0
2010-06-07,4.36,4.59,4.36,4.48,10085,0
2010-06-08,4.5,4.59,4.5,4.57,10800,0
2010-06-09,4.6,4.6,4.36,4.43,12200,0
2010-06-10,4.43,4.49,4.38,4.4,20005,0
2010-06-11,4.4,4.47,4.36,4.38,9815,0
2010-06-14,4.4,4.59,4.39,4.58,17340,0
2010-06-15,4.58,4.58,4.52,4.55,8175,0
2010-06-16,4.48,4.55,4.47,4.48,7800,0
2010-06-17,4.49,4.49,4.35,4.4,4064,0
2010-06-18,4.4,4.47,4.4,4.41,15945,0
2010-06-21,4.45,4.47,4.43,4.46,4000,0
2010-06-22,4.46,4.46,4.3,4.3,25458,0
2010-06-23,4.32,4.32,4.25,4.31,11667,0
2010-06-24,4.35,4.5,4.28,4.34,29273,0
2010-06-25,4.35,4.84,4.35,4.6,55869,0
2010-06-28,4.57,4.72,4.55,4.63,32223,0
2010-06-29,4.64,4.64,4.55,4.63,20338,0
2010-06-30,4.57,4.57,4.34,4.57,29653,0
2010-07-01,4.59,4.84,4.49,4.83,84692,0
2010-07-02,4.88,4.98,4.56,4.95,47301,0
2010-07-06,4.95,5.1,4.84,4.85,30573,0
2010-07-07,4.92,4.92,4.63,4.72,12900,0
2010-07-08,4.74,4.81,4.62,4.64,16574,0
2010-07-09,4.62,4.78,4.6,4.78,21810,0
2010-07-12,4.72,4.8,4.62,4.8,20120,0
2010-07-13,4.83,4.94,4.78,4.93,30302,0
2010-07-14,4.96,5.16,4.91,5.12,36545,0
2010-07-15,5.16,5.33,5.15,5.24,33213,0
2010-07-16,5.19,5.19,4.91,5.01,11173,0
2010-07-19,5,5.05,4.88,5,18800,0
2010-07-20,5.02,5.18,5.02,5.08,9770,0
2010-07-21,5.15,5.26,5.1,5.19,24576,0
2010-07-22,5.24,5.24,4.93,5.03,9760,0
2010-07-23,4.6,5.06,4.6,5,10480,0
2010-07-26,4.99,5.03,4.99,5,8025,0
2010-07-27,4.94,4.94,4.83,4.86,14307,0
2010-07-28,4.86,4.86,4.75,4.75,9449,0
2010-07-29,4.85,4.86,4.79,4.83,17651,0
2010-07-30,4.83,4.85,4.77,4.8,12490,0
2010-08-02,4.84,5.1,4.77,5.08,41648,0
2010-08-03,5.14,5.14,5.02,5.1,14099,0
2010-08-04,5.1,5.1,5.04,5.07,22515,0
2010-08-05,5.05,5.2,5.02,5.13,13983,0
2010-08-06,5,5.18,5,5.15,5887,0
2010-08-09,5.1,5.15,5.06,5.06,11758,0
2010-08-10,5.09,5.09,4.87,4.94,8529,0
2010-08-11,4.92,5,4.92,4.94,4260,0
2010-08-12,4.92,4.94,4.88,4.9,26412,0
2010-08-13,4.93,5,4.93,5,8428,0
2010-08-16,4.95,5.11,4.95,4.99,9289,0
2010-08-17,5,5.05,4.95,4.95,7371,0
2010-08-18,4.9,4.98,4.8,4.95,13963,0
2010-08-19,4.94,4.99,4.88,4.88,2722,0
2010-08-20,4.85,4.94,4.84,4.87,3830,0
2010-08-23,4.9,4.93,4.82,4.93,4800,0
