Date,Open,High,Low,Close,Volume,OpenInt
2010-01-06,5.6077,5.6166,5.6077,5.6077,786,0
2010-01-12,5.8124,5.8124,5.8124,5.8124,1123,0
2010-01-15,5.6344,5.6967,5.6166,5.6967,1820,0
2010-01-19,5.6611,5.6611,5.6433,5.6433,225,0
2010-01-20,5.6344,5.6344,5.6344,5.6344,281,0
2010-01-25,5.6255,5.6344,5.6255,5.6344,2095,0
2010-01-28,5.6522,5.6522,5.6522,5.6522,112,0
2010-02-01,5.6522,5.6522,5.6433,5.6433,225,0
2010-02-03,6.1329,6.1329,6.1329,6.1329,112,0
2010-02-04,5.7056,5.7056,5.7056,5.7056,112,0
2010-02-05,5.7412,5.7412,5.6166,5.6166,1910,0
2010-02-10,5.6166,5.6166,5.6166,5.6166,124,0
2010-02-17,5.6344,5.6344,5.6255,5.6344,457,0
2010-02-19,5.6967,5.6967,5.6967,5.6967,337,0
2010-02-25,5.7056,5.7412,5.7056,5.7412,2135,0
2010-03-01,5.7946,6.1507,5.7946,6.1507,2074,0
2010-03-05,6.124,6.1329,6.124,6.1329,449,0
2010-03-09,6.0528,6.3732,6.0528,6.3732,4494,0
2010-03-12,6.2397,6.2397,5.6255,5.6967,17863,0
2010-03-15,5.7323,6.0528,5.7323,5.9459,10350,0
2010-03-19,6.0172,6.658,5.9637,6.1418,5151,0
2010-03-22,6.0172,6.0172,6.0172,6.0172,112,0
2010-03-23,5.9816,5.9905,5.937,5.9905,674,0
2010-04-01,6.1685,6.1774,6.1685,6.1774,674,0
2010-04-05,6.0973,6.1863,6.0973,6.1863,1700,0
2010-04-07,6.1863,6.1863,6.0706,6.0706,536,0
2010-04-08,6.1774,6.1774,6.1774,6.1774,618,0
2010-04-09,6.0706,6.1863,6.0261,6.1863,1471,0
2010-04-12,6.1774,6.1774,6.1774,6.1774,1123,0
2010-04-13,6.1774,6.1774,6.1774,6.1774,1398,0
2010-04-14,6.1774,6.1774,6.1774,6.1774,449,0
2010-04-19,6.1774,6.1774,6.1774,6.1774,449,0
2010-04-20,6.1774,6.1774,6.1774,6.1774,112,0
2010-04-21,6.658,6.658,6.658,6.658,562,0
2010-04-27,6.7916,6.7916,6.6758,6.6758,449,0
2010-04-28,6.6669,6.6669,6.5957,6.5957,2239,0
2010-04-29,6.5779,6.5779,6.5779,6.5779,1026,0
2010-04-30,5.7946,6.5779,5.7946,6.5779,2247,0
2010-05-05,5.7946,6.5779,5.7946,6.569,2359,0
2010-05-12,6.302,6.302,6.2842,6.2842,225,0
2010-05-13,6.2308,6.2308,6.2308,6.2308,225,0
2010-05-14,5.9637,6.3198,5.8302,6.3198,6067,0
2010-05-17,6.3198,6.3198,6.3198,6.3198,112,0
2010-05-18,6.3198,6.3198,5.7946,5.8035,1011,0
2010-05-24,6.0617,6.0617,6.0617,6.0617,169,0
2010-06-01,6.3198,6.3198,6.3198,6.3198,1685,0
2010-06-03,6.0617,6.0617,6.0617,6.0617,2247,0
