Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,3.35,3.6,3.16,3.6,28654,0
2010-01-05,3.85,3.85,3.6,3.71,19555,0
2010-01-06,3.7,3.74,3.6,3.66,31168,0
2010-01-07,3.66,3.9,3.62,3.88,36533,0
2010-01-08,3.89,4.5,3.81,4.33,95601,0
2010-01-11,4.15,4.6,4.15,4.57,50124,0
2010-01-12,4.54,5.14,4.54,5.1,136450,0
2010-01-13,5.06,6.18,5.06,5.72,235862,0
2010-01-14,5.95,5.99,4.7,5.2,208420,0
2010-01-15,5.25,5.29,4.65,4.65,97617,0
2010-01-19,4.72,5.28,4.59,5.1,64501,0
2010-01-20,5,5.21,5,5.19,44996,0
2010-01-21,5.1,5.3,4.85,4.94,31998,0
2010-01-22,4.9,4.99,4.71,4.78,37100,0
2010-01-25,4.84,4.84,4.75,4.8,10662,0
2010-01-26,4.79,4.91,4.71,4.85,28488,0
2010-01-27,4.85,4.9,4.8,4.8,21378,0
2010-01-28,4.85,4.87,4.62,4.82,8735,0
2010-01-29,4.8,4.85,4.75,4.75,21945,0
2010-02-01,4.73,4.75,4.65,4.65,8751,0
2010-02-02,4.65,4.69,4.6,4.6,15193,0
2010-02-03,4.7,4.7,4.6,4.6,18882,0
2010-02-04,4.6,4.6,4.35,4.48,29080,0
2010-02-05,4.51,4.51,4.45,4.49,17913,0
2010-02-08,4.45,4.5,4.45,4.5,6631,0
2010-02-09,4.62,4.62,4.31,4.31,41495,0
2010-02-10,4.27,4.36,3.75,4.01,50639,0
2010-02-11,4,4,3.75,3.75,39709,0
2010-02-12,3.7,3.75,3.5,3.75,60399,0
2010-02-16,3.8,3.82,3.65,3.82,27748,0
2010-02-17,3.83,4.31,3.83,4,50367,0
2010-02-18,3.95,4.04,3.95,4,20796,0
2010-02-19,4,4.09,3.98,4.03,11747,0
2010-02-22,4,4.03,3.97,3.99,18060,0
2010-02-23,3.58,3.99,3.58,3.93,21995,0
2010-02-24,3.91,4.18,3.91,3.97,17647,0
2010-02-25,4,4,3.95,4,8870,0
2010-02-26,4.04,4.05,3.98,3.98,17670,0
2010-03-01,3.92,4.18,3.92,4,14715,0
2010-03-02,4,4,3.86,3.86,10057,0
2010-03-03,4.05,4.14,4,4.03,3734,0
2010-03-04,4,4,3.86,3.9,13365,0
2010-03-05,3.9,4,3.85,3.95,11228,0
2010-03-08,3.9,3.99,3.8,3.92,19803,0
2010-03-09,3.86,4,3.85,3.94,26241,0
2010-03-10,3.94,4,3.94,3.95,19986,0
2010-03-11,3.91,3.96,3.86,3.86,18070,0
2010-03-12,3.89,3.95,3.86,3.86,12812,0
2010-03-15,3.92,4.05,3.9,4.04,50868,0
2010-03-16,4.26,4.68,4.25,4.6,327692,0
2010-03-17,4.8,4.95,4.3,4.45,196851,0
2010-03-18,4.5,4.5,4.21,4.36,56354,0
2010-03-19,4.3,4.4,4.15,4.4,31918,0
2010-03-22,4.3,4.4,4.15,4.23,23482,0
2010-03-23,4.16,4.21,3.91,4.19,63729,0
2010-03-24,4.11,4.19,4.09,4.1,18586,0
2010-03-25,4.14,4.27,4.1,4.12,14805,0
2010-03-26,4.15,4.17,4.15,4.15,11292,0
2010-03-29,4.16,4.16,4.01,4.07,71832,0
2010-03-30,4,4.05,3.92,3.96,50546,0
2010-03-31,3.86,4.1,3.83,3.95,35924,0
2010-04-01,3.95,4.18,3.91,4,42869,0
2010-04-05,4,4.15,3.99,4.15,30520,0
2010-04-06,4.08,4.33,4.08,4.29,24972,0
2010-04-07,4.33,4.49,4.29,4.35,36084,0
2010-04-08,4.38,4.55,4.38,4.43,16686,0
2010-04-09,4.4,4.4,4.2,4.23,18339,0
2010-04-12,4.35,4.35,4.2,4.35,10620,0
2010-04-13,4.39,4.5,4.28,4.38,13904,0
2010-04-14,4.38,4.5,4.35,4.47,34525,0
2010-04-15,4.3,4.42,4.21,4.3,23779,0
2010-04-16,4.2,4.3,4.15,4.28,28959,0
2010-04-19,4.19,4.26,4.12,4.25,10050,0
2010-04-20,4.25,4.27,4.2,4.27,22021,0
2010-04-21,4.25,4.27,4.24,4.26,14043,0
2010-04-22,4.27,4.3,4.25,4.3,10590,0
2010-04-23,4.27,4.4,4.25,4.32,6484,0
2010-04-26,4.35,4.44,4.35,4.41,15657,0
2010-04-27,4.43,4.43,4.34,4.34,9779,0
2010-04-28,4.38,4.4,4.34,4.34,5911,0
2010-04-29,4.35,4.38,4.34,4.37,23250,0
2010-04-30,4.36,4.41,4.31,4.32,5194,0
2010-05-03,4.48,4.48,4.15,4.15,20511,0
2010-05-04,4.15,4.21,4,4.05,16567,0
2010-05-05,4.06,4.08,3.98,4,32824,0
2010-05-06,4,4,3.85,3.85,42211,0
2010-05-07,3.85,3.91,3.85,3.87,14547,0
2010-05-10,4.13,4.13,3.9,4.01,16236,0
2010-05-11,3.99,4,3.92,3.95,13158,0
2010-05-12,3.98,4,3.95,4,18661,0
2010-05-13,4,4.05,3.9,3.91,9760,0
2010-05-14,3.9,3.94,3.75,3.8,16330,0
2010-05-17,3.9,3.94,3.8,3.87,13231,0
2010-05-18,4.11,4.6,4.11,4.23,84943,0
2010-05-19,4.1,4.39,3.87,3.95,33898,0
2010-05-20,3.85,3.9,3.7,3.7,20430,0
2010-05-21,3.75,3.84,3.51,3.79,44397,0
2010-05-24,3.9,3.91,3.71,3.74,9888,0
2010-05-25,3.65,3.76,3.55,3.57,25642,0
2010-05-26,3.57,3.74,3.57,3.71,20899,0
2010-05-27,3.72,3.77,3.7,3.75,20014,0
2010-05-28,3.86,3.86,3.75,3.77,6700,0
2010-06-01,3.76,3.76,3.39,3.5,38573,0
2010-06-02,3.5,3.52,3.41,3.43,30040,0
2010-06-03,3.39,3.45,3.25,3.3,39801,0
2010-06-04,3.26,3.3,3.16,3.27,18902,0
2010-06-07,3.21,3.24,3.2,3.22,10830,0
2010-06-08,3.19,3.22,3,3.08,19833,0
2010-06-09,3.02,3.09,2.81,2.82,31512,0
2010-06-10,2.8,2.86,2.72,2.72,32567,0
2010-06-11,2.7,2.79,2.56,2.6,34904,0
2010-06-14,2.6,2.63,2.55,2.56,16196,0
2010-06-15,2.61,2.75,2.61,2.73,10830,0
2010-06-16,2.74,2.74,2.71,2.73,3241,0
2010-06-17,2.75,2.98,2.75,2.98,19115,0
2010-06-18,2.98,3.09,2.96,3.09,18450,0
2010-06-21,3.07,3.25,3.06,3.25,20413,0
2010-06-22,3.21,3.25,3.19,3.19,9382,0
2010-06-23,3.18,3.19,3.15,3.17,4004,0
2010-06-24,3.15,3.15,2.89,3,10306,0
2010-06-25,2.96,2.96,2.81,2.82,15354,0
2010-06-28,2.82,2.89,2.7,2.7,27030,0
2010-06-29,2.7,2.7,2.61,2.62,11527,0
2010-06-30,2.63,2.93,2.63,2.82,17099,0
2010-07-01,2.81,2.81,2.76,2.79,4257,0
2010-07-02,2.86,2.9,2.77,2.83,9005,0
2010-07-06,2.79,2.82,2.69,2.69,9439,0
2010-07-07,2.65,2.74,2.65,2.73,12230,0
2010-07-08,2.7,2.7,2.63,2.66,23177,0
2010-07-09,2.62,2.71,2.62,2.67,8243,0
2010-07-12,2.7,2.71,2.65,2.71,20200,0
2010-07-13,2.7,2.94,2.69,2.94,3351,0
2010-07-14,2.99,3.02,2.94,2.96,10298,0
2010-07-15,2.94,2.94,2.7,2.85,5000,0
2010-07-16,2.86,2.88,2.82,2.83,4298,0
2010-07-19,2.88,2.99,2.88,2.99,7897,0
2010-07-20,3,3.22,2.99,3.12,11300,0
2010-07-21,3.11,3.19,2.95,3.08,10900,0
2010-07-22,3.07,3.07,3.01,3.04,13985,0
2010-07-23,3.01,3.04,2.96,2.97,8603,0
2010-07-26,2.93,3.02,2.74,2.8,35396,0
2010-07-27,2.71,2.86,2.71,2.76,17498,0
2010-07-28,2.75,2.89,2.75,2.83,5716,0
2010-07-29,2.81,2.83,2.8,2.82,4377,0
2010-07-30,2.82,2.85,2.82,2.83,9210,0
2010-08-02,2.83,2.92,2.78,2.86,6401,0
