Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,35.77,36.762,35.77,36.311,183291,0
2010-01-05,36.541,36.716,36.101,36.541,143569,0
2010-01-06,36.816,37.082,36.541,36.716,214910,0
2010-01-07,36.937,36.937,35.626,36.083,220692,0
2010-01-08,35.893,36.366,35.741,36.366,144740,0
2010-01-11,36.17,36.541,35.922,36.466,314063,0
2010-01-12,35.959,36.58,35.834,36.421,205059,0
2010-01-13,36.598,36.825,36.245,36.725,231527,0
2010-01-14,36.788,36.974,36.375,36.598,216295,0
2010-01-15,36.697,36.697,36.235,36.412,159654,0
2010-01-19,36.474,36.522,35.834,36.302,142878,0
2010-01-20,35.547,35.589,35.114,35.286,201161,0
2010-01-21,35.181,35.547,34.314,34.599,257227,0
2010-01-22,34.378,34.535,33.853,33.853,437030,0
2010-01-25,34.258,34.387,33.872,34.103,208332,0
2010-01-26,33.614,34.285,33.512,34.084,141638,0
2010-01-27,33.834,34.094,33.76,33.853,147996,0
2010-01-28,33.862,34.314,33.309,33.594,216108,0
2010-01-29,33.679,34.038,33.025,33.228,304510,0
2010-02-01,33.262,33.76,33.162,33.751,149875,0
2010-02-02,34.029,34.36,33.375,34.36,135486,0
2010-02-03,34.065,34.699,33.641,33.725,236651,0
2010-02-04,33.22,33.538,32.906,32.997,291420,0
2010-02-05,32.961,33.181,32.398,32.915,407656,0
2010-02-08,32.951,33.181,32.378,32.417,248308,0
2010-02-09,32.648,33.512,32.611,33.438,364655,0
2010-02-10,33.394,33.576,32.703,33.181,216331,0
2010-02-11,33.512,34.295,33.097,34.285,247488,0
2010-02-12,34.055,34.487,33.872,34.45,227875,0
2010-02-16,33.925,35.323,33.925,35.286,191509,0
2010-02-17,35.314,35.646,35.253,35.485,140016,0
2010-02-18,35.295,35.598,35.114,35.295,112597,0
2010-02-19,35.151,35.598,35.124,35.53,69003,0
2010-02-22,35.636,35.722,35.011,35.011,169369,0
2010-02-23,34.967,35.011,34.065,34.305,128039,0
2010-02-24,33.899,34.525,33.899,34.44,116076,0
2010-02-25,33.567,33.982,33.29,33.826,172957,0
2010-02-26,33.844,34.084,33.632,33.925,132328,0
2010-03-01,34.276,34.848,34.201,34.707,109208,0
2010-03-02,34.801,35.53,34.801,35.381,120076,0
2010-03-03,35.362,35.741,35.323,35.53,115588,0
2010-03-04,35.53,35.608,34.829,35.161,126912,0
2010-03-05,35.305,35.521,35.199,35.323,125252,0
2010-03-08,34.801,35.646,34.801,35.418,188017,0
2010-03-09,35.269,35.456,35.114,35.352,286292,0
2010-03-10,35.277,35.409,35.095,35.342,242325,0
2010-03-11,35.39,35.713,35.021,35.665,133402,0
2010-03-12,35.722,36.34,35.722,35.913,96581,0
2010-03-15,35.732,35.903,35.332,35.826,75317,0
2010-03-16,36.188,36.188,35.608,35.78,154683,0
2010-03-17,35.893,36.036,35.76,35.903,81523,0
2010-03-18,35.884,35.94,35.39,35.494,89657,0
2010-03-19,35.418,35.485,35.011,35.011,113171,0
2010-03-22,34.581,35.011,34.581,34.903,90344,0
2010-03-23,35.066,35.161,34.848,35.085,70809,0
2010-03-24,34.801,34.838,34.432,34.637,97519,0
2010-03-25,34.894,35.104,34.516,34.516,172113,0
2010-03-26,34.672,34.744,34.423,34.591,131678,0
2010-03-29,34.885,35.199,34.744,35.114,115430,0
2010-03-30,35.314,35.555,35.208,35.466,84881,0
2010-03-31,35.571,35.789,35.323,35.78,186377,0
2010-04-01,35.94,37.343,35.903,37.073,273360,0
2010-04-05,37.146,38.307,37.146,38.143,240257,0
2010-04-06,38.373,38.501,37.516,37.745,189463,0
2010-04-07,37.488,37.81,37.128,37.432,132046,0
2010-04-08,37.091,38.04,36.541,37.876,169109,0
2010-04-09,37.895,38.465,37.895,38.242,139245,0
2010-04-12,38.003,38.686,38.003,38.364,112337,0
2010-04-13,38.172,38.519,37.629,38.188,137838,0
2010-04-14,38.261,38.75,38.261,38.51,217298,0
2010-04-15,38.364,38.806,38.269,38.565,164150,0
2010-04-16,38.207,38.51,37.441,37.682,522281,0
2010-04-19,37.232,37.637,37.038,37.6,168958,0
2010-04-20,38.069,38.428,37.967,38.261,184453,0
2010-04-21,38.686,38.686,37.791,37.995,201443,0
2010-04-22,37.904,38.962,37.413,38.962,264177,0
2010-04-23,38.637,39.782,38.445,39.523,200641,0
2010-04-26,39.487,40.076,39.45,39.946,120829,0
2010-04-27,39.236,39.752,38.705,38.953,283796,0
2010-04-28,38.537,39.522,38.428,39.265,176943,0
2010-04-29,39.402,39.844,39.294,39.633,176557,0
2010-04-30,39.374,39.662,38.519,38.658,239648,0
2010-05-03,38.777,39.062,38.447,38.447,170524,0
2010-05-04,38.096,38.096,37.003,37.213,279883,0
2010-05-05,36.843,37.02,36.245,36.448,212462,0
2010-05-06,36.118,36.118,33.788,35.161,456097,0
2010-05-07,35.295,35.564,34.487,35.269,431046,0
2010-05-10,36.598,37.25,36.483,37.11,321632,0
2010-05-11,36.843,37.709,36.651,37.398,312607,0
2010-05-12,37.914,38.465,37.773,38.288,285233,0
2010-05-13,38.409,38.456,37.923,38.234,167505,0
2010-05-14,37.562,37.609,36.697,36.984,172931,0
2010-05-17,36.402,37.11,35.626,36.669,242329,0
2010-05-18,37.082,37.26,35.571,36.017,298246,0
2010-05-19,35.539,36.064,35.161,35.858,283777,0
2010-05-20,34.506,34.903,34.229,34.369,478768,0
2010-05-21,33.972,34.875,33.585,34.838,406333,0
2010-05-24,34.865,34.932,33.992,33.992,143827,0
2010-05-25,32.821,33.769,32.821,33.769,290033,0
2010-05-26,34.112,34.654,33.925,33.963,461038,0
2010-05-27,34.535,35.893,34.516,35.893,274807,0
2010-05-28,35.675,36.153,34.801,35.151,251573,0
2010-06-01,35.261,35.466,34.478,34.654,227269,0
2010-06-02,34.82,35.988,34.801,35.884,184026,0
2010-06-03,36.128,36.162,35.114,35.665,246670,0
2010-06-04,35.253,36.007,34.654,34.707,332292,0
2010-06-07,34.857,35.114,34.44,34.552,215202,0
2010-06-08,34.369,35.269,34.129,35.217,266001,0
2010-06-09,35.503,36.036,35.021,35.227,204808,0
2010-06-10,35.741,36.348,35.675,36.34,136671,0
2010-06-11,35.512,36.541,35.512,36.227,197985,0
2010-06-14,36.641,36.899,36.036,36.17,174279,0
2010-06-15,36.311,37.324,36.311,37.324,225951,0
2010-06-16,37.138,37.423,36.974,37.324,127308,0
2010-06-17,37.398,37.398,36.735,37.175,166990,0
2010-06-18,37.213,37.297,36.57,36.853,313058,0
2010-06-21,37.351,37.709,36.908,37.213,225114,0
2010-06-22,37.184,37.413,36.735,36.863,405612,0
2010-06-23,36.284,36.56,36.109,36.439,328016,0
2010-06-24,36.302,36.348,35.512,35.618,189142,0
2010-06-25,35.884,36.522,35.722,36.064,187801,0
2010-06-28,36.198,36.265,35.475,35.618,208864,0
2010-06-29,34.672,34.763,33.817,34.038,410248,0
2010-06-30,33.738,34.265,33.525,33.525,324472,0
2010-07-01,33.422,34.148,33.134,34.055,371128,0
2010-07-02,33.872,34.211,33.385,33.689,344881,0
2010-07-06,33.853,34.314,33.228,33.567,338696,0
2010-07-07,33.679,34.314,33.558,34.314,179588,0
2010-07-08,34.44,34.699,33.963,34.276,253122,0
2010-07-09,34.211,34.726,34.211,34.535,105521,0
2010-07-12,34.387,34.913,34.36,34.801,139083,0
2010-07-13,35.217,36.007,35.217,35.564,240673,0
2010-07-14,35.381,35.58,35.143,35.269,200004,0
2010-07-15,35.428,35.789,34.865,35.789,172147,0
2010-07-16,35.371,35.438,34.581,34.707,212481,0
2010-07-19,34.913,35.011,34.44,34.875,202910,0
2010-07-20,34.525,35.456,34.487,35.456,134854,0
2010-07-21,35.866,35.866,34.535,35.001,187458,0
2010-07-22,35.503,36.153,35.447,36.092,154930,0
2010-07-23,35.932,36.284,35.655,36.265,154528,0
2010-07-26,36.385,36.871,36.046,36.753,111885,0
2010-07-27,37.128,37.193,36.178,36.311,142740,0
2010-07-28,36.366,36.483,35.858,35.903,117680,0
2010-07-29,36.716,36.716,35.447,35.665,208080,0
2010-07-30,35.547,36.178,35.277,35.858,207355,0
2010-08-02,37.013,37.013,36.227,36.863,102803,0
2010-08-03,36.716,37.013,36.551,36.735,122098,0
2010-08-04,36.816,37.175,36.707,37.064,160894,0
2010-08-05,36.88,37.082,36.375,36.531,111047,0
2010-08-06,35.978,36.265,35.646,35.949,188496,0
2010-08-09,35.988,36.153,35.76,35.932,92083,0
2010-08-10,35.512,35.834,35.277,35.646,104928,0
2010-08-11,35.277,35.277,34.239,34.628,197919,0
2010-08-12,34.276,34.581,33.982,34.496,100403,0
2010-08-13,34.324,34.977,34.324,34.591,163366,0
2010-08-16,33.594,34.894,33.594,34.681,120215,0
2010-08-17,35.03,35.371,34.932,35.332,94346,0
2010-08-18,35.314,35.438,35.114,35.181,182565,0
2010-08-19,35.021,35.124,34.201,34.397,170837,0
2010-08-20,34.112,34.221,33.76,34.038,106577,0
2010-08-23,34.183,34.397,33.953,33.953,99359,0
2010-08-24,33.538,33.872,33.3,33.422,127320,0
2010-08-25,33.191,33.394,32.814,33.28,173292,0
2010-08-26,33.76,33.834,33.071,33.28,131502,0
2010-08-27,33.404,34.285,32.906,34.285,187479,0
2010-08-30,34.36,34.628,34.065,34.065,167346,0
2010-08-31,33.977,34.181,33.505,33.94,213262,0
2010-09-01,34.397,35.161,34.397,34.681,175716,0
2010-09-02,34.646,34.783,34.432,34.628,182255,0
2010-09-03,35.021,35.39,34.628,34.984,159221,0
2010-09-07,34.672,34.829,34.305,34.36,105407,0
2010-09-08,34.672,34.941,34.378,34.496,134982,0
2010-09-09,34.857,34.922,34.229,34.432,146817,0
2010-09-10,34.591,35.143,34.378,34.993,154865,0
2010-09-13,35.428,35.58,34.958,35.104,147735,0
2010-09-14,35.021,35.269,34.753,34.913,157333,0
2010-09-15,34.865,35.352,34.591,35.286,148386,0
2010-09-16,35.114,35.217,34.783,35.021,100347,0
2010-09-17,35.124,35.208,34.496,34.932,157760,0
2010-09-20,34.984,34.984,34.45,34.468,255215,0
2010-09-21,34.496,34.726,34.183,34.487,197261,0
2010-09-22,34.35,34.763,33.89,33.89,111173,0
2010-09-23,33.826,34.221,33.585,33.699,149029,0
2010-09-24,34.201,34.552,34.175,34.552,117650,0
2010-09-27,34.646,34.663,34.148,34.148,202137,0
2010-09-28,34.334,34.45,33.953,34.45,133495,0
2010-09-29,34.414,34.628,34.258,34.414,99447,0
2010-09-30,34.792,34.977,34.561,34.811,189565,0
2010-10-01,35.066,35.409,35.001,35.199,232136,0
2010-10-04,35.151,35.295,34.487,35.04,193889,0
2010-10-05,35.428,35.798,34.984,35.675,199131,0
2010-10-06,35.704,36.036,35.646,35.798,160675,0
2010-10-07,35.893,35.903,35.253,35.626,151150,0
2010-10-08,35.409,36.128,35.161,36.128,182265,0
2010-10-11,36.153,36.615,35.884,36.358,145132,0
2010-10-12,36.055,36.265,35.818,36.208,173178,0
2010-10-13,36.431,36.632,36.33,36.502,147727,0
2010-10-14,36.394,36.679,36.101,36.101,151538,0
2010-10-15,36.439,36.588,35.808,36.036,155783,0
2010-10-18,35.893,35.969,35.608,35.922,247602,0
2010-10-19,35.021,35.114,34.506,34.699,367475,0
2010-10-20,34.875,35.208,34.865,35.124,197899,0
2010-10-21,35.217,35.323,34.599,34.913,181925,0
2010-10-22,35.048,35.133,34.773,35.011,136515,0
2010-10-25,35.447,35.713,35.295,35.456,146746,0
2010-10-26,35.199,35.521,34.993,35.133,157104,0
2010-10-27,34.848,34.894,34.44,34.848,169096,0
2010-10-28,34.993,35.277,34.773,34.958,161035,0
2010-10-29,34.921,35.698,34.902,35.698,161175,0
2010-11-01,35.85,35.922,35.314,35.503,196104,0
2010-11-02,35.715,35.819,35.181,35.363,214063,0
2010-11-03,35.371,35.475,34.773,35.253,320585,0
2010-11-04,35.808,36.017,35.608,35.77,303752,0
2010-11-05,35.978,36.083,35.598,35.618,190608,0
2010-11-08,35.539,35.665,35.362,35.636,210573,0
2010-11-09,35.818,35.858,35.323,35.428,225050,0
2010-11-10,35.751,35.751,35.236,35.665,172068,0
2010-11-11,35.503,35.539,35.181,35.399,158155,0
2010-11-12,35.085,35.342,34.801,35.056,224879,0
2010-11-15,35.181,35.295,34.681,34.699,159514,0
2010-11-16,34.506,34.506,33.567,33.808,288062,0
2010-11-17,33.699,33.992,33.567,33.706,213543,0
2010-11-18,34.055,34.305,33.908,34.011,238685,0
2010-11-19,33.908,34.305,33.706,34.103,201283,0
2010-11-22,34.103,34.221,33.689,34.221,337262,0
2010-11-23,33.808,33.89,33.492,33.614,343337,0
2010-11-24,33.826,34.305,33.826,34.138,140275,0
2010-11-26,33.808,34.029,33.725,33.934,77666,0
2010-11-29,33.89,33.899,33.394,33.798,206976,0
2010-11-30,33.212,33.617,33.118,33.433,190303,0
2010-12-01,33.992,34.334,33.834,33.834,233541,0
2010-12-02,34.305,34.423,34.192,34.305,153376,0
2010-12-03,34.211,34.397,33.853,34.138,152361,0
2010-12-06,34.138,34.138,33.788,34.055,143697,0
2010-12-07,34.305,34.35,34.001,34.094,194158,0
2010-12-08,34.239,34.663,34.156,34.397,571567,0
2010-12-09,34.552,34.672,33.992,34.221,264195,0
2010-12-10,34.229,34.591,34.229,34.525,147709,0
2010-12-13,34.609,35.085,34.609,34.958,355610,0
2010-12-14,34.977,35.655,34.941,35.352,298709,0
2010-12-15,35.151,35.589,35.04,35.114,241906,0
2010-12-16,35.162,35.162,34.716,34.811,246810,0
2010-12-17,34.726,35.39,34.459,35.104,678881,0
2010-12-20,35.04,35.208,34.82,35.056,453858,0
2010-12-21,34.801,36.531,34.801,36.502,463694,0
2010-12-22,36.541,36.541,36.178,36.284,314486,0
2010-12-23,36.385,36.669,36.265,36.412,266334,0
2010-12-27,36.458,37.013,36.101,36.863,189642,0
2010-12-28,36.956,37.423,36.762,37.404,255012,0
2010-12-29,37.38,37.649,37.038,37.546,238440,0
2010-12-30,37.749,37.813,37.299,37.299,195079,0
2010-12-31,37.132,37.57,37.113,37.293,252174,0
2011-01-03,37.755,38.114,37.572,38.114,187208,0
2011-01-04,38.124,38.224,37.305,37.441,324498,0
2011-01-05,37.297,38.153,37.297,37.755,407129,0
2011-01-06,37.609,37.701,36.606,36.707,492902,0
2011-01-07,36.927,37.101,36.56,36.762,257430,0
2011-01-10,37.056,37.213,36.188,36.431,401925,0
2011-01-11,36.753,38.003,36.735,37.967,487699,0
2011-01-12,38.143,38.648,38.134,38.382,550751,0
2011-01-13,38.409,39.633,38.354,38.859,543682,0
2011-01-14,38.859,39.689,38.666,39.487,516934,0
2011-01-18,39.422,39.46,38.84,39.441,338852,0
2011-01-19,39.441,39.626,38.591,39.081,321085,0
2011-01-20,38.602,38.841,38.197,38.814,278932,0
2011-01-21,38.887,39.108,38.556,38.686,173212,0
2011-01-24,38.741,39.099,38.582,38.823,190901,0
2011-01-25,38.658,38.676,37.904,38.51,301414,0
2011-01-26,38.638,39.311,38.556,39.284,339937,0
2011-01-27,39.394,39.549,39.036,39.044,187083,0
