Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,25.916,26.354,25.869,26.188,296049,0
2010-01-05,26.213,26.636,26.066,26.627,438097,0
2010-01-06,26.627,27.195,26.594,27.052,603009,0
2010-01-07,27.097,27.097,25.791,25.843,1063686,0
2010-01-08,25.852,25.852,24.236,24.608,1837198,0
2010-01-11,24.751,24.848,23.143,23.478,1838286,0
2010-01-12,23.374,24.38,23.374,24.255,924823,0
2010-01-13,24.311,24.928,24.311,24.875,510076,0
2010-01-14,24.893,25.334,24.751,25.139,536078,0
2010-01-15,25.111,26.399,24.698,26.251,1783642,0
2010-01-19,26.269,28.993,26.26,27.37,2670082,0
2010-01-20,26.479,26.77,26.029,26.152,1656922,0
2010-01-21,26.251,26.417,25.703,25.791,892283,0
2010-01-22,25.667,25.843,25.228,25.279,424157,0
2010-01-25,25.5,25.5,24.987,25.315,490505,0
2010-01-26,25.342,25.537,25.156,25.367,408826,0
2010-01-27,25.809,26.965,25.588,26.382,3615142,0
2010-01-28,26.344,26.577,25.818,25.934,716884,0
2010-01-29,26.038,26.169,25.051,25.078,808985,0
2010-02-01,25.172,25.843,24.928,25.827,764100,0
2010-02-02,26.753,27.865,26.435,27.698,1613617,0
2010-02-03,26.516,27.342,26.382,27.212,1682062,0
2010-02-04,27.088,27.36,26.946,27.132,1208462,0
2010-02-05,27.204,27.486,26.84,27.37,829422,0
2010-02-08,27.451,27.599,27.176,27.186,765308,0
2010-02-09,27.405,28.102,27.238,27.838,1493320,0
2010-02-10,27.838,28.218,27.662,27.954,757644,0
2010-02-11,27.802,28.183,27.405,28.147,965958,0
2010-02-12,27.892,28.093,27.68,27.928,800809,0
2010-02-16,28.209,28.872,27.978,28.773,581698,0
2010-02-17,28.958,29.261,28.817,28.95,613558,0
2010-02-18,28.976,29.408,28.976,29.408,497365,0
2010-02-19,29.398,29.671,29.243,29.594,350330,0
2010-02-22,29.576,29.7,29.277,29.319,557541,0
2010-02-23,29.159,29.515,28.826,28.89,414943,0
2010-02-24,29.028,29.285,28.942,29.277,495089,0
2010-02-25,28.702,29.065,28.652,28.702,669479,0
2010-02-26,28.782,28.843,28.607,28.747,964368,0
2010-03-01,28.801,29.902,28.801,29.789,1152248,0
2010-03-02,29.857,30.202,29.753,30.078,866223,0
2010-03-03,30.078,30.193,29.214,29.883,467049,0
2010-03-04,29.994,30.266,29.62,30.167,394463,0
2010-03-05,30.266,30.821,30.141,30.679,682576,0
2010-03-08,30.793,30.829,30.588,30.688,425295,0
2010-03-09,30.488,31.28,30.488,31.166,1019384,0
2010-03-10,31.083,31.528,30.89,31.492,597795,0
2010-03-11,31.261,31.436,30.909,31.138,942428,0
2010-03-12,31.156,31.315,30.335,30.433,903346,0
2010-03-15,30.301,30.479,29.798,30.018,726978,0
2010-03-16,30.159,30.22,29.866,30.059,629166,0
2010-03-17,30.159,30.31,30.002,30.258,643521,0
2010-03-18,30.293,30.845,30.239,30.293,557299,0
2010-03-19,30.414,30.433,30.002,30.327,927868,0
2010-03-22,30.22,30.31,30.045,30.293,1342132,0
2010-03-23,30.258,31.359,30.258,31.199,720493,0
2010-03-24,31.148,31.228,30.617,30.768,729851,0
2010-03-25,30.909,31.138,30.697,30.725,602369,0
2010-03-26,30.734,30.998,30.563,30.662,833076,0
2010-03-29,30.607,31.28,30.414,31.28,618617,0
2010-03-30,31.251,31.324,30.572,30.862,483370,0
2010-03-31,30.697,30.918,30.539,30.58,288979,0
2010-04-01,30.707,30.918,30.588,30.759,493396,0
2010-04-05,30.734,30.829,30.548,30.707,507476,0
2010-04-06,30.653,30.653,30.183,30.327,767976,0
2010-04-07,30.23,30.679,30.177,30.563,575321,0
2010-04-08,30.521,30.563,30.011,30.069,435877,0
2010-04-09,30.051,30.742,30.051,30.734,525275,0
2010-04-12,30.751,31.083,30.662,30.97,354966,0
2010-04-13,30.97,31.156,30.553,31.025,393537,0
2010-04-14,31.148,31.748,31.025,31.711,585632,0
2010-04-15,31.57,31.702,31.315,31.455,341374,0
2010-04-16,31.411,31.553,30.802,31.166,393772,0
2010-04-19,30.989,30.998,30.069,30.899,687880,0
2010-04-20,31.075,31.288,30.97,31.148,482660,0
2010-04-21,31.065,31.359,30.759,30.785,663975,0
2010-04-22,30.539,30.777,30.293,30.479,922515,0
2010-04-23,30.529,31.041,30.44,31.017,334846,0
2010-04-26,31.436,31.765,31.13,31.658,1096325,0
2010-04-27,31.528,33.033,31.393,31.808,1587816,0
2010-04-28,32.859,33.195,32.055,32.232,866236,0
2010-04-29,32.418,32.859,32.214,32.321,534566,0
2010-04-30,32.259,32.567,31.702,31.765,944236,0
2010-05-03,31.942,32.603,31.775,32.188,669025,0
2010-05-04,31.896,32.205,31.428,31.959,645039,0
2010-05-05,31.757,32.355,31.368,31.411,888265,0
2010-05-06,31.324,31.896,29.019,30.358,1205287,0
2010-05-07,30.239,30.488,29.355,29.62,765726,0
2010-05-10,30.317,30.777,30.167,30.662,670470,0
2010-05-11,30.327,31.57,30.258,31.025,797283,0
2010-05-12,31.075,31.799,31.075,31.72,639307,0
2010-05-13,31.729,31.959,31.298,31.342,528523,0
2010-05-14,31.148,31.243,30.358,30.469,382557,0
2010-05-17,30.488,30.679,29.603,30.22,526197,0
2010-05-18,30.377,30.785,29.965,30.036,661641,0
2010-05-19,29.866,30.183,29.159,29.671,566219,0
2010-05-20,29.177,29.177,28.252,28.261,654878,0
2010-05-21,27.961,28.791,27.529,28.737,685228,0
2010-05-24,28.579,28.72,28.34,28.34,267349,0
2010-05-25,27.775,28.516,27.186,28.423,575219,0
2010-05-26,28.525,29.001,28.348,28.67,964516,0
2010-05-27,29.214,29.655,29.019,29.655,465174,0
2010-05-28,29.557,29.781,28.782,29.427,568605,0
2010-06-01,29.214,29.515,28.914,28.95,427574,0
2010-06-02,29.028,29.772,29.01,29.772,456219,0
2010-06-03,29.816,29.947,29.506,29.883,513731,0
2010-06-04,29.092,29.39,28.367,28.499,526459,0
2010-06-07,28.579,28.579,27.828,28.093,639113,0
2010-06-08,28.093,28.269,27.792,28.235,297604,0
2010-06-09,28.385,28.872,27.987,28.076,478340,0
2010-06-10,28.569,28.95,28.482,28.692,530398,0
2010-06-11,28.414,29.082,28.235,29.028,276574,0
2010-06-14,29.092,29.63,29.075,29.269,232605,0
2010-06-15,29.398,30.276,29.304,30.22,619615,0
2010-06-16,29.975,30.266,29.798,30.028,349854,0
2010-06-17,30.028,30.953,29.956,30.928,476137,0
2010-06-18,31.075,31.13,30.598,30.751,494397,0
2010-06-21,30.88,31.083,26.973,28.147,3940942,0
2010-06-22,28.111,29.269,27.994,29.151,1386840,0
2010-06-23,29.261,29.445,28.473,28.968,1032687,0
2010-06-24,28.755,29.028,28.465,28.607,1217235,0
2010-06-25,28.747,29.681,28.261,29.647,1170376,0
2010-06-28,29.408,29.55,28.678,29.304,655989,0
2010-06-29,28.862,28.881,27.68,27.767,914670,0
2010-06-30,27.664,27.664,26.687,26.733,989967,0
2010-07-01,26.664,26.673,25.985,26.16,1043911,0
2010-07-02,26.223,26.223,25.325,25.537,1093741,0
2010-07-06,25.942,26.701,25.888,26.02,899653,0
2010-07-07,26.126,27.342,26.126,27.334,977320,0
2010-07-08,27.494,27.792,27.451,27.519,876175,0
2010-07-09,27.46,27.609,27.176,27.36,715147,0
2010-07-12,27.326,27.698,27.256,27.581,923985,0
2010-07-13,27.802,28.013,27.749,27.802,548201,0
2010-07-14,27.74,27.909,27.46,27.652,405449,0
2010-07-15,27.716,27.847,27.212,27.802,544666,0
2010-07-16,27.662,27.74,27.221,27.334,492788,0
2010-07-19,27.469,27.478,26.85,27.451,480662,0
2010-07-20,27.124,28.076,27.124,28.013,548552,0
2010-07-21,28.227,28.533,27.874,28.023,531753,0
2010-07-22,28.252,28.853,28.252,28.791,436546,0
2010-07-23,28.642,29.417,28.533,29.39,512928,0
2010-07-26,29.381,30.141,29.295,30.123,622072,0
2010-07-27,31.995,32.426,30.036,30.452,1022764,0
2010-07-28,30.239,30.386,29.603,29.638,844787,0
2010-07-29,29.727,29.753,28.533,29.082,1395057,0
2010-07-30,28.826,29.472,28.465,29.417,1189545,0
2010-08-02,29.857,30.293,29.736,29.921,631165,0
2010-08-03,29.744,30.036,29.454,29.671,590194,0
2010-08-04,29.857,29.947,29.506,29.736,585381,0
2010-08-05,29.506,29.902,29.39,29.762,593067,0
2010-08-06,29.445,29.929,29.365,29.69,589575,0
2010-08-09,29.911,30.239,29.744,30.23,383228,0
2010-08-10,30.036,30.193,29.355,29.929,516881,0
2010-08-11,29.435,29.445,28.404,28.473,661972,0
2010-08-12,27.936,28.976,27.883,28.932,800861,0
2010-08-13,28.834,28.881,28.358,28.543,439744,0
2010-08-16,28.358,29.129,28.209,29.11,697577,0
2010-08-17,29.427,30.531,29.398,30.276,841548,0
2010-08-18,30.202,30.751,30.028,30.548,588926,0
2010-08-19,30.496,30.572,29.789,29.956,607527,0
2010-08-20,29.874,30.096,29.655,30.018,389877,0
2010-08-23,30.211,30.266,29.576,29.719,435958,0
2010-08-24,29.381,29.744,29.057,29.594,515327,0
2010-08-25,29.445,29.7,29.028,29.62,605638,0
2010-08-26,29.709,29.956,29.498,29.55,280412,0
2010-08-27,29.816,30.276,29.372,30.202,510770,0
2010-08-30,30.141,30.635,30.051,30.293,585945,0
2010-08-31,30.208,30.256,29.686,30.111,1071156,0
2010-09-01,30.563,30.88,30.343,30.872,534787,0
2010-09-02,30.936,31.093,30.617,31.033,360435,0
2010-09-03,31.298,31.402,30.89,31.13,302958,0
2010-09-07,31.008,31.102,30.386,30.479,326097,0
2010-09-08,30.496,31.402,30.479,31.049,369790,0
2010-09-09,31.342,31.52,31.235,31.306,388503,0
2010-09-10,31.324,32.037,31.28,31.951,332654,0
2010-09-13,32.205,32.205,31.951,32.17,346761,0
2010-09-14,32.117,32.558,31.905,32.41,493143,0
2010-09-15,32.488,33.069,32.267,33.009,684911,0
2010-09-16,32.957,33.469,32.868,33.414,475821,0
2010-09-17,33.38,34.112,33.069,33.511,824386,0
2010-09-20,33.635,34.492,33.572,34.369,733093,0
2010-09-21,34.369,34.605,33.848,34.352,439858,0
2010-09-22,34.271,34.731,34.032,34.067,378550,0
2010-09-23,33.783,33.802,33.069,33.212,625345,0
2010-09-24,33.626,33.961,33.529,33.617,447026,0
2010-09-27,33.688,33.812,33.345,33.493,720448,0
2010-09-28,33.557,33.635,33.203,33.529,557022,0
2010-09-29,33.511,33.582,33.246,33.254,792331,0
2010-09-30,33.501,33.935,32.739,33.085,762216,0
2010-10-01,33.511,33.635,32.885,33.328,349806,0
2010-10-04,33.263,33.511,32.753,32.965,319575,0
2010-10-05,33.29,33.725,33.29,33.661,573368,0
2010-10-06,33.661,33.751,33.319,33.68,540036,0
2010-10-07,33.882,33.882,33.442,33.839,473486,0
2010-10-08,33.882,34.041,33.133,33.688,750722,0
2010-10-11,33.757,34.244,33.617,34.024,630820,0
2010-10-12,34.032,34.809,33.751,34.605,956948,0
2010-10-13,34.835,35.168,34.835,34.958,482425,0
2010-10-14,35.039,35.178,34.703,34.78,500346,0
2010-10-15,35.159,35.159,34.492,34.64,589379,0
2010-10-18,34.668,34.994,34.561,34.853,601582,0
2010-10-19,34.393,34.88,34.102,34.342,388706,0
2010-10-20,34.483,35.108,34.483,35.03,1116812,0
2010-10-21,35.206,35.294,34.722,35.294,850974,0
2010-10-22,35.234,35.937,35.178,35.896,349959,0
2010-10-25,36.125,36.511,36.081,36.133,436723,0
2010-10-26,36.062,36.062,35.363,35.627,438719,0
2010-10-27,35.442,36.335,35.304,36.266,586952,0
2010-10-28,35.972,37.499,35.972,37.314,1141851,0
2010-10-29,37.552,37.835,36.866,37.542,630150,0
2010-11-01,37.934,38.638,37.72,38.1,964339,0
2010-11-02,38.241,38.613,37.816,38.047,588423,0
2010-11-03,38.1,38.144,37.543,37.737,668725,0
2010-11-04,38.241,38.337,37.543,37.562,933127,0
2010-11-05,37.696,38.692,37.696,38.657,750644,0
2010-11-08,38.743,39.407,38.001,39.185,912475,0
2010-11-09,39.45,39.529,38.981,39.185,961535,0
2010-11-10,39.143,39.143,38.488,38.957,652984,0
2010-11-11,38.743,38.869,38.512,38.832,395956,0
2010-11-12,38.665,38.913,37.72,37.992,668164,0
2010-11-15,38.232,39.645,38.162,39.273,1071537,0
2010-11-16,39.097,39.097,38.374,38.53,733996,0
2010-11-17,38.559,38.869,38.215,38.797,464430,0
2010-11-18,39.547,39.9,39.238,39.66,478294,0
2010-11-19,39.547,40.198,39.483,39.962,330280,0
2010-11-22,39.917,40.105,39.105,39.353,707947,0
2010-11-23,38.859,38.859,38.029,38.411,973276,0
2010-11-24,38.603,39.519,38.603,39.45,501874,0
2010-11-26,39.255,39.881,39.255,39.759,285212,0
2010-11-29,39.475,39.547,38.1,38.327,674299,0
2010-11-30,38.065,38.192,37.748,38.049,1064020,0
2010-12-01,38.584,39.37,38.559,39.169,496218,0
2010-12-02,39.125,39.645,38.832,39.601,504211,0
2010-12-03,39.556,40.587,39.493,40.225,656480,0
2010-12-06,40.182,40.198,39.407,39.635,392552,0
2010-12-07,39.962,40.19,39.335,39.971,472901,0
2010-12-08,40.076,40.606,39.89,40.271,570175,0
2010-12-09,40.43,40.641,40.271,40.587,426658,0
2010-12-10,40.484,40.569,40.235,40.517,318521,0
2010-12-13,40.615,42.272,40.569,41.611,890118,0
2010-12-14,41.534,41.921,40.976,41.452,593333,0
2010-12-15,41.4,42.043,41.163,41.267,709338,0
2010-12-16,41.223,41.753,40.959,41.648,531225,0
2010-12-17,41.841,41.904,41.329,41.565,899241,0
2010-12-20,41.938,42.354,41.683,41.709,516950,0
2010-12-21,41.77,42.024,41.524,41.557,428439,0
2010-12-22,41.77,41.796,41.433,41.507,414102,0
2010-12-23,41.524,41.701,41.25,41.452,269609,0
2010-12-27,41.489,41.489,40.853,41.082,345427,0
2010-12-28,41.25,41.443,40.597,41.022,383265,0
2010-12-29,41.038,41.145,40.745,40.834,209563,0
2010-12-30,40.887,41.145,40.772,40.904,196038,0
2010-12-31,40.682,40.897,40.513,40.584,205229,0
2011-01-03,40.976,41.197,40.888,40.986,413354,0
2011-01-04,40.995,40.995,40.041,40.225,435258,0
2011-01-05,40.005,40.579,39.881,40.411,664149,0
2011-01-06,40.579,40.968,40.484,40.827,959129,0
2011-01-07,40.94,41.029,40.298,40.827,478974,0
2011-01-10,40.701,41.374,40.66,41.073,487816,0
2011-01-11,41.285,41.657,41.091,41.188,588132,0
2011-01-12,41.648,42.327,41.565,42.069,922194,0
2011-01-13,42.212,42.459,41.974,42.346,407204,0
2011-01-14,42.262,42.354,41.957,42.194,318612,0
2011-01-18,42.246,43.023,42.069,43.005,774045,0
2011-01-19,43.093,43.702,42.911,43.215,819751,0
2011-01-20,43.05,43.148,42.317,43.023,704486,0
2011-01-21,43.402,43.402,42.3,42.354,425843,0
2011-01-24,42.346,43.121,42.115,42.986,396476,0
2011-01-25,42.911,42.911,42.001,42.212,529747,0
2011-01-26,42.53,42.856,42.212,42.309,512029,0
2011-01-27,42.221,42.707,41.965,42.572,448478,0
2011-01-28,42.751,42.926,41.285,41.391,574353,0
2011-01-31,41.631,41.65,40.666,40.699,1090476,0
2011-02-01,41.109,41.841,41.046,41.4,1110220,0
2011-02-02,41.425,41.701,40.931,40.95,1011942,0
2011-02-03,40.959,41.938,40.641,41.804,979405,0
2011-02-04,42.06,43.014,41.983,42.548,603667,0
2011-02-07,42.689,43.342,42.493,42.548,585201,0
2011-02-08,42.414,42.67,41.957,42.309,799660,0
2011-02-09,42.44,42.624,42.115,42.572,652671,0
2011-02-10,42.262,42.616,42.001,42.115,374366,0
2011-02-11,41.938,42.477,41.813,42.262,416478,0
2011-02-14,42.548,42.995,42.212,42.962,814229,0
2011-02-15,43.005,43.084,42.202,42.398,421279,0
2011-02-16,42.572,43.207,42.309,42.883,513596,0
2011-02-18,44.955,44.964,43.306,43.853,1309656,0
2011-02-22,43.474,44.047,42.986,43.139,1043857,0
2011-02-23,43.19,43.19,40.155,41.374,1855716,0
2011-02-24,41.285,41.382,40.66,41.004,988675,0
