Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,10.92,11.241,10.858,11.041,61449,0
2010-01-05,11.069,11.25,10.895,10.929,108923,0
2010-01-06,10.8,11.435,10.746,11.25,102609,0
2010-01-07,11.241,11.288,11.088,11.088,59436,0
2010-01-08,11.059,11.059,10.37,10.634,109942,0
2010-01-11,10.71,10.71,10.351,10.535,34069,0
2010-01-12,10.414,10.616,10.185,10.499,47371,0
2010-01-13,10.527,10.754,10.274,10.535,50350,0
2010-01-14,10.466,10.493,10.204,10.274,63505,0
2010-01-15,10.333,10.648,9.941,10.132,94462,0
2010-01-19,10.132,10.616,10.132,10.58,46511,0
2010-01-20,10.499,10.832,10.249,10.79,122604,0
2010-01-21,10.782,10.877,10.405,10.475,77384,0
2010-01-22,10.433,10.597,10.267,10.535,74908,0
2010-01-25,10.64,10.675,10.589,10.607,65044,0
2010-01-26,10.58,10.929,10.58,10.885,103900,0
2010-01-27,10.832,12.058,10.832,11.796,175712,0
2010-01-28,11.909,11.909,11.367,11.62,116101,0
2010-01-29,11.648,11.716,11.069,11.638,130524,0
2010-02-01,11.796,11.796,11.541,11.585,112211,0
2010-02-02,11.629,11.759,11.376,11.55,106039,0
2010-02-03,11.452,11.559,11.452,11.497,56455,0
2010-02-04,11.359,11.577,11.278,11.278,80146,0
2010-02-05,11.333,11.567,11.315,11.532,135176,0
2010-02-08,11.385,11.577,11.324,11.333,98645,0
2010-02-09,11.469,11.532,11.192,11.435,51608,0
2010-02-10,11.411,11.577,11.217,11.567,86356,0
2010-02-11,11.497,11.759,11.217,11.724,67887,0
2010-02-12,11.577,11.577,11.469,11.559,50567,0
2010-02-16,11.577,11.925,11.479,11.909,61009,0
2010-02-17,11.96,12.005,11.664,11.951,69102,0
2010-02-18,11.892,12.022,11.884,11.996,71833,0
2010-02-19,11.978,12.233,11.892,12.162,91739,0
2010-02-22,12.189,12.223,12.154,12.154,41292,0
2010-02-23,12.154,12.189,11.812,12.066,110839,0
2010-02-24,12.118,12.233,12.03,12.223,31705,0
2010-02-25,11.988,12.197,11.892,12.058,75673,0
2010-02-26,12.085,12.085,11.839,11.876,387108,0
2010-03-01,11.884,12.398,11.664,12.31,130620,0
2010-03-02,12.328,12.581,12.293,12.425,133171,0
2010-03-03,12.504,12.581,12.171,12.268,47545,0
2010-03-04,12.303,12.433,12.241,12.31,33657,0
2010-03-05,12.293,12.293,11.707,11.848,196011,0
2010-03-08,11.867,11.935,11.585,11.674,72437,0
2010-03-09,11.648,11.884,11.559,11.759,59084,0
2010-03-10,11.724,11.892,11.656,11.857,73652,0
2010-03-11,11.691,11.918,11.403,11.804,207176,0
2010-03-12,11.9,12.661,11.759,12.565,129555,0
2010-03-15,12.504,13.026,12.389,12.758,185313,0
2010-03-16,12.834,13.228,12.574,13.228,132715,0
2010-03-17,13.228,13.736,12.951,13.492,93084,0
2010-03-18,13.492,13.685,13.272,13.402,252747,0
2010-03-19,13.499,13.526,12.88,12.915,152365,0
2010-03-22,12.808,13.499,12.776,13.421,122589,0
2010-03-23,13.421,13.736,13.263,13.712,87416,0
2010-03-24,13.668,13.76,13.385,13.449,47692,0
2010-03-25,13.551,13.99,13.281,13.317,58447,0
2010-03-26,13.353,13.622,13.345,13.499,42185,0
2010-03-29,13.509,13.814,13.499,13.685,49387,0
2010-03-30,13.814,13.814,13.245,13.465,73790,0
2010-03-31,13.376,13.649,12.959,12.959,104424,0
2010-04-01,13.053,13.228,12.898,13.21,69609,0
2010-04-05,13.308,13.64,13.254,13.449,96129,0
2010-04-06,13.369,13.402,13.099,13.272,63610,0
2010-04-07,13.183,13.385,13.127,13.254,46937,0
2010-04-08,13.228,13.551,13.053,13.326,65767,0
2010-04-09,13.281,13.56,13.153,13.317,30973,0
2010-04-12,13.385,13.712,13.263,13.456,55395,0
2010-04-13,13.456,13.675,13.192,13.335,98194,0
2010-04-14,13.385,13.56,13.254,13.56,30632,0
2010-04-15,13.499,13.805,13.499,13.787,58628,0
2010-04-16,13.736,13.99,13.736,13.946,112273,0
2010-04-19,13.955,13.99,13.685,13.938,66705,0
2010-04-20,13.971,14.26,13.911,14.086,66791,0
2010-04-21,14.104,14.277,13.778,14.104,252875,0
2010-04-22,13.921,14.373,13.921,14.324,50703,0
2010-04-23,14.164,14.528,13.516,14.421,86701,0
2010-04-26,14.426,14.82,14.373,14.469,230160,0
2010-04-27,14.399,14.636,14.113,14.14,78614,0
2010-04-28,14.287,14.881,14.287,14.627,223224,0
2010-04-29,14.726,15.537,14.726,15.369,140682,0
2010-04-30,15.268,15.415,14.924,15.109,126273,0
2010-05-03,15.196,15.442,14.996,15.425,96964,0
2010-05-04,15.187,15.187,14.67,14.863,202235,0
2010-05-05,14.751,14.777,14.172,14.234,135621,0
2010-05-06,14.172,14.584,12.924,13.841,153513,0
2010-05-07,13.805,14.05,13.245,13.43,109609,0
2010-05-10,14.856,14.856,14.095,14.584,218180,0
2010-05-11,14.418,15.17,13.805,14.652,137562,0
2010-05-12,14.67,14.932,14.435,14.863,96105,0
2010-05-13,14.932,14.932,14.515,14.602,81230,0
2010-05-14,14.644,14.644,14.113,14.172,71567,0
2010-05-17,14.332,15.352,13.814,14.007,333703,0
2010-05-18,14.243,14.426,13.744,13.903,262485,0
2010-05-19,13.805,14.05,13.577,13.946,109287,0
2010-05-20,13.535,13.605,13.099,13.44,150476,0
2010-05-21,13.168,13.929,13.161,13.72,133046,0
2010-05-24,13.72,13.886,13.376,13.675,89562,0
2010-05-25,13.308,13.685,13.072,13.22,164165,0
2010-05-26,13.29,13.99,13.228,13.421,100077,0
2010-05-27,13.526,13.938,13.517,13.929,103216,0
2010-05-28,13.894,13.946,13.499,13.668,59822,0
2010-06-01,13.568,13.568,13.228,13.263,130356,0
2010-06-02,13.335,13.736,13.308,13.728,218869,0
2010-06-03,13.72,13.851,13.499,13.595,139458,0
2010-06-04,13.335,13.449,12.79,12.862,278430,0
2010-06-07,12.898,12.907,12.241,12.259,170621,0
2010-06-08,12.433,12.616,12.013,12.565,106228,0
2010-06-09,12.677,13.168,12.59,12.783,125287,0
2010-06-10,13.026,13.228,12.888,13.127,148832,0
2010-06-11,12.888,13.22,12.88,13.201,95953,0
2010-06-14,13.345,13.814,13.29,13.605,124327,0
2010-06-15,13.744,13.878,13.595,13.814,83521,0
2010-06-16,13.685,14.007,13.465,13.903,108026,0
2010-06-17,14.016,14.077,13.822,13.911,33289,0
2010-06-18,14.007,14.155,13.72,13.728,103656,0
2010-06-21,13.99,14.025,13.228,13.317,85820,0
2010-06-22,13.369,13.587,13.117,13.143,81357,0
2010-06-23,13.127,13.201,12.696,12.732,114654,0
2010-06-24,12.606,12.696,12.328,12.354,55701,0
2010-06-25,12.433,13.053,12.372,12.999,989451,0
2010-06-28,12.749,12.88,12.529,12.669,141151,0
2010-06-29,12.381,12.59,12.181,12.319,120870,0
2010-06-30,12.287,12.563,12.287,12.447,75401,0
2010-07-01,12.407,12.495,12.135,12.425,95063,0
2010-07-02,12.548,12.548,12.1,12.319,64876,0
2010-07-06,12.606,12.79,12.013,12.049,136411,0
2010-07-07,12.085,12.687,12.013,12.661,94384,0
2010-07-08,12.767,13.007,12.634,12.907,110113,0
2010-07-09,12.767,13.161,12.767,12.999,109813,0
2010-07-12,12.767,12.843,12.293,12.416,98342,0
2010-07-13,12.634,13.3,12.476,13.228,156358,0
2010-07-14,13.081,13.272,12.898,13.192,89572,0
2010-07-15,13.168,13.29,12.677,13.143,79992,0
2010-07-16,12.999,12.999,12.372,12.389,84073,0
2010-07-19,12.451,12.749,12.389,12.625,74133,0
2010-07-20,12.433,12.942,12.328,12.907,56096,0
2010-07-21,13.062,13.143,12.476,12.495,70979,0
2010-07-22,12.74,13.192,12.723,13.143,94846,0
2010-07-23,13.353,13.903,13.099,13.814,184173,0
2010-07-26,13.971,14.726,13.787,14.688,173147,0
2010-07-27,14.698,15.319,14.488,15.116,469235,0
2010-07-28,15.021,15.231,14.863,15.004,110317,0
2010-07-29,15.066,15.293,14.881,15.151,92626,0
2010-07-30,14.881,15.387,14.881,15.259,88563,0
2010-08-02,15.571,15.903,15.379,15.869,95334,0
2010-08-03,15.824,16.56,15.783,16.103,537584,0
2010-08-04,16.184,16.551,16.001,16.297,169349,0
2010-08-05,16.088,16.289,15.92,16.103,275449,0
2010-08-06,15.903,16.384,15.903,16.274,277133,0
2010-08-09,16.341,16.612,16.289,16.493,107476,0
2010-08-10,15.878,16.612,15.606,15.878,185308,0
2010-08-11,15.597,15.67,15.109,15.151,83306,0
2010-08-12,14.951,15.17,14.61,15.021,83253,0
2010-08-13,14.575,15.004,14.575,14.847,100512,0
2010-08-16,14.726,15.17,14.707,14.996,58012,0
2010-08-17,15.205,15.352,14.802,15.303,72877,0
