Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,35.785,36.134,34.955,35.74,50912,0
2010-01-05,35.6,35.6,34.894,34.99,72069,0
2010-01-06,34.902,34.947,34.598,34.745,46521,0
2010-01-07,34.919,34.919,34.405,34.842,71948,0
2010-01-08,34.782,34.919,34.563,34.782,20773,0
2010-01-11,34.076,34.894,34.076,34.859,36504,0
2010-01-12,34.52,35.052,34.458,34.868,27318,0
2010-01-13,34.902,35.627,34.791,35.489,37315,0
2010-01-14,35.47,35.67,35.296,35.513,16031,0
2010-01-15,35.68,35.696,34.553,34.938,56569,0
2010-01-19,34.938,35.584,34.938,35.382,38527,0
2010-01-20,34.981,35.521,34.652,34.782,46938,0
2010-01-21,34.791,34.99,34.151,34.177,57277,0
2010-01-22,34.214,34.798,33.856,33.953,39269,0
2010-01-25,34.048,34.52,33.837,34.371,32407,0
2010-01-26,34.344,35.104,34.067,34.084,34391,0
2010-01-27,33.926,34.902,33.926,34.877,23339,0
2010-01-28,34.947,35.27,34.118,34.205,25538,0
2010-01-29,33.873,35.156,33.873,34.588,40752,0
2010-02-01,34.642,34.842,34.276,34.563,32156,0
2010-02-02,34.502,34.534,34.241,34.423,46055,0
2010-02-03,34.257,34.711,34.076,34.232,22391,0
2010-02-04,33.918,34.397,33.648,33.778,36173,0
2010-02-05,34.002,34.598,33.698,34.371,36041,0
2010-02-08,34.241,34.361,33.707,33.786,33477,0
2010-02-09,34.118,34.336,33.707,34.151,15660,0
2010-02-10,33.97,34.544,33.863,34.195,20204,0
2010-02-11,33.184,33.524,32.723,33.297,243174,0
2010-02-12,32.896,33.193,32.208,32.27,126560,0
2010-02-16,32.625,33.053,32.311,33.035,60893,0
2010-02-17,33.175,33.882,33.081,33.577,64194,0
2010-02-18,33.846,34.405,33.621,34.241,44690,0
2010-02-19,34.248,34.782,34.137,34.405,42487,0
2010-02-22,34.616,35.163,34.45,35.052,34537,0
2010-02-23,35.034,35.147,34.72,34.928,50052,0
2010-02-24,34.938,35.905,34.938,35.767,75264,0
2010-02-25,35.382,36.161,35.339,35.878,64588,0
2010-02-26,35.941,35.941,35.417,35.539,105348,0
2010-03-01,35.443,36.116,35.434,36.07,77796,0
2010-03-02,36.019,36.717,35.923,36.481,143033,0
2010-03-03,36.489,37.194,36.489,36.908,31731,0
2010-03-04,37.013,37.276,36.943,37.11,45876,0
2010-03-05,37.203,39.09,37.203,38.41,67385,0
2010-03-08,38.288,38.749,38.18,38.305,77832,0
2010-03-09,38.279,38.906,38.215,38.557,61992,0
2010-03-10,38.445,39.054,38.445,38.592,52902,0
2010-03-11,38.288,39.063,38.288,38.934,31284,0
